year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0016699999999999998
1851,0.0016699999999999998
1852,0.0016699999999999998
1853,0.0016699999999999998
1854,0.0016699999999999998
1855,0.0016699999999999998
1856,0.0016699999999999998
1857,0.0016699999999999998
1858,0.0016699999999999998
1859,0.0016699999999999998
1860,0.0016699999999999998
1861,0.0016699999999999998
1862,0.0016699999999999998
1863,0.0016699999999999998
1864,0.0016699999999999998
1865,0.0016699999999999998
1866,0.0016699999999999998
1867,0.0016699999999999998
1868,0.0016699999999999998
1869,0.0016699999999999998
1870,0.0016699999999999998
1871,0.0016699999999999998
1872,0.0016699999999999998
1873,0.0016699999999999998
1874,0.0016699999999999998
1875,0.0016699999999999998
1876,0.0016699999999999998
1877,0.0016699999999999998
1878,0.0016699999999999998
1879,0.0016699999999999998
1880,0.0016699999999999998
1881,0.0016699999999999998
1882,0.0016699999999999998
1883,0.0016699999999999998
1884,0.0016699999999999998
1885,0.0016699999999999998
1886,0.0016699999999999998
1887,0.0016699999999999998
1888,0.0016699999999999998
1889,0.0016699999999999998
1890,0.0016699999999999998
1891,0.00196
1892,0.0027400000000000002
1893,0.00394
1894,0.00544
1895,0.00714
1896,0.008960000000000001
1897,0.0108
1898,0.0125
1899,0.0141
1900,0.0154
1901,0.016399999999999998
1902,0.0174
1903,0.0182
1904,0.019100000000000002
1905,0.019899999999999998
1906,0.0207
1907,0.0216
1908,0.0225
1909,0.0235
1910,0.0245
1911,0.0257
1912,0.027
1913,0.028300000000000002
1914,0.0297
1915,0.0312
1916,0.032799999999999996
1917,0.0345
1918,0.0362
1919,0.038
1920,0.0399
1921,0.0474
1922,0.0648
1923,0.09029999999999999
1924,0.122
1925,0.158
1926,0.196
1927,0.234
1928,0.271
1929,0.304
1930,0.332
1931,0.356
1932,0.379
1933,0.402
1934,0.424
1935,0.445
1936,0.467
1937,0.488
1938,0.509
1939,0.531
1940,0.553
1941,0.577
1942,0.604
1943,0.635
1944,0.668
1945,0.703
1946,0.741
1947,0.781
1948,0.822
1949,0.866
1950,0.91
1951,0.957
1952,1.01
1953,1.06
1954,1.12
1955,1.18
1956,1.24
1957,1.31
1958,1.38
1959,1.44
1960,1.51
1961,1.59
1962,1.67
1963,1.76
1964,1.86
1965,1.95
1966,2.05
1967,2.14
1968,2.22
1969,2.3
1970,2.37
1971,2.44
1972,2.53
1973,2.63
1974,2.75
1975,2.87
1976,3.0
1977,3.13
1978,3.25
1979,3.36
1980,3.45
1981,3.54
1982,3.63
1983,3.72
1984,3.81
1985,3.89
1986,3.96
1987,4.02
1988,4.08
1989,4.11
1990,5.04
1991,6.05
1992,7.3
1993,10.7
1994,14.1
1995,17.8
1996,21.4
1997,24.8
1998,30.9
1999,46.4
2000,58.0
2001,76.3
2002,78.2
2003,108.0
2004,139.0
2005,192.0
2006,224.0
2007,199.0
2008,178.0
2009,221.0
2010,265.0
2011,303.0
2012,344.0
2013,378.0
2014,422.0
2015,369.0
2016,387.0
2017,411.0
2018,434.0
2019,456.0
2020,479.0
2021,504.0
2022,527.0
2023,550.0
