year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,0.00111,1.8300000000000003e-18,0.00556
1751,0.0,0.0,0.00111,0.000112,0.00558
1752,0.0,0.0,0.0011200000000000001,0.000224,0.0056
1753,0.0,0.0,0.0011200000000000001,0.000335,0.00561
1754,0.0,0.0,0.0011200000000000001,0.000447,0.00563
1755,0.0,0.0,0.00113,0.000559,0.0056500000000000005
1756,0.0,0.0,0.00113,0.000671,0.00567
1757,0.0,0.0,0.00113,0.0007830000000000001,0.005679999999999999
1758,0.0,0.0,0.00114,0.000894,0.0057
1759,0.0,0.0,0.00114,0.00101,0.005719999999999999
1760,0.0,0.0,0.00114,0.0011200000000000001,0.005730000000000001
1761,0.0,0.0,0.00115,0.00123,0.00574
1762,0.0,0.0,0.00115,0.00134,0.00575
1763,0.0,0.0,0.00115,0.00145,0.0057599999999999995
1764,0.0,0.0,0.00115,0.00157,0.00577
1765,0.0,0.0,0.00115,0.0016799999999999999,0.00578
1766,0.0,0.0,0.00115,0.0017900000000000001,0.00579
1767,0.0,0.0,0.00116,0.0019,0.00579
1768,0.0,0.0,0.00116,0.0020099999999999996,0.0058
1769,0.0,0.0,0.00116,0.00212,0.005809999999999999
1770,0.0,0.0,0.00116,0.0022400000000000002,0.0058200000000000005
1771,0.0,0.0,0.0011899999999999999,0.00235,0.00597
1772,0.0,0.0,0.00122,0.00246,0.0061200000000000004
1773,0.0,0.0,0.00125,0.00257,0.0062699999999999995
1774,0.0,0.0,0.00128,0.00268,0.00642
1775,0.0,0.0,0.00131,0.0028,0.00657
1776,0.0,0.0,0.00134,0.0029100000000000003,0.006719999999999999
1777,0.0,0.0,0.0013700000000000001,0.00302,0.00687
1778,0.0,0.0,0.0014,0.00313,0.007019999999999999
1779,0.0,0.0,0.0014299999999999998,0.0032400000000000003,0.00717
1780,0.0,0.0,0.00146,0.00335,0.00732
1781,0.0,0.0,0.00147,0.00347,0.00735
1782,0.0,0.0,0.00147,0.0035800000000000003,0.00739
1783,0.0,0.0,0.00148,0.00369,0.00743
1784,0.0,0.0,0.00149,0.0038,0.00746
1785,0.0,0.0,0.0015,0.00391,0.0075
1786,0.0,0.0,0.0015,0.004030000000000001,0.00754
1787,0.0,0.0,0.00151,0.00414,0.00757
1788,0.0,0.0,0.00152,0.00425,0.0076100000000000004
1789,0.0,0.0,0.00152,0.00436,0.00764
1790,0.0,0.0,0.0015300000000000001,0.00447,0.007679999999999999
1791,0.0,0.0,0.00152,0.00458,0.00764
1792,0.0,0.0,0.00152,0.0047,0.0076
1793,0.0,0.0,0.00151,0.00481,0.00756
1794,0.0,0.0,0.0015,0.00492,0.00752
1795,0.0,0.0,0.00149,0.005030000000000001,0.0074800000000000005
1796,0.0,0.0,0.00148,0.00514,0.00744
1797,0.0,0.0,0.00148,0.00525,0.0074
1798,0.0,0.0,0.00147,0.00537,0.00736
1799,0.0,0.0,0.00146,0.0054800000000000005,0.00732
1800,0.0,0.0,0.00145,0.0055899999999999995,0.0072699999999999996
1801,0.0,0.0,0.00147,0.0057,0.00737
1802,0.0,0.0,0.00149,0.005809999999999999,0.00747
