year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.143,0.0,0.138,1.42e-18,0.362
1751,0.142,0.0,0.137,0.000308,0.359
1752,0.141,0.0,0.136,0.000615,0.357
1753,0.14,0.0,0.136,0.000923,0.355
1754,0.139,0.0,0.135,0.00123,0.352
1755,0.138,0.0,0.134,0.0015400000000000001,0.35
1756,0.137,0.0,0.133,0.00185,0.347
1757,0.136,0.0,0.132,0.00215,0.345
1758,0.135,0.0,0.131,0.00246,0.343
1759,0.134,0.0,0.13,0.00277,0.34
1760,0.133,0.0,0.129,0.0030800000000000003,0.338
1761,0.132,0.0,0.128,0.0033799999999999998,0.336
1762,0.131,0.0,0.127,0.00369,0.333
1763,0.13,0.0,0.127,0.004,0.331
1764,0.129,0.0,0.126,0.00431,0.329
1765,0.129,0.0,0.125,0.00461,0.327
1766,0.128,0.0,0.124,0.00492,0.324
1767,0.127,0.0,0.123,0.00523,0.322
1768,0.126,0.0,0.122,0.00554,0.32
1769,0.125,0.0,0.121,0.00584,0.317
1770,0.124,0.0,0.12,0.00615,0.315
1771,0.123,0.0,0.12,0.00646,0.313
1772,0.122,0.0,0.119,0.00677,0.311
1773,0.121,0.0,0.118,0.00707,0.309
1774,0.121,0.0,0.117,0.00738,0.307
1775,0.12,0.0,0.116,0.007690000000000001,0.305
1776,0.119,0.0,0.116,0.008,0.303
1777,0.118,0.0,0.115,0.0083,0.301
1778,0.117,0.0,0.114,0.00861,0.298
1779,0.116,0.0,0.113,0.008919999999999999,0.296
1780,0.115,0.0,0.112,0.00923,0.294
1781,0.115,0.0,0.112,0.009529999999999999,0.292
1782,0.114,0.0,0.111,0.00984,0.29
1783,0.113,0.0,0.11,0.0101,0.288
1784,0.112,0.0,0.109,0.0105,0.286
1785,0.111,0.0,0.109,0.0108,0.284
1786,0.111,0.0,0.108,0.0111,0.282
1787,0.11,0.0,0.107,0.0114,0.281
1788,0.109,0.0,0.106,0.011699999999999999,0.279
1789,0.108,0.0,0.106,0.012,0.277
1790,0.107,0.0,0.105,0.0123,0.275
1791,0.107,0.0,0.104,0.0126,0.273
1792,0.106,0.0,0.104,0.0129,0.271
1793,0.105,0.0,0.103,0.0132,0.269
1794,0.104,0.0,0.102,0.0135,0.267
1795,0.104,0.0,0.101,0.013800000000000002,0.265
1796,0.103,0.0,0.101,0.0141,0.264
1797,0.102,0.0,0.1,0.0145,0.262
1798,0.101,0.0,0.0994,0.0148,0.26
1799,0.101,0.0,0.0987,0.015099999999999999,0.258
1800,0.0999,0.0,0.098,0.0154,0.256
1801,0.0992,0.0,0.0973,0.0157,0.255
1802,0.0985,0.0,0.09670000000000001,0.016,0.253
1803,0.0978,0.0,0.096,0.016300000000000002,0.251
1804,0.09709999999999999,0.0,0.0953,0.0166,0.249
1805,0.0964,0.0,0.0947,0.0169,0.248
1806,0.09570000000000001,0.0,0.094,0.0172,0.246
1807,0.09509999999999999,0.0,0.09340000000000001,0.0175,0.244
1808,0.09440000000000001,0.0,0.0927,0.0178,0.243
1809,0.0937,0.0,0.09209999999999999,0.0181,0.241
1810,0.093,0.0,0.09140000000000001,0.0185,0.239
1811,0.09240000000000001,0.0,0.09090000000000001,0.0188,0.238
1812,0.0917,0.0,0.09029999999999999,0.019100000000000002,0.236
1813,0.0911,0.0,0.0897,0.019399999999999997,0.235
1814,0.0905,0.0,0.0891,0.0197,0.233
1815,0.08990000000000001,0.0,0.0886,0.02,0.232
1816,0.08929999999999999,0.0,0.088,0.020300000000000002,0.23
1817,0.0887,0.0,0.0874,0.0206,0.229
1818,0.0881,0.0,0.0869,0.0209,0.227
