year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0344,0.0,0.2,1.49e-18,0.806
1751,0.0344,0.0,0.2,0.000268,0.806
1752,0.0344,0.0,0.2,0.000537,0.806
1753,0.0344,0.0,0.2,0.000805,0.806
1754,0.0344,0.0,0.2,0.00107,0.807
1755,0.0344,0.0,0.2,0.00134,0.807
1756,0.0344,0.0,0.2,0.00161,0.807
1757,0.0344,0.0,0.2,0.00188,0.807
1758,0.0344,0.0,0.2,0.00215,0.808
1759,0.0344,0.0,0.2,0.00242,0.808
1760,0.0344,0.0,0.201,0.00268,0.808
1761,0.0344,0.0,0.201,0.0029500000000000004,0.809
1762,0.0344,0.0,0.201,0.00322,0.809
1763,0.0344,0.0,0.201,0.00349,0.809
1764,0.0344,0.0,0.201,0.00376,0.809
1765,0.0345,0.0,0.201,0.004030000000000001,0.81
1766,0.0345,0.0,0.201,0.0043,0.81
1767,0.0345,0.0,0.201,0.00456,0.81
1768,0.0345,0.0,0.201,0.00483,0.81
1769,0.0345,0.0,0.201,0.0050999999999999995,0.811
1770,0.0345,0.0,0.201,0.00537,0.811
1771,0.0345,0.0,0.201,0.00564,0.811
1772,0.0345,0.0,0.201,0.00591,0.812
1773,0.0345,0.0,0.201,0.00618,0.812
1774,0.0345,0.0,0.201,0.00644,0.812
1775,0.0345,0.0,0.202,0.00671,0.812
1776,0.0345,0.0,0.202,0.00698,0.813
1777,0.0345,0.0,0.202,0.00725,0.813
1778,0.0345,0.0,0.202,0.00752,0.813
1779,0.0345,0.0,0.202,0.00779,0.813
1780,0.0345,0.0,0.202,0.00805,0.814
1781,0.0345,0.0,0.202,0.008320000000000001,0.814
1782,0.0345,0.0,0.202,0.00859,0.814
1783,0.0345,0.0,0.202,0.00886,0.815
1784,0.0345,0.0,0.202,0.009130000000000001,0.815
1785,0.0346,0.0,0.202,0.0094,0.815
1786,0.0346,0.0,0.202,0.00967,0.815
1787,0.0346,0.0,0.202,0.00993,0.816
1788,0.0346,0.0,0.202,0.010199999999999999,0.816
1789,0.0346,0.0,0.202,0.0105,0.816
1790,0.0346,0.0,0.203,0.0107,0.816
1791,0.0346,0.0,0.203,0.011,0.817
1792,0.0346,0.0,0.203,0.011300000000000001,0.817
1793,0.0346,0.0,0.203,0.0115,0.817
1794,0.0346,0.0,0.203,0.011800000000000001,0.818
1795,0.0346,0.0,0.203,0.0121,0.818
1796,0.0346,0.0,0.203,0.0124,0.818
1797,0.0346,0.0,0.203,0.0126,0.818
1798,0.0346,0.0,0.203,0.0129,0.819
1799,0.0346,0.0,0.203,0.0132,0.819
1800,0.0346,0.0,0.203,0.0134,0.819
1801,0.0346,0.0,0.203,0.013699999999999999,0.819
1802,0.0346,0.0,0.203,0.014,0.82
1803,0.0346,0.0,0.203,0.014199999999999999,0.82
1804,0.0346,0.0,0.203,0.0145,0.82
1805,0.0346,0.0,0.204,0.0148,0.821
1806,0.0346,0.0,0.204,0.015,0.821
1807,0.0346,0.0,0.204,0.015300000000000001,0.821
1808,0.0346,0.0,0.204,0.0156,0.821
1809,0.0346,0.0,0.204,0.0158,0.822
1810,0.0346,0.0,0.204,0.0161,0.822
1811,0.0347,0.0,0.204,0.016399999999999998,0.823
1812,0.0347,0.0,0.204,0.0166,0.823
1813,0.0347,0.0,0.204,0.0169,0.824
1814,0.0347,0.0,0.205,0.0172,0.825
1815,0.0347,0.0,0.205,0.0175,0.825
1816,0.0348,0.0,0.205,0.0177,0.826
1817,0.0348,0.0,0.205,0.018,0.827
