year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0308,0.0,0.0285,4.03e-19,0.07640000000000001
1751,0.0308,0.0,0.0285,9.42e-05,0.07640000000000001
1752,0.0308,0.0,0.0285,0.000188,0.07640000000000001
1753,0.0308,0.0,0.0285,0.000283,0.0765
1754,0.0308,0.0,0.0285,0.000377,0.0765
1755,0.0308,0.0,0.0286,0.00047099999999999996,0.0765
1756,0.0308,0.0,0.0286,0.000565,0.0765
1757,0.0308,0.0,0.0286,0.0006590000000000001,0.07659999999999999
1758,0.0308,0.0,0.0286,0.000753,0.07659999999999999
1759,0.0308,0.0,0.0286,0.000848,0.07659999999999999
1760,0.0308,0.0,0.0286,0.0009419999999999999,0.07659999999999999
1761,0.0308,0.0,0.0286,0.0010400000000000001,0.0767
1762,0.0308,0.0,0.0286,0.00113,0.0767
1763,0.0308,0.0,0.0286,0.00122,0.0767
1764,0.0308,0.0,0.0286,0.00132,0.0767
1765,0.0308,0.0,0.0286,0.00141,0.0768
1766,0.0308,0.0,0.0287,0.00151,0.0768
1767,0.0308,0.0,0.0287,0.0016,0.0768
1768,0.0308,0.0,0.0287,0.0017,0.0768
1769,0.0308,0.0,0.0287,0.0017900000000000001,0.07690000000000001
1770,0.0308,0.0,0.0287,0.00188,0.07690000000000001
1771,0.0308,0.0,0.0287,0.00198,0.07690000000000001
1772,0.0308,0.0,0.0287,0.00207,0.07690000000000001
1773,0.0308,0.0,0.0287,0.00217,0.077
1774,0.0308,0.0,0.0287,0.00226,0.077
1775,0.0308,0.0,0.0287,0.00235,0.077
1776,0.0308,0.0,0.0288,0.0024500000000000004,0.07709999999999999
1777,0.0308,0.0,0.0288,0.00254,0.07709999999999999
1778,0.0308,0.0,0.0288,0.00264,0.07709999999999999
1779,0.0308,0.0,0.0288,0.00273,0.07709999999999999
1780,0.0308,0.0,0.0288,0.00283,0.0772
1781,0.0308,0.0,0.0288,0.00292,0.0772
1782,0.0308,0.0,0.0288,0.0030099999999999997,0.0772
1783,0.0308,0.0,0.0288,0.00311,0.0772
1784,0.0308,0.0,0.0288,0.0032,0.0773
1785,0.0308,0.0,0.0288,0.0033,0.0773
1786,0.0308,0.0,0.0288,0.0033900000000000002,0.0773
1787,0.0308,0.0,0.0289,0.00348,0.0773
1788,0.0308,0.0,0.0289,0.0035800000000000003,0.07740000000000001
1789,0.030699999999999998,0.0,0.0289,0.00367,0.07740000000000001
1790,0.030699999999999998,0.0,0.0289,0.00377,0.07740000000000001
1791,0.030699999999999998,0.0,0.0289,0.0038599999999999997,0.07740000000000001
1792,0.030699999999999998,0.0,0.0289,0.00396,0.0775
1793,0.030699999999999998,0.0,0.0289,0.00405,0.0775
1794,0.030699999999999998,0.0,0.0289,0.00414,0.0775
1795,0.030699999999999998,0.0,0.0289,0.00424,0.0775
1796,0.030699999999999998,0.0,0.0289,0.00433,0.07759999999999999
1797,0.030699999999999998,0.0,0.029,0.00443,0.07759999999999999
1798,0.030699999999999998,0.0,0.029,0.00452,0.07759999999999999
1799,0.030699999999999998,0.0,0.029,0.00462,0.07759999999999999
1800,0.030699999999999998,0.0,0.029,0.00471,0.0777
1801,0.030699999999999998,0.0,0.029,0.0048,0.0777
1802,0.030699999999999998,0.0,0.029,0.004900000000000001,0.0777
1803,0.030699999999999998,0.0,0.029,0.0049900000000000005,0.0777
1804,0.030600000000000002,0.0,0.029,0.00509,0.0778
1805,0.030600000000000002,0.0,0.029,0.00518,0.0778
1806,0.030600000000000002,0.0,0.029,0.0052699999999999995,0.0778
1807,0.030600000000000002,0.0,0.0291,0.00537,0.07790000000000001
1808,0.030600000000000002,0.0,0.0291,0.00546,0.07790000000000001
1809,0.030600000000000002,0.0,0.0291,0.00556,0.07790000000000001
1810,0.030600000000000002,0.0,0.0291,0.0056500000000000005,0.07790000000000001
1811,0.030600000000000002,0.0,0.0291,0.00575,0.078
1812,0.030600000000000002,0.0,0.0291,0.00584,0.07809999999999999
1813,0.030600000000000002,0.0,0.0292,0.0059299999999999995,0.07809999999999999
1814,0.030600000000000002,0.0,0.0292,0.006030000000000001,0.0782
1815,0.030600000000000002,0.0,0.0292,0.0061200000000000004,0.0783
1816,0.030600000000000002,0.0,0.0292,0.00622,0.0783
1817,0.030600000000000002,0.0,0.0293,0.00631,0.07840000000000001
1818,0.030600000000000002,0.0,0.0293,0.0064,0.0785
1819,0.030600000000000002,0.0,0.0293,0.0065,0.0785
1820,0.030600000000000002,0.0,0.0293,0.0065899999999999995,0.07859999999999999
1821,0.030600000000000002,0.0,0.0293,0.006690000000000001,0.0787
1822,0.030600000000000002,0.0,0.0294,0.0067800000000000004,0.0787
1823,0.030600000000000002,0.0,0.0294,0.00688,0.0788
1824,0.030600000000000002,0.0,0.0294,0.00697,0.0788
1825,0.030600000000000002,0.0,0.0294,0.0070599999999999994,0.07890000000000001
1826,0.030600000000000002,0.0,0.0295,0.0071600000000000006,0.079
1827,0.030600000000000002,0.0,0.0295,0.00725,0.079
1828,0.030600000000000002,0.0,0.0295,0.00735,0.07909999999999999
1829,0.030600000000000002,0.0,0.0295,0.00744,0.0792
1830,0.030600000000000002,0.0,0.0296,0.00753,0.0792
1831,0.030600000000000002,0.0,0.0296,0.00763,0.0793
1832,0.030600000000000002,0.0,0.0296,0.007719999999999999,0.07940000000000001
1833,0.030600000000000002,0.0,0.0296,0.00782,0.07940000000000001
1834,0.030600000000000002,0.0,0.0297,0.00791,0.0795
1835,0.030600000000000002,0.0,0.0297,0.00801,0.07959999999999999
1836,0.030600000000000002,0.0,0.0297,0.0081,0.07959999999999999
1837,0.030600000000000002,0.0,0.0297,0.00819,0.07970000000000001
