year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,1.23,0.0,0.056299999999999996,0.0,0.441
1751,1.24,0.0,0.0567,0.00159,0.445
1752,1.25,0.0,0.0571,0.00317,0.448
1753,1.25,0.0,0.0575,0.0047599999999999995,0.451
1754,1.26,0.0,0.0579,0.00635,0.454
1755,1.27,0.0,0.0583,0.007940000000000001,0.457
1756,1.28,0.0,0.0587,0.009519999999999999,0.46
1757,1.29,0.0,0.0591,0.0111,0.464
1758,1.29,0.0,0.0595,0.0127,0.467
1759,1.3,0.0,0.0599,0.0143,0.47
1760,1.31,0.0,0.0603,0.0159,0.473
1761,1.32,0.0,0.060700000000000004,0.0175,0.476
1762,1.32,0.0,0.061200000000000004,0.019,0.48
1763,1.33,0.0,0.0616,0.0206,0.483
1764,1.34,0.0,0.062,0.0222,0.487
1765,1.35,0.0,0.0625,0.0238,0.49
1766,1.36,0.0,0.0629,0.0254,0.493
1767,1.37,0.0,0.0633,0.027,0.497
1768,1.37,0.0,0.0637,0.0286,0.5
1769,1.38,0.0,0.06420000000000001,0.030199999999999998,0.503
1770,1.39,0.0,0.06459999999999999,0.0317,0.507
1771,1.4,0.0,0.06509999999999999,0.033299999999999996,0.51
1772,1.41,0.0,0.0655,0.0349,0.514
1773,1.41,0.0,0.066,0.0365,0.518
1774,1.42,0.0,0.0664,0.0381,0.521
1775,1.43,0.0,0.0669,0.039700000000000006,0.525
1776,1.44,0.0,0.0674,0.041299999999999996,0.529
1777,1.45,0.0,0.0678,0.0429,0.532
1778,1.46,0.0,0.0683,0.0444,0.536
1779,1.47,0.0,0.0688,0.046,0.539
1780,1.47,0.0,0.0692,0.0476,0.543
1781,1.48,0.0,0.0697,0.0492,0.547
1782,1.49,0.0,0.0702,0.0508,0.551
1783,1.5,0.0,0.0707,0.052399999999999995,0.555
1784,1.51,0.0,0.0712,0.054,0.559
1785,1.52,0.0,0.0717,0.055600000000000004,0.562
1786,1.53,0.0,0.0722,0.0571,0.566
1787,1.54,0.0,0.0727,0.0587,0.57
1788,1.54,0.0,0.0732,0.0603,0.574
1789,1.55,0.0,0.0737,0.0619,0.578
1790,1.56,0.0,0.0742,0.0635,0.582
1791,1.57,0.0,0.0747,0.06509999999999999,0.586
1792,1.58,0.0,0.0752,0.06670000000000001,0.59
1793,1.59,0.0,0.07579999999999999,0.0683,0.594
1794,1.6,0.0,0.07629999999999999,0.0698,0.598
1795,1.61,0.0,0.0768,0.0714,0.603
1796,1.62,0.0,0.0773,0.073,0.607
1797,1.62,0.0,0.07790000000000001,0.0746,0.611
1798,1.63,0.0,0.07840000000000001,0.0762,0.615
1799,1.64,0.0,0.07890000000000001,0.0778,0.619
1800,1.65,0.0,0.0795,0.07940000000000001,0.623
1801,1.66,0.0,0.08,0.081,0.628
1802,1.67,0.0,0.08059999999999999,0.0825,0.632
1803,1.68,0.0,0.08120000000000001,0.0841,0.637
1804,1.69,0.0,0.08170000000000001,0.0857,0.641
1805,1.7,0.0,0.0823,0.0873,0.646
1806,1.71,0.0,0.0829,0.0889,0.65
1807,1.72,0.0,0.0834,0.0905,0.655
1808,1.73,0.0,0.084,0.09209999999999999,0.659
1809,1.74,0.0,0.0846,0.0937,0.663
1810,1.75,0.0,0.0851,0.0952,0.668
1811,1.76,0.0,0.0857,0.0968,0.673
1812,1.77,0.0,0.0864,0.0984,0.677
1813,1.77,0.0,0.087,0.1,0.682
1814,1.78,0.0,0.0876,0.102,0.687
1815,1.79,0.0,0.0882,0.103,0.692
1816,1.8,0.0,0.0888,0.105,0.697
1817,1.81,0.0,0.08940000000000001,0.106,0.701
1818,1.82,0.0,0.09,0.108,0.706
1819,1.83,0.0,0.0906,0.11,0.711
1820,1.84,0.0,0.0912,0.111,0.716
1821,1.89,0.0,0.0935,0.113,0.734
1822,1.93,0.0,0.0959,0.114,0.752
1823,1.97,0.0,0.09820000000000001,0.116,0.77
1824,2.02,0.0,0.101,0.117,0.788
1825,2.06,0.0,0.103,0.119,0.807
1826,2.1,0.0,0.105,0.121,0.825
1827,2.14,0.0,0.107,0.122,0.843
1828,2.19,0.0,0.11,0.124,0.861
1829,2.23,0.0,0.112,0.125,0.88
1830,2.27,0.0,0.114,0.127,0.898
1831,2.32,0.0,0.117,0.129,0.92
1832,2.38,0.0,0.12,0.13,0.943
1833,2.43,0.0,0.123,0.132,0.965
1834,2.48,0.0,0.126,0.133,0.988
