year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,2.11,0.0,0.287,4.78e-17,2.46
1751,2.12,0.0,0.288,0.00307,2.46
1752,2.13,0.0,0.289,0.00615,2.47
1753,2.13,0.0,0.29,0.00922,2.48
1754,2.14,0.0,0.291,0.0123,2.49
1755,2.14,0.0,0.292,0.0154,2.49
1756,2.15,0.0,0.293,0.0184,2.5
1757,2.15,0.0,0.294,0.0215,2.51
1758,2.16,0.0,0.294,0.0246,2.52
1759,2.16,0.0,0.295,0.0277,2.53
1760,2.17,0.0,0.296,0.030699999999999998,2.53
1761,2.17,0.0,0.297,0.0338,2.54
1762,2.18,0.0,0.298,0.036899999999999995,2.55
1763,2.18,0.0,0.299,0.0399,2.56
1764,2.19,0.0,0.3,0.043,2.57
1765,2.19,0.0,0.301,0.0461,2.58
1766,2.2,0.0,0.302,0.0492,2.58
1767,2.21,0.0,0.303,0.0522,2.59
1768,2.21,0.0,0.304,0.055299999999999995,2.6
1769,2.22,0.0,0.305,0.0584,2.61
1770,2.22,0.0,0.306,0.0615,2.62
1771,2.23,0.0,0.307,0.0645,2.62
1772,2.23,0.0,0.308,0.0676,2.63
1773,2.24,0.0,0.309,0.0707,2.64
1774,2.24,0.0,0.31,0.0737,2.65
1775,2.25,0.0,0.311,0.0768,2.66
1776,2.25,0.0,0.312,0.0799,2.67
1777,2.26,0.0,0.313,0.083,2.68
1778,2.26,0.0,0.314,0.086,2.68
1779,2.27,0.0,0.315,0.0891,2.69
1780,2.27,0.0,0.316,0.0922,2.7
1781,2.28,0.0,0.317,0.0953,2.71
1782,2.28,0.0,0.318,0.0983,2.72
1783,2.29,0.0,0.319,0.101,2.73
1784,2.29,0.0,0.32,0.104,2.74
1785,2.3,0.0,0.321,0.108,2.74
1786,2.31,0.0,0.322,0.111,2.75
1787,2.31,0.0,0.323,0.114,2.76
1788,2.32,0.0,0.324,0.117,2.77
1789,2.32,0.0,0.325,0.12,2.78
1790,2.33,0.0,0.326,0.123,2.79
1791,2.33,0.0,0.327,0.126,2.8
1792,2.34,0.0,0.328,0.129,2.81
1793,2.34,0.0,0.329,0.132,2.81
1794,2.35,0.0,0.33,0.135,2.82
1795,2.35,0.0,0.331,0.138,2.83
1796,2.36,0.0,0.332,0.141,2.84
1797,2.36,0.0,0.333,0.144,2.85
1798,2.37,0.0,0.334,0.147,2.86
1799,2.37,0.0,0.335,0.151,2.87
1800,2.38,0.0,0.336,0.154,2.88
1801,2.38,0.0,0.338,0.157,2.89
1802,2.39,0.0,0.339,0.16,2.9
1803,2.39,0.0,0.34,0.163,2.91
1804,2.4,0.0,0.341,0.166,2.91
1805,2.4,0.0,0.342,0.169,2.92
1806,2.41,0.0,0.343,0.172,2.93
1807,2.41,0.0,0.344,0.175,2.94
1808,2.42,0.0,0.345,0.178,2.95
1809,2.42,0.0,0.346,0.181,2.96
1810,2.43,0.0,0.347,0.184,2.97
1811,2.43,0.0,0.348,0.187,2.98
1812,2.44,0.0,0.35,0.191,2.99
1813,2.44,0.0,0.351,0.194,3.0
1814,2.45,0.0,0.352,0.197,3.01
1815,2.45,0.0,0.353,0.2,3.02
1816,2.45,0.0,0.354,0.203,3.03
1817,2.46,0.0,0.355,0.206,3.04
1818,2.46,0.0,0.356,0.209,3.05
1819,2.47,0.0,0.357,0.212,3.06
1820,2.47,0.0,0.358,0.215,3.07
1821,2.51,0.0,0.365,0.218,3.12
1822,2.55,0.0,0.371,0.221,3.17
1823,2.59,0.0,0.377,0.224,3.22
1824,2.63,0.0,0.383,0.227,3.27
1825,2.67,0.0,0.389,0.23,3.33
1826,2.7,0.0,0.395,0.234,3.38
1827,2.74,0.0,0.401,0.237,3.43
1828,2.78,0.0,0.407,0.24,3.48
1829,2.82,0.0,0.413,0.243,3.53
1830,2.85,0.0,0.419,0.246,3.59
1831,2.89,0.0,0.425,0.249,3.64
1832,2.93,0.0,0.431,0.252,3.69
1833,2.96,0.0,0.437,0.255,3.74
1834,3.0,0.0,0.444,0.258,3.79
1835,3.04,0.0,0.45,0.261,3.85
1836,3.07,0.0,0.456,0.264,3.9
1837,3.11,0.0,0.462,0.267,3.95
1838,3.15,0.0,0.468,0.27,4.0
1839,3.18,0.0,0.474,0.273,4.05
1840,3.22,0.0,0.48,0.277,4.1
1841,3.23,0.0,0.482,0.28,4.12
1842,3.24,0.0,0.485,0.283,4.14
1843,3.25,0.0,0.487,0.286,4.16
1844,3.26,0.0,0.489,0.289,4.18
1845,3.27,0.0,0.492,0.292,4.2
1846,3.28,0.0,0.494,0.295,4.22
1847,3.29,0.0,0.496,0.298,4.24
1848,3.3,0.0,0.499,0.301,4.26
1849,3.31,0.0,0.501,0.304,4.28
1850,3.34,2.76e-07,0.503,0.307,4.4
1851,3.36,2.76e-07,0.507,0.31,4.43
1852,3.38,2.76e-07,0.511,0.313,4.46
1853,3.4,2.76e-07,0.514,0.316,4.5
1854,3.42,2.76e-07,0.518,0.32,4.53
1855,3.44,2.76e-07,0.522,0.323,4.56
1856,3.46,2.76e-07,0.526,0.326,4.6
1857,3.48,2.76e-07,0.529,0.329,4.63
1858,3.5,2.76e-07,0.533,0.332,4.66
1859,3.52,2.76e-07,0.537,0.335,4.69
1860,3.8,0.0368,0.54,0.338,4.72
1861,4.4,0.121,0.544,0.341,4.76
1862,5.0,0.206,0.549,0.344,4.8
1863,5.61,0.29,0.553,0.347,4.83
1864,6.21,0.375,0.557,0.35,4.87
1865,6.82,0.46,0.561,0.353,4.9
1866,7.42,0.545,0.565,0.356,4.94
1867,8.03,0.63,0.569,0.36,4.98
1868,8.63,0.715,0.573,0.363,5.01
1869,9.24,0.801,0.577,0.366,5.05
1870,9.85,0.886,0.581,0.369,5.08
1871,10.5,0.971,0.586,0.372,5.12
1872,11.1,1.06,0.59,0.375,5.16
1873,11.7,1.14,0.595,0.378,5.2
1874,12.3,1.23,0.601,0.381,5.25
1875,12.9,1.31,0.606,0.384,5.3
1876,19.4,2.27,0.612,0.387,5.34
1877,20.2,2.39,0.617,0.39,5.39
1878,21.0,2.5,0.622,0.393,5.43
1879,22.3,2.69,0.627,0.396,5.48
1880,23.4,2.85,0.632,0.399,5.52
1881,24.5,3.01,0.635,0.403,5.55
1882,25.0,3.08,0.639,0.406,5.58
1883,26.4,3.29,0.642,0.409,5.61
1884,27.1,3.4,0.646,0.412,5.64
1885,28.3,3.57,0.649,0.415,5.67
1886,29.5,3.75,0.653,0.418,5.7
1887,30.8,3.94,0.656,0.421,5.73
1888,32.7,4.23,0.66,0.424,5.77
1889,34.4,4.48,0.664,0.427,5.8
1890,36.5,4.79,0.667,0.43,5.85
1891,37.7,4.97,0.672,0.433,5.88
1892,38.2,5.04,0.678,0.436,5.91
1893,39.0,5.16,0.683,0.439,5.94
1894,39.8,5.29,0.688,0.442,5.96
1895,41.2,5.49,0.694,0.446,6.0
1896,42.1,5.63,0.699,0.449,6.03
1897,44.3,5.96,0.704,0.452,6.06
1898,45.2,6.1,0.71,0.455,6.1
1899,46.2,6.26,0.715,0.458,6.14
1900,45.9,6.22,0.72,0.461,6.18
1901,47.8,6.5,0.727,0.464,6.23
1902,48.3,6.59,0.733,0.467,6.28
1903,49.1,6.72,0.739,0.47,6.34
1904,49.6,6.79,0.746,0.473,6.39
1905,50.9,6.99,0.752,0.476,6.44
1906,52.9,7.3,0.758,0.479,6.49
1907,55.4,7.68,0.765,0.482,6.55
1908,56.4,7.83,0.771,0.485,6.6
1909,56.0,7.78,0.778,0.489,6.65
1910,55.4,7.7,0.784,0.492,6.71
1911,56.0,7.8,0.784,0.495,6.71
1912,59.3,8.29,0.784,0.498,6.72
1913,61.8,8.67,0.784,0.501,6.74
1914,56.5,7.9,0.784,0.504,6.77
1915,56.3,7.88,0.783,0.507,6.8
1916,59.7,8.38,0.783,0.51,6.83
1917,56.2,7.87,0.783,0.513,6.87
1918,48.2,6.71,0.783,0.516,6.91
1919,45.6,6.34,0.783,0.519,6.95
1920,45.2,6.28,0.783,0.522,6.99
1921,43.4,6.03,0.788,0.525,7.08
1922,38.9,5.37,0.793,0.529,7.19
1923,41.0,5.68,0.799,0.532,7.3
1924,49.7,6.97,0.804,0.535,7.43
1925,46.9,6.55,0.809,0.538,7.55
1926,47.4,6.64,0.815,0.541,7.67
1927,50.7,7.12,0.82,0.544,7.77
1928,53.2,7.49,0.825,0.547,7.87
1929,59.2,8.38,0.83,0.55,7.95
1930,51.8,7.67,0.836,0.553,8.0
1931,48.5,7.2,0.828,0.556,7.91
1932,42.4,6.29,0.82,0.559,7.8
1933,38.9,5.72,0.812,0.562,7.66
1934,38.8,5.73,0.804,0.565,7.52
1935,39.8,5.91,0.796,0.568,7.36
1936,43.0,6.43,0.788,0.572,7.28
1937,51.7,7.8,0.781,0.575,7.2
1938,59.6,8.53,0.773,0.578,7.13
1939,65.1,9.43,0.765,0.581,7.08
1940,73.2,10.6,0.758,0.584,7.06
1941,73.5,10.7,0.792,0.587,7.13
1942,79.1,11.5,0.828,0.59,7.27
1943,87.2,12.7,0.865,0.593,7.47
1944,83.3,12.0,0.903,0.596,7.71
1945,44.9,6.23,0.975,0.599,7.98
1946,55.2,7.67,1.05,0.602,8.24
1947,62.4,8.46,1.13,0.605,8.49
1948,67.5,8.83,1.2,0.608,8.71
1949,71.1,8.92,1.28,0.611,8.88
1950,72.9,8.72,1.36,0.615,8.98
1951,77.8,8.95,1.47,0.618,9.17
1952,83.3,9.16,1.58,0.621,9.34
1953,86.5,9.13,1.69,0.624,9.51
1954,92.5,9.36,1.8,0.627,9.67
1955,96.2,9.39,1.92,0.63,9.82
1956,103.0,9.64,2.04,0.633,9.96
1957,107.0,9.66,2.16,0.636,10.1
1958,117.0,10.0,2.29,0.639,10.2
1959,117.0,9.73,2.41,0.642,10.3
1960,125.0,9.85,2.55,0.645,10.5
1961,136.0,10.1,2.69,0.648,10.8
1962,145.0,10.1,2.84,0.651,11.1
1963,153.0,9.81,2.99,0.655,11.0
1964,160.0,9.66,3.14,0.658,11.1
1965,156.0,9.08,3.3,0.661,11.2
1966,155.0,8.7,3.45,0.664,11.2
1967,154.0,8.3,3.61,0.667,11.3
1968,161.0,7.97,3.76,0.67,11.7
1969,171.0,7.71,3.92,0.673,11.5
1970,194.0,7.6,3.8,0.678,13.2
1971,201.0,7.95,4.1,0.678,13.5
1972,203.0,8.23,4.16,0.67,13.8
1973,203.0,8.57,4.18,0.651,14.0
1974,189.0,8.96,4.2,0.627,14.1
1975,197.0,9.03,4.25,0.658,14.2
