year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,3.37e-08,0.0,7.649999999999999e-09
1751,0.0,0.0,3.43e-08,9.769999999999999e-09,7.780000000000001e-09
1752,0.0,0.0,3.48e-08,1.95e-08,7.910000000000001e-09
1753,0.0,0.0,3.54e-08,2.93e-08,8.04e-09
1754,0.0,0.0,3.6e-08,3.91e-08,8.16e-09
1755,0.0,0.0,3.65e-08,4.88e-08,8.29e-09
1756,0.0,0.0,3.71e-08,5.86e-08,8.42e-09
1757,0.0,0.0,3.77e-08,6.839999999999999e-08,8.549999999999999e-09
1758,0.0,0.0,3.82e-08,7.81e-08,8.67e-09
1759,0.0,0.0,3.8800000000000003e-08,8.79e-08,8.800000000000001e-09
1760,0.0,0.0,3.93e-08,9.770000000000001e-08,8.93e-09
1761,0.0,0.0,4e-08,1.07e-07,9.08e-09
1762,0.0,0.0,4.07e-08,1.17e-07,9.229999999999999e-09
1763,0.0,0.0,4.13e-08,1.2699999999999999e-07,9.38e-09
1764,0.0,0.0,4.2e-08,1.37e-07,9.52e-09
1765,0.0,0.0,4.26e-08,1.46e-07,9.67e-09
1766,0.0,0.0,4.3300000000000004e-08,1.56e-07,9.82e-09
1767,0.0,0.0,4.39e-08,1.66e-07,9.97e-09
1768,0.0,0.0,4.46e-08,1.76e-07,1.01e-08
1769,0.0,0.0,4.52e-08,1.86e-07,1.03e-08
1770,0.0,0.0,4.59e-08,1.9499999999999999e-07,1.04e-08
1771,0.0,0.0,4.6699999999999995e-08,2.05e-07,1.06e-08
1772,0.0,0.0,4.74e-08,2.15e-07,1.08e-08
1773,0.0,0.0,4.82e-08,2.25e-07,1.09e-08
1774,0.0,0.0,4.8999999999999995e-08,2.34e-07,1.11e-08
1775,0.0,0.0,4.97e-08,2.44e-07,1.13e-08
1776,0.0,0.0,5.05e-08,2.5399999999999997e-07,1.15e-08
1777,0.0,0.0,5.13e-08,2.6400000000000003e-07,1.1600000000000001e-08
1778,0.0,0.0,5.1999999999999996e-08,2.73e-07,1.18e-08
1779,0.0,0.0,5.28e-08,2.83e-07,1.2e-08
1780,0.0,0.0,5.35e-08,2.9300000000000004e-07,1.22e-08
1781,0.0,0.0,5.4400000000000004e-08,3.03e-07,1.24e-08
1782,0.0,0.0,5.5300000000000005e-08,3.12e-07,1.26e-08
1783,0.0,0.0,5.62e-08,3.22e-07,1.2799999999999999e-08
1784,0.0,0.0,5.71e-08,3.32e-07,1.2999999999999999e-08
1785,0.0,0.0,5.8e-08,3.42e-07,1.32e-08
1786,0.0,0.0,5.8900000000000005e-08,3.52e-07,1.3400000000000001e-08
1787,0.0,0.0,5.979999999999999e-08,3.61e-07,1.3600000000000001e-08
1788,0.0,0.0,6.07e-08,3.7100000000000003e-07,1.38e-08
1789,0.0,0.0,6.160000000000001e-08,3.81e-07,1.4e-08
1790,0.0,0.0,6.25e-08,3.91e-07,1.42e-08
1791,0.0,0.0,6.349999999999999e-08,4.0000000000000003e-07,1.44e-08
1792,0.0,0.0,6.46e-08,4.1e-07,1.47e-08
1793,0.0,0.0,6.559999999999999e-08,4.2e-07,1.49e-08
1794,0.0,0.0,6.66e-08,4.3e-07,1.51e-08
1795,0.0,0.0,6.77e-08,4.39e-07,1.5400000000000002e-08
1796,0.0,0.0,6.87e-08,4.49e-07,1.56e-08
1797,0.0,0.0,6.98e-08,4.5899999999999997e-07,1.5800000000000003e-08
1798,0.0,0.0,7.08e-08,4.6900000000000003e-07,1.61e-08
1799,0.0,0.0,7.18e-08,4.78e-07,1.63e-08
1800,0.0,0.0,7.29e-08,4.88e-07,1.6500000000000002e-08
1801,0.0,0.0,7.41e-08,4.979999999999999e-07,1.6799999999999998e-08
1802,0.0,0.0,7.53e-08,5.079999999999999e-07,1.7099999999999998e-08
1803,0.0,0.0,7.65e-08,5.180000000000001e-07,1.74e-08
1804,0.0,0.0,7.77e-08,5.27e-07,1.7600000000000002e-08
1805,0.0,0.0,7.899999999999999e-08,5.37e-07,1.79e-08
1806,0.0,0.0,8.02e-08,5.469999999999999e-07,1.8199999999999998e-08
1807,0.0,0.0,8.14e-08,5.57e-07,1.85e-08
1808,0.0,0.0,8.26e-08,5.66e-07,1.8700000000000002e-08
1809,0.0,0.0,8.380000000000001e-08,5.76e-07,1.9e-08
1810,0.0,0.0,8.500000000000001e-08,5.860000000000001e-07,1.93e-08
1811,0.0,0.0,8.64e-08,5.96e-07,1.96e-08
1812,0.0,0.0,8.79e-08,6.049999999999999e-07,1.99e-08
1813,0.0,0.0,8.93e-08,6.149999999999999e-07,2.03e-08
1814,0.0,0.0,9.07e-08,6.25e-07,2.06e-08
1815,0.0,0.0,9.21e-08,6.350000000000001e-07,2.09e-08
1816,0.0,0.0,9.35e-08,6.45e-07,2.12e-08
1817,0.0,0.0,9.5e-08,6.54e-07,2.15e-08
1818,0.0,0.0,9.64e-08,6.64e-07,2.19e-08
1819,0.0,0.0,9.78e-08,6.74e-07,2.22e-08
1820,0.0,0.0,9.92e-08,6.84e-07,2.2500000000000003e-08
1821,0.0,0.0,1.01e-07,6.930000000000001e-07,2.29e-08
1822,0.0,0.0,1.03e-07,7.03e-07,2.33e-08
1823,0.0,0.0,1.0399999999999999e-07,7.13e-07,2.36e-08
1824,0.0,0.0,1.06e-07,7.23e-07,2.4e-08
1825,0.0,0.0,1.07e-07,7.32e-07,2.44e-08
1826,0.0,0.0,1.0900000000000001e-07,7.420000000000001e-07,2.48e-08
1827,0.0,0.0,1.11e-07,7.52e-07,2.51e-08
1828,0.0,0.0,1.12e-07,7.62e-07,2.55e-08
1829,0.0,0.0,1.14e-07,7.71e-07,2.59e-08
1830,0.0,0.0,1.16e-07,7.81e-07,2.6299999999999997e-08
1831,0.0,0.0,1.18e-07,7.91e-07,2.6699999999999998e-08
1832,0.0,0.0,1.2000000000000002e-07,8.009999999999999e-07,2.71e-08
1833,0.0,0.0,1.22e-07,8.109999999999999e-07,2.76e-08
1834,0.0,0.0,1.23e-07,8.2e-07,2.8e-08
1835,0.0,0.0,1.25e-07,8.3e-07,2.85e-08
1836,0.0,0.0,1.2699999999999999e-07,8.4e-07,2.89e-08
1837,0.0,0.0,1.29e-07,8.499999999999999e-07,2.93e-08
1838,0.0,0.0,1.3100000000000002e-07,8.59e-07,2.98e-08
1839,0.0,0.0,1.33e-07,8.69e-07,3.02e-08
1840,0.0,0.0,1.35e-07,8.79e-07,3.0599999999999996e-08
1841,0.0,0.0,1.37e-07,8.890000000000001e-07,3.1099999999999994e-08
1842,0.0,0.0,1.39e-07,8.98e-07,3.15e-08
1843,0.0,0.0,1.41e-07,9.079999999999999e-07,3.19e-08
1844,0.0,0.0,1.43e-07,9.179999999999999e-07,3.24e-08
1845,0.0,0.0,1.45e-07,9.28e-07,3.2799999999999996e-08
1846,0.0,0.0,1.46e-07,9.37e-07,3.32e-08
1847,0.0,0.0,1.48e-07,9.47e-07,3.37e-08
1848,0.0,0.0,1.5e-07,9.57e-07,3.41e-08
1849,0.0,0.0,1.52e-07,9.67e-07,3.45e-08
1850,9.87e-08,0.0,1.5e-07,9.77e-07,2.11e-07
1851,1.01e-07,0.0,1.53e-07,9.86e-07,2.15e-07
1852,1.03e-07,0.0,1.56e-07,9.959999999999999e-07,2.1900000000000002e-07
1853,1.05e-07,0.0,1.5899999999999998e-07,1.01e-06,2.23e-07
1854,1.07e-07,0.0,1.62e-07,1.02e-06,2.2699999999999998e-07
1855,1.08e-07,0.0,1.64e-07,1.03e-06,2.3100000000000002e-07
1856,1.1e-07,0.0,1.66e-07,1.04e-06,2.34e-07
1857,1.11e-07,0.0,1.68e-07,1.04e-06,2.37e-07
1858,1.12e-07,0.0,1.7000000000000001e-07,1.05e-06,2.39e-07
