year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,1.26e-07
1851,1.26e-07
1852,1.26e-07
1853,1.26e-07
1854,1.26e-07
1855,1.26e-07
1856,1.26e-07
1857,1.26e-07
1858,1.26e-07
1859,1.26e-07
1860,1.26e-07
1861,1.26e-07
1862,1.26e-07
1863,1.26e-07
1864,1.26e-07
1865,1.26e-07
1866,1.26e-07
1867,1.26e-07
1868,1.26e-07
1869,1.26e-07
1870,1.26e-07
1871,1.26e-07
1872,1.26e-07
1873,1.26e-07
1874,1.26e-07
1875,1.26e-07
1876,1.26e-07
1877,1.26e-07
1878,1.26e-07
1879,1.26e-07
1880,1.26e-07
1881,1.26e-07
1882,1.26e-07
1883,1.26e-07
1884,1.26e-07
1885,1.26e-07
1886,1.26e-07
1887,1.26e-07
1888,1.26e-07
1889,1.26e-07
1890,1.26e-07
1891,1.47e-07
1892,2.05e-07
1893,2.9300000000000004e-07
1894,4.04e-07
1895,5.31e-07
1896,6.65e-07
1897,8.009999999999999e-07
1898,9.300000000000001e-07
1899,1.04e-06
1900,1.1399999999999999e-06
1901,1.22e-06
1902,1.29e-06
1903,1.35e-06
1904,1.41e-06
1905,1.47e-06
1906,1.53e-06
1907,1.6000000000000001e-06
1908,1.66e-06
1909,1.74e-06
1910,1.82e-06
1911,1.91e-06
1912,2e-06
1913,2.1e-06
1914,2.2e-06
1915,2.31e-06
1916,2.43e-06
1917,2.55e-06
1918,2.68e-06
1919,2.81e-06
1920,2.95e-06
1921,3.52e-06
1922,4.83e-06
1923,6.740000000000001e-06
1924,9.110000000000001e-06
1925,1.18e-05
1926,1.47e-05
1927,1.7500000000000002e-05
1928,2.03e-05
1929,2.2800000000000002e-05
1930,2.49e-05
1931,2.6700000000000002e-05
1932,2.85e-05
1933,3.01e-05
1934,3.18e-05
1935,3.34e-05
1936,3.5000000000000004e-05
1937,3.66e-05
1938,3.82e-05
1939,3.99e-05
1940,4.15e-05
1941,6.62e-05
1942,0.000132
1943,0.000232
1944,0.000359
1945,0.000505
1946,0.000664
1947,0.0008269999999999999
1948,0.000989
1949,0.00114
1950,0.00128
1951,0.0014
1952,0.00152
1953,0.00165
1954,0.0017800000000000001
1955,0.0019
1956,0.0020299999999999997
1957,0.00215
1958,0.00228
1959,0.0024100000000000002
1960,0.0025299999999999997
1961,0.00265
1962,0.00276
1963,0.00285
1964,0.0029500000000000004
1965,0.0030499999999999998
1966,0.00316
1967,0.00329
1968,0.0034300000000000003
1969,0.00361
1970,0.00381
1971,0.004200000000000001
1972,0.004889999999999999
1973,0.0058200000000000005
1974,0.00694
1975,0.008199999999999999
1976,0.009550000000000001
1977,0.0109
1978,0.0123
1979,0.0136
1980,0.0148
1981,0.016
1982,0.0173
1983,0.0188
1984,0.0202
1985,0.0216
1986,0.0229
1987,0.024
1988,0.0249
1989,0.0255
1990,0.0439
1991,0.06420000000000001
1992,0.09390000000000001
1993,0.203
1994,0.268
1995,0.347
1996,0.435
1997,0.451
1998,0.566
1999,0.714
2000,0.803
2001,0.767
2002,0.796
2003,0.823
2004,0.879
2005,0.919
2006,0.955
2007,0.982
2008,0.986
2009,1.02
2010,0.872
2011,0.838
2012,0.898
2013,0.863
2014,0.812
2015,0.638
2016,0.685
2017,0.567
2018,0.63
2019,0.48
2020,0.455
2021,0.387
2022,0.325
2023,0.292
