year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.06670000000000001
1851,0.0676
1852,0.0684
1853,0.0692
1854,0.07
1855,0.0709
1856,0.0717
1857,0.0725
1858,0.0733
1859,0.0742
1860,0.075
1861,0.07579999999999999
1862,0.07659999999999999
1863,0.0775
1864,0.0783
1865,0.07909999999999999
1866,0.08
1867,0.0808
1868,0.08159999999999999
1869,0.0825
1870,0.0833
1871,0.0841
1872,0.085
1873,0.0858
1874,0.0866
1875,0.0874
1876,0.0883
1877,0.0891
1878,0.08990000000000001
1879,0.0907
1880,0.0916
1881,0.09240000000000001
1882,0.0932
1883,0.094
1884,0.09490000000000001
1885,0.09570000000000001
1886,0.0965
1887,0.0974
1888,0.09820000000000001
1889,0.099
1890,0.0999
1891,0.112
1892,0.143
1893,0.19
1894,0.249
1895,0.317
1896,0.388
1897,0.46
1898,0.528
1899,0.59
1900,0.64
1901,0.681
1902,0.719
1903,0.754
1904,0.787
1905,0.82
1906,0.853
1907,0.886
1908,0.922
1909,0.962
1910,1.0
1911,1.05
1912,1.1
1913,1.15
1914,1.21
1915,1.27
1916,1.33
1917,1.4
1918,1.46
1919,1.53
1920,1.61
1921,2.27
1922,3.97
1923,6.45
1924,9.49
1925,12.9
1926,16.3
1927,19.6
1928,22.6
1929,24.9
1930,26.3
1931,27.0
1932,27.1
1933,26.8
1934,26.2
1935,25.5
1936,24.7
1937,24.1
1938,23.8
1939,23.8
1940,24.4
1941,25.5
1942,26.9
1943,28.6
1944,30.5
1945,32.7
1946,35.1
1947,37.5
1948,40.1
1949,42.7
1950,45.3
1951,48.0
1952,50.9
1953,54.0
1954,57.3
1955,60.8
1956,64.4
1957,68.2
1958,72.1
1959,76.1
1960,80.2
1961,84.7
1962,89.6
1963,95.0
1964,101.0
1965,107.0
1966,113.0
1967,119.0
1968,125.0
1969,131.0
1970,137.0
1971,144.0
1972,153.0
1973,165.0
1974,177.0
1975,191.0
1976,205.0
1977,219.0
1978,233.0
1979,246.0
1980,258.0
1981,269.0
1982,280.0
1983,292.0
1984,304.0
1985,315.0
1986,326.0
1987,336.0
1988,346.0
1989,354.0
1990,352.0
1991,357.0
1992,353.0
1993,354.0
1994,368.0
1995,397.0
1996,417.0
1997,443.0
1998,459.0
1999,470.0
2000,496.0
2001,496.0
2002,570.0
2003,600.0
2004,669.0
2005,715.0
2006,744.0
2007,760.0
2008,748.0
2009,770.0
2010,822.0
2011,868.0
2012,922.0
2013,965.0
2014,1030.0
2015,998.0
2016,1050.0
2017,1110.0
2018,1160.0
2019,1210.0
2020,1270.0
2021,1330.0
2022,1390.0
2023,1450.0
