year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.06509999999999999
1851,0.0659
1852,0.06670000000000001
1853,0.0674
1854,0.0682
1855,0.069
1856,0.0697
1857,0.0705
1858,0.0712
1859,0.072
1860,0.0728
1861,0.0735
1862,0.07429999999999999
1863,0.0751
1864,0.07579999999999999
1865,0.07659999999999999
1866,0.07740000000000001
1867,0.0782
1868,0.07890000000000001
1869,0.07970000000000001
1870,0.0805
1871,0.08120000000000001
1872,0.082
1873,0.08270000000000001
1874,0.0835
1875,0.0843
1876,0.085
1877,0.0858
1878,0.0866
1879,0.0873
1880,0.0881
1881,0.0888
1882,0.0896
1883,0.09040000000000001
1884,0.0912
1885,0.09190000000000001
1886,0.0927
1887,0.0935
1888,0.0942
1889,0.095
1890,0.0958
1891,0.106
1892,0.132
1893,0.172
1894,0.221
1895,0.278
1896,0.337
1897,0.398
1898,0.455
1899,0.507
1900,0.549
1901,0.583
1902,0.615
1903,0.645
1904,0.672
1905,0.7
1906,0.727
1907,0.756
1908,0.786
1909,0.819
1910,0.855
1911,0.894
1912,0.936
1913,0.98
1914,1.03
1915,1.08
1916,1.13
1917,1.18
1918,1.24
1919,1.3
1920,1.36
1921,2.0
1922,3.63
1923,6.02
1924,8.96
1925,12.2
1926,15.5
1927,18.7
1928,21.6
1929,23.8
1930,25.2
1931,25.8
1932,25.9
1933,25.6
1934,25.0
1935,24.3
1936,23.6
1937,23.0
1938,22.6
1939,22.7
1940,23.2
1941,24.2
1942,25.6
1943,27.2
1944,29.0
1945,31.0
1946,33.1
1947,35.4
1948,37.8
1949,40.2
1950,42.6
1951,45.1
1952,47.8
1953,50.7
1954,53.8
1955,57.1
1956,60.5
1957,64.0
1958,67.7
1959,71.5
1960,75.3
1961,79.6
1962,84.3
1963,89.4
1964,94.8
1965,101.0
1966,106.0
1967,112.0
1968,118.0
1969,124.0
1970,129.0
1971,136.0
1972,144.0
1973,154.0
1974,165.0
1975,177.0
1976,190.0
1977,202.0
1978,214.0
1979,226.0
1980,236.0
1981,246.0
1982,255.0
1983,265.0
1984,275.0
1985,285.0
1986,294.0
1987,303.0
1988,311.0
1989,318.0
1990,312.0
1991,318.0
1992,315.0
1993,317.0
1994,332.0
1995,361.0
1996,382.0
1997,408.0
1998,425.0
1999,436.0
2000,460.0
2001,460.0
2002,535.0
2003,563.0
2004,627.0
2005,671.0
2006,696.0
2007,711.0
2008,698.0
2009,717.0
2010,768.0
2011,811.0
2012,860.0
2013,900.0
2014,964.0
2015,935.0
2016,979.0
2017,1040.0
2018,1090.0
2019,1140.0
2020,1190.0
2021,1250.0
2022,1300.0
2023,1350.0
