year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,136.0,0.203,76.3,1.54e-15,508.0
1751,146.0,0.203,76.5,0.439,509.0
1752,147.0,0.204,76.7,0.878,511.0
1753,147.0,0.204,76.9,1.32,512.0
1754,147.0,0.204,77.1,1.76,514.0
1755,148.0,0.205,77.3,2.2,515.0
1756,149.0,0.215,77.5,2.63,517.0
1757,149.0,0.216,77.7,3.07,518.0
1758,149.0,0.216,77.9,3.51,519.0
1759,150.0,0.216,78.1,3.95,521.0
1760,150.0,0.217,78.3,4.39,522.0
1761,152.0,0.233,78.5,4.83,524.0
1762,152.0,0.233,78.7,5.27,525.0
1763,152.0,0.233,78.8,5.71,526.0
1764,153.0,0.234,79.0,6.15,528.0
1765,153.0,0.234,79.2,6.59,529.0
1766,155.0,0.255,79.3,7.02,530.0
1767,155.0,0.256,79.5,7.46,532.0
1768,155.0,0.256,79.7,7.9,533.0
1769,156.0,0.256,79.8,8.34,534.0
1770,156.0,0.257,80.0,8.78,536.0
1771,159.0,0.279,80.9,9.22,540.0
1772,160.0,0.279,81.7,9.66,543.0
1773,161.0,0.28,82.6,10.1,547.0
1774,162.0,0.28,83.5,10.5,551.0
1775,163.0,0.281,84.3,11.0,555.0
1776,165.0,0.304,85.2,11.4,559.0
1777,166.0,0.304,86.0,11.9,563.0
1778,168.0,0.305,86.9,12.3,567.0
1779,169.0,0.305,87.8,12.7,571.0
1780,170.0,0.306,88.6,13.2,575.0
1781,172.0,0.335,88.9,13.6,577.0
1782,173.0,0.336,89.3,14.0,579.0
1783,174.0,0.336,89.6,14.5,582.0
1784,174.0,0.337,89.9,14.9,584.0
1785,175.0,0.338,90.2,15.4,586.0
1786,178.0,0.375,90.5,15.8,588.0
1787,179.0,0.376,90.8,16.2,591.0
1788,180.0,0.376,91.2,16.7,593.0
1789,180.0,0.377,91.5,17.1,595.0
1790,181.0,0.377,91.8,17.6,597.0
1791,184.0,0.414,91.7,18.0,598.0
1792,185.0,0.461,91.7,18.4,599.0
1793,185.0,0.462,91.6,18.9,600.0
1794,185.0,0.459,91.6,19.3,601.0
1795,186.0,0.46,91.5,19.8,603.0
1796,187.0,0.485,91.5,20.2,604.0
1797,189.0,0.505,91.4,20.6,605.0
1798,191.0,0.524,91.4,21.1,606.0
1799,193.0,0.551,91.3,21.5,607.0
1800,195.0,0.595,91.3,22.0,608.0
1801,196.0,0.572,91.9,22.4,611.0
1802,205.0,1.51,92.6,22.8,615.0
1803,209.0,0.631,93.2,23.3,619.0
1804,211.0,0.909,93.8,23.7,623.0
1805,213.0,0.705,94.5,24.1,626.0
1806,216.0,0.724,95.1,24.6,630.0
1807,219.0,0.939,95.7,25.0,634.0
1808,218.0,0.722,96.4,25.5,637.0
1809,219.0,0.725,97.0,25.9,641.0
1810,221.0,0.955,97.6,26.3,645.0
1811,224.0,0.982,97.8,26.8,648.0
1812,227.0,1.02,98.0,27.2,651.0
1813,228.0,1.01,98.2,27.7,654.0
1814,230.0,1.03,98.4,28.1,657.0
1815,233.0,1.08,98.6,28.5,660.0
1816,239.0,1.28,98.8,29.0,663.0
1817,242.0,1.4,99.0,29.4,666.0
1818,243.0,1.4,99.2,29.9,669.0
1819,244.0,1.46,99.4,30.3,672.0
1820,246.0,1.53,99.6,30.7,675.0
1821,248.0,1.58,100.0,31.2,680.0
1822,252.0,1.63,101.0,31.6,685.0
1823,257.0,1.71,101.0,32.0,689.0
1824,261.0,1.73,102.0,32.5,694.0
1825,265.0,1.9,103.0,32.9,699.0
