year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0352,0.0,0.0338,3.09e-18,0.217
1751,0.0354,0.0,0.034,0.00029,0.218
1752,0.0356,0.0,0.0342,0.0005809999999999999,0.219
1753,0.0357,0.0,0.0344,0.000871,0.22
1754,0.0359,0.0,0.0345,0.00116,0.221
1755,0.0361,0.0,0.0347,0.00145,0.222
1756,0.0362,0.0,0.0349,0.00174,0.223
1757,0.0364,0.0,0.0351,0.0020299999999999997,0.225
1758,0.0366,0.0,0.0353,0.00232,0.226
1759,0.0367,0.0,0.0354,0.00261,0.227
1760,0.036899999999999995,0.0,0.0356,0.0029,0.228
1761,0.0371,0.0,0.0358,0.0032,0.229
1762,0.037200000000000004,0.0,0.036,0.00349,0.23
1763,0.037399999999999996,0.0,0.0362,0.00378,0.232
1764,0.0376,0.0,0.0364,0.004070000000000001,0.233
1765,0.0378,0.0,0.0365,0.00436,0.234
1766,0.037899999999999996,0.0,0.0367,0.0046500000000000005,0.235
1767,0.0381,0.0,0.036899999999999995,0.004940000000000001,0.236
1768,0.038299999999999994,0.0,0.0371,0.00523,0.238
1769,0.0385,0.0,0.0373,0.00552,0.239
1770,0.0386,0.0,0.0375,0.005809999999999999,0.24
1771,0.038799999999999994,0.0,0.037700000000000004,0.0060999999999999995,0.241
1772,0.039,0.0,0.037899999999999996,0.00639,0.242
1773,0.039200000000000006,0.0,0.0381,0.006679999999999999,0.244
1774,0.0394,0.0,0.038299999999999994,0.00697,0.245
1775,0.0396,0.0,0.0385,0.00726,0.246
1776,0.039700000000000006,0.0,0.038700000000000005,0.007549999999999999,0.248
1777,0.0399,0.0,0.0389,0.00784,0.249
1778,0.040100000000000004,0.0,0.0391,0.00813,0.25
1779,0.040299999999999996,0.0,0.039299999999999995,0.00842,0.251
1780,0.0405,0.0,0.0395,0.00871,0.253
1781,0.040600000000000004,0.0,0.039700000000000006,0.009,0.254
1782,0.040799999999999996,0.0,0.0399,0.00929,0.255
1783,0.041,0.0,0.040100000000000004,0.00959,0.257
1784,0.0412,0.0,0.040299999999999996,0.009880000000000002,0.258
1785,0.0414,0.0,0.0405,0.010199999999999999,0.259
1786,0.0416,0.0,0.0407,0.0105,0.261
1787,0.0418,0.0,0.0409,0.0107,0.262
1788,0.042,0.0,0.041100000000000005,0.011,0.263
1789,0.0421,0.0,0.041299999999999996,0.011300000000000001,0.265
1790,0.0423,0.0,0.0415,0.0116,0.266
1791,0.0425,0.0,0.0418,0.0119,0.267
1792,0.0427,0.0,0.042,0.012199999999999999,0.269
1793,0.0429,0.0,0.0422,0.0125,0.27
1794,0.0431,0.0,0.0424,0.0128,0.271
1795,0.0433,0.0,0.0426,0.013099999999999999,0.273
1796,0.0435,0.0,0.0428,0.0134,0.274
1797,0.0437,0.0,0.0431,0.013699999999999999,0.276
1798,0.0439,0.0,0.0433,0.013900000000000001,0.277
1799,0.0441,0.0,0.0435,0.014199999999999999,0.278
1800,0.0443,0.0,0.0437,0.0145,0.28
1801,0.0445,0.0,0.0439,0.0148,0.281
1802,0.044700000000000004,0.0,0.0442,0.015099999999999999,0.283
1803,0.0448,0.0,0.0444,0.0154,0.284
1804,0.045,0.0,0.0446,0.0157,0.286
1805,0.045200000000000004,0.0,0.044899999999999995,0.016,0.287
1806,0.045399999999999996,0.0,0.0451,0.016300000000000002,0.289
1807,0.0456,0.0,0.0453,0.0166,0.29
1808,0.0458,0.0,0.0456,0.016800000000000002,0.292
1809,0.046,0.0,0.0458,0.0171,0.293
1810,0.046200000000000005,0.0,0.046,0.0174,0.295
1811,0.0464,0.0,0.046299999999999994,0.0177,0.296
1812,0.0466,0.0,0.0465,0.018,0.298
1813,0.046799999999999994,0.0,0.046700000000000005,0.0183,0.299
1814,0.0471,0.0,0.047,0.018600000000000002,0.301
1815,0.047299999999999995,0.0,0.047200000000000006,0.0189,0.302
1816,0.0475,0.0,0.0475,0.0192,0.304
1817,0.047700000000000006,0.0,0.047700000000000006,0.0195,0.305
1818,0.0479,0.0,0.048,0.0198,0.307
1819,0.048100000000000004,0.0,0.0482,0.02,0.309
1820,0.048299999999999996,0.0,0.0484,0.020300000000000002,0.31
1821,0.0494,0.0,0.0497,0.0206,0.318
1822,0.0506,0.0,0.0509,0.0209,0.326
1823,0.0517,0.0,0.0521,0.0212,0.333
1824,0.052899999999999996,0.0,0.0533,0.0215,0.341
1825,0.054,0.0,0.0545,0.0218,0.349
1826,0.055200000000000006,0.0,0.0557,0.0221,0.357
1827,0.056299999999999996,0.0,0.0569,0.0224,0.364
1828,0.0575,0.0,0.0581,0.022699999999999998,0.372
1829,0.0586,0.0,0.0593,0.0229,0.38
1830,0.0598,0.0,0.0605,0.0232,0.388
1831,0.0606,0.0,0.061399999999999996,0.0235,0.393
1832,0.061399999999999996,0.0,0.062299999999999994,0.0238,0.399
1833,0.0621,0.0,0.0631,0.0241,0.404
1834,0.0629,0.0,0.064,0.024399999999999998,0.41
1835,0.0637,0.0,0.0649,0.0247,0.415
1836,0.0645,0.0,0.06570000000000001,0.025,0.421
1837,0.0653,0.0,0.06659999999999999,0.0253,0.426
1838,0.06609999999999999,0.0,0.0674,0.0256,0.432
1839,0.0668,0.0,0.0683,0.0259,0.437
1840,0.0676,0.0,0.0692,0.0261,0.443
1841,0.0685,0.0,0.0702,0.0264,0.449
1842,0.0694,0.0,0.0712,0.026699999999999998,0.456
1843,0.0703,0.0,0.0721,0.027,0.462
1844,0.0712,0.0,0.0731,0.0273,0.468
1845,0.0721,0.0,0.0741,0.027600000000000003,0.474
1846,0.0729,0.0,0.0751,0.027899999999999998,0.481
1847,0.07379999999999999,0.0,0.0761,0.0282,0.487
1848,0.0747,0.0,0.07709999999999999,0.0285,0.493
1849,0.0756,0.0,0.07809999999999999,0.0288,0.5
1850,0.0792,0.0,0.07890000000000001,0.029,0.505
1851,0.0823,0.0,0.0799,0.0293,0.512
1852,0.0855,0.0,0.0809,0.0296,0.518
1853,0.0888,0.0,0.0819,0.0299,0.524
1854,0.092,0.0,0.0829,0.030199999999999998,0.531
1855,0.0952,0.0,0.0838,0.0305,0.537
1856,0.106,0.0,0.0848,0.0308,0.543
1857,0.103,0.0,0.0858,0.031100000000000003,0.549
1858,0.1,0.0,0.0867,0.0314,0.555
1859,0.1,0.0,0.0876,0.0317,0.561
1860,0.1,0.0,0.0886,0.032,0.567
1861,0.0998,0.0,0.0895,0.0322,0.573
1862,0.0996,0.0,0.09040000000000001,0.0325,0.579
1863,0.0994,0.0,0.09129999999999999,0.032799999999999996,0.585
1864,0.0992,0.0,0.0922,0.033100000000000004,0.591
1865,0.099,0.0,0.09309999999999999,0.0334,0.596
1866,0.0988,0.0,0.094,0.0337,0.602
1867,0.0986,0.0,0.09490000000000001,0.034,0.608
1868,0.0984,0.0,0.0958,0.0343,0.614
1869,0.09820000000000001,0.0,0.09670000000000001,0.0346,0.62
1870,0.098,0.0,0.09759999999999999,0.0349,0.626
1871,0.0952,0.0,0.099,0.0351,0.635
1872,0.0925,0.0,0.101,0.0354,0.644
1873,0.09,0.0,0.102,0.0357,0.654
1874,0.0876,0.0,0.104,0.036,0.665
1875,0.0853,0.0,0.106,0.0363,0.675
1876,0.088,0.0,0.107,0.0366,0.686
1877,0.09079999999999999,0.0,0.109,0.036899999999999995,0.696
1878,0.09359999999999999,0.0,0.111,0.037200000000000004,0.706
1879,0.09459999999999999,0.0,0.112,0.0375,0.716
1880,0.0955,0.0,0.114,0.0378,0.725
1881,0.0963,0.0,0.115,0.0381,0.733
1882,0.09720000000000001,0.0,0.116,0.038299999999999994,0.74
1883,0.09809999999999999,0.0,0.117,0.0386,0.747
1884,0.0989,0.0,0.118,0.0389,0.754
1885,0.0998,0.0,0.119,0.039200000000000006,0.762
1886,0.101,0.0,0.121,0.0395,0.769
1887,0.103,0.0,0.122,0.039799999999999995,0.776
1888,0.104,0.0,0.123,0.040100000000000004,0.783
1889,0.106,0.0,0.124,0.0404,0.79
1890,0.108,0.0,0.125,0.0407,0.817
1891,0.11,0.0,0.126,0.041,0.825
1892,0.112,0.0,0.128,0.0412,0.835
1893,0.113,0.0,0.129,0.0415,0.845
1894,0.115,0.0,0.13,0.0418,0.856
1895,0.117,0.0,0.131,0.0421,0.867
1896,0.119,0.0,0.132,0.0424,0.88
1897,0.121,0.0,0.134,0.0427,0.892
1898,0.127,0.0,0.135,0.043,0.905
1899,0.134,0.0,0.136,0.0433,0.919
1900,0.141,0.0,0.138,0.0436,0.932
1901,0.143,0.0,0.14,0.0439,0.954
1902,0.145,0.0,0.142,0.0442,0.98
1903,0.148,0.0,0.144,0.0444,1.01
