year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.663,0.0,0.187,5.3999999999999996e-17,5.5
1751,0.663,0.0,0.188,0.0040999999999999995,5.51
1752,0.664,0.0,0.188,0.008199999999999999,5.53
1753,0.664,0.0,0.189,0.0123,5.54
1754,0.665,0.0,0.189,0.016399999999999998,5.56
1755,0.665,0.0,0.19,0.0205,5.57
1756,0.666,0.0,0.19,0.0246,5.59
1757,0.666,0.0,0.191,0.0287,5.6
1758,0.667,0.0,0.191,0.032799999999999996,5.62
1759,0.667,0.0,0.192,0.036899999999999995,5.63
1760,0.667,0.0,0.192,0.041,5.65
1761,0.668,0.0,0.193,0.0451,5.67
1762,0.668,0.0,0.194,0.0492,5.68
1763,0.669,0.0,0.194,0.0533,5.7
1764,0.669,0.0,0.195,0.0574,5.71
1765,0.67,0.0,0.195,0.0615,5.73
1766,0.67,0.0,0.196,0.06559999999999999,5.74
1767,0.67,0.0,0.196,0.0697,5.76
1768,0.671,0.0,0.197,0.07379999999999999,5.78
1769,0.671,0.0,0.197,0.07790000000000001,5.79
1770,0.671,0.0,0.198,0.082,5.81
1771,0.672,0.0,0.198,0.0861,5.82
1772,0.672,0.0,0.199,0.09029999999999999,5.84
1773,0.673,0.0,0.199,0.09440000000000001,5.85
1774,0.673,0.0,0.2,0.0985,5.87
1775,0.673,0.0,0.201,0.103,5.89
1776,0.674,0.0,0.201,0.107,5.9
1777,0.674,0.0,0.202,0.111,5.92
1778,0.675,0.0,0.202,0.115,5.94
1779,0.675,0.0,0.203,0.119,5.95
1780,0.675,0.0,0.203,0.123,5.97
1781,0.676,0.0,0.204,0.127,5.98
1782,0.676,0.0,0.204,0.131,6.0
1783,0.676,0.0,0.205,0.135,6.02
1784,0.677,0.0,0.206,0.139,6.03
1785,0.677,0.0,0.206,0.144,6.05
1786,0.678,0.0,0.207,0.148,6.07
1787,0.678,0.0,0.207,0.152,6.08
1788,0.678,0.0,0.208,0.156,6.1
1789,0.679,0.0,0.208,0.16,6.12
1790,0.679,0.0,0.209,0.164,6.13
1791,0.679,0.0,0.21,0.168,6.15
1792,0.68,0.0,0.21,0.172,6.17
1793,0.68,0.0,0.211,0.176,6.18
1794,0.68,0.0,0.211,0.181,6.2
1795,0.681,0.0,0.212,0.185,6.22
1796,0.681,0.0,0.212,0.189,6.24
1797,0.681,0.0,0.213,0.193,6.25
1798,0.681,0.0,0.214,0.197,6.27
1799,0.682,0.0,0.214,0.201,6.29
1800,0.682,0.0,0.215,0.205,6.3
1801,0.682,0.0,0.215,0.209,6.32
1802,0.683,0.0,0.216,0.213,6.34
1803,0.683,0.0,0.217,0.217,6.36
1804,0.683,0.0,0.217,0.222,6.37
1805,0.684,0.0,0.218,0.226,6.39
1806,0.684,0.0,0.218,0.23,6.41
1807,0.684,0.0,0.219,0.234,6.43
1808,0.684,0.0,0.22,0.238,6.44
1809,0.685,0.0,0.22,0.242,6.46
1810,0.685,0.0,0.221,0.246,6.48
1811,0.685,0.0,0.221,0.25,6.5
1812,0.685,0.0,0.222,0.254,6.52
1813,0.686,0.0,0.223,0.258,6.53
1814,0.686,0.0,0.223,0.263,6.55
1815,0.686,0.0,0.224,0.267,6.57
1816,0.687,0.0,0.224,0.271,6.59
1817,0.687,0.0,0.225,0.275,6.61
1818,0.687,0.0,0.226,0.279,6.62
1819,0.687,0.0,0.226,0.283,6.64
1820,0.687,0.0,0.227,0.287,6.66
1821,0.69,0.0,0.228,0.291,6.7
1822,0.693,0.0,0.23,0.295,6.75
1823,0.697,0.0,0.232,0.299,6.8
1824,0.699,0.0,0.233,0.304,6.84
1825,0.702,0.0,0.235,0.308,6.89
1826,0.705,0.0,0.236,0.312,6.93
1827,0.708,0.0,0.238,0.316,6.98
1828,0.711,0.0,0.239,0.32,7.02
1829,0.714,0.0,0.241,0.324,7.07
1830,0.722,0.00048499999999999997,0.242,0.328,7.12
1831,0.72,0.00048499999999999997,0.242,0.332,7.12
1832,0.718,0.00048499999999999997,0.242,0.336,7.11
1833,0.716,0.00048499999999999997,0.242,0.34,7.11
1834,0.714,0.00048499999999999997,0.242,0.345,7.11
1835,0.712,0.00048499999999999997,0.242,0.349,7.11
1836,0.735,0.0029100000000000003,0.242,0.353,7.11
1837,0.753,0.004849999999999999,0.242,0.357,7.11
