year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0027
1851,0.0027
1852,0.0027
1853,0.0027
1854,0.0027
1855,0.0027
1856,0.0027
1857,0.0027
1858,0.0027
1859,0.0027
1860,0.0027
1861,0.0027
1862,0.0027
1863,0.0027
1864,0.0027
1865,0.0027
1866,0.0027
1867,0.0027
1868,0.0027
1869,0.0027
1870,0.0027
1871,0.0027
1872,0.0027
1873,0.0027
1874,0.0027
1875,0.0027
1876,0.0027
1877,0.0027
1878,0.0027
1879,0.0027
1880,0.0027
1881,0.0027
1882,0.0027
1883,0.0027
1884,0.0027
1885,0.0027
1886,0.0027
1887,0.0027
1888,0.0027
1889,0.0027
1890,0.0027
1891,0.00316
1892,0.00443
1893,0.00635
1894,0.00877
1895,0.0115
1896,0.0145
1897,0.0174
1898,0.0202
1899,0.022699999999999998
1900,0.0248
1901,0.0265
1902,0.028
1903,0.0294
1904,0.030699999999999998
1905,0.032100000000000004
1906,0.0334
1907,0.0348
1908,0.0362
1909,0.0378
1910,0.0396
1911,0.0415
1912,0.0435
1913,0.045700000000000005
1914,0.048
1915,0.0504
1916,0.052899999999999996
1917,0.0555
1918,0.0583
1919,0.061200000000000004
1920,0.0643
1921,0.07640000000000001
1922,0.105
1923,0.146
1924,0.197
1925,0.254
1926,0.316
1927,0.378
1928,0.437
1929,0.491
1930,0.536
1931,0.575
1932,0.613
1933,0.649
1934,0.685
1935,0.72
1936,0.754
1937,0.789
1938,0.823
1939,0.858
1940,0.894
1941,0.93
1942,0.968
1943,1.01
1944,1.05
1945,1.09
1946,1.13
1947,1.18
1948,1.23
1949,1.29
1950,1.35
1951,1.41
1952,1.48
1953,1.55
1954,1.64
1955,1.72
1956,1.81
1957,1.9
1958,2.0
1959,2.1
1960,2.2
1961,2.3
1962,2.43
1963,2.57
1964,2.71
1965,2.85
1966,2.99
1967,3.13
1968,3.25
1969,3.36
1970,3.45
1971,3.52
1972,3.6
1973,3.67
1974,3.75
1975,3.82
1976,3.88
1977,3.94
1978,3.99
1979,4.03
1980,4.07
1981,4.09
1982,4.09
1983,4.09
1984,4.08
1985,4.06
1986,4.04
1987,4.03
1988,4.02
1989,4.02
1990,3.93
1991,3.93
1992,3.97
1993,3.94
1994,3.74
1995,4.16
1996,4.16
1997,4.14
1998,3.99
1999,3.77
2000,3.34
2001,2.7
2002,3.37
2003,2.46
2004,3.34
2005,2.57
2006,2.25
2007,2.78
2008,1.68
2009,1.13
2010,1.35
2011,1.08
2012,1.01
2013,0.552
2014,0.592
2015,0.754
2016,0.867
2017,0.867
2018,0.843
2019,0.843
2020,0.835
2021,0.827
2022,0.909
