year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.175,0.0,0.219,4.84e-18,2.23
1751,0.175,0.0,0.219,0.000769,2.23
1752,0.176,0.0,0.22,0.0015400000000000001,2.24
1753,0.176,0.0,0.22,0.00231,2.24
1754,0.176,0.0,0.22,0.0030800000000000003,2.25
1755,0.177,0.0,0.221,0.00385,2.25
1756,0.177,0.0,0.221,0.00462,2.26
1757,0.177,0.0,0.222,0.00538,2.26
1758,0.178,0.0,0.222,0.00615,2.26
1759,0.178,0.0,0.223,0.00692,2.27
1760,0.178,0.0,0.223,0.007690000000000001,2.27
1761,0.179,0.0,0.223,0.00846,2.28
1762,0.179,0.0,0.224,0.00923,2.28
1763,0.179,0.0,0.224,0.01,2.29
1764,0.18,0.0,0.225,0.0108,2.29
1765,0.18,0.0,0.225,0.0115,2.3
1766,0.18,0.0,0.226,0.0123,2.3
1767,0.181,0.0,0.226,0.013099999999999999,2.3
1768,0.181,0.0,0.226,0.013800000000000002,2.31
1769,0.181,0.0,0.227,0.0146,2.31
1770,0.182,0.0,0.227,0.0154,2.32
1771,0.182,0.0,0.228,0.0162,2.32
1772,0.182,0.0,0.228,0.0169,2.33
1773,0.183,0.0,0.229,0.0177,2.33
1774,0.183,0.0,0.229,0.0185,2.33
1775,0.183,0.0,0.229,0.0192,2.34
1776,0.184,0.0,0.23,0.02,2.34
1777,0.184,0.0,0.23,0.0208,2.35
1778,0.184,0.0,0.231,0.0215,2.35
1779,0.185,0.0,0.231,0.0223,2.36
1780,0.185,0.0,0.232,0.023100000000000002,2.36
1781,0.185,0.0,0.232,0.0238,2.37
1782,0.186,0.0,0.232,0.0246,2.37
1783,0.186,0.0,0.233,0.0254,2.37
1784,0.186,0.0,0.233,0.026199999999999998,2.38
1785,0.187,0.0,0.234,0.0269,2.38
1786,0.187,0.0,0.234,0.0277,2.39
1787,0.187,0.0,0.235,0.0285,2.39
1788,0.188,0.0,0.235,0.0292,2.4
1789,0.188,0.0,0.236,0.03,2.4
1790,0.188,0.0,0.236,0.0308,2.4
1791,0.189,0.0,0.236,0.0315,2.41
1792,0.189,0.0,0.237,0.032299999999999995,2.41
1793,0.189,0.0,0.237,0.033100000000000004,2.42
1794,0.19,0.0,0.238,0.0338,2.42
1795,0.19,0.0,0.238,0.0346,2.43
1796,0.19,0.0,0.239,0.0354,2.43
1797,0.191,0.0,0.239,0.0362,2.44
1798,0.191,0.0,0.239,0.036899999999999995,2.44
1799,0.191,0.0,0.24,0.037700000000000004,2.44
1800,0.192,0.0,0.24,0.0385,2.45
1801,0.192,0.0,0.241,0.039200000000000006,2.45
1802,0.192,0.0,0.241,0.04,2.46
1803,0.193,0.0,0.242,0.040799999999999996,2.46
1804,0.193,0.0,0.242,0.0415,2.47
1805,0.193,0.0,0.242,0.0423,2.47
1806,0.193,0.0,0.243,0.0431,2.47
1807,0.194,0.0,0.243,0.0438,2.48
1808,0.194,0.0,0.244,0.0446,2.48
1809,0.194,0.0,0.244,0.045399999999999996,2.49
1810,0.195,0.0,0.245,0.046200000000000005,2.49
1811,0.195,0.0,0.245,0.0469,2.5
1812,0.195,0.0,0.245,0.047700000000000006,2.5
1813,0.196,0.0,0.246,0.0485,2.51
1814,0.196,0.0,0.246,0.0492,2.51
1815,0.196,0.0,0.247,0.05,2.51
1816,0.197,0.0,0.247,0.0508,2.52
1817,0.197,0.0,0.248,0.0515,2.52
1818,0.197,0.0,0.248,0.0523,2.53
1819,0.198,0.0,0.248,0.0531,2.53
1820,0.198,0.0,0.249,0.0538,2.54
1821,0.206,0.0,0.259,0.0546,2.64
1822,0.215,0.0,0.27,0.0554,2.75
1823,0.223,0.0,0.28,0.0562,2.86
1824,0.231,0.0,0.291,0.0569,2.97
1825,0.24,0.0,0.301,0.0577,3.07
1826,0.248,0.0,0.312,0.0585,3.18
1827,0.256,0.0,0.322,0.0592,3.29
1828,0.265,0.0,0.333,0.06,3.39
1829,0.273,0.0,0.343,0.0608,3.5
1830,0.281,0.0,0.354,0.0615,3.61
1831,0.29,0.0,0.365,0.062299999999999994,3.72
1832,0.298,0.0,0.375,0.0631,3.82
1833,0.306,0.0,0.386,0.0638,3.93
1834,0.314,0.0,0.396,0.06459999999999999,4.04
1835,0.323,0.0,0.407,0.0654,4.14
1836,0.331,0.0,0.417,0.06620000000000001,4.25
1837,0.339,0.0,0.428,0.0669,4.36
1838,0.348,0.0,0.438,0.0677,4.47
1839,0.356,0.0,0.449,0.0685,4.57
1840,0.364,0.0,0.459,0.0692,4.68
1841,0.372,0.0,0.47,0.07,4.79
1842,0.381,0.0,0.48,0.0708,4.89
1843,0.389,0.0,0.491,0.0715,5.0
1844,0.397,0.0,0.501,0.0723,5.11
1845,0.406,0.0,0.512,0.0731,5.22
1846,0.414,0.0,0.522,0.07379999999999999,5.32
1847,0.422,0.0,0.533,0.0746,5.43
1848,0.43,0.0,0.543,0.07540000000000001,5.54
1849,0.439,0.0,0.554,0.0761,5.64
1850,0.466,0.0,0.564,0.07690000000000001,6.83
1851,0.469,0.0,0.574,0.0777,6.95
1852,0.472,0.0,0.585,0.0785,7.08
1853,0.475,0.0,0.595,0.0792,7.21
1854,0.478,0.0,0.606,0.08,7.34
1855,0.481,0.0,0.616,0.0808,7.46
1856,0.484,0.0,0.627,0.0815,7.59
1857,0.486,0.0,0.637,0.0823,7.71
1858,0.489,0.0,0.647,0.0831,7.83
1859,0.492,0.0,0.658,0.0838,7.94
1860,0.494,0.0,0.668,0.0846,8.05
1861,0.497,0.0,0.678,0.0854,8.16
1862,0.499,0.0,0.688,0.0861,8.27
1863,0.503,0.0,0.699,0.0869,8.38
1864,0.505,0.0,0.709,0.0877,8.49
1865,0.508,0.0,0.719,0.0885,8.59
1866,0.51,0.0,0.729,0.0892,8.7
1867,0.513,0.0,0.739,0.09,8.81
1868,0.516,0.0,0.749,0.09079999999999999,8.92
1869,0.519,0.0,0.76,0.0915,9.03
1870,0.522,0.0,0.77,0.0923,9.14
1871,0.526,0.0,0.78,0.09309999999999999,9.26
1872,0.53,0.0,0.791,0.0938,9.42
1873,0.534,0.0,0.803,0.09459999999999999,9.61
1874,0.539,0.0,0.815,0.09540000000000001,9.81
1875,0.545,0.0,0.827,0.09609999999999999,10.0
1876,0.55,0.0,0.839,0.0969,10.2
1877,0.555,0.0,0.85,0.09770000000000001,10.4
1878,0.56,0.0,0.862,0.0985,10.6
1879,0.565,0.0,0.873,0.0992,10.8
1880,0.569,0.0,0.884,0.1,11.0
1881,0.573,0.0,0.895,0.101,11.1
1882,0.576,0.0,0.905,0.102,11.2
1883,0.58,0.0,0.916,0.102,11.3
1884,0.584,0.0,0.926,0.103,11.5
1885,0.588,0.0,0.937,0.104,11.6
1886,0.592,0.0,0.947,0.105,11.7
1887,0.596,0.0,0.957,0.105,11.8
1888,0.599,0.0,0.968,0.106,11.9
1889,0.603,0.0,0.978,0.107,12.1
1890,0.612,0.0,0.989,0.108,12.3
1891,0.624,0.0,0.999,0.108,12.4
1892,0.636,0.0,1.01,0.109,12.5
1893,0.649,0.0,1.02,0.11,12.7
1894,0.662,0.0,1.03,0.111,12.8
1895,0.675,0.0,1.04,0.112,12.9
1896,0.688,0.0,1.05,0.112,13.1
1897,0.702,0.0,1.06,0.113,13.2
1898,0.716,0.0,1.07,0.114,13.3
1899,0.73,0.0,1.08,0.115,13.5
1900,0.744,0.0,1.09,0.115,13.6
1901,0.76,0.0,1.1,0.116,13.7
1902,0.776,0.0,1.11,0.117,13.9
1903,0.793,0.0,1.12,0.118,14.0
1904,0.81,0.0,1.14,0.118,14.1
1905,0.827,0.0,1.15,0.119,14.3
1906,0.845,0.0,1.16,0.12,14.4
1907,0.863,0.0,1.17,0.121,14.5
1908,0.881,0.0,1.18,0.122,14.7
1909,0.898,0.0,1.19,0.122,14.8
1910,0.916,0.0,1.2,0.123,15.0
1911,0.933,0.0,1.21,0.124,15.2
1912,0.95,0.0,1.22,0.125,15.4
1913,0.968,0.0,1.23,0.125,15.7
1914,0.983,0.0,1.24,0.126,15.9
1915,0.998,0.0,1.25,0.127,16.2
1916,1.01,0.0,1.26,0.128,16.5
1917,1.03,0.0,1.27,0.128,16.9
1918,1.05,0.0,1.28,0.129,17.2
1919,1.06,0.0,1.29,0.13,17.5
1920,1.07,0.0,1.3,0.131,17.8
1921,1.09,0.0,1.31,0.132,18.1
1922,1.1,0.0,1.32,0.132,18.4
1923,1.12,0.0,1.33,0.133,18.7
1924,1.13,0.0,1.35,0.134,19.0
1925,1.15,0.0,1.36,0.135,19.4
1926,1.16,0.0,1.37,0.135,19.7
1927,1.18,0.0,1.38,0.136,20.0
1928,1.2,0.0,1.39,0.137,20.2
1929,1.22,0.0,1.4,0.138,20.4
1930,1.23,0.0,1.41,0.138,20.5
1931,1.25,4.27e-07,1.42,0.139,20.6
1932,1.27,1.62e-06,1.43,0.14,20.7
1933,1.29,3.44e-06,1.44,0.141,20.7
1934,1.31,5.75e-06,1.45,0.142,20.6
1935,1.33,8.42e-06,1.46,0.142,20.6
1936,1.37,0.00183,1.47,0.143,20.7
1937,1.4,0.00365,1.48,0.144,20.8
1938,1.44,0.00547,1.49,0.145,20.9
1939,1.47,0.00729,1.5,0.145,21.1
1940,1.51,0.00911,1.51,0.146,21.3
1941,1.55,0.0109,1.52,0.147,22.0
1942,1.58,0.0109,1.54,0.148,23.8
1943,1.62,0.0109,1.56,0.148,26.3
1944,1.66,0.010199999999999999,1.58,0.149,29.3
1945,1.7,0.00838,1.6,0.15,32.5
1946,1.74,0.00623,1.62,0.151,35.7
1947,1.81,0.00443,1.65,0.152,38.7
1948,1.88,0.00368,1.67,0.152,41.3
1949,1.96,0.00368,1.69,0.153,43.1
1950,2.13,0.004940000000000001,1.71,0.154,44.0
1951,2.16,0.00471,1.75,0.155,44.2
1952,2.27,0.005809999999999999,1.79,0.155,44.0
1953,2.42,0.00838,1.82,0.156,43.5
1954,2.57,0.0211,1.87,0.157,42.7
1955,2.6,0.020300000000000002,1.91,0.158,41.8
1956,2.7,0.0212,1.95,0.158,41.0
1957,2.86,0.0219,1.99,0.159,40.3
1958,2.94,0.025,2.04,0.16,39.8
1959,3.04,0.0232,2.09,0.161,39.8
1960,3.14,0.027399999999999997,2.14,0.162,40.3
1961,3.2,0.027600000000000003,2.2,0.162,42.3
1962,3.33,0.037700000000000004,2.27,0.163,42.6
1963,3.44,0.036,2.33,0.164,42.9
1964,3.5,0.040600000000000004,2.4,0.165,43.2
1965,3.8,0.0765,2.47,0.165,43.5
1966,4.05,0.0906,2.55,0.166,43.9
1967,4.37,0.128,2.62,0.167,44.1
1968,5.11,0.18,2.7,0.168,44.4
1969,5.16,0.176,2.78,0.168,44.5
1970,5.3,0.163,2.75,0.274,45.0
1971,5.47,0.179,2.81,0.274,45.4
1972,5.14,0.169,2.85,0.281,45.0
1973,5.61,0.139,2.89,0.289,46.0
1974,5.7,0.137,2.93,0.296,44.9
1975,5.24,0.151,2.96,0.301,43.9
1976,5.3,0.152,2.97,0.308,43.5
1977,5.29,0.118,3.0,0.313,44.6
1978,5.67,0.125,3.01,0.319,44.0
1979,6.2,0.132,3.07,0.324,44.6
1980,6.18,0.142,3.12,0.325,45.6
1981,6.32,0.152,3.13,0.333,44.8
1982,6.09,0.161,3.18,0.645,45.9
1983,6.56,0.168,3.26,0.613,47.0
1984,6.46,0.202,3.26,0.638,45.5
1985,6.73,0.21,3.32,0.638,47.1
1986,7.26,0.223,3.41,0.642,49.7
1987,7.76,0.263,3.45,0.653,47.0
1988,8.02,0.284,3.54,0.644,46.9
1989,8.39,0.273,3.6,0.687,49.5
1990,8.8,0.261,3.69,0.67,51.3
1991,9.06,0.245,3.8,0.764,51.4
1992,9.66,0.253,3.91,0.796,52.7
1993,9.9,0.277,4.04,0.726,46.6
1994,10.5,0.327,4.19,0.817,47.1
1995,11.0,0.391,4.35,0.839,47.3
1996,11.5,0.429,4.51,0.918,50.0
1997,12.0,0.457,4.64,0.843,51.4
1998,12.5,0.46,4.76,0.898,56.4
1999,12.7,0.418,4.92,0.962,55.8
2000,13.3,0.519,5.07,0.919,52.5
2001,14.4,0.531,5.24,1.01,54.8
2002,14.9,0.534,5.41,1.04,62.8
2003,15.6,0.629,5.57,0.981,60.2
2004,16.1,0.707,5.78,1.02,61.8
2005,16.1,0.813,5.99,1.1,64.9
2006,16.8,0.873,6.2,1.03,68.8
2007,17.7,0.833,6.42,1.15,77.0
2008,18.6,0.914,6.63,1.12,79.9
2009,19.1,0.864,6.96,1.18,83.6
2010,19.4,0.85,7.27,1.16,87.6
2011,20.7,1.02,7.59,1.2,85.9
2012,21.2,1.58,7.85,1.27,89.9
