year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0177
1851,0.0177
1852,0.0177
1853,0.0177
1854,0.0177
1855,0.0177
1856,0.0177
1857,0.0177
1858,0.0177
1859,0.0177
1860,0.0177
1861,0.0177
1862,0.0177
1863,0.0177
1864,0.0177
1865,0.0177
1866,0.0177
1867,0.0177
1868,0.0177
1869,0.0177
1870,0.0177
1871,0.0177
1872,0.0177
1873,0.0177
1874,0.0177
1875,0.0177
1876,0.0177
1877,0.0177
1878,0.0177
1879,0.0177
1880,0.0177
1881,0.0177
1882,0.0177
1883,0.0177
1884,0.0177
1885,0.0177
1886,0.0177
1887,0.0177
1888,0.0177
1889,0.0177
1890,0.0177
1891,0.0207
1892,0.0291
1893,0.0417
1894,0.0575
1895,0.0756
1896,0.0948
1897,0.114
1898,0.133
1899,0.149
1900,0.162
1901,0.173
1902,0.183
1903,0.193
1904,0.202
1905,0.21
1906,0.219
1907,0.228
1908,0.238
1909,0.248
1910,0.259
1911,0.272
1912,0.285
1913,0.299
1914,0.314
1915,0.33
1916,0.347
1917,0.364
1918,0.383
1919,0.402
1920,0.421
1921,0.501
1922,0.686
1923,0.956
1924,1.29
1925,1.67
1926,2.07
1927,2.48
1928,2.87
1929,3.22
1930,3.52
1931,3.77
1932,4.02
1933,4.26
1934,4.49
1935,4.72
1936,4.95
1937,5.17
1938,5.4
1939,5.63
1940,5.86
1941,6.1
1942,6.35
1943,6.6
1944,6.87
1945,7.14
1946,7.44
1947,7.75
1948,8.08
1949,8.44
1950,8.82
1951,9.24
1952,9.7
1953,10.2
1954,10.7
1955,11.3
1956,11.9
1957,12.5
1958,13.1
1959,13.7
1960,14.4
1961,15.1
1962,15.9
1963,16.8
1964,17.8
1965,18.7
1966,19.6
1967,20.5
1968,21.3
1969,22.0
1970,22.6
1971,23.1
1972,23.6
1973,24.1
1974,24.6
1975,25.0
1976,25.4
1977,25.8
1978,26.2
1979,26.4
1980,26.7
1981,26.8
1982,26.8
1983,26.8
1984,26.7
1985,26.6
1986,26.5
1987,26.4
1988,26.3
1989,26.2
1990,23.8
1991,22.7
1992,19.2
1993,19.2
1994,18.8
1995,18.4
1996,18.9
1997,19.4
1998,18.0
1999,17.6
2000,18.5
2001,12.8
2002,14.9
2003,11.9
2004,15.3
2005,12.2
2006,10.8
2007,12.7
2008,8.19
2009,4.98
2010,4.93
2011,4.65
2012,4.2
2013,3.35
2014,3.81
2015,3.56
2016,4.08
2017,3.93
2018,3.82
2019,3.63
2020,3.29
2021,3.25
2022,3.21
2023,3.08
2024,2.94
