year,IPC1,IPC2,IPC4,IPCMAG
1750,0.000415,0.00102,0.0,0.0
1751,0.000423,0.00103,0.0,0.0
1752,0.000432,0.0010400000000000001,0.0,0.0
1753,0.00044,0.0010500000000000002,0.0,0.0
1754,0.000448,0.0010500000000000002,0.0,0.0
1755,0.000457,0.00106,0.0,0.0
1756,0.000465,0.00107,0.0,0.0
1757,0.00047299999999999995,0.00108,0.0,0.0
1758,0.000481,0.00109,0.0,0.0
1759,0.00049,0.0011,0.0,0.0
1760,0.000498,0.0011,0.0,0.0
1761,0.000508,0.00111,0.0,0.0
1762,0.000518,0.0011200000000000001,0.0,0.0
1763,0.000528,0.00113,0.0,0.0
1764,0.0005380000000000001,0.00114,0.0,0.0
1765,0.0005480000000000001,0.00115,0.0,0.0
1766,0.000558,0.00116,0.0,0.0
1767,0.0005679999999999999,0.00117,0.0,0.0
1768,0.000578,0.0011799999999999998,0.0,0.0
1769,0.000588,0.0011899999999999999,0.0,0.0
1770,0.000598,0.0011899999999999999,0.0,0.0
1771,0.00061,0.0012,0.0,0.0
1772,0.000622,0.00121,0.0,0.0
1773,0.000634,0.00122,0.0,0.0
1774,0.0006450000000000001,0.00123,0.0,0.0
1775,0.000657,0.00124,0.0,0.0
1776,0.053,0.00125,0.0,0.0
1777,0.107,0.00121,0.0,0.0
1778,0.163,0.00117,0.0,0.0
1779,0.221,0.00113,0.0,0.0
1780,0.281,0.00109,0.0,0.0
1781,0.347,0.0010400000000000001,0.0,0.0
1782,0.416,0.000998,0.0,0.0
1783,0.488,0.000953,0.0,0.0
1784,0.563,0.0009080000000000001,0.0,0.0
1785,0.641,0.000861,0.0,0.0
1786,0.723,0.0008139999999999999,0.0,0.0
1787,0.808,0.0007650000000000001,0.0,0.0
1788,0.896,0.000716,0.0,0.0
1789,0.987,0.000666,0.0,0.0
1790,1.08,0.000615,0.0,0.0
1791,1.18,0.0005639999999999999,0.0,0.0
1792,1.28,0.000512,0.0,0.0
1793,1.38,0.000458,0.0,0.0
1794,1.49,0.000404,0.0,0.0
1795,1.6,0.00034899999999999997,0.0,0.0
1796,1.71,0.00029299999999999997,0.0,0.0
1797,1.83,0.000237,0.0,0.0
