year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,9.08,0.00102,0.65,0.0,28.2
1751,9.09,0.00103,0.652,0.0109,28.2
1752,9.09,0.0010400000000000001,0.654,0.0218,28.3
1753,9.1,0.0010500000000000002,0.656,0.0327,28.4
1754,9.1,0.0010500000000000002,0.658,0.0436,28.5
1755,9.1,0.00106,0.66,0.0544,28.5
1756,9.11,0.00107,0.662,0.0653,28.6
1757,9.11,0.00108,0.664,0.0762,28.7
1758,9.12,0.00109,0.666,0.0871,28.7
1759,9.12,0.0011,0.668,0.098,28.8
1760,9.12,0.0011,0.67,0.109,28.9
1761,9.13,0.00111,0.672,0.12,29.0
1762,9.13,0.0011200000000000001,0.674,0.131,29.0
1763,9.13,0.00113,0.676,0.142,29.1
1764,9.14,0.00114,0.678,0.152,29.2
1765,9.14,0.00115,0.68,0.163,29.3
1766,9.14,0.00116,0.682,0.174,29.3
1767,9.15,0.00117,0.683,0.185,29.4
1768,9.15,0.0011799999999999998,0.685,0.196,29.5
1769,9.15,0.0011899999999999999,0.687,0.207,29.6
1770,9.15,0.0011899999999999999,0.689,0.218,29.6
1771,9.16,0.0012,0.691,0.229,29.7
1772,9.16,0.00121,0.693,0.24,29.8
1773,9.16,0.00122,0.695,0.25,29.9
1774,9.16,0.00123,0.697,0.261,29.9
1775,9.17,0.00124,0.699,0.272,30.0
1776,9.17,0.00125,0.701,0.283,30.1
1777,9.22,0.00126,0.703,0.294,30.2
1778,9.28,0.00127,0.706,0.305,30.2
1779,9.33,0.00128,0.708,0.316,30.3
1780,9.39,0.0012900000000000001,0.71,0.327,30.4
1781,9.45,0.0013,0.712,0.338,30.5
1782,9.52,0.00131,0.714,0.348,30.5
1783,9.59,0.00132,0.716,0.359,30.6
1784,9.66,0.00133,0.718,0.37,30.7
1785,9.74,0.00135,0.72,0.381,30.8
1786,9.82,0.00136,0.722,0.392,30.8
1787,9.9,0.0013700000000000001,0.724,0.403,30.9
1788,9.98,0.00138,0.726,0.414,31.0
1789,10.1,0.00139,0.728,0.425,31.0
1790,10.2,0.0014,0.73,0.436,31.1
1791,10.3,0.00141,0.733,0.446,31.2
1792,10.3,0.0014199999999999998,0.735,0.457,31.3
1793,10.4,0.0014299999999999998,0.737,0.468,31.3
1794,10.5,0.0014399999999999999,0.739,0.479,31.4
1795,10.7,0.00146,0.741,0.49,31.5
1796,10.8,0.00147,0.743,0.501,31.6
1797,10.9,0.00148,0.745,0.512,31.6
1798,11.0,0.00149,0.747,0.523,31.7
1799,11.1,0.0015,0.75,0.534,31.8
1800,11.2,0.00151,0.752,0.544,31.9
1801,11.4,0.0015300000000000001,0.757,0.555,32.1
1802,12.3,0.237,0.763,0.566,32.3
1803,11.5,0.00155,0.768,0.577,32.6
1804,12.3,0.23,0.774,0.588,32.8
1805,11.6,0.00157,0.779,0.599,33.0
1806,11.6,0.00159,0.785,0.61,33.2
1807,11.7,0.0016,0.79,0.621,33.5
1808,11.7,0.00161,0.796,0.632,33.7
1809,11.7,0.0016200000000000001,0.801,0.642,33.9
1810,12.5,0.224,0.807,0.653,34.2
1811,12.4,0.217,0.812,0.664,34.4
1812,12.7,0.234,0.816,0.675,34.6
1813,12.5,0.217,0.821,0.686,34.8
1814,12.6,0.221,0.825,0.697,35.0
1815,13.0,0.247,0.83,0.708,35.2
1816,13.2,0.264,0.835,0.719,35.4
1817,13.5,0.281,0.839,0.73,35.6
1818,13.1,0.252,0.844,0.74,35.8
1819,13.4,0.27,0.849,0.751,36.0
1820,13.9,0.306,0.853,0.762,36.2
1821,14.0,0.318,0.857,0.773,36.3
1822,14.3,0.334,0.86,0.784,36.4
1823,14.3,0.334,0.863,0.795,36.6
1824,14.8,0.371,0.867,0.806,36.7
1825,15.4,0.417,0.87,0.817,36.9
1826,15.6,0.431,0.873,0.828,37.0
1827,18.1,0.622,0.877,0.838,37.1
1828,18.5,0.657,0.88,0.849,37.3
1829,18.3,0.64,0.884,0.86,37.4
1830,19.0,0.69,0.887,0.871,37.6
1831,18.3,0.637,0.892,0.882,37.8
1832,19.2,0.703,0.897,0.893,38.0
1833,20.0,0.763,0.901,0.904,38.2
1834,22.3,0.939,0.906,0.915,38.4
1835,22.8,0.974,0.911,0.926,38.6
1836,24.7,1.12,0.915,0.936,38.8
1837,25.7,1.19,0.92,0.947,39.0
1838,26.5,1.25,0.925,0.958,39.2
1839,26.1,1.22,0.93,0.969,39.4
1840,26.4,1.24,0.934,0.98,39.6
1841,29.2,1.45,0.939,0.991,39.8
1842,30.2,1.53,0.943,1.0,40.0
1843,30.2,1.53,0.948,1.01,40.2
1844,31.2,1.6,0.952,1.02,40.4
1845,34.8,1.87,0.957,1.03,40.6
1846,35.7,1.95,0.962,1.05,40.8
1847,38.9,2.19,0.966,1.06,40.9
1848,33.3,1.75,0.971,1.07,41.1
1849,34.2,1.83,0.975,1.08,41.3
1850,37.3,2.06,0.978,1.09,41.5
1851,37.9,2.11,0.982,1.1,41.6
1852,40.0,2.27,0.987,1.11,41.8
1853,45.1,2.66,0.991,1.12,41.9
1854,50.3,3.07,0.995,1.13,42.0
1855,55.5,3.47,0.999,1.14,42.1
1856,57.6,3.64,1.0,1.15,42.2
1857,58.5,3.7,1.01,1.17,42.3
1858,57.6,3.63,1.01,1.18,42.5
1859,58.1,3.67,1.01,1.19,42.6
1860,62.3,4.0,1.02,1.2,42.7
1861,66.5,4.33,1.02,1.21,42.7
1862,69.6,4.57,1.02,1.22,42.8
1863,70.5,4.64,1.02,1.23,42.8
1864,74.1,4.92,1.02,1.24,42.9
1865,77.4,5.18,1.02,1.25,42.9
1866,83.1,5.62,1.03,1.26,43.0
1867,84.1,5.7,1.03,1.27,43.0
1868,85.8,5.83,1.03,1.28,43.1
1869,87.8,5.98,1.03,1.3,43.1
1870,78.9,5.3,1.03,1.31,43.2
1871,78.3,5.28,1.04,1.32,43.4
1872,92.7,6.39,1.04,1.33,43.6
1873,99.3,6.91,1.05,1.34,43.8
1874,95.0,6.57,1.06,1.35,44.1
1875,98.5,6.85,1.07,1.36,44.4
1876,98.6,6.86,1.09,1.37,44.7
1877,96.7,6.7,1.1,1.38,45.0
