year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.000393
1851,0.000393
1852,0.00039400000000000004
1853,0.00039400000000000004
1854,0.00039400000000000004
1855,0.000395
1856,0.000395
1857,0.00039600000000000003
1858,0.00039600000000000003
1859,0.00039600000000000003
1860,0.000397
1861,0.000397
1862,0.000398
1863,0.000398
1864,0.000399
1865,0.000399
1866,0.0004
1867,0.0004
1868,0.00040100000000000004
1869,0.00040100000000000004
1870,0.00040100000000000004
1871,0.000402
1872,0.000402
1873,0.00040300000000000004
1874,0.00040300000000000004
1875,0.000404
1876,0.000404
1877,0.000404
1878,0.00040500000000000003
1879,0.00040500000000000003
1880,0.000406
1881,0.000406
1882,0.000406
1883,0.00040699999999999997
1884,0.00040699999999999997
1885,0.000408
1886,0.000408
1887,0.00040899999999999997
1888,0.00040899999999999997
1889,0.00041
1890,0.00041
1891,0.000467
1892,0.000624
1893,0.00086
1894,0.00116
1895,0.0015
1896,0.00186
1897,0.00222
1898,0.00257
1899,0.0028799999999999997
1900,0.00313
1901,0.0033399999999999997
1902,0.00352
1903,0.0037
1904,0.0038599999999999997
1905,0.004030000000000001
1906,0.00419
1907,0.00436
1908,0.00454
1909,0.004730000000000001
1910,0.00495
1911,0.00519
1912,0.00544
1913,0.0057
1914,0.00598
1915,0.00628
1916,0.0065899999999999995
1917,0.00692
1918,0.00726
1919,0.00762
1920,0.00799
1921,0.009689999999999999
1922,0.013699999999999999
1923,0.019600000000000003
1924,0.027
1925,0.0353
1926,0.0441
1927,0.053
1928,0.0616
1929,0.0693
1930,0.07579999999999999
1931,0.0813
1932,0.0866
1933,0.0917
1934,0.09659999999999999
1935,0.102
1936,0.106
1937,0.111
1938,0.116
1939,0.121
1940,0.126
1941,0.132
1942,0.137
1943,0.143
1944,0.149
1945,0.155
1946,0.162
1947,0.169
1948,0.176
1949,0.184
1950,0.193
1951,0.202
1952,0.212
1953,0.223
1954,0.235
1955,0.247
1956,0.26
1957,0.273
1958,0.287
1959,0.301
1960,0.315
1961,0.331
1962,0.349
1963,0.368
1964,0.389
1965,0.41
1966,0.43
1967,0.449
1968,0.467
1969,0.482
1970,0.494
1971,0.505
1972,0.515
1973,0.526
1974,0.536
1975,0.546
1976,0.555
1977,0.563
1978,0.569
1979,0.575
1980,0.579
1981,0.582
1982,0.582
1983,0.58
1984,0.577
1985,0.574
1986,0.571
1987,0.568
1988,0.566
1989,0.565
1990,0.522
1991,0.522
1992,0.541
1993,0.528
1994,0.437
1995,0.367
1996,0.385
1997,0.437
1998,0.168
1999,0.333
2000,0.435
2001,0.359
2002,0.443
2003,0.438
2004,0.514
2005,0.61
2006,0.674
2007,0.663
2008,0.687
2009,0.712
2010,0.712
2011,0.718
2012,0.729
2013,0.746
2014,0.817
2015,0.903
2016,1.03
2017,1.15
2018,1.3
2019,1.44
2020,1.57
2021,1.71
2022,1.85
2023,1.99
2024,2.13
