year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,1.17e-05,9.87e-21,0.000533
1751,0.0,0.0,1.1599999999999999e-05,7.51e-07,0.000531
1752,0.0,0.0,1.1599999999999999e-05,1.5e-06,0.0005290000000000001
1753,0.0,0.0,1.15e-05,2.2499999999999996e-06,0.000528
1754,0.0,0.0,1.15e-05,3e-06,0.000526
1755,0.0,0.0,1.15e-05,3.7499999999999997e-06,0.000524
1756,0.0,0.0,1.1400000000000001e-05,4.499999999999999e-06,0.000522
1757,0.0,0.0,1.1400000000000001e-05,5.2500000000000006e-06,0.0005200000000000001
1758,0.0,0.0,1.1299999999999999e-05,6e-06,0.000518
1759,0.0,0.0,1.1299999999999999e-05,6.75e-06,0.000516
1760,0.0,0.0,1.12e-05,7.51e-06,0.000514
1761,0.0,0.0,1.12e-05,8.26e-06,0.000512
1762,0.0,0.0,1.12e-05,9.01e-06,0.00051
1763,0.0,0.0,1.11e-05,9.76e-06,0.000508
1764,0.0,0.0,1.11e-05,1.0500000000000001e-05,0.000506
1765,0.0,0.0,1.1e-05,1.1299999999999999e-05,0.000504
1766,0.0,0.0,1.1e-05,1.2e-05,0.000502
1767,0.0,0.0,1.09e-05,1.2800000000000001e-05,0.0005
1768,0.0,0.0,1.09e-05,1.35e-05,0.000498
1769,0.0,0.0,1.09e-05,1.43e-05,0.000497
1770,0.0,0.0,1.08e-05,1.4999999999999999e-05,0.000495
1771,0.0,0.0,1.08e-05,1.58e-05,0.000493
1772,0.0,0.0,1.07e-05,1.65e-05,0.000491
1773,0.0,0.0,1.07e-05,1.73e-05,0.000489
1774,0.0,0.0,1.07e-05,1.7999999999999997e-05,0.00048699999999999997
1775,0.0,0.0,1.06e-05,1.88e-05,0.000486
1776,0.0,0.0,1.06e-05,1.95e-05,0.000484
1777,0.0,0.0,1.0500000000000001e-05,2.03e-05,0.000482
1778,0.0,0.0,1.0500000000000001e-05,2.1000000000000002e-05,0.00047999999999999996
1779,0.0,0.0,1.0500000000000001e-05,2.18e-05,0.00047799999999999996
1780,0.0,0.0,1.0399999999999999e-05,2.2499999999999998e-05,0.00047599999999999997
1781,0.0,0.0,1.0399999999999999e-05,2.33e-05,0.000475
1782,0.0,0.0,1.03e-05,2.4e-05,0.00047299999999999995
1783,0.0,0.0,1.03e-05,2.48e-05,0.00047099999999999996
1784,0.0,0.0,1.03e-05,2.55e-05,0.00046899999999999996
1785,0.0,0.0,1.02e-05,2.63e-05,0.00046800000000000005
1786,0.0,0.0,1.02e-05,2.7e-05,0.00046600000000000005
1787,0.0,0.0,1.02e-05,2.7799999999999998e-05,0.000464
1788,0.0,0.0,1.01e-05,2.85e-05,0.000462
1789,0.0,0.0,1.01e-05,2.93e-05,0.00046
1790,0.0,0.0,1e-05,2.9999999999999997e-05,0.00045900000000000004
1791,0.0,0.0,1e-05,3.08e-05,0.000457
1792,0.0,0.0,9.96e-06,3.15e-05,0.000455
1793,0.0,0.0,9.93e-06,3.23e-05,0.00045400000000000003
1794,0.0,0.0,9.89e-06,3.3e-05,0.00045200000000000004
1795,0.0,0.0,9.849999999999999e-06,3.3799999999999995e-05,0.00045
1796,0.0,0.0,9.81e-06,3.4500000000000005e-05,0.000449
1797,0.0,0.0,9.780000000000001e-06,3.53e-05,0.000447
1798,0.0,0.0,9.74e-06,3.5999999999999994e-05,0.00044500000000000003
1799,0.0,0.0,9.7e-06,3.68e-05,0.000443
1800,0.0,0.0,9.67e-06,3.75e-05,0.000442
1801,0.0,0.0,9.63e-06,3.83e-05,0.00044
1802,0.0,0.0,9.59e-06,3.9e-05,0.000438
1803,0.0,0.0,9.56e-06,3.9800000000000005e-05,0.000437
1804,0.0,0.0,9.52e-06,4.05e-05,0.000435
1805,0.0,0.0,9.49e-06,4.13e-05,0.000434
1806,0.0,0.0,9.45e-06,4.2000000000000004e-05,0.000432
1807,0.0,0.0,9.41e-06,4.28e-05,0.00043
1808,0.0,0.0,9.38e-06,4.35e-05,0.000429
1809,0.0,0.0,9.339999999999999e-06,4.43e-05,0.00042699999999999997
1810,0.0,0.0,9.31e-06,4.4999999999999996e-05,0.000425
1811,0.0,0.0,9.31e-06,4.58e-05,0.000426
1812,0.0,0.0,9.32e-06,4.65e-05,0.000426
1813,0.0,0.0,9.33e-06,4.7300000000000005e-05,0.000426
1814,0.0,0.0,9.339999999999999e-06,4.8e-05,0.00042699999999999997
1815,0.0,0.0,9.35e-06,4.88e-05,0.00042699999999999997
1816,0.0,0.0,9.35e-06,4.9500000000000004e-05,0.00042699999999999997
1817,0.0,0.0,9.36e-06,5.0299999999999996e-05,0.000428
1818,0.0,0.0,9.37e-06,5.1e-05,0.000428
1819,0.0,0.0,9.38e-06,5.18e-05,0.000429
1820,0.0,0.0,9.390000000000002e-06,5.2499999999999995e-05,0.000429
1821,0.0,0.0,9.390000000000002e-06,5.33e-05,0.000429
1822,0.0,0.0,9.4e-06,5.4e-05,0.00043
1823,0.0,0.0,9.41e-06,5.4800000000000004e-05,0.00043
1824,0.0,0.0,9.42e-06,5.55e-05,0.00043
1825,0.0,0.0,9.42e-06,5.63e-05,0.000431
1826,0.0,0.0,9.43e-06,5.7e-05,0.000431
1827,0.0,0.0,9.440000000000001e-06,5.7799999999999995e-05,0.000431
1828,0.0,0.0,9.45e-06,5.8500000000000006e-05,0.000432
1829,0.0,0.0,9.46e-06,5.93e-05,0.000432
1830,0.0,0.0,9.46e-06,5.9999999999999995e-05,0.000433
1831,0.0,0.0,9.469999999999999e-06,6.08e-05,0.000433
1832,0.0,0.0,9.48e-06,6.15e-05,0.000433
1833,0.0,0.0,9.49e-06,6.23e-05,0.000434
1834,0.0,0.0,9.5e-06,6.3e-05,0.000434
1835,0.0,0.0,9.5e-06,6.379999999999999e-05,0.000434
