year,IPC1,IPC2,IPC4,IPCMAG
1750,8.439999999999999e-06,0.0,6.75e-05,1.85e-05
1751,8.48e-06,0.0,6.78e-05,1.85e-05
1752,8.51e-06,0.0,6.809999999999999e-05,1.8599999999999998e-05
1753,8.550000000000001e-06,0.0,6.840000000000001e-05,1.87e-05
1754,8.580000000000001e-06,0.0,6.87e-05,1.88e-05
1755,8.619999999999999e-06,0.0,6.890000000000001e-05,1.89e-05
1756,8.65e-06,0.0,6.92e-05,1.89e-05
1757,8.69e-06,0.0,6.950000000000001e-05,1.9e-05
1758,8.72e-06,0.0,6.98e-05,1.91e-05
1759,8.76e-06,0.0,7.01e-05,1.92e-05
1760,8.789999999999999e-06,0.0,7.03e-05,1.92e-05
1761,8.829999999999998e-06,0.0,7.06e-05,1.93e-05
1762,8.87e-06,0.0,7.09e-05,1.94e-05
1763,8.9e-06,0.0,7.12e-05,1.95e-05
1764,8.94e-06,0.0,7.149999999999999e-05,1.96e-05
1765,8.98e-06,0.0,7.18e-05,1.96e-05
1766,9.01e-06,0.0,7.209999999999999e-05,1.9699999999999998e-05
1767,9.050000000000001e-06,0.0,7.240000000000001e-05,1.98e-05
1768,9.090000000000001e-06,0.0,7.27e-05,1.9900000000000003e-05
1769,9.119999999999999e-06,0.0,7.3e-05,2e-05
1770,9.16e-06,0.0,7.33e-05,2e-05
1771,9.2e-06,0.0,7.36e-05,2.01e-05
1772,9.24e-06,0.0,7.39e-05,2.02e-05
1773,9.270000000000001e-06,0.0,7.42e-05,2.03e-05
1774,9.31e-06,0.0,7.45e-05,2.04e-05
1775,9.35e-06,0.0,7.48e-05,2.05e-05
1776,9.390000000000002e-06,0.0,7.51e-05,2.05e-05
1777,9.43e-06,0.0,7.539999999999999e-05,2.06e-05
1778,9.46e-06,0.0,7.57e-05,2.07e-05
1779,9.5e-06,0.0,7.6e-05,2.0799999999999997e-05
1780,9.54e-06,0.0,7.630000000000001e-05,2.09e-05
1781,9.58e-06,0.0,7.66e-05,2.1000000000000002e-05
1782,9.62e-06,0.0,7.7e-05,2.1000000000000002e-05
1783,9.66e-06,0.0,7.73e-05,2.11e-05
1784,9.7e-06,0.0,7.76e-05,2.12e-05
1785,9.74e-06,0.0,7.79e-05,2.13e-05
1786,9.780000000000001e-06,0.0,7.82e-05,2.14e-05
1787,9.820000000000001e-06,0.0,7.86e-05,2.1499999999999997e-05
1788,9.86e-06,0.0,7.89e-05,2.16e-05
1789,9.9e-06,0.0,7.92e-05,2.17e-05
1790,9.94e-06,0.0,7.950000000000001e-05,2.17e-05
1791,9.98e-06,0.0,7.98e-05,2.18e-05
1792,1e-05,0.0,8.02e-05,2.19e-05
1793,1.01e-05,0.0,8.05e-05,2.2e-05
1794,1.01e-05,0.0,8.08e-05,2.2100000000000002e-05
1795,1.01e-05,0.0,8.12e-05,2.22e-05
1796,1.02e-05,0.0,8.15e-05,2.23e-05
1797,1.02e-05,0.0,8.18e-05,2.24e-05
1798,1.03e-05,0.0,8.219999999999999e-05,2.2499999999999998e-05
1799,1.03e-05,0.0,8.25e-05,2.2599999999999997e-05
1800,1.0399999999999999e-05,0.0,8.28e-05,2.2700000000000003e-05
1801,1.0399999999999999e-05,0.0,8.319999999999999e-05,2.2700000000000003e-05
1802,1.0399999999999999e-05,0.0,8.350000000000001e-05,2.2800000000000002e-05
1803,1.0500000000000001e-05,0.0,8.39e-05,2.29e-05
1804,1.0500000000000001e-05,0.0,8.42e-05,2.3e-05
1805,1.06e-05,0.0,8.46e-05,2.31e-05
1806,1.06e-05,0.0,8.49e-05,2.3199999999999998e-05
1807,1.07e-05,0.0,8.52e-05,2.33e-05
1808,1.07e-05,0.0,8.56e-05,2.34e-05
1809,1.07e-05,0.0,8.59e-05,2.35e-05
1810,1.08e-05,0.0,8.63e-05,2.36e-05
1811,1.08e-05,0.0,8.659999999999999e-05,2.37e-05
1812,1.09e-05,0.0,8.7e-05,2.3800000000000003e-05
1813,1.09e-05,0.0,8.740000000000001e-05,2.39e-05
1814,1.1e-05,0.0,8.77e-05,2.4e-05
1815,1.1e-05,0.0,8.81e-05,2.41e-05
1816,1.11e-05,0.0,8.840000000000001e-05,2.42e-05
1817,1.11e-05,0.0,8.88e-05,2.4299999999999998e-05
1818,1.11e-05,0.0,8.92e-05,2.44e-05
1819,1.12e-05,0.0,8.95e-05,2.4500000000000003e-05
1820,1.12e-05,0.0,8.989999999999999e-05,2.46e-05
1821,1.15e-05,0.0,9.17e-05,2.51e-05
1822,1.17e-05,0.0,9.35e-05,2.5600000000000002e-05
1823,1.1900000000000001e-05,0.0,9.53e-05,2.61e-05
1824,1.21e-05,0.0,9.71e-05,2.65e-05
1825,1.24e-05,0.0,9.89e-05,2.7e-05
1826,1.26e-05,0.0,0.000101,2.75e-05
