year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0132,0.0,0.0114,0.0,0.101
1751,0.0132,0.0,0.0114,0.000145,0.101
1752,0.013300000000000001,0.0,0.0115,0.00029099999999999997,0.102
1753,0.0134,0.0,0.0116,0.00043599999999999997,0.103
1754,0.0134,0.0,0.0116,0.0005819999999999999,0.103
1755,0.0135,0.0,0.011699999999999999,0.000727,0.104
1756,0.0136,0.0,0.011699999999999999,0.000873,0.104
1757,0.0136,0.0,0.011800000000000001,0.00102,0.105
1758,0.013699999999999999,0.0,0.0119,0.00116,0.105
1759,0.013800000000000002,0.0,0.0119,0.00131,0.106
1760,0.013800000000000002,0.0,0.012,0.00145,0.106
1761,0.013900000000000001,0.0,0.012,0.0016,0.107
1762,0.014,0.0,0.0121,0.00175,0.107
1763,0.014,0.0,0.012199999999999999,0.00189,0.108
1764,0.0141,0.0,0.012199999999999999,0.00204,0.109
1765,0.014199999999999999,0.0,0.0123,0.00218,0.109
1766,0.014199999999999999,0.0,0.0124,0.00233,0.11
1767,0.0143,0.0,0.0124,0.0024700000000000004,0.11
1768,0.0144,0.0,0.0125,0.00262,0.111
1769,0.0144,0.0,0.0125,0.00276,0.111
1770,0.0145,0.0,0.0126,0.0029100000000000003,0.112
1771,0.0146,0.0,0.0127,0.0030600000000000002,0.112
1772,0.0147,0.0,0.0127,0.0032,0.113
1773,0.0147,0.0,0.0128,0.00335,0.114
1774,0.0148,0.0,0.0129,0.00349,0.114
1775,0.0149,0.0,0.0129,0.00364,0.115
1776,0.0149,0.0,0.013,0.00378,0.115
1777,0.015,0.0,0.013099999999999999,0.00393,0.116
1778,0.015099999999999999,0.0,0.013099999999999999,0.004070000000000001,0.117
1779,0.0152,0.0,0.0132,0.00422,0.117
1780,0.0152,0.0,0.013300000000000001,0.00436,0.118
1781,0.015300000000000001,0.0,0.013300000000000001,0.00451,0.118
1782,0.0154,0.0,0.0134,0.00466,0.119
1783,0.0154,0.0,0.0135,0.0048,0.12
1784,0.0155,0.0,0.0135,0.00495,0.12
1785,0.0156,0.0,0.0136,0.00509,0.121
1786,0.0157,0.0,0.013699999999999999,0.00524,0.121
1787,0.0157,0.0,0.013800000000000002,0.00538,0.122
1788,0.0158,0.0,0.013800000000000002,0.00553,0.123
1789,0.0159,0.0,0.013900000000000001,0.00567,0.123
1790,0.016,0.0,0.014,0.0058200000000000005,0.124
1791,0.016,0.0,0.014,0.00596,0.125
1792,0.0161,0.0,0.0141,0.00611,0.125
1793,0.0162,0.0,0.014199999999999999,0.00626,0.126
1794,0.016300000000000002,0.0,0.0143,0.0064,0.127
1795,0.016399999999999998,0.0,0.0143,0.006549999999999999,0.127
1796,0.016399999999999998,0.0,0.0144,0.006690000000000001,0.128
1797,0.0165,0.0,0.0145,0.00684,0.129
1798,0.0166,0.0,0.0146,0.00698,0.129
1799,0.0167,0.0,0.0146,0.00713,0.13
1800,0.0167,0.0,0.0147,0.0072699999999999996,0.13
1801,0.016800000000000002,0.0,0.0148,0.0074199999999999995,0.131
1802,0.0169,0.0,0.0149,0.00756,0.132
1803,0.017,0.0,0.0149,0.00771,0.133
1804,0.0171,0.0,0.015,0.00786,0.133
1805,0.0171,0.0,0.015099999999999999,0.008,0.134
