year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,1.27,0.0,0.233,0.0,2.19
1751,1.28,0.0,0.235,0.00147,2.21
1752,1.29,0.0,0.237,0.00294,2.23
1753,1.3,0.0,0.239,0.00441,2.25
1754,1.31,0.0,0.241,0.00588,2.27
1755,1.32,0.0,0.243,0.00735,2.29
1756,1.33,0.0,0.245,0.00881,2.31
1757,1.34,0.0,0.247,0.0103,2.32
1758,1.35,0.0,0.249,0.011800000000000001,2.34
1759,1.36,0.0,0.251,0.0132,2.36
1760,1.37,0.0,0.253,0.0147,2.38
1761,1.38,0.0,0.256,0.0162,2.4
1762,1.39,0.0,0.258,0.0176,2.42
1763,1.4,0.0,0.26,0.019100000000000002,2.44
1764,1.41,0.0,0.262,0.0206,2.47
1765,1.42,0.0,0.264,0.022,2.49
1766,1.44,0.0,0.267,0.0235,2.51
1767,1.45,0.0,0.269,0.025,2.53
1768,1.46,0.0,0.271,0.0264,2.55
1769,1.47,0.0,0.273,0.027899999999999998,2.57
1770,1.48,0.0,0.275,0.0294,2.59
1771,1.49,0.0,0.278,0.030899999999999997,2.61
1772,1.5,0.0,0.28,0.032299999999999995,2.63
1773,1.51,0.0,0.283,0.0338,2.66
1774,1.53,0.0,0.285,0.0353,2.68
1775,1.54,0.0,0.287,0.0367,2.7
1776,1.55,0.0,0.29,0.038200000000000005,2.72
1777,1.56,0.0,0.292,0.039700000000000006,2.75
1778,1.57,0.0,0.295,0.041100000000000005,2.77
1779,1.58,0.0,0.297,0.0426,2.79
1780,1.6,0.0,0.299,0.0441,2.81
1781,1.61,0.0,0.302,0.0455,2.84
1782,1.62,0.0,0.305,0.047,2.86
1783,1.63,0.0,0.307,0.0485,2.89
1784,1.64,0.0,0.31,0.05,2.91
1785,1.66,0.0,0.312,0.0514,2.94
1786,1.67,0.0,0.315,0.052899999999999996,2.96
1787,1.68,0.0,0.318,0.0544,2.99
1788,1.69,0.0,0.32,0.055799999999999995,3.01
1789,1.71,0.0,0.323,0.0573,3.03
1790,1.72,0.0,0.325,0.0588,3.06
1791,1.73,0.0,0.328,0.060200000000000004,3.09
1792,1.75,0.0,0.331,0.061700000000000005,3.11
1793,1.76,0.0,0.334,0.0632,3.14
1794,1.77,0.0,0.337,0.06459999999999999,3.17
1795,1.79,0.0,0.34,0.06609999999999999,3.19
1796,1.8,0.0,0.342,0.0676,3.22
1797,1.81,0.0,0.345,0.069,3.25
1798,1.82,0.0,0.348,0.0705,3.27
1799,1.84,0.0,0.351,0.072,3.3
1800,1.85,0.0,0.354,0.0735,3.33
1801,1.86,0.0,0.357,0.07490000000000001,3.35
1802,1.88,0.0,0.36,0.07640000000000001,3.38
1803,1.89,0.0,0.363,0.07790000000000001,3.41
1804,1.91,0.0,0.366,0.0793,3.44
1805,1.92,0.0,0.369,0.0808,3.47
1806,1.93,0.0,0.372,0.0823,3.5
1807,1.95,0.0,0.375,0.0837,3.53
1808,1.96,0.0,0.378,0.0852,3.56
1809,1.98,0.0,0.381,0.0867,3.59
1810,1.99,0.0,0.384,0.0881,3.61
1811,2.01,0.0,0.388,0.0896,3.65
1812,2.02,0.0,0.391,0.0911,3.68
1813,2.04,0.0,0.395,0.09259999999999999,3.71
1814,2.05,0.0,0.398,0.094,3.74
1815,2.06,0.0,0.401,0.0955,3.77
1816,2.08,0.0,0.405,0.097,3.8
1817,2.09,0.0,0.408,0.0984,3.83
1818,2.11,0.0,0.411,0.0999,3.87
1819,2.12,0.0,0.415,0.101,3.9
1820,2.14,0.0,0.418,0.103,3.93
1821,2.16,0.0,0.423,0.104,3.98
1822,2.18,0.0,0.428,0.106,4.02
1823,2.21,0.0,0.433,0.107,4.07
1824,2.23,0.0,0.438,0.109,4.12
1825,2.25,0.0,0.443,0.11,4.17
1826,2.28,0.0,0.449,0.112,4.22
1827,2.3,0.0,0.454,0.113,4.27
1828,2.32,0.0,0.459,0.115,4.31
1829,2.35,0.0,0.464,0.116,4.36
1830,2.5,0.00229,0.469,0.118,4.41
1831,2.47,0.0014,0.474,0.119,4.46
1832,2.52,0.00177,0.479,0.12,4.51
1833,2.51,0.00133,0.484,0.122,4.55
1834,2.54,0.0014,0.49,0.123,4.6
1835,2.54,0.0010400000000000001,0.495,0.125,4.65
1836,2.6,0.0017,0.5,0.126,4.7
1837,2.6,0.0014,0.505,0.128,4.75
1838,2.62,0.00126,0.51,0.129,4.79
1839,2.73,0.00281,0.515,0.131,4.84
1840,2.75,0.0027400000000000002,0.52,0.132,4.89
1841,2.77,0.0028799999999999997,0.523,0.134,4.92
1842,2.71,0.0017,0.526,0.135,4.95
1843,2.72,0.00177,0.529,0.137,4.98
1844,2.85,0.00377,0.532,0.138,5.0
1845,2.75,0.00177,0.535,0.14,5.03
1846,2.73,0.00126,0.538,0.141,5.06
1847,2.86,0.00333,0.541,0.143,5.09
