year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.000244
1851,0.000244
1852,0.000244
1853,0.000244
1854,0.000244
1855,0.000244
1856,0.000244
1857,0.000244
1858,0.000244
1859,0.000244
1860,0.000244
1861,0.000244
1862,0.000244
1863,0.000244
1864,0.000244
1865,0.000244
1866,0.000244
1867,0.000244
1868,0.000244
1869,0.000244
1870,0.000244
1871,0.000244
1872,0.000244
1873,0.000244
1874,0.000244
1875,0.000244
1876,0.000244
1877,0.000244
1878,0.000244
1879,0.000244
1880,0.000244
1881,0.000244
1882,0.000244
1883,0.000244
1884,0.000244
1885,0.000244
1886,0.000244
1887,0.000244
1888,0.000244
1889,0.000244
1890,0.000244
1891,0.000279
1892,0.000376
1893,0.000523
1894,0.000708
1895,0.0009180000000000001
1896,0.00114
1897,0.0013700000000000001
1898,0.00158
1899,0.00177
1900,0.0019299999999999999
1901,0.00206
1902,0.00218
1903,0.00228
1904,0.00239
1905,0.00249
1906,0.00259
1907,0.00269
1908,0.00281
1909,0.0029300000000000003
1910,0.0030600000000000002
1911,0.00321
1912,0.0033599999999999997
1913,0.0035299999999999997
1914,0.0037
1915,0.0038900000000000002
1916,0.00408
1917,0.00428
1918,0.00449
1919,0.004719999999999999
1920,0.00495
1921,0.006
1922,0.0085
1923,0.012199999999999999
1924,0.0167
1925,0.0219
1926,0.027399999999999997
1927,0.0329
1928,0.038200000000000005
1929,0.043
1930,0.047
1931,0.0505
1932,0.0538
1933,0.0569
1934,0.06
1935,0.063
1936,0.066
1937,0.069
1938,0.0721
1939,0.0752
1940,0.07840000000000001
1941,0.08170000000000001
1942,0.0851
1943,0.0887
1944,0.09240000000000001
1945,0.0963
1946,0.1
1947,0.105
1948,0.109
1949,0.114
1950,0.12
1951,0.125
1952,0.132
1953,0.138
1954,0.146
1955,0.153
1956,0.161
1957,0.17
1958,0.178
1959,0.187
1960,0.196
1961,0.206
1962,0.217
1963,0.229
1964,0.242
1965,0.254
1966,0.267
1967,0.279
1968,0.29
1969,0.299
1970,0.307
1971,0.314
1972,0.32
1973,0.327
1974,0.333
1975,0.339
1976,0.344
1977,0.349
1978,0.354
1979,0.357
1980,0.36
1981,0.361
1982,0.361
1983,0.36
1984,0.359
1985,0.366
1986,0.371
1987,0.373
1988,0.363
1989,0.393
1990,0.375
1991,0.316
1992,0.134
1993,0.139
1994,0.148
1995,0.151
1996,0.139
1997,0.146
1998,0.143
1999,0.143
2000,0.0945
2001,0.08220000000000001
2002,0.08159999999999999
2003,0.0708
2004,0.0674
2005,0.047799999999999995
2006,0.000398
2007,0.011300000000000001
2008,0.0128
2009,0.0129
2010,0.0112
2011,0.0119
2012,0.012199999999999999
2013,0.0128
2014,0.011699999999999999
2015,0.0111
2016,0.011
2017,0.00313
2018,0.00352
2019,0.00369
2020,0.00445
2021,0.00477
2022,0.00534
2023,0.00577
