year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,0.00094,0.0,0.0535
1751,0.0,0.0,0.0009419999999999999,5.41e-05,0.0536
1752,0.0,0.0,0.000944,0.000108,0.053700000000000005
1753,0.0,0.0,0.0009459999999999999,0.000162,0.0538
1754,0.0,0.0,0.000948,0.000217,0.053899999999999997
1755,0.0,0.0,0.00095,0.00027100000000000003,0.054
1756,0.0,0.0,0.0009519999999999999,0.000325,0.0541
1757,0.0,0.0,0.000954,0.000379,0.054200000000000005
1758,0.0,0.0,0.000955,0.000433,0.054299999999999994
1759,0.0,0.0,0.000957,0.00048699999999999997,0.0544
1760,0.0,0.0,0.000959,0.000541,0.0546
1761,0.0,0.0,0.0009609999999999999,0.0005949999999999999,0.054700000000000006
1762,0.0,0.0,0.000963,0.00065,0.054799999999999995
1763,0.0,0.0,0.0009649999999999999,0.000704,0.0549
1764,0.0,0.0,0.000967,0.000758,0.055
1765,0.0,0.0,0.000969,0.000812,0.0551
1766,0.0,0.0,0.000971,0.000866,0.055200000000000006
1767,0.0,0.0,0.000973,0.00092,0.055299999999999995
1768,0.0,0.0,0.000975,0.0009739999999999999,0.0554
1769,0.0,0.0,0.000977,0.00103,0.055600000000000004
1770,0.0,0.0,0.000979,0.00108,0.0557
1771,0.0,0.0,0.0009809999999999999,0.00114,0.055799999999999995
1772,0.0,0.0,0.000983,0.0011899999999999999,0.0559
1773,0.0,0.0,0.000985,0.00125,0.056
1774,0.0,0.0,0.000987,0.0013,0.056100000000000004
1775,0.0,0.0,0.000989,0.00135,0.0562
1776,0.0,0.0,0.000991,0.00141,0.0564
1777,0.0,0.0,0.000993,0.00146,0.0565
1778,0.0,0.0,0.000995,0.00152,0.056600000000000004
1779,0.0,0.0,0.000997,0.00157,0.0567
1780,0.0,0.0,0.000999,0.0016200000000000001,0.056799999999999996
1781,0.0,0.0,0.001,0.0016799999999999999,0.0569
1782,0.0,0.0,0.001,0.00173,0.057
1783,0.0,0.0,0.00101,0.0017900000000000001,0.0572
1784,0.0,0.0,0.00101,0.00184,0.0573
1785,0.0,0.0,0.00101,0.00189,0.0574
1786,0.0,0.0,0.00101,0.00195,0.0575
1787,0.0,0.0,0.00101,0.002,0.0576
1788,0.0,0.0,0.00102,0.00206,0.0577
1789,0.0,0.0,0.00102,0.00211,0.0578
1790,0.0,0.0,0.00102,0.00217,0.058
1791,0.0,0.0,0.00102,0.00222,0.0581
1792,0.0,0.0,0.00102,0.00227,0.0582
1793,0.0,0.0,0.00103,0.00233,0.0583
1794,0.0,0.0,0.00103,0.0023799999999999997,0.0584
1795,0.0,0.0,0.00103,0.00244,0.0586
1796,0.0,0.0,0.00103,0.00249,0.0587
1797,0.0,0.0,0.00103,0.00254,0.0588
1798,0.0,0.0,0.0010400000000000001,0.0026,0.0589
1799,0.0,0.0,0.0010400000000000001,0.00265,0.059
1800,0.0,0.0,0.0010400000000000001,0.00271,0.0591
1801,0.0,0.0,0.0010400000000000001,0.00276,0.0593
1802,0.0,0.0,0.0010400000000000001,0.00281,0.0594
1803,0.0,0.0,0.0010500000000000002,0.00287,0.0595
1804,0.0,0.0,0.0010500000000000002,0.00292,0.0596
1805,0.0,0.0,0.0010500000000000002,0.00298,0.0598
1806,0.0,0.0,0.0010500000000000002,0.0030299999999999997,0.0599
1807,0.0,0.0,0.0010500000000000002,0.00309,0.06
1808,0.0,0.0,0.00106,0.00314,0.0601
1809,0.0,0.0,0.00106,0.00319,0.060200000000000004
1810,0.0,0.0,0.00106,0.00325,0.060399999999999995
1811,0.0,0.0,0.00106,0.0033,0.0605
1812,0.0,0.0,0.00107,0.0033599999999999997,0.0606
1813,0.0,0.0,0.00107,0.0034100000000000003,0.060700000000000004
1814,0.0,0.0,0.00107,0.00346,0.0608
1815,0.0,0.0,0.00107,0.00352,0.061
1816,0.0,0.0,0.00107,0.00357,0.0611
1817,0.0,0.0,0.00108,0.00363,0.061200000000000004
1818,0.0,0.0,0.00108,0.00368,0.0613
1819,0.0,0.0,0.00108,0.0037400000000000003,0.0615
1820,0.0,0.0,0.00108,0.00379,0.0616
1821,0.0,0.0,0.00109,0.0038399999999999997,0.061799999999999994
1822,0.0,0.0,0.00109,0.0039,0.0619
1823,0.0,0.0,0.00109,0.00395,0.0621
1824,0.0,0.0,0.0011,0.00401,0.062299999999999994
1825,0.0,0.0,0.0011,0.004059999999999999,0.0624
1826,0.0,0.0,0.0011,0.00411,0.0626
1827,0.0,0.0,0.0011,0.00417,0.0628
1828,0.0,0.0,0.00111,0.00422,0.063
1829,0.0,0.0,0.00111,0.00428,0.0631
1830,0.0,0.0,0.00111,0.00433,0.0633
1831,0.0,0.0,0.0011200000000000001,0.00438,0.0636
1832,0.0,0.0,0.0011200000000000001,0.00444,0.0639
1833,0.0,0.0,0.00113,0.00449,0.06420000000000001
1834,0.0,0.0,0.00113,0.00455,0.0645
1835,0.0,0.0,0.00114,0.0046,0.0648
1836,0.0,0.0,0.00115,0.00466,0.06509999999999999
1837,0.0,0.0,0.00115,0.00471,0.0654
1838,0.0,0.0,0.00116,0.0047599999999999995,0.06570000000000001
1839,0.0,0.0,0.00116,0.0048200000000000005,0.066
1840,0.0,0.0,0.00117,0.00487,0.0663
1841,0.0,0.0,0.00117,0.0049299999999999995,0.06659999999999999
1842,0.0,0.0,0.0011799999999999998,0.00498,0.067
1843,0.0,0.0,0.0011799999999999998,0.005030000000000001,0.0673
1844,0.0,0.0,0.0011899999999999999,0.00509,0.0676
1845,0.0,0.0,0.0011899999999999999,0.00514,0.0679
1846,0.0,0.0,0.0012,0.0052,0.0682
1847,0.0,0.0,0.00121,0.00525,0.0685
1848,0.0,0.0,0.00121,0.00531,0.0689
1849,0.0,0.0,0.00122,0.00536,0.0692
1850,0.000753,0.0,0.0012,0.00541,0.068
1851,0.000769,0.0,0.00122,0.00547,0.0694
1852,0.0007840000000000001,0.0,0.00124,0.00552,0.0708
1853,0.000799,0.0,0.00127,0.00558,0.0721
1854,0.0008129999999999999,0.0,0.0012900000000000001,0.00563,0.0734
1855,0.0008259999999999999,0.0,0.00131,0.005679999999999999,0.0745
1856,0.000837,0.0,0.00133,0.00574,0.0755
1857,0.000846,0.0,0.00134,0.00579,0.07640000000000001
1858,0.0008539999999999999,0.0,0.00136,0.005849999999999999,0.07709999999999999
1859,0.000859,0.0,0.00136,0.005900000000000001,0.07759999999999999
1860,0.000862,0.0,0.0013700000000000001,0.00595,0.0778
1861,0.000864,0.0,0.0013700000000000001,0.00601,0.078
1862,0.000865,0.0,0.0013700000000000001,0.006059999999999999,0.07809999999999999
1863,0.000866,0.0,0.0013700000000000001,0.0061200000000000004,0.07809999999999999
1864,0.000866,0.0,0.0013700000000000001,0.00617,0.0782
1865,0.000867,0.0,0.00138,0.00623,0.0782
1866,0.000867,0.0,0.00138,0.00628,0.0783
1867,0.000868,0.0,0.00138,0.00633,0.0783
1868,0.000869,0.0,0.00138,0.00639,0.07840000000000001
1869,0.00087,0.0,0.00138,0.00644,0.0785
1870,0.0008719999999999999,0.0,0.00138,0.0065,0.0787
1871,0.000886,0.0,0.00141,0.006549999999999999,0.08
1872,0.000923,0.0,0.00147,0.0066,0.0833
1873,0.000977,0.0,0.00155,0.00666,0.0882
1874,0.0010400000000000001,0.0,0.00166,0.00671,0.0942
1875,0.0011200000000000001,0.0,0.00177,0.00677,0.101
1876,0.0011899999999999999,0.0,0.00189,0.0068200000000000005,0.107
1877,0.00126,0.0,0.002,0.00687,0.114
1878,0.00132,0.0,0.0021000000000000003,0.0069299999999999995,0.119
1879,0.0013700000000000001,0.0,0.00218,0.00698,0.124
1880,0.0014,0.0,0.00222,0.00704,0.126
1881,0.0014199999999999998,0.0,0.00225,0.00709,0.128
1882,0.0014299999999999998,0.0,0.00227,0.00715,0.129
1883,0.0014399999999999999,0.0,0.00229,0.0072,0.13
1884,0.00145,0.0,0.00231,0.00725,0.131
1885,0.00146,0.0,0.00232,0.00731,0.132
1886,0.00147,0.0,0.00234,0.00736,0.133
1887,0.00148,0.0,0.00235,0.0074199999999999995,0.134
1888,0.00149,0.0,0.0023599999999999997,0.00747,0.134
1889,0.0015,0.0,0.0023799999999999997,0.00752,0.135
1890,0.00172,0.0,0.0024,0.00758,0.141
1891,0.0017900000000000001,0.0,0.00242,0.00763,0.141
1892,0.00185,0.0,0.00244,0.007690000000000001,0.141
1893,0.0019299999999999999,0.0,0.00246,0.00774,0.142
1894,0.002,0.0,0.00248,0.0078,0.142
1895,0.00209,0.0,0.0025,0.00785,0.142
1896,0.00217,0.0,0.0025299999999999997,0.0079,0.143
1897,0.00226,0.0,0.0025499999999999997,0.00796,0.143
1898,0.0023599999999999997,0.0,0.0025800000000000003,0.00801,0.143
1899,0.0024500000000000004,0.0,0.00261,0.00807,0.144
1900,0.0025499999999999997,0.0,0.00264,0.008119999999999999,0.144
1901,0.00267,0.0,0.00268,0.00817,0.144
1902,0.00279,0.0,0.00273,0.008230000000000001,0.145
1903,0.0029300000000000003,0.0,0.00278,0.00828,0.145
1904,0.0030800000000000003,0.0,0.00283,0.00834,0.146
1905,0.00323,0.0,0.00289,0.00839,0.146
1906,0.0033799999999999998,0.0,0.0029500000000000004,0.00844,0.147
1907,0.00352,0.0,0.0030099999999999997,0.0085,0.147
1908,0.00365,0.0,0.00307,0.00855,0.148
1909,0.00377,0.0,0.00312,0.00861,0.148
1910,0.00387,0.0,0.00318,0.00866,0.149
1911,0.00395,0.0,0.00323,0.00872,0.149
1912,0.004019999999999999,0.0,0.00329,0.00877,0.149
1913,0.00409,0.0,0.0033399999999999997,0.00882,0.149
1914,0.0041600000000000005,0.0,0.0033900000000000002,0.00888,0.15
1915,0.00422,0.0,0.00344,0.00893,0.15
1916,0.00428,0.0,0.0035,0.00899,0.15
1917,0.00433,0.0,0.0035499999999999998,0.00904,0.15
1918,0.00439,0.0,0.0036,0.009089999999999999,0.15
1919,0.00444,0.0,0.00366,0.00915,0.151
1920,0.0045,0.0,0.0037099999999999998,0.0092,0.151
1921,0.00455,0.0,0.00377,0.00926,0.151
1922,0.0045899999999999995,0.0,0.00382,0.00931,0.152
1923,0.00463,0.0,0.0038799999999999998,0.00937,0.152
1924,0.00467,0.0,0.00394,0.00942,0.153
1925,0.00471,0.0,0.004,0.009470000000000001,0.153
1926,0.00475,0.0,0.004059999999999999,0.009529999999999999,0.154
1927,0.0048,0.0,0.00411,0.00958,0.154
1928,0.004849999999999999,0.0,0.00417,0.009640000000000001,0.155
1929,0.004900000000000001,0.0,0.00422,0.009689999999999999,0.155
1930,0.00497,0.0,0.0042699999999999995,0.00974,0.155
1931,0.005059999999999999,6.0699999999999995e-06,0.00431,0.009800000000000001,0.156
1932,0.00518,2.3e-05,0.00435,0.00985,0.156
1933,0.00533,4.8899999999999996e-05,0.00438,0.00991,0.156
1934,0.00549,8.17e-05,0.00441,0.00996,0.156
1935,0.00567,0.00011999999999999999,0.00444,0.01,0.156
1936,0.005860000000000001,0.000161,0.00447,0.0101,0.156
1937,0.00605,0.000203,0.00451,0.0101,0.156
1938,0.00623,0.000245,0.00456,0.010199999999999999,0.156
1939,0.00641,0.000285,0.00462,0.010199999999999999,0.156
1940,0.00657,0.000319,0.004690000000000001,0.0103,0.157
1941,0.00671,0.00035299999999999996,0.004849999999999999,0.0103,0.157
1942,0.006849999999999999,0.000388,0.0051600000000000005,0.0104,0.159
1943,0.00697,0.000424,0.00558,0.0104,0.161
1944,0.0070999999999999995,0.00046100000000000004,0.00609,0.0105,0.163
1945,0.00722,0.000497,0.0066500000000000005,0.0106,0.165
1946,0.00736,0.000532,0.00723,0.0106,0.168
1947,0.00751,0.0005639999999999999,0.0078,0.0107,0.171
1948,0.00767,0.000594,0.00833,0.0107,0.173
1949,0.00787,0.000619,0.00877,0.0108,0.175
1950,0.00809,0.000639,0.00911,0.0108,0.176
1951,0.00841,0.0006540000000000001,0.00937,0.0109,0.177
1952,0.00887,0.000666,0.00958,0.0109,0.178
1953,0.009460000000000001,0.000675,0.00976,0.011,0.179
1954,0.0101,0.000683,0.00993,0.011,0.181
1955,0.0108,0.000691,0.0101,0.0111,0.182
1956,0.0116,0.000699,0.010199999999999999,0.0112,0.183
1957,0.0123,0.000709,0.0104,0.0112,0.184
1958,0.013,0.000721,0.0106,0.011300000000000001,0.186
1959,0.0136,0.000737,0.0108,0.011300000000000001,0.187
1960,0.0141,0.000757,0.0111,0.0114,0.188
1961,0.0144,0.000879,0.0115,0.0114,0.201
1962,0.0147,0.00117,0.012,0.0115,0.202
1963,0.0148,0.00159,0.0125,0.0115,0.203
1964,0.015,0.00209,0.0132,0.0116,0.208
1965,0.015099999999999999,0.00263,0.013800000000000002,0.0116,0.206
1966,0.015300000000000001,0.00317,0.0145,0.011699999999999999,0.215
1967,0.0156,0.00367,0.0152,0.011699999999999999,0.223
1968,0.016,0.004070000000000001,0.0158,0.011800000000000001,0.23
1969,0.0166,0.00435,0.016399999999999998,0.0119,0.236
1970,0.0181,0.000508,0.0177,0.013800000000000002,0.239
1971,0.018,0.000531,0.0171,0.013699999999999999,0.248
1972,0.0188,0.0039700000000000004,0.0178,0.013900000000000001,0.25
1973,0.019600000000000003,0.0074,0.0183,0.0141,0.253
1974,0.020399999999999998,0.00734,0.018,0.0147,0.251
1975,0.0209,0.00983,0.0184,0.0152,0.278
1976,0.0217,0.0104,0.0188,0.0155,0.273
1977,0.0224,0.00863,0.02,0.0158,0.288
1978,0.022699999999999998,0.008140000000000001,0.0212,0.0155,0.304
1979,0.023600000000000003,0.00974,0.0212,0.0159,0.308
1980,0.0245,0.00734,0.0201,0.0167,0.318
1981,0.0254,0.00861,0.022600000000000002,0.0173,0.332
1982,0.0261,0.00718,0.022699999999999998,0.019100000000000002,0.334
1983,0.0269,0.00779,0.0245,0.0192,0.358
1984,0.0281,0.00731,0.0254,0.0198,0.376
1985,0.0291,0.00642,0.0247,0.020300000000000002,0.386
1986,0.0304,0.00579,0.026600000000000002,0.021,0.406
1987,0.0324,0.0052,0.0272,0.0223,0.389
1988,0.0338,0.00464,0.0277,0.022600000000000002,0.428
1989,0.0356,0.00412,0.0298,0.023399999999999997,0.434
1990,0.0366,0.00414,0.030199999999999998,0.024300000000000002,0.443
1991,0.038,0.00497,0.0314,0.0253,0.456
1992,0.0389,0.00538,0.032100000000000004,0.0261,0.469
1993,0.0402,0.0066500000000000005,0.0327,0.026199999999999998,0.48
1994,0.0419,0.00632,0.033299999999999996,0.026699999999999998,0.497
1995,0.0444,0.00575,0.034,0.028399999999999998,0.506
1996,0.0466,0.0053,0.0347,0.0295,0.52
1997,0.047200000000000006,0.00537,0.0353,0.030100000000000002,0.535
1998,0.0484,0.0056,0.0366,0.0303,0.546
1999,0.0504,0.00532,0.037200000000000004,0.0316,0.554
2000,0.0512,0.0058200000000000005,0.0368,0.033100000000000004,0.54
