year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0432,0.0,0.0878,2.39e-18,0.559
1751,0.0434,0.0,0.0882,0.000217,0.561
1752,0.0435,0.0,0.0885,0.000434,0.563
1753,0.0436,0.0,0.0888,0.000651,0.564
1754,0.0437,0.0,0.0891,0.000868,0.566
1755,0.0439,0.0,0.08940000000000001,0.00109,0.568
1756,0.044,0.0,0.0897,0.0013,0.57
1757,0.0441,0.0,0.09,0.00152,0.572
1758,0.0443,0.0,0.09029999999999999,0.00174,0.574
1759,0.0444,0.0,0.0906,0.00195,0.576
1760,0.0445,0.0,0.091,0.00217,0.578
1761,0.0446,0.0,0.09129999999999999,0.00239,0.58
1762,0.0448,0.0,0.0916,0.0026,0.582
1763,0.044899999999999995,0.0,0.09190000000000001,0.00282,0.584
1764,0.045,0.0,0.0922,0.00304,0.586
1765,0.045200000000000004,0.0,0.09259999999999999,0.00326,0.588
1766,0.0453,0.0,0.09290000000000001,0.00347,0.591
1767,0.045399999999999996,0.0,0.0932,0.00369,0.593
1768,0.0455,0.0,0.0935,0.00391,0.595
1769,0.045700000000000005,0.0,0.0938,0.00412,0.597
1770,0.0458,0.0,0.0942,0.00434,0.599
1771,0.045899999999999996,0.0,0.0945,0.00456,0.601
1772,0.046,0.0,0.0948,0.00478,0.603
1773,0.046200000000000005,0.0,0.09509999999999999,0.0049900000000000005,0.605
1774,0.046299999999999994,0.0,0.0955,0.00521,0.607
1775,0.0464,0.0,0.0958,0.00543,0.609
1776,0.0466,0.0,0.09609999999999999,0.00564,0.611
1777,0.046700000000000005,0.0,0.0965,0.005860000000000001,0.613
1778,0.046799999999999994,0.0,0.0968,0.00608,0.615
1779,0.0469,0.0,0.09709999999999999,0.0062900000000000005,0.618
1780,0.0471,0.0,0.0975,0.00651,0.62
1781,0.047200000000000006,0.0,0.0978,0.006730000000000001,0.622
1782,0.047299999999999995,0.0,0.09809999999999999,0.0069500000000000004,0.624
1783,0.0475,0.0,0.0985,0.0071600000000000006,0.626
1784,0.0476,0.0,0.0988,0.00738,0.628
1785,0.047700000000000006,0.0,0.0992,0.0076,0.631
1786,0.047799999999999995,0.0,0.0995,0.007809999999999999,0.633
1787,0.048,0.0,0.0998,0.008029999999999999,0.635
1788,0.048100000000000004,0.0,0.1,0.00825,0.637
1789,0.0482,0.0,0.101,0.00847,0.639
