year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0007,0.045899999999999996,0.000313,1.09e-18,0.026199999999999998
1751,0.0007009999999999999,0.046200000000000005,0.000315,4.02e-05,0.0264
1752,0.000703,0.0465,0.000317,8.05e-05,0.0265
1753,0.000705,0.046700000000000005,0.000319,0.000121,0.026699999999999998
1754,0.0007059999999999999,0.047,0.00032,0.000161,0.0268
1755,0.000708,0.047200000000000006,0.000322,0.000201,0.027
1756,0.000709,0.0475,0.000324,0.000241,0.027100000000000003
1757,0.0007109999999999999,0.047799999999999995,0.000326,0.00028199999999999997,0.0273
1758,0.000712,0.048,0.000328,0.000322,0.027399999999999997
1759,0.000713,0.048299999999999996,0.00032900000000000003,0.00036199999999999996,0.027600000000000003
1760,0.0007149999999999999,0.048600000000000004,0.000331,0.000402,0.0277
1761,0.000716,0.048799999999999996,0.000333,0.000442,0.027899999999999998
1762,0.000718,0.049100000000000005,0.000335,0.000483,0.028
1763,0.000719,0.0494,0.000337,0.000523,0.0282
1764,0.000721,0.0497,0.000339,0.0005629999999999999,0.028399999999999998
1765,0.000722,0.0499,0.00034100000000000005,0.000603,0.0285
1766,0.0007239999999999999,0.0502,0.000342,0.000644,0.0287
1767,0.000725,0.0505,0.00034399999999999996,0.000684,0.0288
1768,0.000726,0.0508,0.00034599999999999995,0.0007239999999999999,0.029
1769,0.000728,0.0511,0.000348,0.000764,0.0291
1770,0.0007289999999999999,0.0513,0.00035,0.000805,0.0293
1771,0.00073,0.0516,0.000352,0.0008449999999999999,0.0295
1772,0.000732,0.0519,0.000354,0.000885,0.0296
1773,0.000733,0.0522,0.000356,0.000925,0.0298
1774,0.000735,0.0525,0.000358,0.0009649999999999999,0.03
1775,0.000736,0.0528,0.00035999999999999997,0.00101,0.030100000000000002
1776,0.000737,0.0531,0.00036199999999999996,0.0010500000000000002,0.0303
1777,0.000739,0.053399999999999996,0.000364,0.00109,0.0305
1778,0.00074,0.053700000000000005,0.000366,0.00113,0.030600000000000002
1779,0.000741,0.054,0.000368,0.00117,0.0308
1780,0.000742,0.054299999999999994,0.00037,0.00121,0.031
1781,0.000744,0.0546,0.000372,0.00125,0.0312
1782,0.000745,0.0549,0.000374,0.0012900000000000001,0.0313
1783,0.000747,0.055200000000000006,0.000376,0.00133,0.0315
1784,0.000748,0.0555,0.000379,0.0013700000000000001,0.0317
1785,0.000749,0.055799999999999995,0.000381,0.00141,0.0319
1786,0.00075,0.056100000000000004,0.000383,0.00145,0.032
1787,0.000752,0.0564,0.00038500000000000003,0.00149,0.0322
1788,0.000753,0.0567,0.00038700000000000003,0.0015300000000000001,0.0324
1789,0.000754,0.0571,0.000389,0.00157,0.032600000000000004
1790,0.000755,0.0574,0.000391,0.00161,0.032799999999999996
1791,0.000756,0.0577,0.000393,0.00165,0.0329
1792,0.000758,0.058,0.00039600000000000003,0.0016899999999999999,0.033100000000000004
1793,0.000759,0.0584,0.000398,0.00173,0.033299999999999996
1794,0.00076,0.0587,0.0004,0.00177,0.0335
1795,0.000761,0.059,0.000402,0.00181,0.0337
1796,0.000763,0.0593,0.00040500000000000003,0.00185,0.0339
1797,0.000764,0.0597,0.00040699999999999997,0.00189,0.0341
1798,0.0007650000000000001,0.06,0.00040899999999999997,0.0019299999999999999,0.0343
1799,0.000766,0.0603,0.00041099999999999996,0.00197,0.0344
1800,0.000767,0.0606,0.000414,0.0020099999999999996,0.0346
1801,0.000768,0.061,0.000416,0.0020499999999999997,0.0348
1802,0.000769,0.0613,0.00041799999999999997,0.00209,0.035
1803,0.0007700000000000001,0.061700000000000005,0.000421,0.00213,0.0352
1804,0.000771,0.062,0.000423,0.00217,0.0354
1805,0.000773,0.0624,0.000425,0.00221,0.0356
1806,0.0007740000000000001,0.0627,0.000428,0.00225,0.0358
1807,0.000775,0.0631,0.00043,0.00229,0.036
1808,0.000776,0.0634,0.000432,0.00233,0.0362
1809,0.000776,0.0638,0.000435,0.00237,0.0364
1810,0.000777,0.06409999999999999,0.000437,0.0024100000000000002,0.0366
1811,0.0007830000000000001,0.0648,0.000442,0.0024500000000000004,0.037
1812,0.0007880000000000001,0.06559999999999999,0.000447,0.00249,0.037399999999999996
1813,0.000794,0.0663,0.00045200000000000004,0.0025299999999999997,0.037899999999999996
1814,0.000799,0.06709999999999999,0.000457,0.00257,0.038299999999999994
1815,0.000804,0.0678,0.000462,0.00261,0.038700000000000005
1816,0.0008100000000000001,0.0685,0.000467,0.00265,0.0391
1817,0.000815,0.0693,0.000472,0.0027,0.0395
1818,0.00082,0.07,0.000477,0.0027400000000000002,0.04
1819,0.000825,0.0707,0.000482,0.00278,0.0404
1820,0.00083,0.0715,0.00048699999999999997,0.00282,0.040799999999999996
1821,0.0008349999999999999,0.0723,0.000493,0.0028599999999999997,0.041299999999999996
1822,0.000841,0.0731,0.000499,0.0029,0.0417
1823,0.000847,0.07390000000000001,0.000504,0.00294,0.0422
1824,0.000852,0.07479999999999999,0.00051,0.00298,0.0427
1825,0.000858,0.0756,0.000515,0.00302,0.0432
1826,0.0008629999999999999,0.07640000000000001,0.000521,0.0030600000000000002,0.0436
1827,0.000868,0.0772,0.000527,0.0031,0.0441
1828,0.000874,0.07809999999999999,0.000532,0.00314,0.0446
1829,0.000879,0.07890000000000001,0.0005380000000000001,0.00318,0.045
1830,0.000884,0.07970000000000001,0.0005430000000000001,0.00322,0.0455
1831,0.0008900000000000001,0.08059999999999999,0.00055,0.00326,0.046
1832,0.000896,0.0815,0.0005560000000000001,0.0033,0.0465
1833,0.000901,0.0824,0.0005620000000000001,0.0033399999999999997,0.0471
1834,0.000907,0.0834,0.0005679999999999999,0.0033799999999999998,0.0476
1835,0.0009130000000000001,0.0843,0.000575,0.00342,0.048100000000000004
1836,0.0009180000000000001,0.0852,0.0005809999999999999,0.00346,0.048600000000000004
1837,0.000924,0.0861,0.000587,0.0035,0.0492
1838,0.000929,0.087,0.000593,0.00354,0.0497
1839,0.000934,0.0879,0.0006,0.0035800000000000003,0.0502
1840,0.000939,0.0889,0.000606,0.00362,0.0507
1841,0.000945,0.08990000000000001,0.0006129999999999999,0.00366,0.0513
1842,0.0009509999999999999,0.09090000000000001,0.00062,0.0037,0.0519
1843,0.000957,0.09190000000000001,0.000627,0.0037400000000000003,0.0525
1844,0.000963,0.09290000000000001,0.000634,0.00378,0.0531
1845,0.000969,0.094,0.000641,0.00382,0.0536
1846,0.0009739999999999999,0.095,0.000648,0.0038599999999999997,0.054200000000000005
1847,0.00098,0.096,0.000655,0.0039,0.054799999999999995
1848,0.000985,0.097,0.000662,0.00394,0.0554
1849,0.000991,0.09809999999999999,0.000669,0.00398,0.056
1850,0.00422,0.1,0.0006630000000000001,0.004019999999999999,0.0825
1851,0.00431,0.101,0.000675,0.004059999999999999,0.0837
1852,0.00439,0.102,0.0006860000000000001,0.0040999999999999995,0.0849
1853,0.00447,0.103,0.0006969999999999999,0.00414,0.086
1854,0.00454,0.105,0.000708,0.00418,0.0872
1855,0.00461,0.106,0.000718,0.00422,0.0882
1856,0.00466,0.107,0.000727,0.00426,0.08929999999999999
1857,0.0047,0.108,0.000735,0.0043,0.09029999999999999
1858,0.004730000000000001,0.109,0.000742,0.00434,0.0912
1859,0.0047599999999999995,0.11,0.000748,0.00438,0.092
1860,0.00478,0.111,0.000752,0.00442,0.0928
1861,0.00479,0.112,0.000753,0.00447,0.09290000000000001
1862,0.00479,0.112,0.000754,0.00451,0.093
1863,0.00479,0.112,0.000755,0.00455,0.09309999999999999
1864,0.00479,0.112,0.000755,0.0045899999999999995,0.09309999999999999
1865,0.00478,0.112,0.000756,0.00463,0.0932
1866,0.00478,0.112,0.000757,0.00467,0.0933
1867,0.00477,0.112,0.000757,0.00471,0.09340000000000001
1868,0.00477,0.112,0.000758,0.00475,0.0935
1869,0.00477,0.112,0.000759,0.00479,0.09359999999999999
1870,0.00478,0.113,0.00076,0.00483,0.0937
1871,0.00483,0.113,0.000769,0.00487,0.0943
1872,0.0049900000000000005,0.113,0.000791,0.00491,0.09570000000000001
1873,0.00521,0.113,0.000823,0.00495,0.09770000000000001
1874,0.00549,0.113,0.000862,0.0049900000000000005,0.1
1875,0.00579,0.113,0.0009040000000000001,0.005030000000000001,0.103
1876,0.0060999999999999995,0.113,0.000948,0.00507,0.106
1877,0.00639,0.113,0.00099,0.00511,0.108
1878,0.0066500000000000005,0.113,0.00103,0.00515,0.111
1879,0.006849999999999999,0.114,0.00106,0.00519,0.113
1880,0.00696,0.114,0.00107,0.00523,0.114
1881,0.007019999999999999,0.114,0.00108,0.0052699999999999995,0.114
1882,0.0070599999999999994,0.114,0.00109,0.00531,0.115
1883,0.00709,0.114,0.0011,0.00535,0.115
1884,0.0071200000000000005,0.114,0.0011,0.00539,0.116
1885,0.00714,0.114,0.00111,0.00543,0.116
1886,0.0071600000000000006,0.114,0.0011200000000000001,0.00547,0.117
1887,0.00717,0.114,0.0011200000000000001,0.00551,0.117
1888,0.00719,0.115,0.00113,0.00555,0.117
1889,0.00722,0.115,0.00113,0.0055899999999999995,0.118
1890,0.00821,0.115,0.00114,0.00563,0.111
1891,0.00847,0.115,0.00115,0.00567,0.118
1892,0.00876,0.116,0.00116,0.00571,0.124
1893,0.00907,0.116,0.00116,0.00575,0.13
1894,0.0094,0.117,0.00117,0.00579,0.136
1895,0.00976,0.118,0.0011799999999999998,0.00583,0.14
1896,0.0101,0.119,0.0011899999999999999,0.00587,0.144
1897,0.0105,0.12,0.0012,0.00591,0.148
1898,0.0109,0.121,0.00121,0.00595,0.15
1899,0.011300000000000001,0.122,0.00122,0.0059900000000000005,0.152
1900,0.011800000000000001,0.123,0.00123,0.006030000000000001,0.152
1901,0.0123,0.123,0.00125,0.00607,0.152
1902,0.0128,0.124,0.00126,0.00611,0.15
1903,0.0134,0.125,0.00128,0.00615,0.148
1904,0.014,0.125,0.0013,0.00619,0.146
1905,0.0147,0.126,0.00132,0.00623,0.143
1906,0.015300000000000001,0.126,0.00135,0.00628,0.141
1907,0.0159,0.127,0.0013700000000000001,0.00632,0.138
1908,0.0165,0.127,0.00139,0.00636,0.136
