year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,3.84,0.0,0.878,0.0,7.17
1751,3.85,0.0,0.881,0.00654,7.19
1752,3.86,0.0,0.884,0.013099999999999999,7.22
1753,3.86,0.0,0.887,0.019600000000000003,7.24
1754,3.87,0.0,0.89,0.0261,7.27
1755,3.87,0.0,0.893,0.0327,7.29
1756,3.88,0.0,0.896,0.039200000000000006,7.32
1757,3.88,0.0,0.899,0.0458,7.34
1758,3.89,0.0,0.902,0.0523,7.37
1759,3.89,0.0,0.905,0.0588,7.39
1760,3.9,0.0,0.908,0.0654,7.41
1761,3.9,0.0,0.911,0.0719,7.44
1762,3.91,0.0,0.915,0.07840000000000001,7.47
1763,3.91,0.0,0.918,0.085,7.49
1764,3.92,0.0,0.921,0.0915,7.52
1765,3.92,0.0,0.924,0.098,7.54
1766,3.93,0.0,0.927,0.105,7.57
1767,3.93,0.0,0.93,0.111,7.59
1768,3.94,0.0,0.933,0.118,7.62
1769,3.94,0.0,0.936,0.124,7.65
1770,3.95,0.0,0.94,0.131,7.67
1771,3.95,0.0,0.943,0.137,7.7
1772,3.96,0.0,0.946,0.144,7.72
1773,3.96,0.0,0.949,0.15,7.75
1774,3.97,0.0,0.953,0.157,7.78
1775,3.97,0.0,0.956,0.163,7.8
1776,3.98,0.0,0.959,0.17,7.83
1777,3.98,0.0,0.962,0.176,7.86
1778,3.99,0.0,0.966,0.183,7.88
1779,3.99,0.0,0.969,0.19,7.91
1780,3.99,0.0,0.972,0.196,7.94
1781,4.0,0.0,0.975,0.203,7.96
1782,4.01,0.0,0.979,0.209,7.99
1783,4.01,0.0,0.982,0.216,8.02
1784,4.01,0.0,0.985,0.222,8.04
1785,4.02,0.0,0.989,0.229,8.07
1786,4.02,0.0,0.992,0.235,8.1
1787,4.03,0.0,0.995,0.242,8.13
1788,4.03,0.0,0.999,0.248,8.15
1789,4.04,0.0,1.0,0.255,8.18
1790,4.04,0.0,1.01,0.261,8.21
1791,4.05,0.0,1.01,0.268,8.24
1792,4.05,0.0,1.01,0.275,8.27
1793,4.06,0.0,1.02,0.281,8.29
1794,4.06,0.0,1.02,0.288,8.32
1795,4.07,0.0,1.02,0.294,8.35
1796,4.07,0.0,1.03,0.301,8.38
1797,4.08,0.0,1.03,0.307,8.41
1798,4.08,0.0,1.03,0.314,8.44
1799,4.08,0.0,1.04,0.32,8.46
1800,4.09,0.0,1.04,0.327,8.49
1801,4.09,0.0,1.04,0.333,8.52
1802,4.1,0.0,1.05,0.34,8.55
1803,4.1,0.0,1.05,0.346,8.58
1804,4.11,0.0,1.05,0.353,8.61
1805,4.11,0.0,1.06,0.36,8.64
1806,4.12,0.0,1.06,0.366,8.67
1807,4.12,0.0,1.07,0.373,8.7
1808,4.13,0.0,1.07,0.379,8.73
1809,4.13,0.0,1.07,0.386,8.76
1810,4.13,0.0,1.08,0.392,8.78
1811,4.14,0.0,1.08,0.399,8.81
1812,4.14,0.0,1.08,0.405,8.85
1813,4.15,0.0,1.09,0.412,8.88
1814,4.15,0.0,1.09,0.418,8.91
1815,4.16,0.0,1.09,0.425,8.94
1816,4.16,0.0,1.1,0.431,8.97
1817,4.16,0.0,1.1,0.438,9.0
1818,4.17,0.0,1.11,0.444,9.03
1819,4.17,0.0,1.11,0.451,9.06
1820,4.18,0.0,1.11,0.458,9.09
1821,4.19,0.0,1.12,0.464,9.15
1822,4.21,0.0,1.13,0.471,9.21
1823,4.23,0.0,1.14,0.477,9.27
1824,4.25,0.0,1.14,0.484,9.33
1825,4.26,0.0,1.15,0.49,9.39
1826,4.28,0.0,1.16,0.497,9.45
1827,4.3,0.0,1.16,0.503,9.51
1828,4.31,0.0,1.17,0.51,9.57
1829,4.33,0.0,1.18,0.516,9.63
1830,4.35,0.0,1.19,0.523,9.69
1831,4.37,0.0,1.19,0.529,9.75
1832,4.38,0.0,1.2,0.536,9.82
1833,4.4,0.0,1.21,0.543,9.88
1834,4.42,0.0,1.22,0.549,9.95
1835,4.44,0.0,1.23,0.556,10.0
1836,4.45,0.0,1.23,0.562,10.1
1837,4.47,0.0,1.24,0.569,10.1
1838,4.49,0.0,1.25,0.575,10.2
1839,4.5,0.0,1.26,0.582,10.3
1840,4.52,0.0,1.27,0.588,10.3
1841,4.54,0.0,1.27,0.595,10.4
1842,4.56,0.0,1.28,0.601,10.5
1843,4.58,0.0,1.29,0.608,10.5
1844,4.6,0.0,1.3,0.614,10.6
1845,4.61,0.0,1.31,0.621,10.7
1846,4.63,0.0,1.32,0.628,10.7
1847,4.65,0.0,1.32,0.634,10.8
1848,4.67,0.0,1.33,0.641,10.9
1849,4.68,0.0,1.34,0.647,10.9
