year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.038299999999999994,0.0,0.0179,0.0,0.0252
1751,0.038200000000000005,0.0,0.0179,2.7300000000000003e-05,0.0252
1752,0.038200000000000005,0.0,0.018,5.4600000000000006e-05,0.0252
1753,0.038200000000000005,0.0,0.018,8.19e-05,0.0252
1754,0.038200000000000005,0.0,0.018,0.00010899999999999999,0.0252
1755,0.038200000000000005,0.0,0.018,0.000136,0.0252
1756,0.038200000000000005,0.0,0.018,0.000164,0.0252
1757,0.038200000000000005,0.0,0.018,0.000191,0.0252
1758,0.038200000000000005,0.0,0.018,0.00021799999999999999,0.0252
1759,0.0381,0.0,0.018,0.000246,0.0252
1760,0.0381,0.0,0.018,0.000273,0.0252
1761,0.0381,0.0,0.018,0.0003,0.0252
1762,0.0381,0.0,0.018,0.00032700000000000003,0.0252
1763,0.0381,0.0,0.018,0.00035499999999999996,0.0252
1764,0.0381,0.0,0.018,0.000382,0.0252
1765,0.038,0.0,0.018,0.00040899999999999997,0.0253
1766,0.038,0.0,0.018,0.000437,0.0253
1767,0.038,0.0,0.018,0.000464,0.0253
1768,0.038,0.0,0.018,0.000491,0.0253
1769,0.038,0.0,0.018,0.000518,0.0253
1770,0.038,0.0,0.018,0.000546,0.0253
1771,0.038,0.0,0.018,0.0005729999999999999,0.0253
1772,0.037899999999999996,0.0,0.018,0.0006,0.0253
1773,0.037899999999999996,0.0,0.018,0.000628,0.0253
1774,0.037899999999999996,0.0,0.018,0.000655,0.0253
1775,0.037899999999999996,0.0,0.018,0.0006820000000000001,0.0253
1776,0.037899999999999996,0.0,0.018,0.000709,0.0253
1777,0.0378,0.0,0.018,0.000737,0.0253
1778,0.0378,0.0,0.018,0.000764,0.0253
1779,0.0378,0.0,0.018,0.000791,0.0253
1780,0.0378,0.0,0.0181,0.000819,0.0253
1781,0.0378,0.0,0.0181,0.000846,0.0253
1782,0.037700000000000004,0.0,0.0181,0.000873,0.0253
1783,0.037700000000000004,0.0,0.0181,0.0009,0.0253
1784,0.037700000000000004,0.0,0.0181,0.000928,0.0254
1785,0.037700000000000004,0.0,0.0181,0.000955,0.0254
1786,0.037700000000000004,0.0,0.0181,0.000982,0.0254
1787,0.0376,0.0,0.0181,0.00101,0.0254
1788,0.0376,0.0,0.0181,0.0010400000000000001,0.0254
1789,0.0376,0.0,0.0181,0.00106,0.0254
1790,0.0376,0.0,0.0181,0.00109,0.0254
1791,0.0376,0.0,0.0181,0.0011200000000000001,0.0254
1792,0.0375,0.0,0.0181,0.00115,0.0254
1793,0.0375,0.0,0.0181,0.00117,0.0254
1794,0.0375,0.0,0.0181,0.0012,0.0254
1795,0.0375,0.0,0.0181,0.00123,0.0254
1796,0.037399999999999996,0.0,0.0181,0.00126,0.0254
1797,0.037399999999999996,0.0,0.0181,0.00128,0.0254
1798,0.037399999999999996,0.0,0.0181,0.00131,0.0254
1799,0.037399999999999996,0.0,0.0181,0.00134,0.0254
1800,0.037399999999999996,0.0,0.0181,0.00136,0.0254
1801,0.0373,0.0,0.0181,0.00139,0.0254
1802,0.0373,0.0,0.0181,0.0014199999999999998,0.0254
1803,0.0373,0.0,0.0181,0.00145,0.0254
1804,0.037200000000000004,0.0,0.0181,0.00147,0.0255
1805,0.037200000000000004,0.0,0.0181,0.0015,0.0255
1806,0.037200000000000004,0.0,0.0181,0.0015300000000000001,0.0255
1807,0.037200000000000004,0.0,0.0182,0.00156,0.0255
1808,0.0371,0.0,0.0182,0.00158,0.0255
1809,0.0371,0.0,0.0182,0.00161,0.0255
1810,0.0371,0.0,0.0182,0.00164,0.0255
1811,0.0371,0.0,0.0182,0.00166,0.0255
1812,0.037,0.0,0.0182,0.0016899999999999999,0.0255
1813,0.037,0.0,0.0182,0.00172,0.0255
1814,0.037,0.0,0.0182,0.00175,0.0255
1815,0.036899999999999995,0.0,0.0182,0.00177,0.0255
1816,0.036899999999999995,0.0,0.0182,0.0018,0.0255
1817,0.036899999999999995,0.0,0.0182,0.00183,0.0255
1818,0.036899999999999995,0.0,0.0182,0.00186,0.0255
1819,0.0368,0.0,0.0182,0.00188,0.0255
1820,0.0368,0.0,0.0182,0.00191,0.0255
1821,0.0375,0.0,0.018600000000000002,0.0019399999999999999,0.0261
1822,0.038299999999999994,0.0,0.019,0.00196,0.026600000000000002
1823,0.039,0.0,0.019399999999999997,0.00199,0.0272
1824,0.039799999999999995,0.0,0.0198,0.00202,0.0277
1825,0.0405,0.0,0.0202,0.0020499999999999997,0.028300000000000002
1826,0.041299999999999996,0.0,0.0206,0.00207,0.0288
1827,0.042,0.0,0.0209,0.0021000000000000003,0.0294
1828,0.0428,0.0,0.0213,0.00213,0.0299
1829,0.0435,0.0,0.0217,0.00216,0.0305
1830,0.0442,0.0,0.0221,0.00218,0.031100000000000003
1831,0.0442,0.0,0.0221,0.00221,0.031100000000000003
1832,0.0442,0.0,0.0221,0.0022400000000000002,0.031100000000000003
1833,0.0441,0.0,0.0221,0.00226,0.031100000000000003
1834,0.0441,0.0,0.0221,0.00229,0.031100000000000003
1835,0.044,0.0,0.0222,0.00232,0.031100000000000003
1836,0.044,0.0,0.0222,0.00235,0.031100000000000003
1837,0.0439,0.0,0.0222,0.00237,0.031100000000000003
1838,0.0439,0.0,0.0222,0.0024,0.031100000000000003
1839,0.0438,0.0,0.0222,0.0024300000000000003,0.031100000000000003
1840,0.0438,0.0,0.0222,0.00246,0.031100000000000003
1841,0.0437,0.0,0.0222,0.00248,0.031100000000000003
1842,0.0437,0.0,0.0222,0.0025099999999999996,0.031100000000000003
1843,0.0436,0.0,0.0222,0.00254,0.031100000000000003
1844,0.0436,0.0,0.0222,0.00256,0.031100000000000003
1845,0.0435,0.0,0.0222,0.00259,0.031100000000000003
1846,0.0435,0.0,0.0222,0.00262,0.0312
1847,0.0434,0.0,0.0222,0.00265,0.0312
1848,0.0434,0.0,0.0222,0.00267,0.0312
1849,0.0433,0.0,0.0222,0.0027,0.0312
1850,0.0435,0.00662,0.0222,0.00273,0.0446
1851,0.0434,0.00675,0.0222,0.00276,0.044899999999999995
1852,0.0434,0.006889999999999999,0.0223,0.00278,0.045200000000000004
1853,0.0433,0.007019999999999999,0.0223,0.00281,0.045399999999999996
1854,0.0433,0.00714,0.0223,0.0028399999999999996,0.045700000000000005
1855,0.0432,0.00725,0.0223,0.00287,0.045899999999999996
1856,0.0432,0.00735,0.0223,0.00289,0.0461
1857,0.0431,0.00743,0.0224,0.00292,0.046299999999999994
1858,0.0431,0.0075,0.0224,0.0029500000000000004,0.0464
1859,0.043,0.007549999999999999,0.0224,0.00297,0.0465
1860,0.043,0.00757,0.0224,0.003,0.0466
1861,0.0429,0.0075899999999999995,0.0224,0.0030299999999999997,0.0466
1862,0.0429,0.0076,0.0224,0.0030600000000000002,0.046700000000000005
1863,0.0428,0.0076,0.0224,0.0030800000000000003,0.046700000000000005
1864,0.0427,0.0076100000000000004,0.0224,0.00311,0.046700000000000005
1865,0.0427,0.0076100000000000004,0.0224,0.00314,0.046700000000000005
1866,0.0426,0.00762,0.0224,0.00317,0.046700000000000005
1867,0.0425,0.00762,0.0224,0.00319,0.046700000000000005
1868,0.0425,0.00763,0.0224,0.00322,0.046799999999999994
1869,0.0424,0.00764,0.0224,0.00325,0.046799999999999994
1870,0.0424,0.00766,0.0224,0.00327,0.046799999999999994
1871,0.0429,0.0077800000000000005,0.0228,0.0033,0.0476
1872,0.0436,0.00811,0.0232,0.00333,0.0487
1873,0.0442,0.00858,0.023600000000000003,0.0033599999999999997,0.0502
1874,0.0448,0.00916,0.024,0.0033799999999999998,0.0519
1875,0.045399999999999996,0.009800000000000001,0.0245,0.0034100000000000003,0.053700000000000005
1876,0.046,0.0105,0.0249,0.00344,0.0555
1877,0.046700000000000005,0.0111,0.0253,0.00347,0.0572
1878,0.047299999999999995,0.0116,0.0258,0.00349,0.0588
1879,0.0479,0.012,0.026199999999999998,0.00352,0.060200000000000004
1880,0.0485,0.0123,0.026600000000000002,0.0035499999999999998,0.061200000000000004
1881,0.0484,0.0125,0.026600000000000002,0.00357,0.0615
1882,0.048299999999999996,0.0126,0.026600000000000002,0.0036,0.061799999999999994
1883,0.0482,0.0127,0.026600000000000002,0.00363,0.062
1884,0.048100000000000004,0.0128,0.026600000000000002,0.00366,0.062200000000000005
1885,0.048100000000000004,0.0128,0.026699999999999998,0.00368,0.0624
1886,0.048,0.0129,0.026699999999999998,0.0037099999999999998,0.0625
1887,0.0479,0.013,0.026699999999999998,0.0037400000000000003,0.0627
1888,0.047799999999999995,0.013099999999999999,0.026699999999999998,0.00377,0.0628
1889,0.047700000000000006,0.0132,0.026699999999999998,0.00379,0.063
1890,0.047700000000000006,0.013300000000000001,0.0268,0.00382,0.0643
1891,0.0476,0.0134,0.0268,0.00385,0.0643
1892,0.0475,0.0135,0.0268,0.00387,0.0644
1893,0.0474,0.0136,0.0268,0.0039,0.0645
1894,0.047299999999999995,0.013699999999999999,0.0268,0.00393,0.06459999999999999
1895,0.047200000000000006,0.013900000000000001,0.0269,0.00396,0.06470000000000001
1896,0.0471,0.014,0.0269,0.00398,0.0648
1897,0.0471,0.0141,0.0269,0.00401,0.065
1898,0.047,0.0143,0.027,0.00404,0.06509999999999999
1899,0.0469,0.0145,0.027,0.004070000000000001,0.0653
1900,0.046799999999999994,0.0146,0.027,0.00409,0.0654
1901,0.0456,0.0148,0.027,0.00412,0.0655
1902,0.0443,0.015099999999999999,0.027,0.00415,0.06570000000000001
1903,0.0431,0.0154,0.027,0.00417,0.0658
