year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.00269
1851,0.00269
1852,0.00269
1853,0.00269
1854,0.00269
1855,0.00269
1856,0.00269
1857,0.00269
1858,0.00269
1859,0.00269
1860,0.00269
1861,0.00269
1862,0.00269
1863,0.00269
1864,0.00269
1865,0.00269
1866,0.00269
1867,0.00269
1868,0.00269
1869,0.00269
1870,0.0027
1871,0.0027
1872,0.0027
1873,0.0027
1874,0.0027
1875,0.0027
1876,0.0027
1877,0.0027
1878,0.0027
1879,0.0027
1880,0.0027
1881,0.0027
1882,0.0027
1883,0.0027
1884,0.0027
1885,0.0027
1886,0.0027
1887,0.0027
1888,0.0027
1889,0.0027
1890,0.0027
1891,0.00316
1892,0.00442
1893,0.00634
1894,0.00876
1895,0.0115
1896,0.0144
1897,0.0174
1898,0.0202
1899,0.022699999999999998
1900,0.0247
1901,0.0264
1902,0.027899999999999998
1903,0.0294
1904,0.030699999999999998
1905,0.032
1906,0.033299999999999996
1907,0.0347
1908,0.0362
1909,0.037700000000000004
1910,0.0395
1911,0.0414
1912,0.0434
1913,0.0456
1914,0.0479
1915,0.0503
1916,0.0528
1917,0.0555
1918,0.0582
1919,0.0611
1920,0.06420000000000001
1921,0.07629999999999999
1922,0.104
1923,0.145
1924,0.196
1925,0.254
1926,0.315
1927,0.377
1928,0.437
1929,0.49
1930,0.535
1931,0.574
1932,0.612
1933,0.648
1934,0.684
1935,0.718
1936,0.753
1937,0.787
1938,0.822
1939,0.857
1940,0.893
1941,0.929
1942,0.966
1943,1.0
1944,1.05
1945,1.09
1946,1.13
1947,1.18
1948,1.23
1949,1.29
1950,1.34
1951,1.41
1952,1.48
1953,1.55
1954,1.63
1955,1.72
1956,1.81
1957,1.9
1958,1.99
1959,2.09
1960,2.19
1961,2.3
1962,2.43
1963,2.56
1964,2.7
1965,2.85
1966,2.99
1967,3.12
1968,3.25
1969,3.35
1970,3.44
1971,3.52
1972,3.59
1973,3.67
1974,3.74
1975,3.81
1976,3.87
1977,3.93
1978,3.98
1979,4.03
1980,4.06
1981,4.08
1982,4.09
1983,4.08
1984,4.07
1985,4.05
1986,4.04
1987,4.02
1988,4.01
1989,4.01
1990,6.55
1991,7.56
1992,7.69
1993,11.1
1994,13.6
1995,17.9
1996,18.4
1997,20.0
1998,16.7
1999,13.5
2000,12.3
2001,10.1
2002,9.53
2003,9.22
2004,9.82
2005,9.02
2006,9.44
2007,8.33
2008,6.14
2009,4.27
2010,4.71
2011,4.15
2012,3.89
2013,3.77
2014,4.17
2015,4.09
2016,4.15
2017,4.31
2018,4.11
2019,4.23
2020,4.21
2021,4.19
2022,4.23
2023,4.23
