year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.000898,0.0,0.0695,1.6e-18,0.541
1751,0.000901,0.0,0.0697,0.000472,0.543
1752,0.0009040000000000001,0.0,0.07,0.0009429999999999999,0.545
1753,0.0009080000000000001,0.0,0.0703,0.0014199999999999998,0.547
1754,0.000911,0.0,0.0705,0.00189,0.549
1755,0.000914,0.0,0.0708,0.0023599999999999997,0.551
1756,0.0009180000000000001,0.0,0.071,0.00283,0.553
1757,0.000921,0.0,0.0713,0.0033,0.555
1758,0.000924,0.0,0.0715,0.00377,0.557
1759,0.000928,0.0,0.0718,0.00425,0.559
1760,0.0009310000000000001,0.0,0.0721,0.004719999999999999,0.561
1761,0.000934,0.0,0.0723,0.00519,0.563
1762,0.0009379999999999999,0.0,0.0726,0.00566,0.565
1763,0.000941,0.0,0.0729,0.00613,0.567
1764,0.000945,0.0,0.0731,0.0066,0.569
1765,0.000948,0.0,0.0734,0.00708,0.571
1766,0.0009519999999999999,0.0,0.0737,0.007549999999999999,0.573
1767,0.000955,0.0,0.07390000000000001,0.00802,0.575
1768,0.000958,0.0,0.0742,0.008490000000000001,0.577
1769,0.000962,0.0,0.0745,0.008960000000000001,0.579
1770,0.0009649999999999999,0.0,0.0747,0.00943,0.581
1771,0.000969,0.0,0.075,0.00991,0.584
1772,0.000973,0.0,0.07529999999999999,0.0104,0.586
1773,0.000976,0.0,0.0756,0.0108,0.588
1774,0.00098,0.0,0.07579999999999999,0.011300000000000001,0.59
1775,0.000983,0.0,0.0761,0.011800000000000001,0.592
1776,0.000987,0.0,0.07640000000000001,0.0123,0.594
1777,0.00099,0.0,0.0767,0.0127,0.597
1778,0.000994,0.0,0.07690000000000001,0.0132,0.599
1779,0.000998,0.0,0.0772,0.013699999999999999,0.601
1780,0.001,0.0,0.0775,0.014199999999999999,0.603
1781,0.001,0.0,0.0778,0.0146,0.605
1782,0.00101,0.0,0.07809999999999999,0.015099999999999999,0.607
1783,0.00101,0.0,0.07840000000000001,0.0156,0.61
1784,0.00102,0.0,0.07859999999999999,0.016,0.612
1785,0.00102,0.0,0.07890000000000001,0.0165,0.614
1786,0.00102,0.0,0.0792,0.017,0.616
1787,0.00103,0.0,0.0795,0.0175,0.619
1788,0.00103,0.0,0.0798,0.0179,0.621
1789,0.00103,0.0,0.08009999999999999,0.0184,0.623
1790,0.0010400000000000001,0.0,0.0804,0.0189,0.625
1791,0.0010400000000000001,0.0,0.08070000000000001,0.0193,0.628
1792,0.0010500000000000002,0.0,0.081,0.0198,0.63
