year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,2.2800000000000002e-05,0.0,0.000451,8.75e-21,0.000964
1751,2.29e-05,0.0,0.00045400000000000003,1e-06,0.000969
1752,2.3e-05,0.0,0.000456,2.0100000000000002e-06,0.0009739999999999999
1753,2.31e-05,0.0,0.00045900000000000004,3.01e-06,0.000979
1754,2.3199999999999998e-05,0.0,0.00046100000000000004,4.01e-06,0.000984
1755,2.34e-05,0.0,0.00046300000000000003,5.02e-06,0.000989
1756,2.35e-05,0.0,0.00046600000000000005,6.02e-06,0.000994
1757,2.36e-05,0.0,0.00046800000000000005,7.0200000000000006e-06,0.000999
1758,2.37e-05,0.0,0.00047,8.030000000000001e-06,0.001
1759,2.3800000000000003e-05,0.0,0.00047299999999999995,9.03e-06,0.00101
1760,2.4e-05,0.0,0.000475,1e-05,0.00101
1761,2.41e-05,0.0,0.00047799999999999996,1.1e-05,0.00102
1762,2.42e-05,0.0,0.00047999999999999996,1.2e-05,0.00103
1763,2.4299999999999998e-05,0.0,0.000483,1.3e-05,0.00103
1764,2.44e-05,0.0,0.00048499999999999997,1.4e-05,0.0010400000000000001
1765,2.46e-05,0.0,0.000488,1.5100000000000001e-05,0.0010400000000000001
1766,2.47e-05,0.0,0.00049,1.61e-05,0.0010500000000000002
1767,2.48e-05,0.0,0.000493,1.7100000000000002e-05,0.0010500000000000002
1768,2.49e-05,0.0,0.000495,1.8100000000000003e-05,0.00106
1769,2.51e-05,0.0,0.000498,1.91e-05,0.00106
1770,2.52e-05,0.0,0.0005,2.01e-05,0.00107
1771,2.53e-05,0.0,0.000503,2.11e-05,0.00107
1772,2.5399999999999997e-05,0.0,0.000505,2.2100000000000002e-05,0.00108
1773,2.5600000000000002e-05,0.0,0.000508,2.31e-05,0.00108
1774,2.57e-05,0.0,0.0005110000000000001,2.41e-05,0.00109
1775,2.58e-05,0.0,0.000513,2.51e-05,0.0011
1776,2.6e-05,0.0,0.000516,2.61e-05,0.0011
1777,2.61e-05,0.0,0.000519,2.7099999999999998e-05,0.00111
1778,2.62e-05,0.0,0.000521,2.81e-05,0.00111
1779,2.64e-05,0.0,0.000524,2.91e-05,0.0011200000000000001
1780,2.65e-05,0.0,0.000527,3.01e-05,0.0011200000000000001
1781,2.66e-05,0.0,0.0005290000000000001,3.11e-05,0.00113
1782,2.68e-05,0.0,0.000532,3.2099999999999994e-05,0.00114
1783,2.69e-05,0.0,0.000535,3.31e-05,0.00114
1784,2.7e-05,0.0,0.0005380000000000001,3.4099999999999995e-05,0.00115
1785,2.7199999999999997e-05,0.0,0.00054,3.51e-05,0.00115
1786,2.7300000000000003e-05,0.0,0.0005430000000000001,3.61e-05,0.00116
1787,2.7400000000000002e-05,0.0,0.000546,3.71e-05,0.00117
1788,2.76e-05,0.0,0.000549,3.8100000000000005e-05,0.00117
1789,2.77e-05,0.0,0.0005510000000000001,3.91e-05,0.0011799999999999998
1790,2.7799999999999998e-05,0.0,0.000554,4.01e-05,0.0011799999999999998
1791,2.8e-05,0.0,0.0005570000000000001,4.1099999999999996e-05,0.0011899999999999999
1792,2.81e-05,0.0,0.0005600000000000001,4.21e-05,0.0012
1793,2.83e-05,0.0,0.0005629999999999999,4.32e-05,0.0012
1794,2.8400000000000003e-05,0.0,0.000566,4.4200000000000004e-05,0.00121
1795,2.85e-05,0.0,0.000569,4.5199999999999994e-05,0.00121
1796,2.87e-05,0.0,0.0005719999999999999,4.62e-05,0.00122
1797,2.88e-05,0.0,0.000575,4.72e-05,0.00123
1798,2.9e-05,0.0,0.000578,4.82e-05,0.00123
1799,2.91e-05,0.0,0.0005809999999999999,4.92e-05,0.00124
1800,2.93e-05,0.0,0.000583,5.02e-05,0.00125
1801,2.94e-05,0.0,0.000587,5.1200000000000004e-05,0.00125
1802,2.96e-05,0.0,0.0005899999999999999,5.22e-05,0.00126
1803,2.97e-05,0.0,0.000593,5.32e-05,0.00127
1804,2.98e-05,0.0,0.000596,5.4199999999999996e-05,0.00127
1805,2.9999999999999997e-05,0.0,0.0005989999999999999,5.52e-05,0.00128
1806,3.01e-05,0.0,0.000602,5.62e-05,0.00128
1807,3.03e-05,0.0,0.000605,5.72e-05,0.0012900000000000001
1808,3.04e-05,0.0,0.000608,5.82e-05,0.0013
1809,3.06e-05,0.0,0.000611,5.92e-05,0.0013
1810,3.07e-05,0.0,0.000614,6.02e-05,0.00131
1811,3.09e-05,0.0,0.000618,6.12e-05,0.00132
1812,3.11e-05,0.0,0.000621,6.22e-05,0.00133
1813,3.12e-05,0.0,0.000624,6.32e-05,0.00133
1814,3.14e-05,0.0,0.000628,6.419999999999999e-05,0.00134
1815,3.16e-05,0.0,0.000631,6.52e-05,0.00135
1816,3.17e-05,0.0,0.000635,6.62e-05,0.00135
1817,3.1899999999999996e-05,0.0,0.000638,6.72e-05,0.00136
1818,3.2e-05,0.0,0.000641,6.819999999999999e-05,0.0013700000000000001
1819,3.22e-05,0.0,0.0006450000000000001,6.92e-05,0.00138
1820,3.24e-05,0.0,0.000648,7.02e-05,0.00138
1821,3.2500000000000004e-05,0.0,0.000652,7.13e-05,0.00139
1822,3.27e-05,0.0,0.000655,7.230000000000001e-05,0.0014
1823,3.29e-05,0.0,0.0006590000000000001,7.33e-05,0.00141
1824,3.31e-05,0.0,0.0006630000000000001,7.43e-05,0.00141
1825,3.32e-05,0.0,0.000666,7.53e-05,0.0014199999999999998
1826,3.34e-05,0.0,0.00067,7.630000000000001e-05,0.0014299999999999998
1827,3.36e-05,0.0,0.0006730000000000001,7.73e-05,0.0014399999999999999
1828,3.37e-05,0.0,0.0006770000000000001,7.829999999999999e-05,0.00145
1829,3.39e-05,0.0,0.0006810000000000001,7.929999999999999e-05,0.00145
1830,3.4099999999999995e-05,0.0,0.000684,8.03e-05,0.00146
1831,3.43e-05,0.0,0.0006879999999999999,8.13e-05,0.00147
1832,3.44e-05,0.0,0.0006919999999999999,8.23e-05,0.00148
1833,3.46e-05,0.0,0.000696,8.33e-05,0.00149
1834,3.48e-05,0.0,0.000699,8.43e-05,0.00149
1835,3.5000000000000004e-05,0.0,0.000703,8.53e-05,0.0015
1836,3.52e-05,0.0,0.000707,8.63e-05,0.00151
1837,3.53e-05,0.0,0.0007109999999999999,8.730000000000001e-05,0.00152
1838,3.5499999999999996e-05,0.0,0.0007149999999999999,8.83e-05,0.0015300000000000001
1839,3.57e-05,0.0,0.000718,8.93e-05,0.0015300000000000001
1840,3.59e-05,0.0,0.000722,9.03e-05,0.0015400000000000001
1841,3.5999999999999994e-05,0.0,0.000726,9.130000000000001e-05,0.00155
1842,3.6200000000000006e-05,0.0,0.00073,9.23e-05,0.00156
1843,3.6400000000000004e-05,0.0,0.000734,9.329999999999999e-05,0.00157
1844,3.66e-05,0.0,0.0007379999999999999,9.429999999999999e-05,0.00158
1845,3.68e-05,0.0,0.000742,9.53e-05,0.00158
1846,3.7e-05,0.0,0.000746,9.63e-05,0.00159
1847,3.7199999999999996e-05,0.0,0.00075,9.73e-05,0.0016
1848,3.73e-05,0.0,0.000754,9.83e-05,0.00161
1849,3.75e-05,0.0,0.000758,9.94e-05,0.0016200000000000001
1850,4.2999999999999995e-05,0.0,0.000762,0.0001,0.00173
1851,4.44e-05,0.0,0.000766,0.000101,0.00174
1852,4.5900000000000004e-05,0.0,0.000771,0.000102,0.00175
1853,4.75e-05,0.0,0.000776,0.000103,0.00176
1854,4.91e-05,0.0,0.00078,0.000104,0.00177
1855,5.07e-05,0.0,0.000785,0.00010499999999999999,0.0017800000000000001
1856,5.24e-05,0.0,0.00079,0.000106,0.0018
1857,5.41e-05,0.0,0.000794,0.000107,0.00181
1858,5.59e-05,0.0,0.000798,0.000108,0.00182
1859,5.77e-05,0.0,0.000803,0.00010899999999999999,0.00183
1860,5.9499999999999996e-05,0.0,0.0008070000000000001,0.00011,0.00184
1861,6.1e-05,0.0,0.0008100000000000001,0.000111,0.00184
1862,6.25e-05,0.0,0.000812,0.000112,0.00185
1863,6.41e-05,0.0,0.000815,0.00011300000000000001,0.00185
1864,6.57e-05,0.0,0.0008179999999999999,0.000114,0.00186
1865,6.74e-05,0.0,0.00082,0.000115,0.0018700000000000001
1866,6.91e-05,0.0,0.000823,0.000116,0.0018700000000000001
1867,7.09e-05,0.0,0.0008259999999999999,0.00011700000000000001,0.00188
1868,7.27e-05,0.0,0.000828,0.000118,0.00188
1869,7.46e-05,0.0,0.0008309999999999999,0.00011899999999999999,0.00189
1870,7.65e-05,0.0,0.000834,0.00011999999999999999,0.0019
1871,7.86e-05,0.0,0.000837,0.000121,0.0019
1872,8.08e-05,0.0,0.000841,0.000122,0.0019199999999999998
1873,8.319999999999999e-05,0.0,0.000847,0.000123,0.0019399999999999999
1874,8.57e-05,0.0,0.000852,0.000124,0.00196
1875,8.840000000000001e-05,0.0,0.000858,0.000125,0.00198
1876,9.11e-05,0.0,0.000864,0.000126,0.002
1877,9.389999999999999e-05,0.0,0.000869,0.000127,0.00202
1878,9.669999999999999e-05,0.0,0.000875,0.000128,0.00204
1879,9.94e-05,0.0,0.00088,0.000129,0.00206
1880,0.000102,0.0,0.000884,0.00013000000000000002,0.00207
1881,0.000101,0.0,0.000887,0.000131,0.0020800000000000003
1882,0.000104,0.0,0.000891,0.000132,0.00209
1883,0.000108,0.0,0.000894,0.000133,0.0021000000000000003
1884,0.000112,0.0,0.000897,0.000134,0.00211
1885,0.000116,0.0,0.0009,0.000135,0.00211
1886,0.000121,0.0,0.0009040000000000001,0.000136,0.00212
1887,0.000125,0.0,0.000907,0.00013700000000000002,0.00213
1888,0.00013000000000000002,0.0,0.00091,0.00013800000000000002,0.00214
1889,0.000134,0.0,0.0009130000000000001,0.00013900000000000002,0.00215
1890,0.00014099999999999998,0.0,0.0009170000000000001,0.00014000000000000001,0.00219
1891,0.00014099999999999998,0.0,0.00092,0.00014199999999999998,0.00218
1892,0.00014199999999999998,0.0,0.000924,0.00014299999999999998,0.00217
1893,0.00014299999999999998,0.0,0.0009270000000000001,0.00014399999999999998,0.00217
1894,0.00014299999999999998,0.0,0.0009310000000000001,0.000145,0.00216
1895,0.00014399999999999998,0.0,0.000934,0.000146,0.00216
1896,0.000145,0.0,0.0009379999999999999,0.000147,0.00216
1897,0.000146,0.0,0.000941,0.000148,0.00216
1898,0.000148,0.0,0.000945,0.000149,0.00216
1899,0.000149,0.0,0.000949,0.00015,0.00217
1900,0.00015,0.0,0.000953,0.00015099999999999998,0.00217
1901,0.000156,0.0,0.000962,0.000152,0.00219
1902,0.000166,0.0,0.000972,0.000153,0.00222
1903,0.000175,0.0,0.0009809999999999999,0.000154,0.00225
1904,0.000185,0.0,0.000991,0.000155,0.00228
1905,0.000195,0.0,0.001,0.000156,0.00231
1906,0.000205,0.0,0.00101,0.000157,0.00235
1907,0.000215,0.0,0.00102,0.000158,0.0023799999999999997
1908,0.00022600000000000002,0.0,0.00103,0.00015900000000000002,0.0024100000000000002
1909,0.000237,0.0,0.0010400000000000001,0.00016,0.00244
1910,0.000248,0.0,0.0010500000000000002,0.000161,0.0024700000000000004
1911,0.000254,0.0,0.00106,0.000162,0.00249
1912,0.000261,0.0,0.00107,0.000163,0.0025099999999999996
1913,0.00026700000000000004,0.0,0.00108,0.000164,0.0025299999999999997
1914,0.00027400000000000005,0.0,0.00109,0.000165,0.0025499999999999997
1915,0.00028000000000000003,0.0,0.0011,0.000166,0.00257
1916,0.000287,0.0,0.00111,0.00016700000000000002,0.00259
1917,0.00029299999999999997,0.0,0.0011200000000000001,0.00016800000000000002,0.00261
1918,0.0003,0.0,0.0011200000000000001,0.00016900000000000002,0.00263
1919,0.000306,0.0,0.00113,0.00017,0.00265
