year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,6.74e-05
1851,6.74e-05
1852,6.74e-05
1853,6.74e-05
1854,6.74e-05
1855,6.74e-05
1856,6.74e-05
1857,6.74e-05
1858,6.74e-05
1859,6.74e-05
1860,6.74e-05
1861,6.74e-05
1862,6.74e-05
1863,6.74e-05
1864,6.74e-05
1865,6.75e-05
1866,6.75e-05
1867,6.75e-05
1868,6.75e-05
1869,6.75e-05
1870,6.75e-05
1871,6.75e-05
1872,6.75e-05
1873,6.75e-05
1874,6.75e-05
1875,6.75e-05
1876,6.75e-05
1877,6.75e-05
1878,6.75e-05
1879,6.75e-05
1880,6.75e-05
1881,6.75e-05
1882,6.75e-05
1883,6.75e-05
1884,6.75e-05
1885,6.75e-05
1886,6.75e-05
1887,6.75e-05
1888,6.75e-05
1889,6.75e-05
1890,6.75e-05
1891,7.89e-05
1892,0.00011
1893,0.000158
1894,0.000217
1895,0.000285
1896,0.000357
1897,0.00043
1898,0.000499
1899,0.0005610000000000001
1900,0.000612
1901,0.000653
1902,0.000691
1903,0.000726
1904,0.000759
1905,0.000791
1906,0.000824
1907,0.000858
1908,0.000894
1909,0.000933
1910,0.000976
1911,0.00102
1912,0.00107
1913,0.00113
1914,0.0011799999999999998
1915,0.00124
1916,0.0013
1917,0.0013700000000000001
1918,0.0014399999999999999
1919,0.00151
1920,0.00159
1921,0.00189
1922,0.00259
1923,0.00362
1924,0.004889999999999999
1925,0.00633
1926,0.00787
1927,0.00942
1928,0.0109
1929,0.012199999999999999
1930,0.0134
1931,0.0143
1932,0.015300000000000001
1933,0.0162
1934,0.0171
1935,0.0179
1936,0.0188
1937,0.0197
1938,0.0205
1939,0.0214
1940,0.0223
1941,0.0232
1942,0.0241
1943,0.0251
1944,0.0261
1945,0.0272
1946,0.028300000000000002
1947,0.0295
1948,0.0308
1949,0.032100000000000004
1950,0.033600000000000005
1951,0.0352
1952,0.036899999999999995
1953,0.038799999999999994
1954,0.040799999999999996
1955,0.043
1956,0.045200000000000004
1957,0.0475
1958,0.0499
1959,0.0523
1960,0.054799999999999995
1961,0.0575
1962,0.060700000000000004
1963,0.06409999999999999
1964,0.0676
1965,0.0712
1966,0.07479999999999999
1967,0.07809999999999999
1968,0.08120000000000001
1969,0.0839
1970,0.086
1971,0.0879
1972,0.08979999999999999
1973,0.0917
1974,0.0935
1975,0.0952
1976,0.0968
1977,0.0983
1978,0.0996
1979,0.101
1980,0.101
1981,0.102
1982,0.102
1983,0.102
1984,0.102
1985,0.101
1986,0.101
1987,0.1
1988,0.1
1989,0.1
1990,0.0658
1991,0.0703
1992,0.0621
1993,0.000428
1994,0.000438
1995,0.00045200000000000004
1996,0.00113
1997,0.0024100000000000002
1998,0.00231
1999,0.00272
2000,0.00309
2001,0.00281
2002,0.00283
2003,0.0032400000000000003
2004,0.00383
2005,0.0037099999999999998
2006,0.00387
2007,0.00417
2008,0.00387
2009,0.00302
2010,0.00349
2011,0.0034300000000000003
2012,0.028300000000000002
2013,0.0362
2014,0.17
2015,0.235
2016,0.367
2017,0.433
2018,0.443
2019,0.519
2020,0.57
2021,0.626
2022,0.672
2023,0.723
