year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00779,0.0,0.0211,3.82e-18,0.0135
1751,0.00787,0.0,0.0213,0.00017299999999999998,0.013699999999999999
1752,0.00796,0.0,0.0216,0.000345,0.013800000000000002
1753,0.008039999999999999,0.0,0.0218,0.000518,0.014
1754,0.00813,0.0,0.0221,0.000691,0.0141
1755,0.00821,0.0,0.0223,0.000864,0.0143
1756,0.008289999999999999,0.0,0.0225,0.0010400000000000001,0.0144
1757,0.00838,0.0,0.0228,0.00121,0.0146
1758,0.00846,0.0,0.023,0.00138,0.0147
1759,0.008539999999999999,0.0,0.0232,0.00155,0.0149
1760,0.00863,0.0,0.0235,0.00173,0.015
1761,0.00872,0.0,0.0237,0.0019,0.0152
1762,0.00881,0.0,0.024,0.00207,0.0154
1763,0.0089,0.0,0.0242,0.00225,0.0155
1764,0.009,0.0,0.0245,0.00242,0.0157
1765,0.009089999999999999,0.0,0.0248,0.00259,0.0159
1766,0.009179999999999999,0.0,0.025,0.00276,0.016
1767,0.009269999999999999,0.0,0.0253,0.00294,0.0162
1768,0.00936,0.0,0.0255,0.00311,0.016399999999999998
1769,0.009460000000000001,0.0,0.0258,0.00328,0.0165
1770,0.009550000000000001,0.0,0.0261,0.0034500000000000004,0.0167
1771,0.00965,0.0,0.0264,0.00363,0.0169
1772,0.00975,0.0,0.026600000000000002,0.0038,0.0171
1773,0.00985,0.0,0.0269,0.0039700000000000004,0.0173
1774,0.00996,0.0,0.0272,0.00415,0.0174
1775,0.0101,0.0,0.0275,0.00432,0.0176
1776,0.010199999999999999,0.0,0.027800000000000002,0.00449,0.0178
1777,0.0103,0.0,0.0281,0.00466,0.018
1778,0.0104,0.0,0.028399999999999998,0.00484,0.0182
1779,0.0105,0.0,0.0287,0.00501,0.0184
1780,0.0106,0.0,0.029,0.00518,0.018600000000000002
1781,0.0107,0.0,0.0293,0.00535,0.0188
1782,0.0108,0.0,0.0296,0.00553,0.019
1783,0.0109,0.0,0.0299,0.0057,0.0192
1784,0.011,0.0,0.0303,0.00587,0.019399999999999997
1785,0.0111,0.0,0.030600000000000002,0.00605,0.019600000000000003
1786,0.0112,0.0,0.030899999999999997,0.00622,0.0198
1787,0.0114,0.0,0.0312,0.00639,0.02
1788,0.0115,0.0,0.0315,0.00656,0.0202
1789,0.0116,0.0,0.0319,0.00674,0.020399999999999998
1790,0.011699999999999999,0.0,0.0322,0.00691,0.0206
1791,0.011800000000000001,0.0,0.0325,0.00708,0.0208
1792,0.0119,0.0,0.0329,0.00725,0.0211
1793,0.0121,0.0,0.033299999999999996,0.00743,0.0213
1794,0.012199999999999999,0.0,0.033600000000000005,0.0076,0.0215
1795,0.0123,0.0,0.034,0.00777,0.0218
1796,0.0124,0.0,0.0343,0.00795,0.022
1797,0.0125,0.0,0.0347,0.008119999999999999,0.0222
1798,0.0127,0.0,0.035,0.008289999999999999,0.0225
1799,0.0128,0.0,0.0354,0.00846,0.022699999999999998
1800,0.0129,0.0,0.0358,0.00864,0.0229
1801,0.013099999999999999,0.0,0.0362,0.00881,0.0232
1802,0.0132,0.0,0.0366,0.00898,0.023399999999999997
1803,0.013300000000000001,0.0,0.036899999999999995,0.00915,0.0237
1804,0.0135,0.0,0.0373,0.00933,0.023899999999999998
1805,0.0136,0.0,0.037700000000000004,0.0095,0.0242
1806,0.013699999999999999,0.0,0.0381,0.00967,0.024399999999999998
1807,0.013900000000000001,0.0,0.0385,0.00985,0.0247
1808,0.014,0.0,0.0389,0.01,0.0249
1809,0.0141,0.0,0.039299999999999995,0.010199999999999999,0.0252
1810,0.0143,0.0,0.039700000000000006,0.0104,0.0255
1811,0.0144,0.0,0.0402,0.0105,0.0257
1812,0.0146,0.0,0.040600000000000004,0.0107,0.026
1813,0.0147,0.0,0.041100000000000005,0.0109,0.0263
1814,0.0149,0.0,0.0415,0.0111,0.026600000000000002
1815,0.015,0.0,0.0419,0.0112,0.0269
1816,0.0152,0.0,0.0424,0.0114,0.0272
1817,0.015300000000000001,0.0,0.0428,0.0116,0.027399999999999997
1818,0.0155,0.0,0.0433,0.011699999999999999,0.0277
1819,0.0156,0.0,0.0437,0.0119,0.028
1820,0.0158,0.0,0.0441,0.0121,0.028300000000000002
1821,0.0159,0.0,0.0445,0.0123,0.0285
1822,0.016,0.0,0.044899999999999995,0.0124,0.0288
1823,0.0161,0.0,0.0453,0.0126,0.029
1824,0.016300000000000002,0.0,0.045700000000000005,0.0128,0.0293
1825,0.016399999999999998,0.0,0.0461,0.013,0.0295
1826,0.0165,0.0,0.0465,0.013099999999999999,0.0298
1827,0.0167,0.0,0.0469,0.013300000000000001,0.03
1828,0.016800000000000002,0.0,0.047299999999999995,0.0135,0.0303
1829,0.0169,0.0,0.0476,0.0136,0.0305
1830,0.017,0.0,0.048,0.013800000000000002,0.0308
1831,0.0171,0.0,0.0484,0.014,0.031
1832,0.0172,0.0,0.0487,0.014199999999999999,0.0312
1833,0.0174,0.0,0.049100000000000005,0.0143,0.0314
1834,0.0175,0.0,0.0494,0.0145,0.0317
1835,0.0176,0.0,0.0497,0.0147,0.0319
1836,0.0177,0.0,0.0501,0.0149,0.032100000000000004
1837,0.0178,0.0,0.0504,0.015,0.032299999999999995
1838,0.0179,0.0,0.0508,0.0152,0.0325
1839,0.018,0.0,0.0511,0.0154,0.032799999999999996
1840,0.0181,0.0,0.0515,0.0155,0.033
1841,0.0182,0.0,0.0518,0.0157,0.0332
1842,0.0183,0.0,0.0522,0.0159,0.0334
1843,0.0185,0.0,0.0526,0.0161,0.0337
1844,0.018600000000000002,0.0,0.052899999999999996,0.0162,0.0339
1845,0.018699999999999998,0.0,0.0533,0.016399999999999998,0.0341
1846,0.0188,0.0,0.053700000000000005,0.0166,0.0344
1847,0.0189,0.0,0.054,0.016800000000000002,0.0346
1848,0.019,0.0,0.0544,0.0169,0.0349
1849,0.019100000000000002,0.0,0.054799999999999995,0.0171,0.0351
1850,0.0193,0.0,0.0551,0.0173,0.048299999999999996
1851,0.0195,0.0,0.0555,0.0174,0.0489
1852,0.019600000000000003,0.0,0.0559,0.0176,0.0494
1853,0.0198,0.0,0.056299999999999996,0.0178,0.0499
1854,0.019899999999999998,0.0,0.056799999999999996,0.018,0.0504
1855,0.02,0.0,0.0572,0.0181,0.0509
1856,0.0201,0.0,0.0576,0.0183,0.0513
1857,0.020300000000000002,0.0,0.058,0.0185,0.0517
1858,0.020399999999999998,0.0,0.0584,0.018699999999999998,0.0521
1859,0.0205,0.0,0.0588,0.0188,0.052399999999999995
1860,0.0206,0.0,0.0592,0.019,0.0528
1861,0.0207,0.0,0.0596,0.0192,0.053
1862,0.0209,0.0,0.06,0.0193,0.0533
1863,0.021,0.0,0.060399999999999995,0.0195,0.0536
1864,0.0211,0.0,0.0608,0.0197,0.053899999999999997
1865,0.0212,0.0,0.061200000000000004,0.019899999999999998,0.054200000000000005
1866,0.0213,0.0,0.0616,0.02,0.0545
1867,0.0214,0.0,0.062,0.0202,0.054700000000000006
1868,0.0216,0.0,0.0624,0.020399999999999998,0.055
1869,0.0217,0.0,0.0628,0.0206,0.055299999999999995
1870,0.0218,0.0,0.0633,0.0207,0.055600000000000004
1871,0.0222,0.0,0.0645,0.0209,0.056600000000000004
1872,0.022600000000000002,0.0,0.0658,0.0211,0.0581
1873,0.023100000000000002,0.0,0.06709999999999999,0.0212,0.0598
1874,0.0235,0.0,0.0684,0.0214,0.061700000000000005
1875,0.024,0.0,0.0698,0.0216,0.0638
1876,0.0245,0.0,0.0712,0.0218,0.0659
1877,0.025,0.0,0.0726,0.0219,0.0679
1878,0.0254,0.0,0.07390000000000001,0.0221,0.0698
1879,0.0258,0.0,0.0752,0.0223,0.0714
1880,0.026199999999999998,0.0,0.0765,0.0225,0.0727
1881,0.0263,0.0,0.07659999999999999,0.022600000000000002,0.073
1882,0.0263,0.0,0.0767,0.0228,0.0733
1883,0.0263,0.0,0.0768,0.023,0.0736
1884,0.0263,0.0,0.07690000000000001,0.023100000000000002,0.07379999999999999
1885,0.0263,0.0,0.077,0.0233,0.074
1886,0.0263,0.0,0.07709999999999999,0.0235,0.0742
1887,0.0263,0.0,0.0772,0.0237,0.07440000000000001
1888,0.0263,0.0,0.0773,0.0238,0.0746
1889,0.0263,0.0,0.07740000000000001,0.024,0.07479999999999999
1890,0.0264,0.0,0.0775,0.0242,0.0761
1891,0.026600000000000002,0.0,0.07840000000000001,0.024399999999999998,0.0767
1892,0.0269,0.0,0.0792,0.0245,0.0773
1893,0.0272,0.0,0.08009999999999999,0.0247,0.07790000000000001
1894,0.027399999999999997,0.0,0.0809,0.0249,0.07859999999999999
1895,0.0277,0.0,0.0818,0.025,0.0792
1896,0.028,0.0,0.08270000000000001,0.0252,0.0799
