year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.302,0.0,0.0706,0.0,1.0
1751,0.303,0.0,0.0709,0.000608,1.01
1752,0.304,0.0,0.0711,0.00122,1.01
1753,0.305,0.0,0.0714,0.00183,1.01
1754,0.306,0.0,0.0717,0.0024300000000000003,1.02
1755,0.307,0.0,0.072,0.00304,1.02
1756,0.308,0.0,0.0723,0.00365,1.03
1757,0.309,0.0,0.0726,0.00426,1.03
1758,0.31,0.0,0.0729,0.00487,1.04
1759,0.311,0.0,0.0732,0.0054800000000000005,1.04
1760,0.312,0.0,0.0734,0.00608,1.04
1761,0.313,0.0,0.0737,0.006690000000000001,1.05
1762,0.314,0.0,0.074,0.0073,1.05
1763,0.315,0.0,0.07429999999999999,0.00791,1.06
1764,0.316,0.0,0.0746,0.00852,1.06
1765,0.317,0.0,0.07490000000000001,0.009130000000000001,1.06
1766,0.317,0.0,0.0752,0.00974,1.07
1767,0.318,0.0,0.0755,0.0103,1.07
1768,0.319,0.0,0.07579999999999999,0.011,1.08
1769,0.32,0.0,0.0761,0.0116,1.08
1770,0.321,0.0,0.07640000000000001,0.012199999999999999,1.09
1771,0.322,0.0,0.0768,0.0128,1.09
1772,0.323,0.0,0.07709999999999999,0.0134,1.09
1773,0.324,0.0,0.07740000000000001,0.014,1.1
1774,0.325,0.0,0.0777,0.0146,1.1
1775,0.326,0.0,0.078,0.0152,1.11
1776,0.327,0.0,0.0783,0.0158,1.11
1777,0.328,0.0,0.07859999999999999,0.016399999999999998,1.12
1778,0.329,0.0,0.07890000000000001,0.017,1.12
1779,0.33,0.0,0.0793,0.0176,1.13
1780,0.331,0.0,0.07959999999999999,0.0183,1.13
1781,0.332,0.0,0.0799,0.0189,1.13
1782,0.333,0.0,0.08020000000000001,0.0195,1.14
1783,0.334,0.0,0.0805,0.0201,1.14
1784,0.335,0.0,0.0809,0.0207,1.15
1785,0.336,0.0,0.08120000000000001,0.0213,1.15
1786,0.337,0.0,0.0815,0.0219,1.16
1787,0.338,0.0,0.0818,0.0225,1.16
1788,0.338,0.0,0.08220000000000001,0.023100000000000002,1.17
1789,0.339,0.0,0.0825,0.0237,1.17
1790,0.34,0.0,0.0828,0.024300000000000002,1.18
1791,0.341,0.0,0.0832,0.0249,1.18
1792,0.342,0.0,0.0835,0.0256,1.19
1793,0.343,0.0,0.0838,0.026199999999999998,1.19
1794,0.344,0.0,0.0842,0.0268,1.2
1795,0.345,0.0,0.0845,0.027399999999999997,1.2
1796,0.346,0.0,0.0848,0.028,1.21
1797,0.347,0.0,0.0852,0.0286,1.21
1798,0.348,0.0,0.0855,0.0292,1.21
1799,0.349,0.0,0.0859,0.0298,1.22
1800,0.35,0.0,0.0862,0.0304,1.22
1801,0.351,0.0,0.0865,0.031,1.23
1802,0.351,0.0,0.0869,0.0316,1.23
1803,0.352,0.0,0.0873,0.0322,1.24
1804,0.353,0.0,0.0876,0.0329,1.24
1805,0.354,0.0,0.088,0.0335,1.25
1806,0.355,0.0,0.0883,0.0341,1.25
1807,0.356,0.0,0.0887,0.0347,1.26
1808,0.357,0.0,0.089,0.0353,1.26
1809,0.358,0.0,0.08940000000000001,0.0359,1.27
1810,0.359,0.0,0.0897,0.0365,1.27
1811,0.36,0.0,0.09029999999999999,0.0371,1.28
1812,0.362,0.0,0.09079999999999999,0.037700000000000004,1.29
1813,0.363,0.0,0.09129999999999999,0.038299999999999994,1.3
1814,0.365,0.0,0.09190000000000001,0.0389,1.31
1815,0.367,0.0,0.09240000000000001,0.0395,1.31
1816,0.368,0.0,0.093,0.0402,1.32
1817,0.37,0.0,0.0935,0.040799999999999996,1.33
1818,0.371,0.0,0.09409999999999999,0.0414,1.34
1819,0.373,0.0,0.09459999999999999,0.042,1.34
1820,0.374,0.0,0.0952,0.0426,1.35
1821,0.376,0.0,0.09570000000000001,0.0432,1.36
1822,0.377,0.0,0.0963,0.0438,1.37
1823,0.379,0.0,0.0969,0.0444,1.38
1824,0.381,0.0,0.0975,0.045,1.38
1825,0.382,0.0,0.098,0.0456,1.39
1826,0.384,0.0,0.0986,0.046200000000000005,1.4
1827,0.385,0.0,0.0992,0.0469,1.41
1828,0.387,0.0,0.0998,0.0475,1.42
1829,0.388,0.0,0.1,0.048100000000000004,1.43
1830,0.39,4.09e-07,0.101,0.0487,1.43
1831,0.392,4.870000000000001e-07,0.102,0.0493,1.44
1832,0.393,3.22e-07,0.102,0.0499,1.45
1833,0.395,4.0000000000000003e-07,0.103,0.0505,1.46
1834,0.396,0.0,0.103,0.0511,1.47
1835,0.398,0.0,0.104,0.0517,1.48
1836,0.4,0.0,0.105,0.0523,1.49
1837,0.401,0.0,0.105,0.052899999999999996,1.49
1838,0.403,0.0,0.106,0.0535,1.5
1839,0.404,0.0,0.106,0.054200000000000005,1.51
1840,0.406,0.0,0.107,0.054799999999999995,1.52
1841,0.407,0.0,0.108,0.0554,1.53
1842,0.409,0.0,0.108,0.056,1.54
1843,0.411,0.0,0.109,0.056600000000000004,1.55
1844,0.412,0.0,0.11,0.0572,1.56
1845,0.414,0.0,0.11,0.0578,1.57
1846,0.415,0.0,0.111,0.0584,1.58
1847,0.417,0.0,0.112,0.059,1.58
1848,0.419,0.0,0.112,0.0596,1.59
1849,0.42,0.0,0.113,0.060200000000000004,1.6
1850,0.422,2.34e-06,0.113,0.0608,1.81
1851,0.426,0.0,0.114,0.0615,1.82
1852,0.431,0.0,0.115,0.0621,1.84
1853,0.437,0.0,0.116,0.0627,1.85
1854,0.442,0.0,0.116,0.0633,1.87
1855,0.447,6.8599999999999995e-06,0.117,0.0639,1.88
1856,0.452,0.0,0.118,0.0645,1.89
1857,0.457,0.0,0.119,0.06509999999999999,1.9
1858,0.463,9.45e-06,0.119,0.06570000000000001,1.92
1859,0.426,9.96e-06,0.12,0.0663,1.93
1860,0.393,1.31e-05,0.121,0.0669,1.94
1861,0.422,1.66e-05,0.121,0.0675,1.95
1862,0.452,1.48e-05,0.122,0.0681,1.95
1863,0.484,1.55e-05,0.122,0.0688,1.96
1864,0.493,1.73e-05,0.123,0.0694,1.97
1865,0.501,1.6400000000000002e-05,0.123,0.07,1.97
1866,0.512,5.16e-05,0.123,0.0706,1.98
1867,0.521,5.88e-05,0.124,0.0712,1.99
1868,0.525,4.88e-05,0.124,0.0718,1.99
1869,0.53,6.58e-05,0.125,0.0724,2.0
1870,0.534,7.11e-05,0.125,0.073,2.01
1871,0.54,9.49e-05,0.126,0.0736,2.02
1872,0.547,9.63e-05,0.127,0.0742,2.04
1873,0.554,8.939999999999999e-05,0.127,0.07479999999999999,2.06
1874,0.563,0.000107,0.128,0.07540000000000001,2.09
1875,0.572,0.000122,0.129,0.0761,2.12
1876,0.584,0.00015,0.13,0.0767,2.14
1877,0.594,0.000152,0.131,0.0773,2.17
1878,0.607,0.00019700000000000002,0.132,0.07790000000000001,2.2
1879,0.617,0.0002,0.132,0.0785,2.22
1880,0.628,0.000232,0.133,0.07909999999999999,2.24
1881,0.642,0.000242,0.134,0.07970000000000001,2.25
1882,0.653,0.000252,0.134,0.0803,2.26
1883,0.667,0.00028399999999999996,0.135,0.0809,2.27
1884,0.686,0.00028599999999999996,0.135,0.0815,2.28
1885,0.706,0.000309,0.136,0.08209999999999999,2.29
1886,0.711,0.000314,0.136,0.0828,2.3
1887,0.726,0.00033,0.137,0.0834,2.31
1888,0.733,0.00034100000000000005,0.138,0.084,2.32
1889,0.738,0.000365,0.138,0.0846,2.33
1890,0.757,0.00040899999999999997,0.139,0.0852,2.35
1891,0.78,0.000447,0.139,0.0858,2.36
1892,0.793,0.00046800000000000005,0.14,0.0864,2.38
1893,0.826,0.0005430000000000001,0.14,0.087,2.39
1894,0.825,0.000546,0.141,0.0876,2.4
1895,0.879,0.000624,0.142,0.0882,2.42
