year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,9.01e-06,2.4800000000000002e-20,7.37e-05
1751,0.0,0.0,9.04e-06,7.249999999999999e-07,7.39e-05
1752,0.0,0.0,9.07e-06,1.4499999999999999e-06,7.42e-05
1753,0.0,0.0,9.110000000000001e-06,2.18e-06,7.45e-05
1754,0.0,0.0,9.14e-06,2.8999999999999998e-06,7.48e-05
1755,0.0,0.0,9.169999999999999e-06,3.63e-06,7.5e-05
1756,0.0,0.0,9.21e-06,4.35e-06,7.53e-05
1757,0.0,0.0,9.24e-06,5.0800000000000005e-06,7.56e-05
1758,0.0,0.0,9.270000000000001e-06,5.7999999999999995e-06,7.580000000000001e-05
1759,0.0,0.0,9.31e-06,6.53e-06,7.61e-05
1760,0.0,0.0,9.339999999999999e-06,7.25e-06,7.64e-05
1761,0.0,0.0,9.37e-06,7.98e-06,7.670000000000001e-05
1762,0.0,0.0,9.41e-06,8.7e-06,7.7e-05
1763,0.0,0.0,9.440000000000001e-06,9.43e-06,7.72e-05
1764,0.0,0.0,9.48e-06,1.02e-05,7.75e-05
1765,0.0,0.0,9.509999999999999e-06,1.09e-05,7.78e-05
1766,0.0,0.0,9.55e-06,1.1599999999999999e-05,7.81e-05
1767,0.0,0.0,9.58e-06,1.23e-05,7.84e-05
1768,0.0,0.0,9.62e-06,1.31e-05,7.87e-05
1769,0.0,0.0,9.65e-06,1.38e-05,7.89e-05
1770,0.0,0.0,9.69e-06,1.45e-05,7.92e-05
1771,0.0,0.0,9.72e-06,1.52e-05,7.950000000000001e-05
1772,0.0,0.0,9.76e-06,1.6e-05,7.98e-05
1773,0.0,0.0,9.79e-06,1.67e-05,8.010000000000001e-05
1774,0.0,0.0,9.83e-06,1.74e-05,8.04e-05
1775,0.0,0.0,9.86e-06,1.8100000000000003e-05,8.07e-05
1776,0.0,0.0,9.9e-06,1.89e-05,8.1e-05
1777,0.0,0.0,9.94e-06,1.96e-05,8.13e-05
1778,0.0,0.0,9.97e-06,2.03e-05,8.16e-05
1779,0.0,0.0,1e-05,2.1000000000000002e-05,8.19e-05
1780,0.0,0.0,1e-05,2.18e-05,8.219999999999999e-05
1781,0.0,0.0,1.01e-05,2.2499999999999998e-05,8.25e-05
1782,0.0,0.0,1.01e-05,2.3199999999999998e-05,8.28e-05
1783,0.0,0.0,1.02e-05,2.39e-05,8.309999999999999e-05
1784,0.0,0.0,1.02e-05,2.47e-05,8.340000000000001e-05
1785,0.0,0.0,1.02e-05,2.5399999999999997e-05,8.37e-05
1786,0.0,0.0,1.03e-05,2.61e-05,8.400000000000001e-05
1787,0.0,0.0,1.03e-05,2.68e-05,8.43e-05
1788,0.0,0.0,1.03e-05,2.76e-05,8.46e-05
1789,0.0,0.0,1.0399999999999999e-05,2.83e-05,8.49e-05
1790,0.0,0.0,1.0399999999999999e-05,2.9e-05,8.52e-05
1791,0.0,0.0,1.0500000000000001e-05,2.97e-05,8.55e-05
1792,0.0,0.0,1.0500000000000001e-05,3.05e-05,8.58e-05
1793,0.0,0.0,1.0500000000000001e-05,3.12e-05,8.609999999999999e-05
1794,0.0,0.0,1.06e-05,3.1899999999999996e-05,8.649999999999999e-05
1795,0.0,0.0,1.06e-05,3.26e-05,8.68e-05
1796,0.0,0.0,1.06e-05,3.34e-05,8.71e-05
1797,0.0,0.0,1.07e-05,3.4099999999999995e-05,8.740000000000001e-05
1798,0.0,0.0,1.07e-05,3.48e-05,8.77e-05
1799,0.0,0.0,1.08e-05,3.5499999999999996e-05,8.8e-05
1800,0.0,0.0,1.08e-05,3.63e-05,8.840000000000001e-05
1801,0.0,0.0,1.08e-05,3.7e-05,8.87e-05
1802,0.0,0.0,1.09e-05,3.7699999999999995e-05,8.9e-05
1803,0.0,0.0,1.09e-05,3.84e-05,8.93e-05
1804,0.0,0.0,1.1e-05,3.92e-05,8.97e-05
1805,0.0,0.0,1.1e-05,3.99e-05,8.999999999999999e-05
1806,0.0,0.0,1.1e-05,4.06e-05,9.03e-05
1807,0.0,0.0,1.11e-05,4.13e-05,9.06e-05
1808,0.0,0.0,1.11e-05,4.21e-05,9.1e-05
1809,0.0,0.0,1.12e-05,4.28e-05,9.130000000000001e-05
1810,0.0,0.0,1.12e-05,4.35e-05,9.16e-05
1811,0.0,0.0,1.12e-05,4.4200000000000004e-05,9.17e-05
1812,0.0,0.0,1.12e-05,4.4999999999999996e-05,9.19e-05
1813,0.0,0.0,1.12e-05,4.57e-05,9.2e-05
1814,0.0,0.0,1.1299999999999999e-05,4.6399999999999996e-05,9.21e-05
1815,0.0,0.0,1.1299999999999999e-05,4.71e-05,9.22e-05
1816,0.0,0.0,1.1299999999999999e-05,4.79e-05,9.23e-05
1817,0.0,0.0,1.1299999999999999e-05,4.8599999999999995e-05,9.24e-05
1818,0.0,0.0,1.1299999999999999e-05,4.93e-05,9.26e-05
1819,0.0,0.0,1.1299999999999999e-05,5e-05,9.27e-05
1820,0.0,0.0,1.1299999999999999e-05,5.0799999999999995e-05,9.279999999999999e-05
1821,0.0,0.0,1.1400000000000001e-05,5.15e-05,9.29e-05
1822,0.0,0.0,1.1400000000000001e-05,5.22e-05,9.3e-05
1823,0.0,0.0,1.1400000000000001e-05,5.2900000000000005e-05,9.31e-05
1824,0.0,0.0,1.1400000000000001e-05,5.37e-05,9.329999999999999e-05
1825,0.0,0.0,1.1400000000000001e-05,5.4399999999999994e-05,9.34e-05
1826,0.0,0.0,1.1400000000000001e-05,5.5100000000000004e-05,9.35e-05
1827,0.0,0.0,1.1400000000000001e-05,5.58e-05,9.36e-05
1828,0.0,0.0,1.15e-05,5.66e-05,9.37e-05
1829,1.93e-07,0.0,1.15e-05,5.73e-05,9.379999999999999e-05
1830,2.43e-07,0.0,1.15e-05,5.8e-05,9.4e-05
1831,2.9100000000000005e-07,0.0,1.15e-05,5.8700000000000004e-05,9.41e-05
1832,1.94e-07,0.0,1.15e-05,5.9499999999999996e-05,9.42e-05
1833,2.43e-07,0.0,1.15e-05,6.02e-05,9.429999999999999e-05
1834,2.96e-07,0.0,1.15e-05,6.09e-05,9.44e-05
1835,3.45e-07,0.0,1.1599999999999999e-05,6.16e-05,9.460000000000001e-05
1836,3.9199999999999996e-07,0.0,1.1599999999999999e-05,6.24e-05,9.470000000000001e-05
1837,4.3800000000000003e-07,0.0,1.1599999999999999e-05,6.31e-05,9.48e-05
1838,4.84e-07,0.0,1.1599999999999999e-05,6.379999999999999e-05,9.49e-05
1839,5.31e-07,0.0,1.1599999999999999e-05,6.45e-05,9.5e-05
1840,5.81e-07,0.0,1.1599999999999999e-05,6.53e-05,9.520000000000001e-05
1841,6.350000000000001e-07,0.0,1.1599999999999999e-05,6.6e-05,9.53e-05
1842,6.939999999999999e-07,0.0,1.17e-05,6.67e-05,9.54e-05
1843,7.590000000000001e-07,0.0,1.17e-05,6.74e-05,9.55e-05
1844,8.319999999999999e-07,0.0,1.17e-05,6.819999999999999e-05,9.56e-05
1845,9.15e-07,0.0,1.17e-05,6.890000000000001e-05,9.58e-05
1846,1.01e-06,0.0,1.17e-05,6.96e-05,9.59e-05
1847,1.1100000000000002e-06,0.0,1.17e-05,7.03e-05,9.6e-05
1848,1.2299999999999999e-06,0.0,1.18e-05,7.11e-05,9.61e-05
1849,1.3600000000000001e-06,0.0,1.18e-05,7.18e-05,9.62e-05
1850,1.22e-06,0.0,1.1599999999999999e-05,7.25e-05,0.000447
