year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.024300000000000002,0.0,0.155,0.0,2.68
1751,0.024399999999999998,0.0,0.156,0.000164,2.69
1752,0.0245,0.0,0.157,0.00032700000000000003,2.69
1753,0.0246,0.0,0.157,0.000491,2.7
1754,0.0246,0.0,0.158,0.000655,2.71
1755,0.0247,0.0,0.158,0.0008179999999999999,2.72
1756,0.0248,0.0,0.159,0.000982,2.73
1757,0.0249,0.0,0.159,0.00115,2.74
1758,0.025,0.0,0.16,0.00131,2.75
1759,0.025,0.0,0.16,0.00147,2.76
1760,0.0251,0.0,0.161,0.00164,2.77
1761,0.0252,0.0,0.161,0.0018,2.78
1762,0.0253,0.0,0.162,0.00196,2.79
1763,0.0254,0.0,0.163,0.00213,2.8
1764,0.0255,0.0,0.163,0.00229,2.81
1765,0.0255,0.0,0.164,0.0024500000000000004,2.82
1766,0.0256,0.0,0.164,0.00262,2.83
1767,0.0257,0.0,0.165,0.00278,2.83
1768,0.0258,0.0,0.165,0.0029500000000000004,2.84
1769,0.0259,0.0,0.166,0.00311,2.85
1770,0.026,0.0,0.166,0.00327,2.86
1771,0.026,0.0,0.167,0.00344,2.87
1772,0.0261,0.0,0.168,0.0036,2.88
1773,0.026199999999999998,0.0,0.168,0.00376,2.89
1774,0.0263,0.0,0.169,0.00393,2.9
1775,0.0264,0.0,0.169,0.00409,2.91
1776,0.0265,0.0,0.17,0.00425,2.92
1777,0.0265,0.0,0.17,0.00442,2.93
1778,0.026600000000000002,0.0,0.171,0.00458,2.94
1779,0.026699999999999998,0.0,0.172,0.00475,2.95
1780,0.0268,0.0,0.172,0.00491,2.96
1781,0.0269,0.0,0.173,0.00507,2.97
1782,0.027,0.0,0.173,0.00524,2.98
1783,0.027100000000000003,0.0,0.174,0.0054,2.99
1784,0.0272,0.0,0.175,0.00556,3.0
1785,0.0272,0.0,0.175,0.005730000000000001,3.01
1786,0.0273,0.0,0.176,0.005889999999999999,3.02
1787,0.027399999999999997,0.0,0.176,0.00605,3.03
1788,0.0275,0.0,0.177,0.00622,3.04
1789,0.027600000000000003,0.0,0.177,0.00638,3.05
1790,0.0277,0.0,0.178,0.006549999999999999,3.06
1791,0.027800000000000002,0.0,0.179,0.00671,3.08
1792,0.027899999999999998,0.0,0.179,0.00687,3.09
1793,0.028,0.0,0.18,0.00704,3.1
1794,0.028,0.0,0.181,0.0072,3.11
1795,0.0281,0.0,0.181,0.00736,3.12
1796,0.0282,0.0,0.182,0.00753,3.13
1797,0.028300000000000002,0.0,0.182,0.007690000000000001,3.14
1798,0.028399999999999998,0.0,0.183,0.00785,3.15
1799,0.0285,0.0,0.184,0.00802,3.16
1800,0.0286,0.0,0.184,0.00818,3.17
1801,0.0287,0.0,0.185,0.00835,3.18
1802,0.0288,0.0,0.185,0.00851,3.19
1803,0.0289,0.0,0.186,0.00867,3.2
1804,0.029,0.0,0.187,0.00884,3.21
1805,0.0291,0.0,0.187,0.009,3.22
1806,0.0291,0.0,0.188,0.00916,3.24
1807,0.0292,0.0,0.189,0.00933,3.25
1808,0.0293,0.0,0.189,0.00949,3.26
1809,0.0294,0.0,0.19,0.00965,3.27
1810,0.0295,0.0,0.191,0.00982,3.28
1811,0.0296,0.0,0.191,0.009980000000000001,3.29
1812,0.0298,0.0,0.192,0.0101,3.31
1813,0.0299,0.0,0.193,0.0103,3.32
1814,0.03,0.0,0.194,0.0105,3.33
1815,0.030100000000000002,0.0,0.195,0.0106,3.35
1816,0.030199999999999998,0.0,0.195,0.0108,3.36
1817,0.0303,0.0,0.196,0.011,3.38
1818,0.0305,0.0,0.197,0.0111,3.39
1819,0.030600000000000002,0.0,0.198,0.011300000000000001,3.4
1820,0.030699999999999998,0.0,0.199,0.0115,3.42
1821,0.0308,0.0,0.199,0.0116,3.43
1822,0.030899999999999997,0.0,0.2,0.011800000000000001,3.44
1823,0.031,0.0,0.201,0.0119,3.46
1824,0.0312,0.0,0.202,0.0121,3.47
