year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.000241
1851,0.000241
1852,0.000241
1853,0.000241
1854,0.000241
1855,0.000241
1856,0.000241
1857,0.000241
1858,0.000241
1859,0.000241
1860,0.000241
1861,0.000241
1862,0.000241
1863,0.000241
1864,0.000241
1865,0.000241
1866,0.000241
1867,0.000241
1868,0.000241
1869,0.000241
1870,0.000241
1871,0.000241
1872,0.000241
1873,0.000241
1874,0.000241
1875,0.000241
1876,0.000241
1877,0.000241
1878,0.000241
1879,0.000241
1880,0.000241
1881,0.000241
1882,0.000242
1883,0.000242
1884,0.000242
1885,0.000242
1886,0.000242
1887,0.000242
1888,0.000242
1889,0.000242
1890,0.000242
1891,0.00027600000000000004
1892,0.000372
1893,0.000518
1894,0.0007009999999999999
1895,0.000909
1896,0.00113
1897,0.00135
1898,0.00157
1899,0.00176
1900,0.00191
1901,0.00204
1902,0.00215
1903,0.00226
1904,0.0023599999999999997
1905,0.00246
1906,0.00256
1907,0.00267
1908,0.00278
1909,0.0029
1910,0.0030299999999999997
1911,0.00317
1912,0.00333
1913,0.00349
1914,0.00366
1915,0.00385
1916,0.00404
1917,0.00424
1918,0.00445
1919,0.00467
1920,0.004900000000000001
1921,0.0101
1922,0.0238
1923,0.044
1924,0.0687
1925,0.09570000000000001
1926,0.123
1927,0.149
1928,0.17
1929,0.186
1930,0.195
1931,0.195
1932,0.189
1933,0.179
1934,0.165
1935,0.151
1936,0.136
1937,0.123
1938,0.112
1939,0.106
1940,0.106
1941,0.11
1942,0.115
1943,0.121
1944,0.128
1945,0.136
1946,0.145
1947,0.154
1948,0.164
1949,0.174
1950,0.185
1951,0.196
1952,0.209
1953,0.222
1954,0.237
1955,0.253
1956,0.27
1957,0.288
1958,0.306
1959,0.326
1960,0.346
1961,0.369
1962,0.396
1963,0.426
1964,0.458
1965,0.492
1966,0.528
1967,0.566
1968,0.604
1969,0.642
1970,0.716
1971,0.811
1972,0.835
1973,0.931
1974,1.03
1975,0.966
1976,1.13
1977,1.25
1978,1.36
1979,1.45
1980,1.54
1981,1.66
1982,1.62
1983,1.8
1984,1.94
1985,1.98
1986,2.18
1987,2.62
1988,2.96
1989,3.14
1990,2.42
1991,2.53
1992,1.67
1993,2.35
1994,2.04
1995,2.0
1996,4.35
1997,4.55
1998,3.91
1999,5.1
2000,4.22
2001,3.47
2002,4.63
2003,6.84
2004,8.97
2005,13.5
2006,18.0
2007,19.0
2008,21.1
2009,23.7
2010,38.5
2011,28.1
2012,28.9
2013,30.9
2014,33.6
2015,34.1
2016,37.8
2017,39.9
2018,41.9
2019,44.0
2020,46.0
2021,48.0
