year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00151,0.0,0.0064800000000000005,6.46e-20,0.011800000000000001
1751,0.00151,0.0,0.0065,1.48e-05,0.0119
1752,0.00151,0.0,0.00652,2.97e-05,0.0119
1753,0.00151,0.0,0.00654,4.45e-05,0.0119
1754,0.00151,0.0,0.00656,5.93e-05,0.012
1755,0.00151,0.0,0.00658,7.42e-05,0.012
1756,0.00151,0.0,0.0066,8.9e-05,0.012
1757,0.00151,0.0,0.00662,0.000104,0.0121
1758,0.00151,0.0,0.00664,0.00011899999999999999,0.0121
1759,0.00151,0.0,0.00666,0.000133,0.012199999999999999
1760,0.00151,0.0,0.006679999999999999,0.000148,0.012199999999999999
1761,0.00151,0.0,0.0067,0.000163,0.012199999999999999
1762,0.00151,0.0,0.00671,0.000178,0.0123
1763,0.00151,0.0,0.006730000000000001,0.000193,0.0123
1764,0.00151,0.0,0.00675,0.000208,0.0123
1765,0.00151,0.0,0.00677,0.000222,0.0124
1766,0.00151,0.0,0.00679,0.000237,0.0124
1767,0.00151,0.0,0.006809999999999999,0.000252,0.0124
1768,0.00151,0.0,0.00683,0.00026700000000000004,0.0125
1769,0.00151,0.0,0.006849999999999999,0.00028199999999999997,0.0125
1770,0.00151,0.0,0.00687,0.000297,0.0125
1771,0.00151,0.0,0.006889999999999999,0.000311,0.0126
1772,0.00151,0.0,0.00691,0.000326,0.0126
1773,0.00151,0.0,0.0069299999999999995,0.00034100000000000005,0.0127
1774,0.00151,0.0,0.0069500000000000004,0.000356,0.0127
1775,0.00151,0.0,0.00697,0.000371,0.0127
1776,0.00151,0.0,0.0069900000000000006,0.000386,0.0128
1777,0.00151,0.0,0.00701,0.0004,0.0128
1778,0.00151,0.0,0.007030000000000001,0.000415,0.0128
1779,0.00151,0.0,0.00705,0.00043,0.0129
1780,0.00151,0.0,0.00707,0.00044500000000000003,0.0129
1781,0.00151,0.0,0.00709,0.00046,0.013
1782,0.00151,0.0,0.0071200000000000005,0.000475,0.013
1783,0.00151,0.0,0.00714,0.000489,0.013
1784,0.00151,0.0,0.0071600000000000006,0.000504,0.013099999999999999
1785,0.00151,0.0,0.00718,0.000519,0.013099999999999999
1786,0.00151,0.0,0.0072,0.0005340000000000001,0.013099999999999999
1787,0.00151,0.0,0.00722,0.000549,0.0132
1788,0.00151,0.0,0.00724,0.0005639999999999999,0.0132
1789,0.00151,0.0,0.00726,0.000578,0.013300000000000001
1790,0.00151,0.0,0.00728,0.000593,0.013300000000000001
1791,0.00151,0.0,0.0073,0.000608,0.013300000000000001
1792,0.00151,0.0,0.00732,0.000623,0.0134
1793,0.00151,0.0,0.00735,0.000638,0.0134
1794,0.00151,0.0,0.00737,0.000653,0.0135
1795,0.00151,0.0,0.00739,0.0006670000000000001,0.0135
1796,0.00151,0.0,0.00741,0.0006820000000000001,0.0135
1797,0.00151,0.0,0.00743,0.0006969999999999999,0.0136
1798,0.00151,0.0,0.00745,0.000712,0.0136
1799,0.00151,0.0,0.00747,0.000727,0.0136
1800,0.00151,0.0,0.0075,0.000742,0.013699999999999999
1801,0.00151,0.0,0.00752,0.000756,0.013699999999999999
1802,0.00151,0.0,0.00754,0.000771,0.013800000000000002
1803,0.00151,0.0,0.00756,0.000786,0.013800000000000002
1804,0.00151,0.0,0.00758,0.0008010000000000001,0.013800000000000002
1805,0.00151,0.0,0.0076100000000000004,0.000816,0.013900000000000001
1806,0.00151,0.0,0.00763,0.0008309999999999999,0.013900000000000001
1807,0.00151,0.0,0.0076500000000000005,0.0008449999999999999,0.014
1808,0.00151,0.0,0.00767,0.00086,0.014
1809,0.00151,0.0,0.007690000000000001,0.000875,0.014
1810,0.00151,0.0,0.007719999999999999,0.0008900000000000001,0.0141
1811,0.00151,0.0,0.00774,0.000905,0.0141
1812,0.00151,0.0,0.00777,0.00092,0.014199999999999999
1813,0.00151,0.0,0.0078,0.000934,0.014199999999999999
1814,0.00151,0.0,0.00782,0.000949,0.0143
1815,0.00151,0.0,0.00785,0.000964,0.0143
1816,0.00151,0.0,0.00788,0.000979,0.0144
1817,0.00151,0.0,0.0079,0.000994,0.0144
1818,0.00151,0.0,0.00793,0.00101,0.0145
1819,0.00151,0.0,0.00796,0.00102,0.0145
1820,0.00151,0.0,0.007980000000000001,0.0010400000000000001,0.0146
1821,0.00151,0.0,0.00801,0.0010500000000000002,0.0146
1822,0.00151,0.0,0.008039999999999999,0.00107,0.0147
1823,0.00151,0.0,0.00807,0.00108,0.0147
1824,0.00151,0.0,0.00809,0.0011,0.0148
1825,0.00151,0.0,0.008119999999999999,0.00111,0.0148
1826,0.00151,0.0,0.008150000000000001,0.00113,0.0149
1827,0.00151,0.0,0.00818,0.00114,0.0149
1828,0.00151,0.0,0.008199999999999999,0.00116,0.015
1829,0.00151,0.0,0.008230000000000001,0.00117,0.015
1830,0.00151,0.0,0.00826,0.0011899999999999999,0.015099999999999999
1831,0.00151,0.0,0.008289999999999999,0.0012,0.015099999999999999
1832,0.00151,0.0,0.008320000000000001,0.00122,0.0152
1833,0.00151,0.0,0.00834,0.00123,0.0152
1834,0.00151,0.0,0.008369999999999999,0.00125,0.015300000000000001
1835,0.00151,0.0,0.008400000000000001,0.00126,0.015300000000000001
1836,0.00151,0.0,0.00843,0.00128,0.0154
1837,0.00151,0.0,0.00846,0.0012900000000000001,0.0154
1838,0.00151,0.0,0.008490000000000001,0.00131,0.0155
1839,0.00151,0.0,0.00851,0.00132,0.0155
1840,0.00151,0.0,0.008539999999999999,0.00133,0.0156
1841,0.00151,0.0,0.00857,0.00135,0.0157
1842,0.00151,0.0,0.0086,0.00136,0.0157
1843,0.00151,0.0,0.00863,0.00138,0.0158
1844,0.00151,0.0,0.00866,0.00139,0.0158
1845,0.00151,0.0,0.00869,0.00141,0.0159
1846,0.00151,0.0,0.00872,0.0014199999999999998,0.0159
1847,0.00151,0.0,0.00875,0.0014399999999999999,0.016
1848,0.00151,0.0,0.00878,0.00145,0.016
1849,0.0015,0.0,0.00881,0.00147,0.0161
