year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0020099999999999996,0.0011799999999999998,0.0028799999999999997,6.11e-19,0.11
1751,0.0020299999999999997,0.0011899999999999999,0.0029100000000000003,1.35e-05,0.111
1752,0.00206,0.0012,0.00294,2.7e-05,0.112
1753,0.0020800000000000003,0.00122,0.00297,4.05e-05,0.113
1754,0.0021000000000000003,0.00123,0.003,5.4e-05,0.114
1755,0.00212,0.00124,0.0030299999999999997,6.75e-05,0.115
1756,0.00214,0.00125,0.0030600000000000002,8.11e-05,0.116
1757,0.00216,0.00127,0.00309,9.460000000000001e-05,0.118
1758,0.00218,0.00128,0.00312,0.000108,0.119
1759,0.0022,0.0012900000000000001,0.00315,0.000122,0.12
1760,0.00222,0.0013,0.00318,0.000135,0.121
1761,0.00225,0.00132,0.00321,0.000149,0.122
1762,0.00227,0.00133,0.0032400000000000003,0.000162,0.124
1763,0.00229,0.00134,0.00328,0.000176,0.125
1764,0.00232,0.00136,0.00331,0.000189,0.126
1765,0.00234,0.0013700000000000001,0.00335,0.000203,0.127
1766,0.0023599999999999997,0.00139,0.0033799999999999998,0.000216,0.129
1767,0.00239,0.0014,0.0034100000000000003,0.00023,0.13
1768,0.0024100000000000002,0.00141,0.0034500000000000004,0.000243,0.131
1769,0.0024300000000000003,0.0014299999999999998,0.00348,0.000257,0.132
1770,0.00246,0.0014399999999999999,0.0035099999999999997,0.00027,0.134
1771,0.00248,0.00146,0.0035499999999999998,0.00028399999999999996,0.135
1772,0.0025099999999999996,0.00147,0.00359,0.000297,0.137
1773,0.00254,0.00149,0.00363,0.000311,0.138
1774,0.00256,0.0015,0.00366,0.000324,0.14
1775,0.00259,0.00152,0.0037,0.00033800000000000003,0.141
1776,0.00261,0.0015300000000000001,0.0037400000000000003,0.00035099999999999997,0.142
1777,0.00264,0.00155,0.00378,0.000365,0.144
1778,0.00267,0.00156,0.00382,0.000378,0.145
1779,0.00269,0.00158,0.00385,0.00039200000000000004,0.147
1780,0.00272,0.0016,0.0038900000000000002,0.00040500000000000003,0.148
1781,0.00275,0.00161,0.00393,0.000419,0.15
1782,0.00278,0.00163,0.00398,0.000432,0.151
1783,0.00281,0.00165,0.004019999999999999,0.000446,0.153
1784,0.0028399999999999996,0.0016699999999999998,0.004059999999999999,0.00045900000000000004,0.155
1785,0.00287,0.0016799999999999999,0.00411,0.00047299999999999995,0.156
1786,0.0029,0.0017,0.00415,0.000486,0.158
1787,0.0029300000000000003,0.00172,0.00419,0.0005,0.16
1788,0.00296,0.00174,0.00423,0.000513,0.161
1789,0.00299,0.00175,0.00428,0.000527,0.163
1790,0.00302,0.00177,0.00432,0.00054,0.164
1791,0.0030499999999999998,0.0017900000000000001,0.00437,0.000554,0.166
1792,0.00309,0.00181,0.00442,0.0005669999999999999,0.168
1793,0.00312,0.00183,0.00447,0.0005809999999999999,0.17
1794,0.00315,0.00185,0.00451,0.000594,0.172
1795,0.00319,0.0018700000000000001,0.00456,0.000608,0.174
1796,0.00322,0.00189,0.00461,0.000621,0.176
1797,0.00326,0.00191,0.00466,0.000635,0.177
1798,0.00329,0.0019299999999999999,0.00471,0.000648,0.179
1799,0.00332,0.00195,0.0047599999999999995,0.000662,0.181
1800,0.0033599999999999997,0.00197,0.00481,0.000675,0.183
1801,0.0034,0.00199,0.004860000000000001,0.0006889999999999999,0.185
1802,0.0034300000000000003,0.00202,0.00492,0.0007019999999999999,0.187
1803,0.00347,0.00204,0.00497,0.000716,0.189
1804,0.0035099999999999997,0.00206,0.005030000000000001,0.0007289999999999999,0.191
1805,0.0035499999999999998,0.0020800000000000003,0.00508,0.000743,0.194
1806,0.00359,0.00211,0.00514,0.000756,0.196
1807,0.00363,0.00213,0.00519,0.0007700000000000001,0.198
1808,0.00367,0.00215,0.00525,0.0007830000000000001,0.2
1809,0.0037,0.00217,0.0053,0.0007970000000000001,0.202
1810,0.0037400000000000003,0.0022,0.00536,0.0008110000000000001,0.204
1811,0.00379,0.00222,0.00542,0.000824,0.206
1812,0.00383,0.00225,0.00549,0.000838,0.209
1813,0.00387,0.00228,0.00555,0.000851,0.211
1814,0.00392,0.0023,0.00561,0.000865,0.214
1815,0.00396,0.00233,0.005679999999999999,0.000878,0.216
1816,0.00401,0.00235,0.00574,0.000892,0.219
1817,0.00405,0.0023799999999999997,0.0058,0.000905,0.221
1818,0.0040999999999999995,0.0024100000000000002,0.00587,0.000919,0.223
1819,0.00414,0.0024300000000000003,0.0059299999999999995,0.0009320000000000001,0.226
1820,0.00418,0.00246,0.0059900000000000005,0.0009459999999999999,0.228
1821,0.00423,0.00249,0.00607,0.000959,0.231
1822,0.00429,0.00252,0.00614,0.000973,0.234
1823,0.00434,0.0025499999999999997,0.00621,0.000986,0.237
1824,0.00439,0.0025800000000000003,0.0062900000000000005,0.001,0.239
1825,0.00444,0.00261,0.00636,0.00101,0.242
1826,0.00449,0.00264,0.00643,0.00103,0.245
1827,0.00454,0.00267,0.0065,0.0010400000000000001,0.248
1828,0.0045899999999999995,0.0027,0.00658,0.0010500000000000002,0.25
1829,0.00464,0.00273,0.0066500000000000005,0.00107,0.253
1830,0.004690000000000001,0.00276,0.006719999999999999,0.00108,0.256
1831,0.00475,0.00279,0.006809999999999999,0.00109,0.259
1832,0.00481,0.00283,0.006889999999999999,0.00111,0.262
1833,0.00487,0.0028599999999999997,0.00698,0.0011200000000000001,0.266
1834,0.0049299999999999995,0.00289,0.0070599999999999994,0.00113,0.269
1835,0.00498,0.0029300000000000003,0.00714,0.00115,0.272
1836,0.00504,0.00296,0.00723,0.00116,0.275
1837,0.0050999999999999995,0.003,0.00731,0.0011799999999999998,0.278
1838,0.0051600000000000005,0.0030299999999999997,0.0074,0.0011899999999999999,0.282
1839,0.00522,0.00307,0.0074800000000000005,0.0012,0.285
