year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.047700000000000006,0.0,0.085,0.0,1.46
1751,0.047700000000000006,0.0,0.085,6.44e-05,1.47
1752,0.047799999999999995,0.0,0.0851,0.000129,1.47
1753,0.047799999999999995,0.0,0.0851,0.000193,1.47
1754,0.047799999999999995,0.0,0.0851,0.000257,1.47
1755,0.047799999999999995,0.0,0.0852,0.000322,1.47
1756,0.047799999999999995,0.0,0.0852,0.000386,1.47
1757,0.047799999999999995,0.0,0.0852,0.00045,1.47
1758,0.047799999999999995,0.0,0.0852,0.000515,1.47
1759,0.047799999999999995,0.0,0.0853,0.000579,1.47
1760,0.0479,0.0,0.0853,0.000644,1.47
1761,0.0479,0.0,0.0853,0.000708,1.47
1762,0.0479,0.0,0.0854,0.000772,1.47
1763,0.0479,0.0,0.0854,0.000837,1.47
1764,0.0479,0.0,0.0854,0.000901,1.47
1765,0.0479,0.0,0.0854,0.0009649999999999999,1.47
1766,0.0479,0.0,0.0855,0.00103,1.47
1767,0.0479,0.0,0.0855,0.00109,1.47
1768,0.048,0.0,0.0855,0.00116,1.47
1769,0.048,0.0,0.0856,0.00122,1.47
1770,0.048,0.0,0.0856,0.0012900000000000001,1.47
1771,0.048,0.0,0.0856,0.00135,1.48
1772,0.048,0.0,0.0856,0.0014199999999999998,1.48
1773,0.048,0.0,0.0857,0.00148,1.48
1774,0.048,0.0,0.0857,0.0015400000000000001,1.48
1775,0.048,0.0,0.0857,0.00161,1.48
1776,0.048,0.0,0.0858,0.0016699999999999998,1.48
1777,0.048100000000000004,0.0,0.0858,0.00174,1.48
1778,0.048100000000000004,0.0,0.0858,0.0018,1.48
1779,0.048100000000000004,0.0,0.0858,0.0018700000000000001,1.48
1780,0.048100000000000004,0.0,0.0859,0.0019299999999999999,1.48
1781,0.048100000000000004,0.0,0.0859,0.00199,1.48
1782,0.048100000000000004,0.0,0.0859,0.00206,1.48
1783,0.048100000000000004,0.0,0.086,0.00212,1.48
1784,0.048100000000000004,0.0,0.086,0.00219,1.48
1785,0.048100000000000004,0.0,0.086,0.00225,1.48
1786,0.0482,0.0,0.086,0.00232,1.48
1787,0.0482,0.0,0.0861,0.0023799999999999997,1.48
1788,0.0482,0.0,0.0861,0.0024500000000000004,1.48
1789,0.0482,0.0,0.0861,0.0025099999999999996,1.48
1790,0.0482,0.0,0.0862,0.00257,1.48
1791,0.0482,0.0,0.0862,0.00264,1.48
1792,0.0482,0.0,0.0862,0.0027,1.49
1793,0.0482,0.0,0.0862,0.00277,1.49
1794,0.0482,0.0,0.0863,0.00283,1.49
1795,0.048299999999999996,0.0,0.0863,0.0029,1.49
1796,0.048299999999999996,0.0,0.0863,0.00296,1.49
1797,0.048299999999999996,0.0,0.0864,0.00302,1.49
1798,0.048299999999999996,0.0,0.0864,0.00309,1.49
1799,0.048299999999999996,0.0,0.0864,0.00315,1.49
1800,0.048299999999999996,0.0,0.0864,0.00322,1.49
1801,0.048299999999999996,0.0,0.0865,0.00328,1.49
1802,0.048299999999999996,0.0,0.0865,0.00335,1.49
1803,0.048299999999999996,0.0,0.0865,0.0034100000000000003,1.49
1804,0.0484,0.0,0.0866,0.00348,1.49
1805,0.0484,0.0,0.0866,0.00354,1.49
1806,0.0484,0.0,0.0866,0.0036,1.49
1807,0.0484,0.0,0.0866,0.00367,1.49
1808,0.0484,0.0,0.0867,0.00373,1.49
1809,0.0484,0.0,0.0867,0.0038,1.49
1810,0.0484,0.0,0.0867,0.0038599999999999997,1.49
1811,0.0485,0.0,0.0868,0.00393,1.5
1812,0.0485,0.0,0.0869,0.0039900000000000005,1.5
1813,0.0485,0.0,0.087,0.00405,1.5
1814,0.048600000000000004,0.0,0.087,0.00412,1.5
1815,0.048600000000000004,0.0,0.0871,0.00418,1.5
1816,0.048600000000000004,0.0,0.0872,0.00425,1.5
1817,0.0487,0.0,0.0872,0.00431,1.5
1818,0.0487,0.0,0.0873,0.00438,1.5
1819,0.0487,0.0,0.0874,0.00444,1.51
1820,0.048799999999999996,0.0,0.0875,0.0045,1.51
1821,0.048799999999999996,0.0,0.0875,0.00457,1.51
1822,0.048799999999999996,0.0,0.0876,0.00463,1.51
1823,0.0489,0.0,0.0877,0.0047,1.51
1824,0.0489,0.0,0.0878,0.0047599999999999995,1.51
1825,0.0489,0.0,0.0878,0.00483,1.51
1826,0.049,0.0,0.0879,0.004889999999999999,1.51
1827,0.049,0.0,0.088,0.00496,1.52
1828,0.049,0.0,0.088,0.005019999999999999,1.52
1829,0.049100000000000005,0.0,0.0881,0.00508,1.52
1830,0.049100000000000005,0.0,0.0882,0.00515,1.52
1831,0.049100000000000005,0.0,0.0883,0.00521,1.52
1832,0.0492,0.0,0.0883,0.00528,1.52
1833,0.0492,0.0,0.0884,0.00534,1.52
1834,0.0492,0.0,0.0885,0.00541,1.52
1835,0.0493,0.0,0.0886,0.00547,1.53
1836,0.0493,0.0,0.0886,0.00553,1.53
1837,0.0493,0.0,0.0887,0.0056,1.53
1838,0.0494,0.0,0.0888,0.00566,1.53
1839,0.0494,0.0,0.0889,0.005730000000000001,1.53
1840,0.0494,0.0,0.0889,0.00579,1.53
1841,0.0495,0.0,0.089,0.005860000000000001,1.53
1842,0.0495,0.0,0.0891,0.00592,1.53
1843,0.0495,0.0,0.0892,0.00598,1.54
1844,0.0496,0.0,0.0892,0.00605,1.54
1845,0.0496,0.0,0.08929999999999999,0.00611,1.54
1846,0.0496,0.0,0.08940000000000001,0.00618,1.54
1847,0.0497,0.0,0.0895,0.00624,1.54
1848,0.0497,0.0,0.0895,0.00631,1.54
1849,0.0497,0.0,0.0896,0.00637,1.54
1850,0.051,0.0,0.0896,0.00644,1.54
1851,0.0511,0.0,0.08979999999999999,0.0065,1.55
1852,0.0512,0.0,0.08990000000000001,0.00656,1.55
1853,0.0512,0.0,0.0901,0.00663,1.56
1854,0.0513,0.0,0.0902,0.006690000000000001,1.56
1855,0.0513,0.0,0.09029999999999999,0.0067599999999999995,1.57
1856,0.0514,0.0,0.0905,0.0068200000000000005,1.57
1857,0.0514,0.0,0.0906,0.006889999999999999,1.57
1858,0.0515,0.0,0.0907,0.0069500000000000004,1.58
1859,0.0515,0.0,0.09079999999999999,0.00701,1.58
1860,0.0516,0.0,0.09090000000000001,0.00708,1.58
1861,0.0517,0.0,0.0911,0.00714,1.58
1862,0.0517,0.0,0.09129999999999999,0.00721,1.59
1863,0.0521,0.0,0.09140000000000001,0.0072699999999999996,1.59
1864,0.0522,0.0,0.0916,0.00734,1.59
1865,0.0523,0.0,0.09179999999999999,0.0074,1.6
1866,0.052399999999999995,0.0,0.092,0.00746,1.6
1867,0.0525,0.0,0.0922,0.00753,1.6
1868,0.0526,0.0,0.0923,0.0075899999999999995,1.6
1869,0.052700000000000004,0.0,0.0925,0.00766,1.61
1870,0.0528,0.0,0.0927,0.007719999999999999,1.61
1871,0.052899999999999996,0.0,0.093,0.00779,1.62
1872,0.0531,0.0,0.0933,0.00785,1.63
1873,0.053200000000000004,0.0,0.0938,0.00792,1.64
1874,0.0535,0.0,0.0943,0.007980000000000001,1.66
1875,0.053700000000000005,0.0,0.0948,0.008039999999999999,1.68
1876,0.053899999999999997,0.0,0.09540000000000001,0.00811,1.7
1877,0.0541,0.0,0.0959,0.00817,1.73
1878,0.054299999999999994,0.0,0.0964,0.00824,1.74
1879,0.0545,0.0,0.0969,0.0083,1.76
1880,0.0546,0.0,0.09720000000000001,0.008369999999999999,1.77
1881,0.054700000000000006,0.0,0.0975,0.00843,1.77
1882,0.0549,0.0,0.09770000000000001,0.008490000000000001,1.78
1883,0.055,0.0,0.0979,0.00856,1.79
1884,0.055600000000000004,0.0,0.09820000000000001,0.00862,1.79
1885,0.0567,0.0,0.0984,0.00869,1.8
1886,0.0579,0.0,0.0986,0.00875,1.8
1887,0.0591,0.0,0.0989,0.00882,1.81
1888,0.0603,0.0,0.0991,0.00888,1.81
1889,0.0615,0.0,0.0993,0.00894,1.82
1890,0.0631,0.0,0.0996,0.00901,1.84
1891,0.0644,0.0,0.0998,0.00907,1.85
1892,0.0658,0.0,0.1,0.00914,1.85
1893,0.06720000000000001,0.0,0.1,0.0092,1.86
1894,0.0687,0.0,0.101,0.009269999999999999,1.87
1895,0.0702,0.0,0.101,0.00933,1.87
1896,0.0717,0.0,0.101,0.0094,1.88
1897,0.0733,0.0,0.101,0.009460000000000001,1.89
1898,0.07490000000000001,0.0,0.102,0.009519999999999999,1.9
1899,0.0765,0.0,0.102,0.00959,1.91
1900,0.0782,0.0,0.102,0.00965,1.91
1901,0.0808,0.0,0.102,0.009720000000000001,1.92
1902,0.0834,0.0,0.103,0.009779999999999999,1.93
1903,0.0861,0.0,0.103,0.00985,1.93
1904,0.0889,0.0,0.103,0.00991,1.94
1905,0.09179999999999999,0.0,0.104,0.009970000000000001,1.95
1906,0.0948,0.0,0.104,0.01,1.95
1907,0.0978,0.0,0.104,0.0101,1.96
1908,0.101,0.0,0.104,0.010199999999999999,1.97
1909,0.104,0.0,0.105,0.010199999999999999,1.98
1910,0.107,0.0,0.105,0.0103,1.99
1911,0.11,0.0,0.107,0.0104,2.04
1912,0.123,0.0,0.109,0.0104,2.09
1913,0.126,0.0,0.112,0.0105,2.15
1914,0.129,0.0,0.114,0.0106,2.21
1915,0.131,0.0,0.116,0.0106,2.28
1916,0.133,0.0,0.118,0.0107,2.34
1917,0.135,0.0,0.12,0.0107,2.41
1918,0.136,0.0,0.123,0.0108,2.48
1919,0.138,0.0,0.125,0.0109,2.55
1920,0.14,0.0,0.127,0.0109,2.61
1921,0.142,3.5899999999999997e-07,0.13,0.011,2.68
1922,0.144,1.33e-06,0.132,0.0111,2.76
1923,0.145,2.7699999999999997e-06,0.135,0.0111,2.84
1924,0.147,4.51e-06,0.138,0.0112,2.92
1925,0.149,6.41e-06,0.141,0.011300000000000001,3.0
1926,0.152,8.31e-06,0.143,0.011300000000000001,3.07
1927,0.163,1e-05,0.146,0.0114,3.14
1928,0.177,1.15e-05,0.149,0.0115,3.2
1929,0.188,1.25e-05,0.151,0.0115,3.26
1930,0.2,1.2800000000000001e-05,0.154,0.0116,3.31
1931,0.213,1.26e-05,0.157,0.0116,3.35
1932,0.227,1.2e-05,0.16,0.011699999999999999,3.39
1933,0.227,1.11e-05,0.164,0.011800000000000001,3.42
1934,0.226,1.01e-05,0.167,0.011800000000000001,3.45
1935,0.227,8.930000000000001e-06,0.17,0.0119,3.48
1936,0.228,7.84e-06,0.173,0.012,3.5
1937,0.238,6.89e-06,0.176,0.012,3.53
1938,0.243,6.19e-06,0.18,0.0121,3.56
1939,0.249,5.819999999999999e-06,0.183,0.012199999999999999,3.6
1940,0.255,5.91e-06,0.186,0.012199999999999999,3.64
1941,0.262,6.3299999999999995e-06,0.191,0.0123,3.8
1942,0.271,6.87e-06,0.196,0.0124,4.12
1943,0.28,7.51e-06,0.201,0.0124,4.56
1944,0.297,8.229999999999999e-06,0.207,0.0125,5.08
1945,0.291,8.99e-06,0.215,0.0125,5.65
1946,0.285,9.77e-06,0.223,0.0126,6.21
1947,0.279,1.0500000000000001e-05,0.231,0.0127,6.74
1948,0.274,1.1299999999999999e-05,0.239,0.0127,7.19
1949,0.286,1.2e-05,0.247,0.0128,7.52
1950,0.334,0.00315,0.255,0.0129,7.68
1951,0.343,0.00215,0.265,0.0129,7.75
1952,0.35,0.00287,0.276,0.013,7.73
1953,0.356,0.0035,0.287,0.013099999999999999,7.66
1954,0.363,0.0044800000000000005,0.297,0.013099999999999999,7.54
1955,0.364,0.00512,0.308,0.0132,7.41
1956,0.368,0.00635,0.32,0.013300000000000001,7.27
1957,0.374,0.00744,0.331,0.013300000000000001,7.16
1958,0.371,0.00126,0.344,0.0134,7.09
1959,0.366,0.00114,0.356,0.0134,7.09
1960,0.372,0.00159,0.37,0.0135,7.18
1961,0.395,0.00311,0.384,0.0136,6.62
1962,0.403,0.0039,0.4,0.0136,6.95
1963,0.421,0.00543,0.416,0.013699999999999999,7.11
1964,0.424,0.00613,0.433,0.013800000000000002,7.8
1965,0.415,0.00614,0.451,0.013800000000000002,8.24
1966,0.446,0.0162,0.469,0.013900000000000001,8.65
1967,0.432,0.019600000000000003,0.487,0.014,9.04
1968,0.454,0.0221,0.506,0.014,9.45
1969,0.476,0.0248,0.524,0.0141,9.56
1970,0.502,0.0248,0.547,0.0182,9.82
1971,0.509,0.0247,0.566,0.0184,10.2
1972,0.53,0.0246,0.583,0.019100000000000002,10.3
1973,0.589,0.044700000000000004,0.598,0.0202,7.7
1974,0.572,0.0212,0.617,0.021,7.77
1975,0.616,0.0181,0.639,0.0218,8.34
1976,0.602,0.027600000000000003,0.664,0.022600000000000002,9.07
1977,0.628,0.0277,0.689,0.023399999999999997,10.1
1978,0.67,0.030600000000000002,0.711,0.0246,10.4
1979,0.729,0.0275,0.732,0.0257,10.8
1980,0.825,0.0305,0.752,0.0272,11.4
1981,0.956,0.027600000000000003,0.775,0.0288,11.8
1982,1.03,0.027600000000000003,0.798,0.0299,12.4
1983,1.26,0.027600000000000003,0.82,0.034,12.9
1984,1.29,0.0275,0.836,0.030699999999999998,9.07
1985,1.3,0.027399999999999997,0.853,0.0319,7.6
1986,1.25,0.0273,0.883,0.039799999999999995,7.66
1987,1.36,0.027399999999999997,0.913,0.0404,7.95
1988,1.36,0.0254,0.941,0.04,8.3
1989,1.43,0.0256,0.97,0.0445,8.64
1990,1.08,0.0233,0.988,0.0429,9.01
1991,1.06,0.0249,1.02,0.044700000000000004,9.35
1992,1.03,0.028399999999999998,1.05,0.0422,9.73
1993,1.18,0.0303,1.09,0.0434,10.1
1994,1.17,0.0343,1.13,0.045399999999999996,10.5
1995,1.17,0.037200000000000004,1.17,0.046,11.0
1996,1.26,0.0437,1.21,0.048600000000000004,11.4
1997,1.38,0.0528,1.26,0.0555,11.8
1998,1.45,0.0583,1.31,0.0619,12.4
1999,1.44,0.0685,1.36,0.0677,12.9
2000,1.18,0.08929999999999999,1.41,0.045899999999999996,13.5
2001,1.15,0.114,1.46,0.0469,14.1
2002,1.19,0.133,1.52,0.0507,14.7
2003,1.27,0.156,1.58,0.053899999999999997,15.3
2004,1.33,0.174,1.64,0.0514,15.9
2005,1.24,0.204,1.7,0.0544,16.6
2006,1.23,0.216,1.77,0.052700000000000004,17.2
2007,1.27,0.223,1.84,0.0601,18.0
2008,1.38,0.234,1.91,0.0598,18.9
2009,1.56,0.237,1.99,0.0639,19.7
2010,1.81,0.233,2.07,0.0689,19.3
2011,1.87,0.253,2.15,0.060200000000000004,20.0
2012,2.53,0.258,2.24,0.0711,21.1
2013,2.97,0.264,2.32,0.0834,22.1
2014,3.17,0.284,2.42,0.0896,23.2
2015,3.13,0.311,2.52,0.08979999999999999,24.1
2016,3.11,0.348,2.62,0.099,25.4
2017,3.26,0.391,2.72,0.0953,26.5
2018,2.84,0.439,2.83,0.099,27.9
2019,3.6,0.479,2.94,0.101,29.1
2020,3.98,0.518,3.04,0.111,30.6
2021,3.98,0.566,3.15,0.13,31.9
2022,3.99,0.607,3.27,0.121,33.3
2023,3.98,0.647,3.37,0.134,34.7
