year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0248
1922,0.0922
1923,0.191
1924,0.312
1925,0.443
1926,0.574
1927,0.695
1928,0.794
1929,0.862
1930,0.886
1931,0.866
1932,0.812
1933,0.732
1934,0.634
1935,0.528
1936,0.422
1937,0.325
1938,0.245
1939,0.19
1940,0.17
1941,0.174
1942,0.183
1943,0.199
1944,0.218
1945,0.242
1946,0.269
1947,0.298
1948,0.329
1949,0.361
1950,0.392
1951,0.425
1952,0.462
1953,0.503
1954,0.547
1955,0.596
1956,0.649
1957,0.706
1958,0.767
1959,0.833
1960,0.902
1961,0.98
1962,1.07
1963,1.18
1964,1.29
1965,1.42
1966,1.56
1967,1.71
1968,1.87
1969,2.04
1970,2.36
1971,2.53
1972,2.61
1973,3.03
1974,3.35
1975,2.98
1976,3.55
1977,3.91
1978,4.24
1979,4.41
1980,4.65
1981,4.75
1982,4.43
1983,5.08
1984,5.29
1985,5.25
1986,5.55
1987,5.72
1988,6.59
1989,6.97
1990,3.54
1991,3.83
1992,4.13
1993,4.9
1994,5.35
1995,5.3
1996,6.3
1997,6.21
1998,7.78
1999,7.19
2000,7.63
2001,4.2
2002,3.14
2003,3.71
2004,3.32
2005,3.62
2006,4.06
2007,4.32
2008,4.65
2009,4.9
2010,5.14
2011,4.57
2012,4.42
2013,4.93
2014,3.92
2015,4.39
2016,3.97
2017,4.04
2018,3.19
2019,3.46
2020,2.78
2021,3.35
