year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.173,0.0,0.365,0.0,3.46
1751,0.173,0.0,0.365,0.000348,3.47
1752,0.174,0.0,0.366,0.000696,3.47
1753,0.174,0.0,0.367,0.0010400000000000001,3.48
1754,0.174,0.0,0.367,0.00139,3.49
1755,0.174,0.0,0.368,0.00174,3.49
1756,0.175,0.0,0.369,0.00209,3.5
1757,0.175,0.0,0.369,0.00244,3.5
1758,0.175,0.0,0.37,0.00278,3.51
1759,0.176,0.0,0.371,0.00313,3.52
1760,0.176,0.0,0.371,0.00348,3.52
1761,0.176,0.0,0.372,0.00383,3.53
1762,0.177,0.0,0.373,0.00418,3.54
1763,0.177,0.0,0.373,0.00452,3.54
1764,0.177,0.0,0.374,0.00487,3.55
1765,0.178,0.0,0.375,0.00522,3.56
1766,0.178,0.0,0.375,0.00557,3.56
1767,0.178,0.0,0.376,0.00592,3.57
1768,0.179,0.0,0.377,0.00626,3.58
1769,0.179,0.0,0.378,0.00661,3.58
1770,0.179,0.0,0.378,0.00696,3.59
1771,0.18,0.0,0.379,0.00731,3.6
1772,0.18,0.0,0.38,0.00766,3.6
1773,0.18,0.0,0.38,0.008,3.61
1774,0.181,0.0,0.381,0.00835,3.62
1775,0.181,0.0,0.382,0.0087,3.62
1776,0.181,0.0,0.382,0.00905,3.63
1777,0.182,0.0,0.383,0.0094,3.64
1778,0.182,0.0,0.384,0.00974,3.64
1779,0.182,0.0,0.385,0.0101,3.65
1780,0.183,0.0,0.385,0.0104,3.66
1781,0.183,0.0,0.386,0.0108,3.66
1782,0.183,0.0,0.387,0.0111,3.67
1783,0.183,0.0,0.387,0.0115,3.68
1784,0.184,0.0,0.388,0.011800000000000001,3.68
1785,0.184,0.0,0.389,0.012199999999999999,3.69
1786,0.184,0.0,0.39,0.0125,3.7
1787,0.185,0.0,0.39,0.0129,3.7
1788,0.185,0.0,0.391,0.0132,3.71
1789,0.185,0.0,0.392,0.0136,3.72
1790,0.186,0.0,0.392,0.013900000000000001,3.72
1791,0.186,0.0,0.393,0.0143,3.73
1792,0.186,0.0,0.394,0.0146,3.74
1793,0.187,0.0,0.395,0.015,3.74
1794,0.187,0.0,0.395,0.015300000000000001,3.75
1795,0.187,0.0,0.396,0.0157,3.76
1796,0.188,0.0,0.397,0.016,3.76
1797,0.188,0.0,0.397,0.016399999999999998,3.77
1798,0.188,0.0,0.398,0.0167,3.78
1799,0.189,0.0,0.399,0.0171,3.79
1800,0.189,0.0,0.4,0.0174,3.79
1801,0.189,0.0,0.4,0.0177,3.8
1802,0.19,0.0,0.401,0.0181,3.81
1803,0.19,0.0,0.402,0.0184,3.81
1804,0.19,0.0,0.403,0.0188,3.82
1805,0.191,0.0,0.403,0.019100000000000002,3.83
1806,0.191,0.0,0.404,0.0195,3.83
1807,0.192,0.0,0.405,0.0198,3.84
1808,0.192,0.0,0.406,0.0202,3.85
1809,0.192,0.0,0.406,0.0205,3.86
1810,0.193,0.0,0.407,0.0209,3.86
1811,0.193,0.0,0.408,0.0212,3.87
1812,0.193,0.0,0.409,0.0216,3.88
1813,0.194,0.0,0.409,0.0219,3.88
1814,0.194,0.0,0.41,0.0223,3.89
1815,0.194,0.0,0.411,0.022600000000000002,3.9
1816,0.195,0.0,0.412,0.023,3.91
1817,0.195,0.0,0.412,0.0233,3.91
1818,0.195,0.0,0.413,0.0237,3.92
1819,0.196,0.0,0.414,0.024,3.93
1820,0.196,0.0,0.415,0.024399999999999998,3.93
1821,0.197,0.0,0.416,0.0247,3.95
1822,0.197,0.0,0.417,0.0251,3.96
1823,0.198,0.0,0.419,0.0254,3.97
1824,0.199,0.0,0.42,0.0258,3.99
1825,0.199,0.0,0.422,0.0261,4.0
1826,0.2,0.0,0.423,0.0264,4.01
1827,0.2,0.0,0.424,0.0268,4.03
1828,0.201,0.0,0.426,0.027100000000000003,4.04
1829,0.202,0.0,0.427,0.0275,4.05
1830,0.202,0.0,0.428,0.027800000000000002,4.07
1831,0.203,0.0,0.43,0.0282,4.08
1832,0.204,0.0,0.432,0.0285,4.1
1833,0.205,0.0,0.434,0.0289,4.12
1834,0.206,0.0,0.436,0.0292,4.13
1835,0.207,0.0,0.437,0.0296,4.15
1836,0.207,0.0,0.439,0.0299,4.17
1837,0.208,0.0,0.441,0.0303,4.18
1838,0.209,0.0,0.443,0.030600000000000002,4.2
1839,0.21,0.0,0.445,0.031,4.22
1840,0.211,0.0,0.446,0.0313,4.23
1841,0.212,0.0,0.448,0.0317,4.25
1842,0.212,0.0,0.45,0.032,4.27
1843,0.213,0.0,0.452,0.0324,4.29
