year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00323,0.0,0.008320000000000001,0.0,0.752
1751,0.00328,0.0,0.00846,0.000246,0.765
1752,0.00333,0.0,0.0086,0.000493,0.777
1753,0.0033799999999999998,0.0,0.00874,0.000739,0.79
1754,0.0034300000000000003,0.0,0.00888,0.000986,0.802
1755,0.00348,0.0,0.00902,0.00123,0.815
1756,0.00354,0.0,0.00916,0.00148,0.827
1757,0.00359,0.0,0.009300000000000001,0.00172,0.84
1758,0.00364,0.0,0.00943,0.00197,0.852
1759,0.00369,0.0,0.00957,0.00222,0.865
1760,0.0037400000000000003,0.0,0.009710000000000002,0.00246,0.877
1761,0.0038,0.0,0.009869999999999999,0.00271,0.892
1762,0.0038599999999999997,0.0,0.01,0.00296,0.907
1763,0.00392,0.0,0.010199999999999999,0.0032,0.921
1764,0.00398,0.0,0.0104,0.0034500000000000004,0.936
1765,0.00404,0.0,0.0105,0.0037,0.95
1766,0.0040999999999999995,0.0,0.0107,0.00394,0.965
1767,0.0041600000000000005,0.0,0.0108,0.00419,0.98
1768,0.00422,0.0,0.011,0.00443,0.994
1769,0.00428,0.0,0.0112,0.00468,1.01
1770,0.00434,0.0,0.011300000000000001,0.0049299999999999995,1.02
1771,0.00441,0.0,0.0115,0.00517,1.04
1772,0.00447,0.0,0.011699999999999999,0.00542,1.06
1773,0.00454,0.0,0.0119,0.00567,1.07
1774,0.00461,0.0,0.0121,0.00591,1.09
1775,0.00468,0.0,0.0123,0.0061600000000000005,1.11
1776,0.00475,0.0,0.0125,0.00641,1.13
1777,0.0048200000000000005,0.0,0.0127,0.0066500000000000005,1.14
1778,0.00488,0.0,0.0128,0.006900000000000001,1.16
1779,0.00495,0.0,0.013,0.00714,1.18
1780,0.005019999999999999,0.0,0.0132,0.00739,1.19
1781,0.0050999999999999995,0.0,0.0134,0.00764,1.21
1782,0.00518,0.0,0.013699999999999999,0.00788,1.23
1783,0.00526,0.0,0.013900000000000001,0.00813,1.25
1784,0.00533,0.0,0.0141,0.00838,1.27
1785,0.00541,0.0,0.0143,0.00862,1.29
1786,0.00549,0.0,0.0145,0.00887,1.31
1787,0.00557,0.0,0.0148,0.00912,1.33
1788,0.0056500000000000005,0.0,0.015,0.00936,1.35
1789,0.005719999999999999,0.0,0.0152,0.009609999999999999,1.37
1790,0.0058,0.0,0.0154,0.009859999999999999,1.39
1791,0.005889999999999999,0.0,0.0157,0.0101,1.42
1792,0.00598,0.0,0.0159,0.0103,1.44
1793,0.00607,0.0,0.0162,0.0106,1.46
1794,0.0061600000000000005,0.0,0.0165,0.0108,1.49
1795,0.00625,0.0,0.0167,0.0111,1.51
1796,0.00634,0.0,0.017,0.011300000000000001,1.53
1797,0.00643,0.0,0.0172,0.0116,1.56
1798,0.00652,0.0,0.0175,0.011800000000000001,1.58
1799,0.00661,0.0,0.0177,0.0121,1.6
1800,0.0067,0.0,0.018,0.0123,1.63
1801,0.0068,0.0,0.0183,0.0126,1.65
1802,0.006900000000000001,0.0,0.018600000000000002,0.0128,1.68
1803,0.007,0.0,0.0189,0.013099999999999999,1.71
1804,0.00711,0.0,0.0192,0.013300000000000001,1.73
1805,0.00721,0.0,0.0195,0.0136,1.76
1806,0.00731,0.0,0.0198,0.013800000000000002,1.79
1807,0.00741,0.0,0.0201,0.014,1.82
1808,0.00751,0.0,0.020399999999999998,0.0143,1.84
1809,0.0076100000000000004,0.0,0.0207,0.0145,1.87
1810,0.00771,0.0,0.021,0.0148,1.9
1811,0.00783,0.0,0.0213,0.015,1.93
1812,0.00795,0.0,0.0217,0.015300000000000001,1.96
1813,0.008060000000000001,0.0,0.022,0.0155,1.99
1814,0.00818,0.0,0.0224,0.0158,2.02
1815,0.008289999999999999,0.0,0.022699999999999998,0.016,2.05
1816,0.00841,0.0,0.023100000000000002,0.016300000000000002,2.09
1817,0.00852,0.0,0.023399999999999997,0.0165,2.12
1818,0.00864,0.0,0.0238,0.016800000000000002,2.15
1819,0.00875,0.0,0.0241,0.017,2.18
1820,0.00886,0.0,0.0245,0.0172,2.21
1821,0.00899,0.0,0.0249,0.0175,2.25
1822,0.009130000000000001,0.0,0.0253,0.0177,2.29
1823,0.00926,0.0,0.0257,0.018,2.32
1824,0.00939,0.0,0.0261,0.0182,2.36
1825,0.009519999999999999,0.0,0.0265,0.0185,2.4
1826,0.009640000000000001,0.0,0.0269,0.018699999999999998,2.43
1827,0.00977,0.0,0.0273,0.019,2.47
1828,0.0099,0.0,0.027800000000000002,0.0192,2.51
1829,0.01,0.0,0.0282,0.0195,2.54
1830,0.010199999999999999,0.0,0.0286,0.0197,2.58
1831,0.0103,0.0,0.029,0.02,2.62
1832,0.0104,0.0,0.0295,0.0202,2.67
1833,0.0106,0.0,0.03,0.020399999999999998,2.71
1834,0.0107,0.0,0.0305,0.0207,2.75
1835,0.0109,0.0,0.031,0.0209,2.8
