year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00949,0.0,0.00859,9.05e-19,0.0917
1751,0.009529999999999999,0.0,0.00863,9.460000000000001e-05,0.0922
1752,0.00957,0.0,0.00868,0.000189,0.0927
1753,0.00962,0.0,0.00872,0.00028399999999999996,0.09309999999999999
1754,0.00966,0.0,0.00877,0.000378,0.09359999999999999
1755,0.009710000000000002,0.0,0.00882,0.00047299999999999995,0.09409999999999999
1756,0.00975,0.0,0.00886,0.0005669999999999999,0.09459999999999999
1757,0.009789999999999998,0.0,0.00891,0.000662,0.09509999999999999
1758,0.00984,0.0,0.00895,0.000757,0.0955
1759,0.009880000000000002,0.0,0.009,0.000851,0.096
1760,0.00993,0.0,0.00904,0.0009459999999999999,0.0965
1761,0.009970000000000001,0.0,0.009089999999999999,0.0010400000000000001,0.097
1762,0.01,0.0,0.00914,0.00113,0.0975
1763,0.0101,0.0,0.009179999999999999,0.00123,0.098
1764,0.0101,0.0,0.00923,0.00132,0.0985
1765,0.010199999999999999,0.0,0.00928,0.0014199999999999998,0.0991
1766,0.010199999999999999,0.0,0.00933,0.00151,0.0996
1767,0.010199999999999999,0.0,0.00937,0.00161,0.1
1768,0.0103,0.0,0.00942,0.0017,0.101
1769,0.0103,0.0,0.009470000000000001,0.0018,0.101
1770,0.0104,0.0,0.009519999999999999,0.00189,0.102
1771,0.0104,0.0,0.00957,0.00199,0.102
1772,0.0105,0.0,0.00962,0.0020800000000000003,0.103
1773,0.0105,0.0,0.00967,0.00218,0.103
1774,0.0106,0.0,0.009720000000000001,0.00227,0.104
1775,0.0106,0.0,0.00977,0.0023599999999999997,0.104
1776,0.0107,0.0,0.00982,0.00246,0.105
1777,0.0107,0.0,0.009869999999999999,0.0025499999999999997,0.105
1778,0.0108,0.0,0.00992,0.00265,0.106
1779,0.0108,0.0,0.009970000000000001,0.0027400000000000002,0.106
1780,0.0108,0.0,0.01,0.0028399999999999996,0.107
1781,0.0109,0.0,0.0101,0.0029300000000000003,0.108
1782,0.0109,0.0,0.0101,0.0030299999999999997,0.108
1783,0.011,0.0,0.010199999999999999,0.00312,0.109
1784,0.011,0.0,0.010199999999999999,0.00322,0.109
1785,0.0111,0.0,0.0103,0.00331,0.11
1786,0.0111,0.0,0.0103,0.0034,0.11
1787,0.0112,0.0,0.0104,0.0035,0.111
1788,0.0112,0.0,0.0104,0.00359,0.111
1789,0.011300000000000001,0.0,0.0105,0.00369,0.112
1790,0.011300000000000001,0.0,0.0105,0.00378,0.113
1791,0.0114,0.0,0.0106,0.0038799999999999998,0.113
1792,0.0114,0.0,0.0107,0.0039700000000000004,0.114
1793,0.0115,0.0,0.0107,0.004070000000000001,0.114
1794,0.0115,0.0,0.0108,0.0041600000000000005,0.115
1795,0.0116,0.0,0.0108,0.00426,0.116
1796,0.0116,0.0,0.0109,0.00435,0.116
1797,0.011699999999999999,0.0,0.0109,0.00445,0.117
1798,0.011699999999999999,0.0,0.011,0.00454,0.117
1799,0.011800000000000001,0.0,0.011,0.00463,0.118
1800,0.011800000000000001,0.0,0.0111,0.004730000000000001,0.118
1801,0.0119,0.0,0.0112,0.0048200000000000005,0.119
1802,0.0119,0.0,0.0112,0.00492,0.12
1803,0.012,0.0,0.011300000000000001,0.00501,0.12
1804,0.012,0.0,0.011300000000000001,0.00511,0.121
1805,0.0121,0.0,0.0114,0.0052,0.122
1806,0.0121,0.0,0.0115,0.0053,0.122
1807,0.012199999999999999,0.0,0.0115,0.00539,0.123
1808,0.012199999999999999,0.0,0.0116,0.00549,0.123
1809,0.0123,0.0,0.0116,0.00558,0.124
1810,0.0123,0.0,0.011699999999999999,0.00567,0.125
1811,0.0125,0.0,0.011800000000000001,0.00577,0.126
1812,0.0126,0.0,0.012,0.005860000000000001,0.128
1813,0.0127,0.0,0.0121,0.00596,0.129
1814,0.0129,0.0,0.012199999999999999,0.00605,0.131
1815,0.013,0.0,0.0124,0.00615,0.132
1816,0.013099999999999999,0.0,0.0125,0.00624,0.134
1817,0.0132,0.0,0.0126,0.00634,0.135
1818,0.0134,0.0,0.0128,0.00643,0.136
1819,0.0135,0.0,0.0129,0.00653,0.138
1820,0.0136,0.0,0.013099999999999999,0.00662,0.139
1821,0.013800000000000002,0.0,0.0132,0.006719999999999999,0.141
1822,0.013900000000000001,0.0,0.0134,0.006809999999999999,0.143
1823,0.0141,0.0,0.0135,0.006900000000000001,0.144
1824,0.014199999999999999,0.0,0.013699999999999999,0.007,0.146
1825,0.0143,0.0,0.013800000000000002,0.00709,0.148
1826,0.0145,0.0,0.014,0.00719,0.149
1827,0.0146,0.0,0.0141,0.00728,0.151
1828,0.0148,0.0,0.0143,0.00738,0.153
1829,0.0149,0.0,0.0144,0.00747,0.154
1830,0.015099999999999999,0.0,0.0146,0.00757,0.156
1831,0.0152,0.0,0.0148,0.00766,0.158
1832,0.0154,0.0,0.0149,0.0077599999999999995,0.159
1833,0.0155,0.0,0.015099999999999999,0.00785,0.161
1834,0.0157,0.0,0.015300000000000001,0.007940000000000001,0.163
1835,0.0158,0.0,0.0155,0.008039999999999999,0.165
1836,0.016,0.0,0.0156,0.00813,0.167
1837,0.0161,0.0,0.0158,0.008230000000000001,0.169
1838,0.016300000000000002,0.0,0.016,0.008320000000000001,0.17
1839,0.0165,0.0,0.0161,0.00842,0.172
1840,0.0166,0.0,0.016300000000000002,0.00851,0.174
1841,0.016800000000000002,0.0,0.0165,0.00861,0.176
1842,0.017,0.0,0.0167,0.0087,0.178
1843,0.0171,0.0,0.0169,0.0088,0.18
1844,0.0173,0.0,0.0171,0.00889,0.182
1845,0.0175,0.0,0.0173,0.00898,0.184
1846,0.0176,0.0,0.0175,0.00908,0.186
1847,0.0178,0.0,0.0177,0.00917,0.188
1848,0.018,0.0,0.0178,0.009269999999999999,0.191
1849,0.0181,0.0,0.018,0.00936,0.193
1850,0.0188,0.0,0.0182,0.009460000000000001,0.194
1851,0.019100000000000002,0.0,0.0185,0.009550000000000001,0.197
1852,0.019399999999999997,0.0,0.0188,0.00965,0.2
1853,0.019600000000000003,0.0,0.019,0.00974,0.203
1854,0.019899999999999998,0.0,0.0193,0.00984,0.206
1855,0.0202,0.0,0.019600000000000003,0.00993,0.209
1856,0.020399999999999998,0.0,0.019899999999999998,0.01,0.212
1857,0.0207,0.0,0.0202,0.0101,0.215
1858,0.021,0.0,0.020399999999999998,0.010199999999999999,0.218
1859,0.0212,0.0,0.0207,0.0103,0.221
1860,0.0215,0.0,0.021,0.0104,0.224
1861,0.0218,0.0,0.0212,0.0105,0.227
1862,0.0221,0.0,0.0215,0.0106,0.23
1863,0.0224,0.0,0.0217,0.0107,0.232
1864,0.022699999999999998,0.0,0.022,0.0108,0.235
1865,0.023,0.0,0.0223,0.0109,0.238
1866,0.0233,0.0,0.0225,0.011,0.241
1867,0.023600000000000003,0.0,0.0228,0.0111,0.244
1868,0.023899999999999998,0.0,0.023,0.0112,0.247
1869,0.0242,0.0,0.0233,0.011300000000000001,0.25
1870,0.0245,0.0,0.023600000000000003,0.011300000000000001,0.253
1871,0.0248,0.0,0.0238,0.0114,0.255
1872,0.0252,0.0,0.0241,0.0115,0.258
1873,0.0256,0.0,0.024399999999999998,0.0116,0.261
1874,0.0259,0.0,0.0247,0.011699999999999999,0.264
1875,0.0263,0.0,0.025,0.011800000000000001,0.267
1876,0.026699999999999998,0.0,0.0253,0.0119,0.27
1877,0.027100000000000003,0.0,0.0257,0.012,0.273
1878,0.0275,0.0,0.026,0.0121,0.276
1879,0.027899999999999998,0.0,0.0263,0.012199999999999999,0.278
1880,0.028300000000000002,0.0,0.0265,0.0123,0.281
1881,0.0287,0.0,0.027,0.0124,0.286
1882,0.0291,0.0,0.027399999999999997,0.0125,0.29
1883,0.0295,0.0,0.027800000000000002,0.0126,0.295
1884,0.0299,0.0,0.0282,0.0127,0.299
1885,0.0303,0.0,0.0287,0.0128,0.304
1886,0.030699999999999998,0.0,0.0291,0.0129,0.309
1887,0.031100000000000003,0.0,0.0295,0.013,0.313
1888,0.0315,0.0,0.0299,0.013099999999999999,0.318
1889,0.0319,0.0,0.0303,0.013099999999999999,0.322
1890,0.0325,0.0,0.0308,0.0132,0.333
1891,0.033,0.0,0.0313,0.013300000000000001,0.339
1892,0.0335,0.0,0.0318,0.0134,0.345
1893,0.034,0.0,0.032299999999999995,0.0135,0.351
1894,0.0345,0.0,0.0327,0.0136,0.357
1895,0.035,0.0,0.0332,0.013699999999999999,0.364
