year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,2.04e-06,0.0,1.2e-05
1751,0.0,0.0,2.0500000000000003e-06,5.3e-07,1.2e-05
1752,0.0,0.0,2.06e-06,1.06e-06,1.21e-05
1753,0.0,0.0,2.0699999999999997e-06,1.59e-06,1.22e-05
1754,0.0,0.0,2.08e-06,2.12e-06,1.22e-05
1755,0.0,0.0,2.09e-06,2.65e-06,1.23e-05
1756,0.0,0.0,2.1e-06,3.18e-06,1.24e-05
1757,0.0,0.0,2.1099999999999997e-06,3.71e-06,1.24e-05
1758,0.0,0.0,2.12e-06,4.24e-06,1.25e-05
1759,0.0,0.0,2.13e-06,4.77e-06,1.26e-05
1760,0.0,0.0,2.14e-06,5.3e-06,1.26e-05
1761,0.0,0.0,2.16e-06,5.83e-06,1.2699999999999999e-05
1762,0.0,0.0,2.17e-06,6.36e-06,1.2699999999999999e-05
1763,0.0,0.0,2.18e-06,6.89e-06,1.2800000000000001e-05
1764,0.0,0.0,2.19e-06,7.42e-06,1.29e-05
1765,0.0,0.0,2.2e-06,7.95e-06,1.29e-05
1766,0.0,0.0,2.21e-06,8.48e-06,1.3e-05
1767,0.0,0.0,2.2200000000000003e-06,9.01e-06,1.31e-05
1768,0.0,0.0,2.2300000000000002e-06,9.54e-06,1.31e-05
1769,0.0,0.0,2.2499999999999996e-06,1.01e-05,1.32e-05
1770,0.0,0.0,2.26e-06,1.06e-05,1.33e-05
1771,0.0,0.0,2.27e-06,1.11e-05,1.33e-05
1772,0.0,0.0,2.2799999999999998e-06,1.17e-05,1.34e-05
1773,0.0,0.0,2.29e-06,1.22e-05,1.35e-05
1774,0.0,0.0,2.3e-06,1.2699999999999999e-05,1.3599999999999999e-05
1775,0.0,0.0,2.32e-06,1.32e-05,1.3599999999999999e-05
1776,0.0,0.0,2.33e-06,1.38e-05,1.3700000000000001e-05
1777,0.0,0.0,2.34e-06,1.43e-05,1.38e-05
1778,0.0,0.0,2.35e-06,1.48e-05,1.38e-05
1779,0.0,0.0,2.3600000000000003e-06,1.54e-05,1.3899999999999999e-05
1780,0.0,0.0,2.38e-06,1.59e-05,1.4e-05
1781,0.0,0.0,2.39e-06,1.6400000000000002e-05,1.4e-05
1782,0.0,0.0,2.4e-06,1.7e-05,1.41e-05
1783,0.0,0.0,2.41e-06,1.7500000000000002e-05,1.4200000000000001e-05
1784,0.0,0.0,2.43e-06,1.7999999999999997e-05,1.43e-05
1785,0.0,0.0,2.44e-06,1.85e-05,1.43e-05
1786,0.0,0.0,2.45e-06,1.91e-05,1.44e-05
1787,0.0,0.0,2.4599999999999997e-06,1.96e-05,1.45e-05
1788,0.0,0.0,2.48e-06,2.01e-05,1.46e-05
1789,0.0,0.0,2.49e-06,2.07e-05,1.46e-05
1790,0.0,0.0,2.5e-06,2.12e-05,1.47e-05
1791,0.0,0.0,2.51e-06,2.17e-05,1.48e-05
1792,0.0,0.0,2.5300000000000003e-06,2.22e-05,1.49e-05
1793,0.0,0.0,2.5400000000000002e-06,2.2800000000000002e-05,1.49e-05
1794,0.0,0.0,2.55e-06,2.33e-05,1.4999999999999999e-05
1795,0.0,0.0,2.57e-06,2.3800000000000003e-05,1.5100000000000001e-05
1796,0.0,0.0,2.58e-06,2.44e-05,1.52e-05
1797,0.0,0.0,2.5899999999999998e-06,2.49e-05,1.53e-05
1798,0.0,0.0,2.61e-06,2.5399999999999997e-05,1.53e-05
1799,0.0,0.0,2.62e-06,2.6e-05,1.54e-05
1800,0.0,0.0,2.63e-06,2.65e-05,1.55e-05
1801,0.0,0.0,2.65e-06,2.7e-05,1.56e-05
1802,0.0,0.0,2.66e-06,2.75e-05,1.56e-05
1803,0.0,0.0,2.6700000000000003e-06,2.81e-05,1.57e-05
1804,0.0,0.0,2.69e-06,2.86e-05,1.58e-05
1805,0.0,0.0,2.7e-06,2.91e-05,1.59e-05
1806,0.0,0.0,2.7200000000000002e-06,2.97e-05,1.6e-05
1807,0.0,0.0,2.7299999999999997e-06,3.0200000000000002e-05,1.61e-05
1808,0.0,0.0,2.74e-06,3.07e-05,1.61e-05
1809,0.0,0.0,2.76e-06,3.13e-05,1.62e-05
1810,0.0,0.0,2.7699999999999997e-06,3.18e-05,1.63e-05
1811,0.0,0.0,2.8e-06,3.23e-05,1.65e-05
1812,0.0,0.0,2.84e-06,3.2800000000000004e-05,1.67e-05
1813,0.0,0.0,2.87e-06,3.34e-05,1.6899999999999997e-05
1814,0.0,0.0,2.8999999999999998e-06,3.39e-05,1.7100000000000002e-05
1815,0.0,0.0,2.93e-06,3.44e-05,1.73e-05
1816,0.0,0.0,2.97e-06,3.5000000000000004e-05,1.7500000000000002e-05
1817,0.0,0.0,3e-06,3.5499999999999996e-05,1.76e-05
1818,0.0,0.0,3.0300000000000002e-06,3.5999999999999994e-05,1.78e-05
1819,0.0,0.0,3.06e-06,3.66e-05,1.7999999999999997e-05
1820,0.0,0.0,3.1e-06,3.71e-05,1.8200000000000002e-05
1821,0.0,0.0,3.13e-06,3.76e-05,1.84e-05
1822,0.0,0.0,3.17e-06,3.8100000000000005e-05,1.8599999999999998e-05
1823,0.0,0.0,3.21e-06,3.87e-05,1.89e-05
1824,0.0,0.0,3.24e-06,3.92e-05,1.91e-05
1825,0.0,0.0,3.28e-06,3.9699999999999996e-05,1.93e-05
1826,0.0,0.0,3.32e-06,4.0300000000000004e-05,1.95e-05
1827,0.0,0.0,3.35e-06,4.08e-05,1.9699999999999998e-05
1828,0.0,0.0,3.3899999999999997e-06,4.13e-05,1.9900000000000003e-05
1829,0.0,0.0,3.4299999999999998e-06,4.18e-05,2.01e-05
1830,0.0,0.0,3.46e-06,4.24e-05,2.04e-05
1831,0.0,0.0,3.5e-06,4.29e-05,2.06e-05
1832,0.0,0.0,3.54e-06,4.34e-05,2.0799999999999997e-05
1833,0.0,0.0,3.58e-06,4.4e-05,2.11e-05
1834,0.0,0.0,3.62e-06,4.45e-05,2.13e-05
1835,0.0,0.0,3.67e-06,4.4999999999999996e-05,2.16e-05
1836,0.0,0.0,3.71e-06,4.5600000000000004e-05,2.18e-05
1837,0.0,0.0,3.7499999999999997e-06,4.61e-05,2.2e-05
1838,0.0,0.0,3.79e-06,4.66e-05,2.23e-05
1839,0.0,0.0,3.83e-06,4.71e-05,2.2499999999999998e-05
1840,0.0,0.0,3.87e-06,4.77e-05,2.2800000000000002e-05
1841,0.0,0.0,3.910000000000001e-06,4.82e-05,2.3e-05
1842,0.0,0.0,3.96e-06,4.87e-05,2.33e-05
1843,0.0,0.0,4.01e-06,4.93e-05,2.36e-05
1844,0.0,0.0,4.05e-06,4.98e-05,2.3800000000000003e-05
