year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.056799999999999996,0.0,0.107,1.2599999999999999e-17,0.805
1751,0.0571,0.0,0.108,0.00109,0.809
1752,0.0573,0.0,0.109,0.00218,0.813
1753,0.0576,0.0,0.109,0.00326,0.817
1754,0.0578,0.0,0.11,0.00435,0.822
1755,0.0581,0.0,0.11,0.00544,0.826
1756,0.0583,0.0,0.111,0.00653,0.83
1757,0.0586,0.0,0.111,0.00762,0.834
1758,0.0589,0.0,0.112,0.00871,0.839
1759,0.0591,0.0,0.113,0.009789999999999998,0.843
1760,0.0594,0.0,0.113,0.0109,0.847
1761,0.0596,0.0,0.114,0.012,0.852
1762,0.0599,0.0,0.114,0.013099999999999999,0.856
1763,0.060200000000000004,0.0,0.115,0.0141,0.86
1764,0.060399999999999995,0.0,0.115,0.0152,0.865
1765,0.060700000000000004,0.0,0.116,0.016300000000000002,0.869
1766,0.061,0.0,0.117,0.0174,0.874
1767,0.061200000000000004,0.0,0.117,0.0185,0.878
1768,0.0615,0.0,0.118,0.019600000000000003,0.883
1769,0.061799999999999994,0.0,0.118,0.0207,0.887
1770,0.062,0.0,0.119,0.0218,0.892
1771,0.062299999999999994,0.0,0.12,0.0229,0.896
1772,0.0626,0.0,0.12,0.023899999999999998,0.901
1773,0.0629,0.0,0.121,0.025,0.906
1774,0.0631,0.0,0.122,0.0261,0.91
1775,0.0634,0.0,0.122,0.0272,0.915
1776,0.0637,0.0,0.123,0.028300000000000002,0.92
1777,0.0639,0.0,0.123,0.0294,0.924
1778,0.06420000000000001,0.0,0.124,0.0305,0.929
1779,0.0645,0.0,0.125,0.0316,0.934
1780,0.0648,0.0,0.125,0.032600000000000004,0.939
1781,0.065,0.0,0.126,0.0337,0.944
1782,0.0653,0.0,0.127,0.0348,0.948
1783,0.06559999999999999,0.0,0.127,0.0359,0.953
1784,0.0659,0.0,0.128,0.037,0.958
1785,0.06620000000000001,0.0,0.129,0.0381,0.963
1786,0.0664,0.0,0.129,0.039200000000000006,0.968
1787,0.06670000000000001,0.0,0.13,0.040299999999999996,0.973
