year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,1.84e-05,0.0,0.000108
1751,0.0,0.0,1.85e-05,2.95e-06,0.000108
1752,0.0,0.0,1.8599999999999998e-05,5.89e-06,0.00010899999999999999
1753,0.0,0.0,1.8599999999999998e-05,8.84e-06,0.00010899999999999999
1754,0.0,0.0,1.87e-05,1.18e-05,0.00011
1755,0.0,0.0,1.88e-05,1.47e-05,0.000111
1756,0.0,0.0,1.89e-05,1.77e-05,0.000111
1757,0.0,0.0,1.9e-05,2.06e-05,0.000112
1758,0.0,0.0,1.91e-05,2.36e-05,0.000112
1759,0.0,0.0,1.92e-05,2.65e-05,0.00011300000000000001
1760,0.0,0.0,1.93e-05,2.95e-05,0.00011300000000000001
1761,0.0,0.0,1.94e-05,3.24e-05,0.000114
1762,0.0,0.0,1.95e-05,3.54e-05,0.000115
1763,0.0,0.0,1.96e-05,3.83e-05,0.000115
1764,0.0,0.0,1.9699999999999998e-05,4.13e-05,0.000116
1765,0.0,0.0,1.98e-05,4.4200000000000004e-05,0.000116
1766,0.0,0.0,1.9900000000000003e-05,4.71e-05,0.00011700000000000001
1767,0.0,0.0,2e-05,5.01e-05,0.000118
1768,0.0,0.0,2.01e-05,5.3e-05,0.000118
1769,0.0,0.0,2.02e-05,5.6e-05,0.00011899999999999999
1770,0.0,0.0,2.03e-05,5.89e-05,0.00011899999999999999
1771,0.0,0.0,2.04e-05,6.19e-05,0.00011999999999999999
1772,0.0,0.0,2.06e-05,6.48e-05,0.000121
1773,0.0,0.0,2.07e-05,6.78e-05,0.000121
1774,0.0,0.0,2.0799999999999997e-05,7.07e-05,0.000122
1775,0.0,0.0,2.09e-05,7.37e-05,0.000122
1776,0.0,0.0,2.1000000000000002e-05,7.66e-05,0.000123
1777,0.0,0.0,2.11e-05,7.960000000000001e-05,0.000124
1778,0.0,0.0,2.12e-05,8.25e-05,0.000124
1779,0.0,0.0,2.13e-05,8.55e-05,0.000125
1780,0.0,0.0,2.14e-05,8.840000000000001e-05,0.000126
1781,0.0,0.0,2.1499999999999997e-05,9.130000000000001e-05,0.000126
1782,0.0,0.0,2.16e-05,9.429999999999999e-05,0.000127
1783,0.0,0.0,2.17e-05,9.719999999999999e-05,0.000128
1784,0.0,0.0,2.19e-05,0.0001,0.000128
1785,0.0,0.0,2.2e-05,0.000103,0.000129
1786,0.0,0.0,2.2100000000000002e-05,0.000106,0.00013000000000000002
1787,0.0,0.0,2.22e-05,0.00010899999999999999,0.00013000000000000002
1788,0.0,0.0,2.23e-05,0.000112,0.000131
1789,0.0,0.0,2.24e-05,0.000115,0.000132
1790,0.0,0.0,2.2499999999999998e-05,0.000118,0.000132
1791,0.0,0.0,2.2700000000000003e-05,0.000121,0.000133
1792,0.0,0.0,2.2800000000000002e-05,0.000124,0.000134
1793,0.0,0.0,2.29e-05,0.000127,0.000134
1794,0.0,0.0,2.3e-05,0.00013000000000000002,0.000135
1795,0.0,0.0,2.31e-05,0.000133,0.000136
1796,0.0,0.0,2.3199999999999998e-05,0.000136,0.000136
1797,0.0,0.0,2.34e-05,0.00013800000000000002,0.00013700000000000002
1798,0.0,0.0,2.35e-05,0.00014099999999999998,0.00013800000000000002
1799,0.0,0.0,2.36e-05,0.00014399999999999998,0.00013800000000000002
1800,0.0,0.0,2.37e-05,0.000147,0.00013900000000000002
1801,0.0,0.0,2.3800000000000003e-05,0.00015,0.00014000000000000001
1802,0.0,0.0,2.4e-05,0.000153,0.00014099999999999998
1803,0.0,0.0,2.41e-05,0.000156,0.00014099999999999998
1804,0.0,0.0,2.42e-05,0.00015900000000000002,0.00014199999999999998
1805,0.0,0.0,2.4299999999999998e-05,0.000162,0.00014299999999999998
1806,0.0,0.0,2.4500000000000003e-05,0.000165,0.00014399999999999998
1807,0.0,0.0,2.46e-05,0.00016800000000000002,0.00014399999999999998
1808,0.0,0.0,2.47e-05,0.000171,0.000145
1809,0.0,0.0,2.48e-05,0.000174,0.000146
1810,0.0,0.0,2.5e-05,0.000177,0.000147
1811,0.0,0.0,2.51e-05,0.00017999999999999998,0.000147
1812,0.0,0.0,2.52e-05,0.000183,0.000148
1813,0.0,0.0,2.5399999999999997e-05,0.000186,0.000149
1814,0.0,0.0,2.55e-05,0.000189,0.00015
1815,0.0,0.0,2.5600000000000002e-05,0.000192,0.00015
1816,0.0,0.0,2.58e-05,0.000194,0.00015099999999999998
1817,0.0,0.0,2.59e-05,0.00019700000000000002,0.000152
1818,0.0,0.0,2.6e-05,0.0002,0.000153
1819,0.0,0.0,2.62e-05,0.000203,0.000153
1820,0.0,0.0,2.63e-05,0.000206,0.000154
1821,0.0,0.0,2.6700000000000002e-05,0.00020899999999999998,0.000157
1822,0.0,0.0,2.7099999999999998e-05,0.000212,0.00015900000000000002
1823,0.0,0.0,2.76e-05,0.000215,0.000162
1824,0.0,0.0,2.8e-05,0.00021799999999999999,0.000164
1825,0.0,0.0,2.8400000000000003e-05,0.000221,0.00016700000000000002
1826,0.0,0.0,2.8899999999999998e-05,0.000224,0.00016900000000000002
1827,0.0,0.0,2.93e-05,0.00022700000000000002,0.00017199999999999998
1828,0.0,0.0,2.97e-05,0.00023,0.000174
1829,0.0,0.0,3.01e-05,0.00023300000000000003,0.000177
1830,0.0,0.0,3.06e-05,0.000236,0.000179
