year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,2.5399999999999997e-05,4.55e-21,0.000365
1751,0.0,0.0,2.55e-05,1.57e-06,0.000367
1752,0.0,0.0,2.5600000000000002e-05,3.13e-06,0.000368
1753,0.0,0.0,2.57e-05,4.7e-06,0.00037
1754,0.0,0.0,2.58e-05,6.27e-06,0.000371
1755,0.0,0.0,2.59e-05,7.84e-06,0.000373
1756,0.0,0.0,2.6e-05,9.4e-06,0.000374
1757,0.0,0.0,2.61e-05,1.1e-05,0.000376
1758,0.0,0.0,2.63e-05,1.25e-05,0.000377
1759,0.0,0.0,2.64e-05,1.41e-05,0.000379
1760,0.0,0.0,2.65e-05,1.57e-05,0.00038
1761,0.0,0.0,2.66e-05,1.72e-05,0.000382
1762,0.0,0.0,2.6700000000000002e-05,1.88e-05,0.000383
1763,0.0,0.0,2.68e-05,2.04e-05,0.00038500000000000003
1764,0.0,0.0,2.69e-05,2.19e-05,0.00038700000000000003
1765,0.0,0.0,2.7e-05,2.35e-05,0.000388
1766,0.0,0.0,2.7099999999999998e-05,2.51e-05,0.00039
1767,0.0,0.0,2.7199999999999997e-05,2.66e-05,0.000391
1768,0.0,0.0,2.7400000000000002e-05,2.82e-05,0.000393
1769,0.0,0.0,2.75e-05,2.98e-05,0.000395
1770,0.0,0.0,2.76e-05,3.13e-05,0.00039600000000000003
1771,0.0,0.0,2.77e-05,3.29e-05,0.000398
1772,0.0,0.0,2.7799999999999998e-05,3.4500000000000005e-05,0.0004
1773,0.0,0.0,2.79e-05,3.61e-05,0.00040100000000000004
1774,0.0,0.0,2.8e-05,3.76e-05,0.00040300000000000004
1775,0.0,0.0,2.82e-05,3.92e-05,0.00040500000000000003
1776,0.0,0.0,2.83e-05,4.08e-05,0.000406
1777,0.0,0.0,2.8400000000000003e-05,4.23e-05,0.000408
1778,0.0,0.0,2.85e-05,4.39e-05,0.00041
1779,0.0,0.0,2.86e-05,4.55e-05,0.00041099999999999996
1780,0.0,0.0,2.87e-05,4.7e-05,0.00041299999999999996
1781,0.0,0.0,2.8899999999999998e-05,4.8599999999999995e-05,0.000415
1782,0.0,0.0,2.9e-05,5.02e-05,0.000416
1783,0.0,0.0,2.91e-05,5.17e-05,0.00041799999999999997
1784,0.0,0.0,2.92e-05,5.33e-05,0.00041999999999999996
1785,0.0,0.0,2.93e-05,5.49e-05,0.000422
1786,0.0,0.0,2.95e-05,5.64e-05,0.000423
1787,0.0,0.0,2.96e-05,5.8e-05,0.000425
1788,0.0,0.0,2.97e-05,5.96e-05,0.00042699999999999997
1789,0.0,0.0,2.98e-05,6.110000000000001e-05,0.000428
1790,0.0,0.0,2.99e-05,6.27e-05,0.00043
1791,0.0,0.0,3.01e-05,6.429999999999999e-05,0.000432
1792,0.0,0.0,3.0200000000000002e-05,6.58e-05,0.000434
1793,0.0,0.0,3.03e-05,6.74e-05,0.00043599999999999997
1794,0.0,0.0,3.04e-05,6.900000000000001e-05,0.000437
1795,0.0,0.0,3.06e-05,7.049999999999999e-05,0.000439
1796,0.0,0.0,3.07e-05,7.209999999999999e-05,0.000441
1797,0.0,0.0,3.08e-05,7.37e-05,0.000443
1798,0.0,0.0,3.09e-05,7.52e-05,0.00044500000000000003
1799,0.0,0.0,3.11e-05,7.68e-05,0.000446
1800,0.0,0.0,3.12e-05,7.84e-05,0.000448
1801,0.0,0.0,3.13e-05,7.99e-05,0.00045
1802,0.0,0.0,3.15e-05,8.15e-05,0.00045200000000000004
1803,0.0,0.0,3.16e-05,8.309999999999999e-05,0.00045400000000000003
1804,0.0,0.0,3.17e-05,8.46e-05,0.000456
1805,0.0,0.0,3.1899999999999996e-05,8.62e-05,0.000458
1806,0.0,0.0,3.2e-05,8.78e-05,0.00046
1807,0.0,0.0,3.2099999999999994e-05,8.93e-05,0.00046100000000000004
1808,0.0,0.0,3.22e-05,9.09e-05,0.00046300000000000003
1809,0.0,0.0,3.24e-05,9.25e-05,0.000465
1810,0.0,0.0,3.2500000000000004e-05,9.4e-05,0.000467
1811,0.0,0.0,3.26e-05,9.56e-05,0.00046899999999999996
1812,0.0,0.0,3.2800000000000004e-05,9.719999999999999e-05,0.00047099999999999996
1813,0.0,0.0,3.29e-05,9.87e-05,0.00047299999999999995
1814,0.0,0.0,3.31e-05,0.0001,0.000475
1815,0.0,0.0,3.32e-05,0.000102,0.000477
1816,0.0,0.0,3.33e-05,0.000103,0.000479
1817,0.0,0.0,3.35e-05,0.00010499999999999999,0.000481
1818,0.0,0.0,3.36e-05,0.000107,0.000483
1819,0.0,0.0,3.37e-05,0.000108,0.00048499999999999997
1820,0.0,0.0,3.39e-05,0.00011,0.00048699999999999997
1821,0.0,0.0,3.4099999999999995e-05,0.000111,0.00049
1822,0.0,0.0,3.43e-05,0.00011300000000000001,0.000492
1823,0.0,0.0,3.4500000000000005e-05,0.000114,0.000495
1824,0.0,0.0,3.47e-05,0.000116,0.000498
1825,0.0,0.0,3.49e-05,0.000118,0.000501
1826,0.0,0.0,3.51e-05,0.00011899999999999999,0.000504
1827,0.0,0.0,3.53e-05,0.000121,0.000507
1828,0.0,0.0,3.5499999999999996e-05,0.000122,0.00051
1829,0.0,0.0,3.57e-05,0.000124,0.000512
1830,0.0,0.0,3.59e-05,0.000125,0.000515
1831,0.0,0.0,3.61e-05,0.000127,0.000518
1832,0.0,0.0,3.63e-05,0.000129,0.000521
1833,0.0,0.0,3.65e-05,0.00013000000000000002,0.000524
1834,0.0,0.0,3.6700000000000004e-05,0.000132,0.000527
1835,0.0,0.0,3.69e-05,0.000133,0.00053
1836,0.0,0.0,3.71e-05,0.000135,0.000533
1837,0.0,0.0,3.73e-05,0.000136,0.000536
1838,0.0,0.0,3.75e-05,0.00013800000000000002,0.0005380000000000001
1839,0.0,0.0,3.7699999999999995e-05,0.00014000000000000001,0.000541
1840,0.0,0.0,3.7900000000000006e-05,0.00014099999999999998,0.000544
1841,0.0,0.0,3.8100000000000005e-05,0.00014299999999999998,0.0005480000000000001
1842,0.0,0.0,3.83e-05,0.00014399999999999998,0.0005510000000000001
1843,0.0,0.0,3.86e-05,0.000146,0.000554
1844,0.0,0.0,3.88e-05,0.000147,0.000558
1845,0.0,0.0,3.91e-05,0.000149,0.0005610000000000001
1846,0.0,0.0,3.93e-05,0.00015,0.000565
1847,0.0,0.0,3.95e-05,0.000152,0.0005679999999999999
1848,0.0,0.0,3.9800000000000005e-05,0.000154,0.000571
1849,0.0,0.0,4e-05,0.000155,0.000575
1850,6.68e-05,0.0,3.93e-05,0.000157,0.0005639999999999999
1851,6.819999999999999e-05,0.0,4.01e-05,0.000158,0.0005759999999999999
1852,6.96e-05,0.0,4.09e-05,0.00016,0.000588
1853,7.09e-05,0.0,4.1700000000000004e-05,0.000161,0.0005989999999999999
1854,7.209999999999999e-05,0.0,4.24e-05,0.000163,0.000609
1855,7.32e-05,0.0,4.31e-05,0.000165,0.000619
1856,7.42e-05,0.0,4.36e-05,0.000166,0.000627
1857,7.51e-05,0.0,4.41e-05,0.00016800000000000002,0.000634
1858,7.580000000000001e-05,0.0,4.45e-05,0.00016900000000000002,0.00064
1859,7.620000000000001e-05,0.0,4.48e-05,0.000171,0.000644
1860,7.65e-05,0.0,4.4999999999999996e-05,0.00017199999999999998,0.000646
1861,7.66e-05,0.0,4.51e-05,0.000174,0.000647
1862,7.670000000000001e-05,0.0,4.51e-05,0.000176,0.000648
1863,7.68e-05,0.0,4.51e-05,0.000177,0.0006490000000000001
1864,7.69e-05,0.0,4.5199999999999994e-05,0.000179,0.0006490000000000001
1865,7.69e-05,0.0,4.5199999999999994e-05,0.00017999999999999998,0.00065
1866,7.7e-05,0.0,4.5199999999999994e-05,0.000182,0.00065
1867,7.7e-05,0.0,4.53e-05,0.000183,0.00065
1868,7.71e-05,0.0,4.53e-05,0.000185,0.000651
1869,7.72e-05,0.0,4.5400000000000006e-05,0.000187,0.000652
1870,7.73e-05,0.0,4.55e-05,0.000188,0.000653
1871,7.86e-05,0.0,4.62e-05,0.00019,0.000664
1872,8.19e-05,0.0,4.81e-05,0.000191,0.0006919999999999999
1873,8.669999999999999e-05,0.0,5.1e-05,0.000193,0.000732
1874,9.26e-05,0.0,5.4399999999999994e-05,0.000194,0.000782
1875,9.900000000000001e-05,0.0,5.82e-05,0.00019600000000000002,0.0008359999999999999
1876,0.000106,0.0,6.21e-05,0.00019700000000000002,0.000892
1877,0.000112,0.0,6.58e-05,0.000199,0.000945
1878,0.00011700000000000001,0.0,6.900000000000001e-05,0.000201,0.000992
1879,0.000122,0.0,7.149999999999999e-05,0.000202,0.00103
1880,0.000124,0.0,7.31e-05,0.000204,0.0010500000000000002
1881,0.000126,0.0,7.39e-05,0.000205,0.00106
1882,0.000127,0.0,7.47e-05,0.000207,0.00107
1883,0.000128,0.0,7.53e-05,0.000208,0.00108
