year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0158,0.0,0.0126,0.0,0.306
1751,0.0159,0.0,0.0127,1.7500000000000002e-05,0.308
1752,0.016,0.0,0.0128,3.49e-05,0.31
1753,0.0161,0.0,0.0128,5.24e-05,0.311
1754,0.0161,0.0,0.0129,6.99e-05,0.313
1755,0.0162,0.0,0.013,8.730000000000001e-05,0.314
1756,0.016300000000000002,0.0,0.013,0.00010499999999999999,0.316
1757,0.016300000000000002,0.0,0.013099999999999999,0.000122,0.318
1758,0.016399999999999998,0.0,0.0132,0.00014000000000000001,0.319
1759,0.0165,0.0,0.0132,0.000157,0.321
1760,0.0166,0.0,0.013300000000000001,0.000175,0.323
1761,0.0166,0.0,0.0134,0.000192,0.324
1762,0.0167,0.0,0.0134,0.00020999999999999998,0.326
1763,0.016800000000000002,0.0,0.0135,0.00022700000000000002,0.328
1764,0.0169,0.0,0.0136,0.000245,0.329
1765,0.017,0.0,0.0136,0.000262,0.331
1766,0.017,0.0,0.013699999999999999,0.000279,0.333
1767,0.0171,0.0,0.013800000000000002,0.000297,0.334
1768,0.0172,0.0,0.013900000000000001,0.000314,0.336
1769,0.0173,0.0,0.013900000000000001,0.000332,0.338
1770,0.0173,0.0,0.014,0.00034899999999999997,0.34
1771,0.0174,0.0,0.0141,0.000367,0.341
1772,0.0175,0.0,0.0141,0.000384,0.343
1773,0.0176,0.0,0.014199999999999999,0.000402,0.345
1774,0.0176,0.0,0.0143,0.000419,0.347
1775,0.0177,0.0,0.0144,0.000437,0.348
1776,0.0178,0.0,0.0144,0.00045400000000000003,0.35
1777,0.0179,0.0,0.0145,0.000472,0.352
1778,0.018,0.0,0.0146,0.000489,0.354
1779,0.018,0.0,0.0147,0.000506,0.356
1780,0.0181,0.0,0.0147,0.000524,0.357
1781,0.0182,0.0,0.0148,0.000541,0.359
1782,0.0183,0.0,0.0149,0.000559,0.361
1783,0.0184,0.0,0.015,0.0005759999999999999,0.363
1784,0.0184,0.0,0.015,0.000594,0.365
1785,0.0185,0.0,0.015099999999999999,0.000611,0.367
1786,0.018600000000000002,0.0,0.0152,0.000629,0.369
1787,0.018699999999999998,0.0,0.015300000000000001,0.000646,0.371
1788,0.0188,0.0,0.0154,0.000664,0.372
1789,0.0189,0.0,0.0154,0.0006810000000000001,0.374
1790,0.0189,0.0,0.0155,0.000699,0.376
1791,0.019,0.0,0.0156,0.000716,0.378
1792,0.019100000000000002,0.0,0.0157,0.000734,0.38
1793,0.0192,0.0,0.0158,0.000751,0.382
1794,0.0193,0.0,0.0158,0.000768,0.384
1795,0.0193,0.0,0.0159,0.000786,0.386
1796,0.019399999999999997,0.0,0.016,0.000803,0.388
1797,0.0195,0.0,0.0161,0.0008209999999999999,0.39
1798,0.019600000000000003,0.0,0.0162,0.000838,0.392
1799,0.0197,0.0,0.0162,0.000856,0.394
1800,0.0198,0.0,0.016300000000000002,0.000873,0.396
1801,0.0198,0.0,0.016399999999999998,0.000891,0.398
1802,0.019899999999999998,0.0,0.0165,0.0009080000000000001,0.4
1803,0.02,0.0,0.0166,0.0009260000000000001,0.402
1804,0.0201,0.0,0.0167,0.0009429999999999999,0.404
1805,0.0202,0.0,0.016800000000000002,0.0009609999999999999,0.406
1806,0.020300000000000002,0.0,0.016800000000000002,0.000978,0.408
1807,0.020399999999999998,0.0,0.0169,0.000995,0.411
1808,0.020399999999999998,0.0,0.017,0.00101,0.413
1809,0.0205,0.0,0.0171,0.00103,0.415
1810,0.0206,0.0,0.0172,0.0010500000000000002,0.417
1811,0.0207,0.0,0.0173,0.00107,0.419
1812,0.0208,0.0,0.0174,0.00108,0.421
1813,0.0209,0.0,0.0175,0.0011,0.423
1814,0.021,0.0,0.0175,0.0011200000000000001,0.426
1815,0.021,0.0,0.0176,0.00114,0.428
1816,0.0211,0.0,0.0177,0.00115,0.43
1817,0.0212,0.0,0.0178,0.00117,0.432
1818,0.0213,0.0,0.0179,0.0011899999999999999,0.434
1819,0.0214,0.0,0.018,0.00121,0.437
1820,0.0215,0.0,0.0181,0.00122,0.439
1821,0.022699999999999998,0.0,0.019100000000000002,0.00124,0.464
1822,0.023899999999999998,0.0,0.0201,0.00126,0.488
1823,0.025,0.0,0.0212,0.00127,0.513
1824,0.026199999999999998,0.0,0.0222,0.0012900000000000001,0.538
1825,0.027399999999999997,0.0,0.0232,0.00131,0.563
1826,0.0286,0.0,0.0242,0.00133,0.588
1827,0.0298,0.0,0.0253,0.00134,0.613
1828,0.030899999999999997,0.0,0.0263,0.00136,0.638
1829,0.032100000000000004,0.0,0.0273,0.00138,0.662
1830,0.033299999999999996,0.0,0.028300000000000002,0.0014,0.687
1831,0.034,0.0,0.029,0.00141,0.704
1832,0.0348,0.0,0.0297,0.0014299999999999998,0.722
1833,0.0356,0.0,0.0305,0.00145,0.739
1834,0.0364,0.0,0.0312,0.00147,0.756
