year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.294,0.0,0.679,5.94e-18,3.46
1751,0.296,0.0,0.684,0.0020800000000000003,3.48
1752,0.298,0.0,0.689,0.00417,3.5
1753,0.301,0.0,0.694,0.00625,3.53
1754,0.303,0.0,0.699,0.00834,3.55
1755,0.305,0.0,0.703,0.0104,3.58
1756,0.307,0.0,0.708,0.0125,3.6
1757,0.309,0.0,0.713,0.0146,3.63
1758,0.311,0.0,0.718,0.0167,3.65
1759,0.313,0.0,0.723,0.0188,3.68
1760,0.315,0.0,0.728,0.0208,3.7
1761,0.318,0.0,0.733,0.0229,3.73
1762,0.32,0.0,0.738,0.025,3.76
1763,0.322,0.0,0.743,0.027100000000000003,3.78
1764,0.324,0.0,0.749,0.0292,3.81
1765,0.327,0.0,0.754,0.0313,3.83
1766,0.329,0.0,0.759,0.0334,3.86
1767,0.331,0.0,0.764,0.0354,3.89
1768,0.333,0.0,0.769,0.0375,3.91
1769,0.336,0.0,0.775,0.0396,3.94
1770,0.338,0.0,0.78,0.0417,3.97
1771,0.34,0.0,0.785,0.0438,4.0
1772,0.343,0.0,0.791,0.045899999999999996,4.02
1773,0.345,0.0,0.796,0.0479,4.05
1774,0.347,0.0,0.802,0.05,4.08
1775,0.35,0.0,0.808,0.0521,4.11
1776,0.352,0.0,0.813,0.054200000000000005,4.14
1777,0.355,0.0,0.819,0.056299999999999996,4.17
1778,0.357,0.0,0.824,0.0584,4.19
1779,0.359,0.0,0.83,0.0605,4.22
1780,0.362,0.0,0.835,0.0625,4.25
1781,0.364,0.0,0.841,0.06459999999999999,4.28
1782,0.367,0.0,0.847,0.06670000000000001,4.31
1783,0.37,0.0,0.853,0.0688,4.34
1784,0.372,0.0,0.859,0.0709,4.37
1785,0.375,0.0,0.865,0.073,4.4
1786,0.377,0.0,0.871,0.075,4.43
1787,0.38,0.0,0.877,0.07709999999999999,4.46
1788,0.383,0.0,0.883,0.0792,4.49
1789,0.385,0.0,0.889,0.0813,4.52
1790,0.388,0.0,0.895,0.0834,4.55
1791,0.391,0.0,0.901,0.0855,4.59
1792,0.393,0.0,0.908,0.0876,4.62
1793,0.396,0.0,0.914,0.0896,4.65
1794,0.399,0.0,0.921,0.0917,4.68
1795,0.402,0.0,0.927,0.0938,4.72
1796,0.404,0.0,0.933,0.0959,4.75
1797,0.407,0.0,0.94,0.098,4.78
1798,0.41,0.0,0.946,0.1,4.81
1799,0.413,0.0,0.953,0.102,4.85
1800,0.415,0.0,0.959,0.104,4.88
1801,0.418,0.0,0.966,0.106,4.91
1802,0.421,0.0,0.973,0.108,4.95
1803,0.424,0.0,0.98,0.11,4.98
1804,0.427,0.0,0.986,0.113,5.02
1805,0.43,0.0,0.993,0.115,5.05
1806,0.433,0.0,1.0,0.117,5.09
1807,0.436,0.0,1.01,0.119,5.12
1808,0.439,0.0,1.01,0.121,5.16
1809,0.442,0.0,1.02,0.123,5.19
1810,0.445,0.0,1.03,0.125,5.23
1811,0.448,0.0,1.03,0.127,5.26
1812,0.451,0.0,1.04,0.129,5.3
1813,0.454,0.0,1.05,0.131,5.34
1814,0.457,0.0,1.06,0.133,5.38
1815,0.46,0.0,1.06,0.135,5.41
1816,0.463,0.0,1.07,0.138,5.45
1817,0.466,0.0,1.08,0.14,5.49
1818,0.469,0.0,1.09,0.142,5.53
1819,0.472,0.0,1.09,0.144,5.56
1820,0.475,0.0,1.1,0.146,5.6
1821,0.48,0.0,1.11,0.148,5.66
1822,0.485,0.0,1.12,0.15,5.72
1823,0.491,0.0,1.14,0.152,5.78
1824,0.496,0.0,1.15,0.154,5.85
1825,0.501,0.0,1.16,0.156,5.91
1826,0.506,0.0,1.17,0.158,5.97
1827,0.511,0.0,1.19,0.161,6.03
1828,0.516,0.0,1.2,0.163,6.09
1829,0.521,0.0,1.21,0.165,6.15
1830,0.526,0.0,1.22,0.167,6.21
1831,0.529,0.0,1.23,0.169,6.25
1832,0.532,0.0,1.24,0.171,6.29
1833,0.535,0.0,1.24,0.173,6.33
1834,0.538,0.0,1.25,0.175,6.37
1835,0.541,0.0,1.26,0.177,6.41
1836,0.544,0.0,1.27,0.179,6.45
1837,0.547,0.0,1.27,0.181,6.48
1838,0.55,0.0,1.28,0.183,6.52
1839,0.554,0.0,1.29,0.186,6.56
1840,0.557,0.0,1.3,0.188,6.6
1841,0.56,0.0,1.31,0.19,6.64
1842,0.563,0.0,1.31,0.192,6.68
1843,0.566,0.0,1.32,0.194,6.72
1844,0.569,0.0,1.33,0.196,6.77
1845,0.573,0.0,1.34,0.198,6.81
1846,0.576,0.0,1.35,0.2,6.85
1847,0.579,0.0,1.35,0.202,6.89
1848,0.582,0.0,1.36,0.204,6.93
1849,0.586,0.0,1.37,0.206,6.97
1850,0.594,0.000815,1.38,0.208,7.01
1851,0.599,0.000815,1.39,0.211,7.06
1852,0.603,0.000815,1.4,0.213,7.12
1853,0.607,0.000815,1.41,0.215,7.17
1854,0.611,0.000815,1.42,0.217,7.23
1855,0.615,0.000815,1.43,0.219,7.28
1856,0.62,0.000815,1.44,0.221,7.33
1857,0.624,0.000815,1.45,0.223,7.39
1858,0.633,0.00116,1.46,0.225,7.44
1859,0.638,0.00116,1.47,0.227,7.49
1860,0.642,0.00116,1.48,0.229,7.54
1861,0.651,0.0015,1.49,0.231,7.59
1862,0.661,0.00184,1.5,0.233,7.64
1863,0.665,0.00184,1.51,0.236,7.69
1864,0.675,0.00218,1.52,0.238,7.74
1865,0.679,0.00218,1.53,0.24,7.79
1866,0.689,0.0025299999999999997,1.54,0.242,7.84
1867,0.699,0.00287,1.55,0.244,7.89
1868,0.709,0.00321,1.56,0.246,7.94
1869,0.713,0.00321,1.57,0.248,7.99
1870,0.733,0.00424,1.58,0.25,8.04
1871,0.744,0.00458,1.59,0.252,8.1
1872,0.749,0.00458,1.6,0.254,8.16
1873,0.76,0.00492,1.62,0.256,8.23
1874,0.765,0.00492,1.63,0.258,8.3
1875,0.776,0.00526,1.64,0.261,8.37
1876,0.781,0.00526,1.65,0.263,8.45
1877,0.787,0.00526,1.67,0.265,8.52
1878,0.793,0.00526,1.68,0.267,8.59
1879,0.798,0.00526,1.69,0.269,8.66
1880,0.803,0.00526,1.7,0.271,8.72
1881,0.814,0.0056,1.71,0.273,8.78
1882,1.02,0.048,1.72,0.275,8.83
1883,1.23,0.0943,1.73,0.277,8.88
1884,1.31,0.105,1.74,0.279,8.94
1885,1.3,0.102,1.75,0.281,8.99
1886,1.33,0.111,1.77,0.284,9.05
1887,1.39,0.122,1.78,0.286,9.1
1888,1.52,0.145,1.79,0.288,9.15
1889,1.54,0.143,1.8,0.29,9.21
1890,1.75,0.178,1.81,0.292,9.31
1891,2.12,0.248,1.82,0.294,9.33
1892,2.06,0.227,1.83,0.296,9.35
1893,2.15,0.252,1.84,0.298,9.37
1894,2.04,0.232,1.85,0.3,9.39
1895,2.1,0.237,1.86,0.302,9.42
1896,2.16,0.247,1.87,0.304,9.45
1897,2.38,0.282,1.88,0.306,9.49
1898,2.91,0.35,1.9,0.309,9.52
1899,2.83,0.303,1.91,0.311,9.57
1900,2.44,0.199,1.92,0.313,9.62
1901,2.89,0.266,1.93,0.315,9.69
1902,2.91,0.252,1.95,0.317,9.77
1903,3.27,0.274,1.96,0.319,9.84
1904,3.76,0.303,1.98,0.321,9.91
1905,4.41,0.348,2.0,0.323,9.99
1906,5.69,0.445,2.01,0.325,10.1
1907,6.9,0.6,2.03,0.327,10.1
1908,6.71,0.563,2.04,0.329,10.2
1909,7.4,0.575,2.06,0.331,10.3
1910,7.34,0.581,2.07,0.334,10.4
1911,8.65,0.678,2.08,0.336,10.4
1912,9.13,0.604,2.09,0.338,10.5
1913,10.2,0.877,2.1,0.34,10.6
1914,8.79,0.591,2.11,0.342,10.7
1915,7.91,0.539,2.12,0.344,10.8
1916,4.97,0.334,2.13,0.346,11.0
1917,4.28,0.298,2.14,0.348,11.1
1918,5.21,0.349,2.15,0.35,11.2
1919,6.8,0.713,2.16,0.352,11.3
1920,7.89,0.786,2.17,0.354,11.5
1921,8.41,0.866,2.2,0.356,11.7
1922,9.94,1.05,2.23,0.359,12.0
1923,11.5,1.32,2.27,0.361,12.4
1924,13.5,1.51,2.3,0.363,12.7
1925,15.7,1.74,2.33,0.365,13.0
1926,19.5,2.0,2.37,0.367,13.3
1927,21.6,2.37,2.4,0.369,13.6
1928,24.3,2.5,2.44,0.371,13.9
1929,27.2,2.71,2.47,0.373,14.1
1930,31.0,2.81,2.5,0.375,14.3
1931,34.7,2.86,2.52,0.377,14.4
1932,36.8,2.96,2.53,0.379,14.4
1933,36.7,2.96,2.55,0.381,14.3
1934,42.3,3.47,2.57,0.384,14.2
1935,42.0,3.56,2.58,0.386,14.1
1936,44.1,3.73,2.6,0.388,14.0
1937,37.7,3.45,2.61,0.39,13.8
1938,35.3,3.41,2.63,0.392,13.6
1939,33.2,3.36,2.64,0.394,13.5
1940,31.6,3.28,2.66,0.396,13.4
1941,29.6,3.27,2.7,0.398,13.5
1942,31.2,3.3,2.74,0.4,13.7
1943,29.0,3.34,2.79,0.402,14.1
1944,19.9,2.63,2.81,0.404,14.5
1945,24.9,2.92,2.84,0.406,15.0
1946,22.9,2.84,2.87,0.409,15.4
1947,21.2,2.9,2.9,0.411,15.9
