year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,2.6200000000000004e-07,6.94e-21,2.5900000000000003e-07
1751,0.0,0.0,2.7e-07,7.91e-07,2.66e-07
1752,0.0,0.0,2.77e-07,1.5800000000000001e-06,2.74e-07
1753,0.0,0.0,2.8499999999999997e-07,2.37e-06,2.82e-07
1754,0.0,0.0,2.9300000000000004e-07,3.17e-06,2.8899999999999995e-07
1755,0.0,0.0,3.01e-07,3.96e-06,2.97e-07
1756,0.0,0.0,3.08e-07,4.75e-06,3.04e-07
1757,0.0,0.0,3.1599999999999997e-07,5.5399999999999995e-06,3.12e-07
1758,0.0,0.0,3.24e-07,6.3299999999999995e-06,3.2e-07
1759,0.0,0.0,3.3100000000000004e-07,7.12e-06,3.27e-07
1760,0.0,0.0,3.39e-07,7.91e-06,3.35e-07
1761,0.0,0.0,3.49e-07,8.710000000000001e-06,3.45e-07
1762,0.0,0.0,3.5899999999999997e-07,9.5e-06,3.55e-07
1763,0.0,0.0,3.6900000000000004e-07,1.03e-05,3.6400000000000003e-07
1764,0.0,0.0,3.79e-07,1.11e-05,3.74e-07
1765,0.0,0.0,3.89e-07,1.1900000000000001e-05,3.84e-07
1766,0.0,0.0,3.99e-07,1.2699999999999999e-05,3.94e-07
1767,0.0,0.0,4.09e-07,1.35e-05,4.04e-07
1768,0.0,0.0,4.19e-07,1.4200000000000001e-05,4.14e-07
1769,0.0,0.0,4.2900000000000004e-07,1.4999999999999999e-05,4.24e-07
1770,0.0,0.0,4.39e-07,1.58e-05,4.33e-07
1771,0.0,0.0,4.5199999999999997e-07,1.66e-05,4.46e-07
1772,0.0,0.0,4.6500000000000005e-07,1.74e-05,4.5899999999999997e-07
1773,0.0,0.0,4.78e-07,1.8200000000000002e-05,4.72e-07
1774,0.0,0.0,4.91e-07,1.9e-05,4.84e-07
1775,0.0,0.0,5.03e-07,1.98e-05,4.970000000000001e-07
1776,0.0,0.0,5.16e-07,2.06e-05,5.1e-07
1777,0.0,0.0,5.289999999999999e-07,2.14e-05,5.23e-07
1778,0.0,0.0,5.42e-07,2.22e-05,5.35e-07
1779,0.0,0.0,5.550000000000001e-07,2.3e-05,5.48e-07
1780,0.0,0.0,5.68e-07,2.37e-05,5.61e-07
1781,0.0,0.0,5.85e-07,2.4500000000000003e-05,5.77e-07
1782,0.0,0.0,6.009999999999999e-07,2.53e-05,5.94e-07
1783,0.0,0.0,6.18e-07,2.61e-05,6.1e-07
1784,0.0,0.0,6.350000000000001e-07,2.69e-05,6.27e-07
1785,0.0,0.0,6.520000000000001e-07,2.77e-05,6.43e-07
1786,0.0,0.0,6.68e-07,2.85e-05,6.6e-07
1787,0.0,0.0,6.85e-07,2.93e-05,6.76e-07
1788,0.0,0.0,7.02e-07,3.01e-05,6.930000000000001e-07
1789,0.0,0.0,7.179999999999999e-07,3.09e-05,7.09e-07
1790,0.0,0.0,7.35e-07,3.17e-05,7.26e-07
1791,0.0,0.0,7.57e-07,3.24e-05,7.47e-07
1792,0.0,0.0,7.78e-07,3.32e-05,7.690000000000001e-07
1793,0.0,0.0,8.000000000000001e-07,3.4e-05,7.900000000000001e-07
1794,0.0,0.0,8.22e-07,3.48e-05,8.109999999999999e-07
1795,0.0,0.0,8.43e-07,3.56e-05,8.33e-07
1796,0.0,0.0,8.65e-07,3.6400000000000004e-05,8.54e-07
1797,0.0,0.0,8.86e-07,3.7199999999999996e-05,8.75e-07
1798,0.0,0.0,9.079999999999999e-07,3.8e-05,8.97e-07
1799,0.0,0.0,9.300000000000001e-07,3.88e-05,9.179999999999999e-07
1800,0.0,0.0,9.51e-07,3.96e-05,9.389999999999999e-07
1801,0.0,0.0,9.79e-07,4.04e-05,9.67e-07
1802,0.0,0.0,1.01e-06,4.12e-05,9.95e-07
1803,0.0,0.0,1.04e-06,4.19e-05,1.02e-06
1804,0.0,0.0,1.06e-06,4.27e-05,1.05e-06
1805,0.0,0.0,1.09e-06,4.35e-05,1.08e-06
1806,0.0,0.0,1.1199999999999999e-06,4.43e-05,1.1100000000000002e-06
1807,0.0,0.0,1.15e-06,4.51e-05,1.13e-06
1808,0.0,0.0,1.1800000000000001e-06,4.5900000000000004e-05,1.16e-06
1809,0.0,0.0,1.2e-06,4.67e-05,1.19e-06
1810,0.0,0.0,1.2299999999999999e-06,4.75e-05,1.22e-06
1811,0.0,0.0,1.2700000000000001e-06,4.83e-05,1.25e-06
1812,0.0,0.0,1.2999999999999998e-06,4.91e-05,1.29e-06
1813,0.0,0.0,1.34e-06,4.99e-05,1.32e-06
1814,0.0,0.0,1.38e-06,5.07e-05,1.3600000000000001e-06
1815,0.0,0.0,1.41e-06,5.14e-05,1.39e-06
1816,0.0,0.0,1.4499999999999999e-06,5.22e-05,1.43e-06
1817,0.0,0.0,1.48e-06,5.3e-05,1.47e-06
1818,0.0,0.0,1.52e-06,5.38e-05,1.5e-06
1819,0.0,0.0,1.5599999999999999e-06,5.4600000000000006e-05,1.5399999999999999e-06
1820,0.0,0.0,1.59e-06,5.54e-05,1.57e-06
1821,0.0,0.0,1.64e-06,5.62e-05,1.62e-06
1822,0.0,0.0,1.6900000000000001e-06,5.7e-05,1.67e-06
1823,0.0,0.0,1.73e-06,5.7799999999999995e-05,1.71e-06
1824,0.0,0.0,1.78e-06,5.86e-05,1.76e-06
1825,0.0,0.0,1.83e-06,5.94e-05,1.8e-06
1826,0.0,0.0,1.8699999999999999e-06,6.0100000000000004e-05,1.85e-06
1827,0.0,0.0,1.9200000000000003e-06,6.09e-05,1.9e-06
1828,0.0,0.0,1.9699999999999998e-06,6.17e-05,1.94e-06
1829,0.0,0.0,2.0100000000000002e-06,6.25e-05,1.99e-06
1830,0.0,0.0,2.06e-06,6.33e-05,2.04e-06
1831,0.0,0.0,2.12e-06,6.41e-05,2.1e-06
1832,0.0,0.0,2.18e-06,6.49e-05,2.16e-06
1833,0.0,0.0,2.2399999999999997e-06,6.57e-05,2.2200000000000003e-06
1834,0.0,0.0,2.3e-06,6.65e-05,2.2799999999999998e-06
1835,0.0,0.0,2.3600000000000003e-06,6.73e-05,2.34e-06
1836,0.0,0.0,2.43e-06,6.809999999999999e-05,2.4e-06
1837,0.0,0.0,2.49e-06,6.890000000000001e-05,2.45e-06
1838,0.0,0.0,2.55e-06,6.96e-05,2.51e-06
1839,0.0,0.0,2.61e-06,7.04e-05,2.57e-06
1840,0.0,0.0,2.6700000000000003e-06,7.12e-05,2.63e-06
1841,0.0,0.0,2.75e-06,7.199999999999999e-05,2.7100000000000003e-06
1842,0.0,0.0,2.82e-06,7.280000000000001e-05,2.79e-06
1843,0.0,0.0,2.8999999999999998e-06,7.36e-05,2.87e-06
1844,0.0,0.0,2.98e-06,7.439999999999999e-05,2.94e-06
1845,0.0,0.0,3.06e-06,7.52e-05,3.0200000000000003e-06
1846,0.0,0.0,3.14e-06,7.6e-05,3.1e-06
1847,0.0,0.0,3.22e-06,7.68e-05,3.18e-06
1848,0.0,0.0,3.3e-06,7.76e-05,3.25e-06
1849,0.0,0.0,3.3700000000000003e-06,7.84e-05,3.33e-06
1850,1.98e-06,0.0,3.3e-06,7.91e-05,7.97e-06
1851,2.02e-06,0.0,3.3700000000000003e-06,7.99e-05,8.14e-06
1852,2.06e-06,0.0,3.4299999999999998e-06,8.07e-05,8.3e-06
