year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0292,0.0,0.121,0.0,4.06
1751,0.0292,0.0,0.121,8.58e-05,4.06
1752,0.0292,0.0,0.121,0.00017199999999999998,4.07
1753,0.0292,0.0,0.122,0.000257,4.07
1754,0.0292,0.0,0.122,0.00034300000000000004,4.07
1755,0.0292,0.0,0.122,0.000429,4.07
1756,0.0292,0.0,0.122,0.000515,4.07
1757,0.0292,0.0,0.122,0.0006,4.07
1758,0.0292,0.0,0.122,0.0006860000000000001,4.08
1759,0.0292,0.0,0.122,0.000772,4.08
1760,0.0293,0.0,0.122,0.000858,4.08
1761,0.0293,0.0,0.122,0.0009429999999999999,4.08
1762,0.0293,0.0,0.122,0.00103,4.08
1763,0.0293,0.0,0.122,0.00111,4.09
1764,0.0293,0.0,0.122,0.0012,4.09
1765,0.0293,0.0,0.122,0.0012900000000000001,4.09
1766,0.0293,0.0,0.122,0.0013700000000000001,4.09
1767,0.0293,0.0,0.122,0.00146,4.09
1768,0.0293,0.0,0.122,0.0015400000000000001,4.09
1769,0.0293,0.0,0.122,0.00163,4.1
1770,0.0293,0.0,0.122,0.00172,4.1
1771,0.0293,0.0,0.122,0.0018,4.1
1772,0.0293,0.0,0.123,0.00189,4.1
1773,0.0293,0.0,0.123,0.00197,4.1
1774,0.0293,0.0,0.123,0.00206,4.1
1775,0.0293,0.0,0.123,0.00214,4.11
1776,0.0293,0.0,0.123,0.0022299999999999998,4.11
1777,0.0294,0.0,0.123,0.00232,4.11
1778,0.0294,0.0,0.123,0.0024,4.11
1779,0.0294,0.0,0.123,0.00249,4.11
1780,0.0294,0.0,0.123,0.00257,4.11
1781,0.0294,0.0,0.123,0.00266,4.12
1782,0.0294,0.0,0.123,0.0027400000000000002,4.12
1783,0.0294,0.0,0.123,0.00283,4.12
1784,0.0294,0.0,0.123,0.00292,4.12
1785,0.0294,0.0,0.123,0.003,4.12
1786,0.0294,0.0,0.123,0.00309,4.13
1787,0.0294,0.0,0.123,0.00317,4.13
1788,0.0294,0.0,0.123,0.00326,4.13
1789,0.0294,0.0,0.123,0.0033399999999999997,4.13
1790,0.0294,0.0,0.123,0.0034300000000000003,4.13
1791,0.0294,0.0,0.124,0.00352,4.13
1792,0.0294,0.0,0.124,0.0036,4.14
1793,0.0294,0.0,0.124,0.00369,4.14
1794,0.0294,0.0,0.124,0.00377,4.14
1795,0.0294,0.0,0.124,0.0038599999999999997,4.14
1796,0.0294,0.0,0.124,0.00395,4.14
1797,0.0294,0.0,0.124,0.004030000000000001,4.14
1798,0.0294,0.0,0.124,0.00412,4.15
1799,0.0294,0.0,0.124,0.004200000000000001,4.15
1800,0.0295,0.0,0.124,0.00429,4.15
1801,0.0295,0.0,0.124,0.00437,4.15
1802,0.0295,0.0,0.124,0.0044599999999999996,4.15
1803,0.0295,0.0,0.124,0.00455,4.15
1804,0.0295,0.0,0.124,0.00463,4.16
1805,0.0295,0.0,0.124,0.004719999999999999,4.16
1806,0.0295,0.0,0.124,0.0048,4.16
1807,0.0295,0.0,0.124,0.004889999999999999,4.16
1808,0.0295,0.0,0.124,0.00497,4.16
1809,0.0295,0.0,0.124,0.005059999999999999,4.17
1810,0.0295,0.0,0.124,0.00515,4.17
1811,0.0295,0.0,0.125,0.00523,4.17
1812,0.0295,0.0,0.125,0.00532,4.17
1813,0.0295,0.0,0.125,0.0054,4.17
1814,0.0295,0.0,0.125,0.00549,4.17
1815,0.0295,0.0,0.125,0.00557,4.18
1816,0.0295,0.0,0.125,0.00566,4.18
1817,0.0295,0.0,0.125,0.00575,4.18
1818,0.0295,0.0,0.125,0.00583,4.18
1819,0.0295,0.0,0.125,0.00592,4.18
1820,0.0295,0.0,0.125,0.006,4.18
1821,0.0287,0.0,0.122,0.00609,4.08
1822,0.028,0.0,0.119,0.00617,3.97
1823,0.0272,0.0,0.116,0.00626,3.87
1824,0.0265,0.0,0.112,0.00635,3.76
1825,0.0257,0.0,0.109,0.00643,3.66
1826,0.025,0.0,0.106,0.00652,3.55
1827,0.0242,0.0,0.103,0.0066,3.44
1828,0.0235,0.0,0.0998,0.006690000000000001,3.34
1829,0.022699999999999998,0.0,0.09659999999999999,0.0067800000000000004,3.23
1830,0.022,0.0,0.09340000000000001,0.006860000000000001,3.13
1831,0.022,0.0,0.0938,0.0069500000000000004,3.14
1832,0.0221,0.0,0.0942,0.007030000000000001,3.15
1833,0.0222,0.0,0.09459999999999999,0.0071200000000000005,3.17
1834,0.0223,0.0,0.095,0.0072,3.18
1835,0.0224,0.0,0.09540000000000001,0.00729,3.19
1836,0.0225,0.0,0.0958,0.00738,3.21
1837,0.0225,0.0,0.09620000000000001,0.00746,3.22
1838,0.022600000000000002,0.0,0.09659999999999999,0.007549999999999999,3.23
1839,0.022699999999999998,0.0,0.097,0.00763,3.25
1840,0.0228,0.0,0.0973,0.007719999999999999,3.26
1841,0.0229,0.0,0.09770000000000001,0.0078,3.27
1842,0.023,0.0,0.09820000000000001,0.00789,3.29
1843,0.023,0.0,0.0986,0.007980000000000001,3.3
1844,0.023100000000000002,0.0,0.099,0.008060000000000001,3.31
1845,0.0232,0.0,0.0994,0.008150000000000001,3.33
1846,0.0233,0.0,0.0998,0.008230000000000001,3.34
1847,0.023399999999999997,0.0,0.1,0.008320000000000001,3.35
1848,0.0235,0.0,0.101,0.008400000000000001,3.37
1849,0.0235,0.0,0.101,0.008490000000000001,3.38
1850,0.0251,0.0,0.101,0.00858,3.39
1851,0.0252,0.0,0.102,0.00866,3.41
1852,0.0255,0.0,0.102,0.00875,3.42
1853,0.0261,0.0,0.103,0.00883,3.44
1854,0.026699999999999998,0.0,0.103,0.008919999999999999,3.46
1855,0.0273,0.0,0.104,0.00901,3.48
1856,0.027899999999999998,0.0,0.104,0.009089999999999999,3.49
1857,0.0285,0.0,0.104,0.009179999999999999,3.51
1858,0.0291,0.0,0.105,0.00926,3.52
1859,0.0298,0.0,0.105,0.009349999999999999,3.54
1860,0.0304,0.0,0.106,0.00943,3.55
1861,0.031,0.0,0.106,0.009519999999999999,3.57
1862,0.0317,0.0,0.107,0.009609999999999999,3.59
1863,0.033,0.0,0.107,0.009689999999999999,3.61
1864,0.0337,0.0,0.108,0.009779999999999999,3.62
1865,0.0344,0.0,0.108,0.009859999999999999,3.64
1866,0.0351,0.0,0.109,0.009949999999999999,3.66
1867,0.0357,0.0,0.11,0.01,3.68
1868,0.0364,0.0,0.11,0.0101,3.69
1869,0.0371,0.0,0.111,0.010199999999999999,3.71
1870,0.037899999999999996,0.0,0.111,0.0103,3.73
1871,0.0386,0.0,0.112,0.0104,3.75
1872,0.0394,0.0,0.112,0.0105,3.78
1873,0.040299999999999996,0.0,0.113,0.0105,3.82
1874,0.041100000000000005,0.0,0.114,0.0106,3.85
1875,0.042,0.0,0.114,0.0107,3.89
1876,0.043,0.0,0.115,0.0108,3.93
1877,0.0439,0.0,0.116,0.0109,3.97
1878,0.0448,0.0,0.117,0.011,4.01
1879,0.045700000000000005,0.0,0.117,0.0111,4.04
1880,0.0465,0.0,0.118,0.0111,4.07
1881,0.0474,0.0,0.118,0.0112,4.09
1882,0.0482,0.0,0.119,0.011300000000000001,4.11
1883,0.049100000000000005,0.0,0.12,0.0114,4.14
1884,0.05,0.0,0.12,0.0115,4.16
1885,0.0509,0.0,0.121,0.0116,4.18
1886,0.0518,0.0,0.122,0.011699999999999999,4.2
1887,0.052700000000000004,0.0,0.122,0.011699999999999999,4.22
1888,0.0536,0.0,0.123,0.011800000000000001,4.25
1889,0.0545,0.0,0.123,0.0119,4.27
1890,0.0559,0.0,0.124,0.012,4.31
1891,0.0569,0.0,0.125,0.0121,4.33
1892,0.058,0.0,0.125,0.012199999999999999,4.36
1893,0.0591,0.0,0.126,0.0123,4.38
1894,0.060200000000000004,0.0,0.127,0.0123,4.41
1895,0.061399999999999996,0.0,0.127,0.0124,4.44
1896,0.0625,0.0,0.128,0.0125,4.46
1897,0.0637,0.0,0.129,0.0126,4.49
1898,0.0649,0.0,0.129,0.0127,4.51
1899,0.06620000000000001,0.0,0.13,0.0128,4.54
1900,0.0674,0.0,0.131,0.0129,4.57
1901,0.0703,0.0,0.131,0.013,4.59
1902,0.0733,0.0,0.132,0.013,4.62
1903,0.07640000000000001,0.0,0.133,0.013099999999999999,4.65
1904,0.07959999999999999,0.0,0.134,0.0132,4.67
1905,0.0829,0.0,0.134,0.013300000000000001,4.7
1906,0.0863,0.0,0.135,0.0134,4.73
