year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0008100000000000001
1851,0.0008100000000000001
1852,0.0008100000000000001
1853,0.0008100000000000001
1854,0.0008100000000000001
1855,0.0008100000000000001
1856,0.0008100000000000001
1857,0.0008100000000000001
1858,0.0008100000000000001
1859,0.0008100000000000001
1860,0.0008100000000000001
1861,0.0008100000000000001
1862,0.0008100000000000001
1863,0.0008100000000000001
1864,0.0008110000000000001
1865,0.0008110000000000001
1866,0.0008110000000000001
1867,0.0008110000000000001
1868,0.0008110000000000001
1869,0.0008110000000000001
1870,0.0008110000000000001
1871,0.0008110000000000001
1872,0.0008110000000000001
1873,0.0008110000000000001
1874,0.0008110000000000001
1875,0.0008110000000000001
1876,0.0008110000000000001
1877,0.0008110000000000001
1878,0.0008110000000000001
1879,0.0008110000000000001
1880,0.0008110000000000001
1881,0.0008110000000000001
1882,0.0008110000000000001
1883,0.0008110000000000001
1884,0.0008110000000000001
1885,0.0008110000000000001
1886,0.0008110000000000001
1887,0.000812
1888,0.000812
1889,0.000812
1890,0.000812
1891,0.000948
1892,0.00132
1893,0.00189
1894,0.00261
1895,0.0034300000000000003
1896,0.00429
1897,0.00517
1898,0.006
1899,0.00674
1900,0.00735
1901,0.00785
1902,0.0083
1903,0.00872
1904,0.00912
1905,0.00951
1906,0.0099
1907,0.0103
1908,0.0107
1909,0.0112
1910,0.011699999999999999
1911,0.0123
1912,0.0129
1913,0.0135
1914,0.014199999999999999
1915,0.0149
1916,0.0157
1917,0.0165
1918,0.0173
1919,0.0182
1920,0.019100000000000002
1921,0.022699999999999998
1922,0.031100000000000003
1923,0.0435
1924,0.0588
1925,0.0761
1926,0.09459999999999999
1927,0.113
1928,0.131
1929,0.147
1930,0.161
1931,0.172
1932,0.184
1933,0.195
1934,0.205
1935,0.216
1936,0.226
1937,0.236
1938,0.247
1939,0.257
1940,0.268
1941,0.279
1942,0.29
1943,0.302
1944,0.314
1945,0.327
1946,0.34
1947,0.355
1948,0.37
1949,0.386
1950,0.404
1951,0.423
1952,0.444
1953,0.466
1954,0.491
1955,0.516
1956,0.543
1957,0.571
1958,0.6
1959,0.629
1960,0.659
1961,0.692
1962,0.729
1963,0.77
1964,0.813
1965,0.856
1966,0.899
1967,0.939
1968,0.976
1969,1.01
1970,1.03
1971,1.06
1972,1.08
1973,1.1
1974,1.12
1975,1.14
1976,1.16
1977,1.18
1978,1.2
1979,1.21
1980,1.22
1981,1.23
1982,1.23
1983,1.23
1984,1.22
1985,1.22
1986,1.21
1987,1.21
1988,1.2
1989,1.2
1990,0.837
1991,0.855
1992,0.872
1993,0.337
1994,0.092
1995,0.246
1996,0.53
1997,1.14
1998,1.09
1999,1.06
2000,1.14
2001,0.999
2002,1.34
2003,0.993
2004,1.36
2005,1.1
2006,1.1
2007,1.42
2008,0.689
2009,0.39
2010,0.409
2011,0.412
2012,0.351
2013,0.229
2014,0.253
2015,0.233
2016,0.257
2017,0.275
2018,0.298
2019,0.317
2020,0.341
2021,0.364
2022,0.374
