year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0003,0.0,0.00285,4.2700000000000004e-18,0.0211
1751,0.000303,0.0,0.0028799999999999997,0.000202,0.0213
1752,0.000305,0.0,0.0029,0.000404,0.0215
1753,0.000308,0.0,0.0029300000000000003,0.000606,0.0217
1754,0.00031,0.0,0.0029500000000000004,0.000808,0.0218
1755,0.000313,0.0,0.00298,0.00101,0.022
1756,0.000315,0.0,0.003,0.00121,0.0222
1757,0.00031800000000000003,0.0,0.0030299999999999997,0.00141,0.0224
1758,0.00032,0.0,0.0030600000000000002,0.0016200000000000001,0.022600000000000002
1759,0.000323,0.0,0.0030800000000000003,0.00182,0.0228
1760,0.000325,0.0,0.00311,0.00202,0.023
1761,0.000328,0.0,0.00314,0.00222,0.0232
1762,0.000331,0.0,0.00316,0.0024300000000000003,0.023399999999999997
1763,0.000333,0.0,0.00319,0.00263,0.023600000000000003
1764,0.00033600000000000004,0.0,0.00322,0.00283,0.0238
1765,0.000339,0.0,0.00325,0.0030299999999999997,0.024
1766,0.00034100000000000005,0.0,0.00328,0.00323,0.024300000000000002
1767,0.00034399999999999996,0.0,0.00331,0.00344,0.0245
1768,0.00034599999999999995,0.0,0.00333,0.00364,0.0247
1769,0.00034899999999999997,0.0,0.0033599999999999997,0.0038399999999999997,0.0249
1770,0.000352,0.0,0.0033900000000000002,0.00404,0.0251
1771,0.00035499999999999996,0.0,0.00342,0.00424,0.0253
1772,0.000357,0.0,0.0034500000000000004,0.00445,0.0255
1773,0.00035999999999999997,0.0,0.00348,0.0046500000000000005,0.0258
1774,0.000363,0.0,0.0035099999999999997,0.004849999999999999,0.026
1775,0.000366,0.0,0.00354,0.00505,0.026199999999999998
1776,0.00036899999999999997,0.0,0.0035800000000000003,0.00526,0.0265
1777,0.000372,0.0,0.00361,0.00546,0.026699999999999998
1778,0.000374,0.0,0.00364,0.00566,0.0269
1779,0.000377,0.0,0.00367,0.005860000000000001,0.027100000000000003
1780,0.00038,0.0,0.0037,0.006059999999999999,0.027399999999999997
1781,0.000383,0.0,0.00373,0.0062699999999999995,0.027600000000000003
1782,0.000386,0.0,0.00377,0.00647,0.027899999999999998
1783,0.000389,0.0,0.0038,0.00667,0.0281
1784,0.00039200000000000004,0.0,0.00383,0.00687,0.028399999999999998
1785,0.000395,0.0,0.00387,0.00707,0.0286
1786,0.000398,0.0,0.0039,0.00728,0.0289
1787,0.00040100000000000004,0.0,0.00393,0.0074800000000000005,0.0291
1788,0.000404,0.0,0.0039700000000000004,0.007679999999999999,0.0294
1789,0.00040699999999999997,0.0,0.004,0.00788,0.0296
1790,0.00041,0.0,0.00404,0.00808,0.0299
