year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,8.46e-05
1922,0.000314
1923,0.000652
1924,0.00106
1925,0.00151
1926,0.00196
1927,0.00237
1928,0.00271
1929,0.00294
1930,0.00302
1931,0.0029500000000000004
1932,0.00277
1933,0.00249
1934,0.00216
1935,0.0018
1936,0.0014399999999999999
1937,0.00111
1938,0.000834
1939,0.000648
1940,0.00058
1941,0.000592
1942,0.000625
1943,0.0006770000000000001
1944,0.000745
1945,0.0008259999999999999
1946,0.0009180000000000001
1947,0.00102
1948,0.0011200000000000001
1949,0.00123
1950,0.00134
1951,0.00145
1952,0.00157
1953,0.00171
1954,0.0018700000000000001
1955,0.0020299999999999997
1956,0.00221
1957,0.0024100000000000002
1958,0.00262
1959,0.0028399999999999996
1960,0.00307
1961,0.0033399999999999997
1962,0.00365
1963,0.00401
1964,0.00441
1965,0.004860000000000001
1966,0.00534
1967,0.005849999999999999
1968,0.0064
1969,0.0069900000000000006
1970,0.0076
1971,0.00831
1972,0.009179999999999999
1973,0.010199999999999999
1974,0.011300000000000001
1975,0.0124
1976,0.0136
1977,0.0149
1978,0.0161
1979,0.0172
1980,0.0183
1981,0.0192
1982,0.0202
1983,0.0211
1984,0.0221
1985,0.023
1986,0.024
1987,0.025
1988,0.0261
1989,0.0273
1990,0.0286
1991,0.0289
1992,0.029
1993,0.0286
1994,0.0288
1995,0.0299
1996,0.027100000000000003
1997,0.0313
1998,0.028
1999,0.0281
2000,0.041
2001,0.055799999999999995
2002,0.0698
2003,0.088
2004,0.108
2005,0.129
2006,0.15
2007,0.173
2008,0.198
2009,0.214
2010,0.226
2011,0.237
2012,0.257
2013,0.274
2014,0.288
2015,0.296
2016,0.302
2017,0.292
2018,0.276
2019,0.256
2020,0.241
2021,0.228
2022,0.227
