year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0201,0.0,0.0232,0.0,0.24
1751,0.0202,0.0,0.0233,0.000225,0.241
1752,0.020300000000000002,0.0,0.023399999999999997,0.000451,0.242
1753,0.020300000000000002,0.0,0.0235,0.0006760000000000001,0.243
1754,0.020399999999999998,0.0,0.023600000000000003,0.000901,0.244
1755,0.0205,0.0,0.023600000000000003,0.00113,0.245
1756,0.0206,0.0,0.0237,0.00135,0.246
1757,0.0207,0.0,0.0238,0.00158,0.247
1758,0.0208,0.0,0.023899999999999998,0.0018,0.248
1759,0.0208,0.0,0.024,0.0020299999999999997,0.249
1760,0.0209,0.0,0.0241,0.00225,0.25
1761,0.021,0.0,0.0242,0.00248,0.251
1762,0.0211,0.0,0.024300000000000002,0.0027,0.252
1763,0.0212,0.0,0.024399999999999998,0.0029300000000000003,0.253
1764,0.0213,0.0,0.0245,0.00315,0.254
1765,0.0213,0.0,0.0246,0.0033799999999999998,0.255
1766,0.0214,0.0,0.0247,0.0036,0.256
1767,0.0215,0.0,0.0248,0.00383,0.257
1768,0.0216,0.0,0.0249,0.004059999999999999,0.258
1769,0.0217,0.0,0.025,0.00428,0.259
1770,0.0218,0.0,0.0251,0.00451,0.26
1771,0.0219,0.0,0.0252,0.004730000000000001,0.261
1772,0.0219,0.0,0.0253,0.00496,0.262
1773,0.022,0.0,0.0254,0.00518,0.264
1774,0.0221,0.0,0.0255,0.00541,0.265
1775,0.0222,0.0,0.0256,0.00563,0.266
1776,0.0223,0.0,0.0257,0.005860000000000001,0.267
1777,0.0224,0.0,0.0258,0.00608,0.268
1778,0.0225,0.0,0.0259,0.00631,0.269
1779,0.022600000000000002,0.0,0.026,0.00653,0.27
1780,0.022699999999999998,0.0,0.0261,0.0067599999999999995,0.271
1781,0.0228,0.0,0.026199999999999998,0.00698,0.272
1782,0.0228,0.0,0.0263,0.00721,0.273
1783,0.0229,0.0,0.0264,0.00743,0.274
1784,0.023,0.0,0.026600000000000002,0.00766,0.275
1785,0.023100000000000002,0.0,0.026699999999999998,0.00789,0.276
1786,0.0232,0.0,0.0268,0.00811,0.278
1787,0.0233,0.0,0.0269,0.00834,0.279
1788,0.023399999999999997,0.0,0.027,0.00856,0.28
1789,0.0235,0.0,0.027100000000000003,0.00879,0.281
1790,0.023600000000000003,0.0,0.0272,0.00901,0.282
1791,0.0237,0.0,0.0273,0.00924,0.283
1792,0.0238,0.0,0.027399999999999997,0.009460000000000001,0.284
1793,0.023899999999999998,0.0,0.0275,0.009689999999999999,0.285
1794,0.024,0.0,0.027600000000000003,0.00991,0.287
1795,0.0241,0.0,0.0277,0.0101,0.288
1796,0.0242,0.0,0.027899999999999998,0.0104,0.289
1797,0.024300000000000002,0.0,0.028,0.0106,0.29
1798,0.024399999999999998,0.0,0.0281,0.0108,0.291
1799,0.0245,0.0,0.0282,0.011,0.292
1800,0.0245,0.0,0.028300000000000002,0.011300000000000001,0.294
1801,0.0246,0.0,0.028399999999999998,0.0115,0.295
1802,0.0247,0.0,0.0285,0.011699999999999999,0.296
1803,0.0248,0.0,0.0287,0.0119,0.297
1804,0.0249,0.0,0.0288,0.012199999999999999,0.298
1805,0.025,0.0,0.0289,0.0124,0.3
1806,0.0251,0.0,0.029,0.0126,0.301
1807,0.0252,0.0,0.0291,0.0128,0.302
1808,0.0253,0.0,0.0292,0.013099999999999999,0.303
1809,0.0254,0.0,0.0293,0.013300000000000001,0.304
1810,0.0255,0.0,0.0295,0.0135,0.305
1811,0.0257,0.0,0.0296,0.013699999999999999,0.307
1812,0.0259,0.0,0.0298,0.014,0.309
1813,0.026,0.0,0.03,0.014199999999999999,0.311
1814,0.026199999999999998,0.0,0.030199999999999998,0.0144,0.313
1815,0.0263,0.0,0.0304,0.0146,0.315
1816,0.0265,0.0,0.0305,0.0149,0.317
1817,0.026600000000000002,0.0,0.030699999999999998,0.015099999999999999,0.318
1818,0.0268,0.0,0.030899999999999997,0.015300000000000001,0.32
1819,0.0269,0.0,0.031100000000000003,0.0155,0.322
1820,0.027100000000000003,0.0,0.0312,0.0158,0.324
1821,0.0272,0.0,0.0314,0.016,0.326
1822,0.027399999999999997,0.0,0.0316,0.0162,0.328
1823,0.0275,0.0,0.0318,0.016399999999999998,0.33
1824,0.0277,0.0,0.032,0.0167,0.332
1825,0.027899999999999998,0.0,0.0322,0.0169,0.334
1826,0.028,0.0,0.0324,0.0171,0.336
1827,0.0282,0.0,0.032600000000000004,0.0173,0.338
1828,0.028300000000000002,0.0,0.032799999999999996,0.0176,0.34
1829,0.0285,0.0,0.0329,0.0178,0.342
1830,0.0286,0.0,0.033100000000000004,0.018,0.344
1831,0.0288,0.0,0.033299999999999996,0.0182,0.346
1832,0.029,0.0,0.0335,0.0185,0.348
1833,0.0291,0.0,0.0337,0.018699999999999998,0.35
1834,0.0293,0.0,0.0339,0.0189,0.352
1835,0.0294,0.0,0.0341,0.0192,0.354
