year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.485,0.0,0.0742,1.04e-17,0.973
1751,0.487,0.0,0.07479999999999999,0.00222,0.981
1752,0.489,0.0,0.07529999999999999,0.00444,0.988
1753,0.491,0.0,0.07590000000000001,0.00666,0.995
1754,0.493,0.0,0.07640000000000001,0.00888,1.0
1755,0.495,0.0,0.077,0.0111,1.01
1756,0.498,0.0,0.07759999999999999,0.013300000000000001,1.02
1757,0.5,0.0,0.07809999999999999,0.0155,1.02
1758,0.502,0.0,0.0787,0.0178,1.03
1759,0.504,0.0,0.0792,0.02,1.04
1760,0.506,0.0,0.0798,0.0222,1.05
1761,0.506,0.0,0.08009999999999999,0.024399999999999998,1.05
1762,0.506,0.0,0.0803,0.026600000000000002,1.05
1763,0.506,0.0,0.08059999999999999,0.0289,1.06
1764,0.506,0.0,0.0808,0.031100000000000003,1.06
1765,0.506,0.0,0.08109999999999999,0.033299999999999996,1.06
1766,0.506,0.0,0.0814,0.0355,1.07
1767,0.506,0.0,0.08159999999999999,0.037700000000000004,1.07
1768,0.506,0.0,0.0819,0.04,1.07
1769,0.506,0.0,0.08209999999999999,0.0422,1.08
1770,0.506,0.0,0.0824,0.0444,1.08
1771,0.507,0.0,0.08270000000000001,0.0466,1.08
1772,0.507,0.0,0.083,0.048799999999999996,1.09
1773,0.507,0.0,0.0833,0.051,1.09
1774,0.508,0.0,0.0836,0.0533,1.1
1775,0.508,0.0,0.0839,0.0555,1.1
1776,0.508,0.0,0.0842,0.0577,1.1
1777,0.508,0.0,0.0845,0.0599,1.11
1778,0.509,0.0,0.0849,0.0621,1.11
1779,0.509,0.0,0.0852,0.0644,1.12
1780,0.509,0.0,0.0855,0.06659999999999999,1.12
1781,0.51,0.0,0.0859,0.0688,1.13
1782,0.511,0.0,0.0863,0.071,1.13
1783,0.512,0.0,0.0868,0.0732,1.14
1784,0.513,0.0,0.0872,0.0755,1.14
1785,0.514,0.0,0.0876,0.0777,1.15
1786,0.514,0.0,0.0881,0.0799,1.16
1787,0.515,0.0,0.0885,0.08209999999999999,1.16
1788,0.516,0.0,0.0889,0.0843,1.17
1789,0.517,0.0,0.08940000000000001,0.0866,1.17
1790,0.518,0.0,0.08979999999999999,0.0888,1.18
1791,0.519,0.0,0.09029999999999999,0.091,1.18
1792,0.52,0.0,0.09079999999999999,0.0932,1.19
1793,0.521,0.0,0.09129999999999999,0.09540000000000001,1.2
1794,0.522,0.0,0.09190000000000001,0.09770000000000001,1.2
1795,0.524,0.0,0.09240000000000001,0.0999,1.21
1796,0.525,0.0,0.09290000000000001,0.102,1.22
1797,0.526,0.0,0.09340000000000001,0.104,1.22
1798,0.527,0.0,0.09390000000000001,0.107,1.23
1799,0.528,0.0,0.09440000000000001,0.109,1.24
1800,0.529,0.0,0.09490000000000001,0.111,1.24
1801,0.526,0.0,0.0948,0.113,1.24
1802,0.524,0.0,0.0947,0.115,1.24
1803,0.521,0.0,0.0945,0.118,1.24
1804,0.519,0.0,0.09440000000000001,0.12,1.24
1805,0.516,0.0,0.0943,0.122,1.24
1806,0.514,0.0,0.0942,0.124,1.23
1807,0.511,0.0,0.094,0.127,1.23
1808,0.509,0.0,0.09390000000000001,0.129,1.23
1809,0.506,0.0,0.0938,0.131,1.23
1810,0.504,0.0,0.09359999999999999,0.133,1.23
1811,0.506,0.0,0.09440000000000001,0.135,1.24
1812,0.509,0.0,0.0952,0.138,1.25
1813,0.511,0.0,0.096,0.14,1.26
1814,0.513,0.0,0.0968,0.142,1.27
1815,0.516,0.0,0.09759999999999999,0.144,1.28
1816,0.518,0.0,0.0983,0.146,1.29
1817,0.52,0.0,0.0991,0.149,1.3
1818,0.522,0.0,0.0999,0.151,1.31
1819,0.525,0.0,0.101,0.153,1.32
1820,0.527,0.0,0.101,0.155,1.33
1821,0.531,0.0,0.103,0.158,1.35
1822,0.535,0.0,0.104,0.16,1.36
1823,0.539,0.0,0.105,0.162,1.38
1824,0.542,0.0,0.106,0.164,1.39
1825,0.546,0.0,0.107,0.166,1.41
1826,0.55,0.0,0.108,0.169,1.42
1827,0.554,0.0,0.11,0.171,1.44
1828,0.557,0.0,0.111,0.173,1.45
1829,0.561,0.0,0.112,0.175,1.47
1830,0.565,0.0,0.113,0.178,1.48
1831,0.567,0.0,0.114,0.18,1.49
1832,0.57,0.0,0.115,0.182,1.51
1833,0.572,0.0,0.116,0.184,1.52
1834,0.621,0.0367,0.117,0.186,1.53
1835,0.631,0.0,0.118,0.189,1.54
1836,0.638,0.0,0.119,0.191,1.56
1837,0.643,0.0,0.12,0.193,1.57
1838,0.646,0.0,0.121,0.195,1.58
1839,0.649,0.049,0.122,0.198,1.6
1840,0.646,0.044899999999999995,0.123,0.2,1.61
1841,0.65,0.044899999999999995,0.124,0.202,1.63
1842,0.71,0.08979999999999999,0.125,0.204,1.64
1843,0.683,0.0653,0.127,0.206,1.66
1844,0.744,0.11,0.128,0.209,1.68
1845,0.732,0.098,0.129,0.211,1.7
1846,0.726,0.08979999999999999,0.131,0.213,1.71
1847,0.729,0.08979999999999999,0.132,0.215,1.73
1848,0.815,0.155,0.133,0.218,1.75
1849,0.895,0.216,0.135,0.22,1.77
1850,0.88,0.225,0.136,0.222,2.05
1851,0.902,0.241,0.137,0.224,2.06
1852,0.908,0.241,0.138,0.226,2.08
1853,0.924,0.253,0.138,0.229,2.09
1854,1.04,0.376,0.139,0.231,2.11
1855,1.03,0.351,0.14,0.233,2.13
1856,1.19,0.531,0.141,0.235,2.14
1857,1.33,0.682,0.142,0.237,2.15
1858,1.24,0.572,0.143,0.24,2.17
1859,1.49,0.841,0.143,0.242,2.18
1860,1.5,0.837,0.144,0.244,2.19
1861,1.73,1.08,0.146,0.246,2.21
1862,1.75,1.1,0.148,0.249,2.24
1863,1.76,1.1,0.15,0.251,2.27
1864,1.82,1.15,0.151,0.253,2.29
1865,1.87,1.2,0.153,0.255,2.32
1866,1.9,1.23,0.155,0.257,2.34
1867,1.83,1.15,0.157,0.26,2.37
1868,2.01,1.35,0.159,0.262,2.39
1869,1.87,1.2,0.161,0.264,2.42
1870,2.12,1.48,0.162,0.266,2.44
1871,2.22,1.58,0.164,0.269,2.47
1872,2.5,1.88,0.166,0.271,2.51
1873,2.53,1.91,0.168,0.273,2.55
1874,2.68,2.06,0.171,0.275,2.6
1875,3.1,2.51,0.173,0.277,2.65
1876,3.25,2.67,0.176,0.28,2.7
1877,3.4,2.83,0.178,0.282,2.75
1878,3.02,2.39,0.181,0.284,2.8
1879,3.06,2.42,0.183,0.286,2.84
1880,3.67,3.11,0.185,0.289,2.87
1881,3.59,3.01,0.186,0.291,2.89
1882,3.99,3.45,0.187,0.293,2.91
1883,4.06,3.52,0.188,0.295,2.92
1884,4.39,3.87,0.189,0.297,2.94
1885,4.67,4.18,0.19,0.3,2.95
1886,4.59,4.09,0.19,0.302,2.97
1887,4.64,4.14,0.191,0.304,2.98
1888,5.09,4.65,0.192,0.306,3.0
1889,5.8,5.37,0.193,0.309,3.01
