year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,1.38e-05,0.0,0.000136,0.0,0.0
1751,1.3899999999999999e-05,0.0,0.00013700000000000002,2.17e-07,0.0
1752,1.4e-05,0.0,0.00013800000000000002,4.35e-07,0.0
1753,1.4200000000000001e-05,0.0,0.00013900000000000002,6.520000000000001e-07,0.0
1754,1.43e-05,0.0,0.00014000000000000001,8.69e-07,0.0
1755,1.44e-05,0.0,0.00014099999999999998,1.09e-06,0.0
1756,1.45e-05,0.0,0.00014199999999999998,1.2999999999999998e-06,0.0
1757,1.46e-05,0.0,0.00014299999999999998,1.52e-06,0.0
1758,1.47e-05,0.0,0.000145,1.74e-06,0.0
1759,1.48e-05,0.0,0.000146,1.96e-06,0.0
1760,1.49e-05,0.0,0.000147,2.17e-06,0.0
1761,1.5100000000000001e-05,0.0,0.000148,2.39e-06,0.0
1762,1.52e-05,0.0,0.000149,2.61e-06,0.0
1763,1.53e-05,0.0,0.00015,2.83e-06,0.0
1764,1.54e-05,0.0,0.000152,3.04e-06,0.0
1765,1.56e-05,0.0,0.000153,3.2599999999999997e-06,0.0
1766,1.57e-05,0.0,0.000154,3.48e-06,0.0
1767,1.58e-05,0.0,0.000155,3.6900000000000002e-06,0.0
1768,1.59e-05,0.0,0.000156,3.910000000000001e-06,0.0
1769,1.6e-05,0.0,0.000158,4.13e-06,0.0
1770,1.62e-05,0.0,0.00015900000000000002,4.35e-06,0.0
1771,1.63e-05,0.0,0.00016,4.5599999999999995e-06,0.0
1772,1.6400000000000002e-05,0.0,0.000161,4.78e-06,0.0
1773,1.66e-05,0.0,0.000163,5e-06,0.0
1774,1.67e-05,0.0,0.000164,5.22e-06,0.0
1775,1.68e-05,0.0,0.000165,5.43e-06,0.0
1776,1.7e-05,0.0,0.00016700000000000002,5.649999999999999e-06,0.0
1777,1.7100000000000002e-05,0.0,0.00016800000000000002,5.8700000000000005e-06,0.0
1778,1.72e-05,0.0,0.00016900000000000002,6.09e-06,0.0
1779,1.74e-05,0.0,0.000171,6.3e-06,0.0
1780,1.7500000000000002e-05,0.0,0.00017199999999999998,6.519999999999999e-06,0.0
1781,1.76e-05,0.0,0.00017299999999999998,6.740000000000001e-06,0.0
1782,1.78e-05,0.0,0.000175,6.9499999999999995e-06,0.0
1783,1.7899999999999998e-05,0.0,0.000176,7.17e-06,0.0
1784,1.8100000000000003e-05,0.0,0.000178,7.3899999999999995e-06,0.0
1785,1.8200000000000002e-05,0.0,0.000179,7.61e-06,0.0
1786,1.84e-05,0.0,0.00017999999999999998,7.820000000000001e-06,0.0
1787,1.85e-05,0.0,0.000182,8.040000000000001e-06,0.0
1788,1.8599999999999998e-05,0.0,0.000183,8.26e-06,0.0
1789,1.88e-05,0.0,0.000185,8.48e-06,0.0
1790,1.89e-05,0.0,0.000186,8.69e-06,0.0
1791,1.91e-05,0.0,0.000187,8.91e-06,0.0
1792,1.92e-05,0.0,0.000189,9.129999999999999e-06,0.0
1793,1.94e-05,0.0,0.000191,9.35e-06,0.0
1794,1.95e-05,0.0,0.000192,9.56e-06,0.0
1795,1.9699999999999998e-05,0.0,0.000194,9.780000000000001e-06,0.0
1796,1.9900000000000003e-05,0.0,0.000195,1e-05,0.0
1797,2e-05,0.0,0.00019700000000000002,1.02e-05,0.0
1798,2.02e-05,0.0,0.00019800000000000002,1.0399999999999999e-05,0.0
1799,2.03e-05,0.0,0.0002,1.06e-05,0.0
1800,2.05e-05,0.0,0.000201,1.09e-05,0.0
1801,2.06e-05,0.0,0.000203,1.11e-05,0.0
1802,2.0799999999999997e-05,0.0,0.000205,1.1299999999999999e-05,0.0
1803,2.1000000000000002e-05,0.0,0.000206,1.15e-05,0.0
1804,2.11e-05,0.0,0.000208,1.17e-05,0.0
1805,2.13e-05,0.0,0.00020899999999999998,1.2e-05,0.0
1806,2.1499999999999997e-05,0.0,0.000211,1.22e-05,0.0
1807,2.17e-05,0.0,0.000213,1.24e-05,0.0
1808,2.18e-05,0.0,0.000214,1.26e-05,0.0
1809,2.2e-05,0.0,0.000216,1.2800000000000001e-05,0.0
1810,2.22e-05,0.0,0.00021799999999999999,1.3e-05,0.0
1811,2.22e-05,0.0,0.00021799999999999999,1.33e-05,0.0
1812,2.23e-05,0.0,0.000219,1.35e-05,0.0
