year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,9.89e-06,4.13e-22,0.000891
1751,0.0,0.0,9.9e-06,3.4700000000000006e-08,0.000891
1752,0.0,0.0,9.9e-06,6.95e-08,0.000891
1753,0.0,0.0,9.9e-06,1.0399999999999999e-07,0.000892
1754,0.0,0.0,9.91e-06,1.39e-07,0.000892
1755,0.0,0.0,9.91e-06,1.74e-07,0.000892
1756,0.0,0.0,9.91e-06,2.0799999999999998e-07,0.000893
1757,0.0,0.0,9.92e-06,2.43e-07,0.000893
1758,0.0,0.0,9.92e-06,2.78e-07,0.000893
1759,0.0,0.0,9.92e-06,3.13e-07,0.000894
1760,0.0,0.0,9.93e-06,3.4699999999999997e-07,0.000894
1761,0.0,0.0,9.93e-06,3.82e-07,0.000894
1762,0.0,0.0,9.93e-06,4.17e-07,0.000894
1763,0.0,0.0,9.94e-06,4.5199999999999997e-07,0.0008950000000000001
1764,0.0,0.0,9.94e-06,4.86e-07,0.0008950000000000001
1765,0.0,0.0,9.94e-06,5.21e-07,0.0008950000000000001
1766,0.0,0.0,9.950000000000001e-06,5.56e-07,0.000896
1767,0.0,0.0,9.950000000000001e-06,5.91e-07,0.000896
1768,0.0,0.0,9.950000000000001e-06,6.25e-07,0.000896
1769,0.0,0.0,9.96e-06,6.6e-07,0.000897
1770,0.0,0.0,9.96e-06,6.95e-07,0.000897
1771,0.0,0.0,9.96e-06,7.29e-07,0.000897
1772,0.0,0.0,9.97e-06,7.64e-07,0.000897
1773,0.0,0.0,9.97e-06,7.99e-07,0.000898
1774,0.0,0.0,9.97e-06,8.34e-07,0.000898
1775,0.0,0.0,9.98e-06,8.68e-07,0.000898
1776,0.0,0.0,9.98e-06,9.030000000000001e-07,0.0008990000000000001
1777,0.0,0.0,9.98e-06,9.380000000000001e-07,0.0008990000000000001
1778,0.0,0.0,9.990000000000001e-06,9.73e-07,0.0008990000000000001
1779,0.0,0.0,9.990000000000001e-06,1.01e-06,0.0009
1780,0.0,0.0,9.990000000000001e-06,1.04e-06,0.0009
1781,0.0,0.0,1e-05,1.08e-06,0.0009
1782,0.0,0.0,1e-05,1.1100000000000002e-06,0.0009
1783,0.0,0.0,1e-05,1.15e-06,0.000901
1784,0.0,0.0,1e-05,1.1800000000000001e-06,0.000901
1785,0.0,0.0,1e-05,1.22e-06,0.000901
1786,0.0,0.0,1e-05,1.25e-06,0.000902
1787,0.0,0.0,1e-05,1.29e-06,0.000902
1788,0.0,0.0,1e-05,1.32e-06,0.000902
1789,0.0,0.0,1e-05,1.35e-06,0.000903
1790,0.0,0.0,1e-05,1.39e-06,0.000903
1791,0.0,0.0,1e-05,1.42e-06,0.000903
1792,0.0,0.0,1e-05,1.46e-06,0.000903
1793,0.0,0.0,1e-05,1.49e-06,0.0009040000000000001
1794,0.0,0.0,1e-05,1.53e-06,0.0009040000000000001
1795,0.0,0.0,1e-05,1.5599999999999999e-06,0.0009040000000000001
1796,0.0,0.0,1e-05,1.6000000000000001e-06,0.000905
1797,0.0,0.0,1e-05,1.6299999999999999e-06,0.000905
1798,0.0,0.0,1.01e-05,1.67e-06,0.000905
1799,0.0,0.0,1.01e-05,1.6999999999999998e-06,0.000906
1800,0.0,0.0,1.01e-05,1.74e-06,0.000906
1801,0.0,0.0,1.01e-05,1.77e-06,0.000906
1802,0.0,0.0,1.01e-05,1.81e-06,0.000906
1803,0.0,0.0,1.01e-05,1.84e-06,0.000907
1804,0.0,0.0,1.01e-05,1.88e-06,0.000907
1805,0.0,0.0,1.01e-05,1.91e-06,0.000907
1806,0.0,0.0,1.01e-05,1.95e-06,0.0009080000000000001
1807,0.0,0.0,1.01e-05,1.98e-06,0.0009080000000000001
1808,0.0,0.0,1.01e-05,2.0100000000000002e-06,0.0009080000000000001
1809,0.0,0.0,1.01e-05,2.0500000000000003e-06,0.000909
1810,0.0,0.0,1.01e-05,2.08e-06,0.000909
1811,0.0,0.0,1.01e-05,2.12e-06,0.00091
1812,0.0,0.0,1.01e-05,2.15e-06,0.00091
1813,0.0,0.0,1.01e-05,2.19e-06,0.000911
1814,0.0,0.0,1.01e-05,2.2200000000000003e-06,0.000912
1815,0.0,0.0,1.01e-05,2.26e-06,0.0009130000000000001
1816,0.0,0.0,1.01e-05,2.29e-06,0.0009130000000000001
1817,0.0,0.0,1.02e-05,2.33e-06,0.000914
1818,0.0,0.0,1.02e-05,2.3600000000000003e-06,0.000915
1819,0.0,0.0,1.02e-05,2.4e-06,0.000916
1820,0.0,0.0,1.02e-05,2.43e-06,0.000916
1821,0.0,0.0,1.02e-05,2.47e-06,0.0009170000000000001
1822,0.0,0.0,1.02e-05,2.5e-06,0.0009180000000000001
1823,0.0,0.0,1.02e-05,2.5400000000000002e-06,0.000919
1824,0.0,0.0,1.02e-05,2.57e-06,0.00092
1825,0.0,0.0,1.02e-05,2.61e-06,0.00092
1826,0.0,0.0,1.02e-05,2.64e-06,0.000921
1827,0.0,0.0,1.02e-05,2.6700000000000003e-06,0.0009220000000000001
1828,0.0,0.0,1.02e-05,2.7100000000000003e-06,0.000923
1829,0.0,0.0,1.03e-05,2.74e-06,0.000923
1830,0.0,0.0,1.03e-05,2.78e-06,0.000924
1831,0.0,0.0,1.03e-05,2.81e-06,0.000925
1832,0.0,0.0,1.03e-05,2.8500000000000002e-06,0.0009260000000000001
1833,0.0,0.0,1.03e-05,2.8800000000000004e-06,0.0009270000000000001
1834,0.0,0.0,1.03e-05,2.92e-06,0.0009270000000000001
1835,0.0,0.0,1.03e-05,2.95e-06,0.000928
1836,0.0,0.0,1.03e-05,2.99e-06,0.000929
1837,0.0,0.0,1.03e-05,3.0200000000000003e-06,0.00093
1838,0.0,0.0,1.03e-05,3.06e-06,0.00093
1839,0.0,0.0,1.03e-05,3.09e-06,0.0009310000000000001
1840,0.0,0.0,1.03e-05,3.13e-06,0.0009320000000000001
1841,0.0,0.0,1.0399999999999999e-05,3.1600000000000002e-06,0.000933
1842,0.0,0.0,1.0399999999999999e-05,3.2000000000000003e-06,0.000934
1843,0.0,0.0,1.0399999999999999e-05,3.23e-06,0.000934
1844,0.0,0.0,1.0399999999999999e-05,3.27e-06,0.0009350000000000001
1845,0.0,0.0,1.0399999999999999e-05,3.3e-06,0.0009360000000000001
1846,0.0,0.0,1.0399999999999999e-05,3.33e-06,0.000937
1847,0.0,0.0,1.0399999999999999e-05,3.3700000000000003e-06,0.000937
1848,0.0,0.0,1.0399999999999999e-05,3.3999999999999996e-06,0.0009379999999999999
1849,0.0,0.0,1.0399999999999999e-05,3.44e-06,0.000939
1850,6.29e-06,0.0,1.03e-05,3.47e-06,0.000923
