year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,2.0799999999999997e-05
1922,7.74e-05
1923,0.000161
1924,0.000262
1925,0.000372
1926,0.000482
1927,0.000583
1928,0.0006670000000000001
1929,0.000723
1930,0.000744
1931,0.000727
1932,0.0006820000000000001
1933,0.000614
1934,0.000533
1935,0.000444
1936,0.00035499999999999996
1937,0.000273
1938,0.000205
1939,0.00016
1940,0.00014299999999999998
1941,0.00158
1942,0.00558
1943,0.011699999999999999
1944,0.0195
1945,0.0285
1946,0.038200000000000005
1947,0.048299999999999996
1948,0.0582
1949,0.0675
1950,0.0757
1951,0.0833
1952,0.09090000000000001
1953,0.0985
1954,0.106
1955,0.114
1956,0.121
1957,0.129
1958,0.137
1959,0.144
1960,0.152
1961,0.159
1962,0.165
1963,0.171
1964,0.177
1965,0.183
1966,0.189
1967,0.197
1968,0.206
1969,0.216
1970,0.229
1971,0.253
1972,0.296
1973,0.354
1974,0.423
1975,0.502
1976,0.586
1977,0.672
1978,0.757
1979,0.838
1980,0.911
1981,0.986
1982,1.07
1983,1.16
1984,1.25
1985,1.34
1986,1.42
1987,1.49
1988,1.55
1989,1.58
1990,1.44
1991,1.49
1992,1.47
1993,1.34
1994,1.33
1995,1.35
1996,1.48
1997,1.59
1998,1.77
1999,2.25
2000,3.67
2001,4.98
2002,6.23
2003,7.68
2004,9.14
2005,10.9
2006,11.5
2007,11.8
2008,12.3
2009,12.7
2010,12.7
2011,12.9
2012,13.2
2013,13.5
2014,14.7
2015,16.2
2016,18.3
2017,20.4
2018,22.9
2019,25.1
2020,27.4
2021,29.8
2022,31.7
