year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.301,0.0,0.351,0.0,3.79
1751,0.301,0.0,0.352,0.00131,3.8
1752,0.302,0.0,0.353,0.00262,3.81
1753,0.302,0.0,0.353,0.00393,3.82
1754,0.302,0.0,0.354,0.00524,3.82
1755,0.303,0.0,0.355,0.006549999999999999,3.83
1756,0.303,0.0,0.355,0.00786,3.84
1757,0.304,0.0,0.356,0.00916,3.84
1758,0.304,0.0,0.357,0.0105,3.85
1759,0.305,0.0,0.357,0.011800000000000001,3.86
1760,0.305,0.0,0.358,0.013099999999999999,3.86
1761,0.306,0.0,0.358,0.0144,3.87
1762,0.306,0.0,0.359,0.0157,3.88
1763,0.307,0.0,0.36,0.017,3.89
1764,0.307,0.0,0.36,0.0183,3.89
1765,0.308,0.0,0.361,0.019600000000000003,3.9
1766,0.308,0.0,0.362,0.0209,3.91
1767,0.309,0.0,0.362,0.0223,3.91
1768,0.309,0.0,0.363,0.023600000000000003,3.92
1769,0.31,0.0,0.364,0.0249,3.93
1770,0.31,0.0,0.364,0.026199999999999998,3.94
1771,0.311,0.0,0.365,0.0275,3.94
1772,0.311,0.0,0.366,0.0288,3.95
1773,0.312,0.0,0.366,0.030100000000000002,3.96
1774,0.312,0.0,0.367,0.0314,3.97
1775,0.313,0.0,0.368,0.0327,3.97
1776,0.313,0.0,0.369,0.034,3.98
1777,0.313,0.0,0.369,0.0353,3.99
1778,0.314,0.0,0.37,0.0367,3.99
1779,0.314,0.0,0.371,0.038,4.0
1780,0.315,0.0,0.371,0.039299999999999995,4.01
1781,0.315,0.0,0.372,0.040600000000000004,4.02
1782,0.316,0.0,0.373,0.0419,4.02
1783,0.316,0.0,0.373,0.0432,4.03
1784,0.317,0.0,0.374,0.0445,4.04
1785,0.317,0.0,0.375,0.0458,4.05
1786,0.318,0.0,0.375,0.0471,4.05
1787,0.318,0.0,0.376,0.0484,4.06
1788,0.319,0.0,0.377,0.0498,4.07
1789,0.319,0.0,0.377,0.0511,4.08
1790,0.32,0.0,0.378,0.052399999999999995,4.08
1791,0.32,0.0,0.379,0.053700000000000005,4.09
1792,0.321,0.0,0.379,0.055,4.1
1793,0.321,0.0,0.38,0.056299999999999996,4.11
1794,0.321,0.0,0.381,0.0576,4.11
1795,0.322,0.0,0.382,0.0589,4.12
1796,0.322,0.0,0.382,0.060200000000000004,4.13
1797,0.323,0.0,0.383,0.0615,4.14
1798,0.323,0.0,0.384,0.0628,4.14
1799,0.324,0.0,0.384,0.06420000000000001,4.15
1800,0.324,0.0,0.385,0.0655,4.16
1801,0.325,0.0,0.386,0.0668,4.17
1802,0.325,0.0,0.387,0.0681,4.17
1803,0.326,0.0,0.387,0.0694,4.18
1804,0.326,0.0,0.388,0.0707,4.19
1805,0.327,0.0,0.389,0.072,4.2
1806,0.327,0.0,0.389,0.0733,4.21
1807,0.328,0.0,0.39,0.0746,4.21
1808,0.328,0.0,0.391,0.07590000000000001,4.22
1809,0.328,0.0,0.391,0.0772,4.23
1810,0.329,0.0,0.392,0.07859999999999999,4.24
1811,0.332,0.0,0.396,0.0799,4.27
1812,0.334,0.0,0.399,0.08120000000000001,4.31
1813,0.337,0.0,0.402,0.0825,4.35
1814,0.34,0.0,0.406,0.0838,4.38
1815,0.342,0.0,0.409,0.0851,4.42
1816,0.345,0.0,0.413,0.0864,4.46
1817,0.348,0.0,0.416,0.0877,4.49
1818,0.351,0.0,0.419,0.089,4.53
1819,0.353,0.0,0.423,0.09029999999999999,4.57
1820,0.356,0.0,0.426,0.0916,4.6
1821,0.354,0.0,0.424,0.093,4.58
1822,0.352,0.0,0.422,0.0943,4.56
1823,0.35,0.0,0.42,0.09559999999999999,4.53
