year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,5.500000000000001e-10,0.0,2.64e-06,6.35e-25,2.92e-07
1751,5.530000000000001e-10,0.0,2.65e-06,3.99e-10,2.94e-07
1752,5.559999999999999e-10,0.0,2.6700000000000003e-06,7.98e-10,2.9500000000000003e-07
1753,5.589999999999999e-10,0.0,2.68e-06,1.2e-09,2.97e-07
1754,5.62e-10,0.0,2.69e-06,1.5999999999999999e-09,2.98e-07
1755,5.65e-10,0.0,2.7100000000000003e-06,1.9999999999999997e-09,3e-07
1756,5.68e-10,0.0,2.7200000000000002e-06,2.4e-09,3.01e-07
1757,5.700000000000001e-10,0.0,2.74e-06,2.79e-09,3.03e-07
1758,5.73e-10,0.0,2.75e-06,3.19e-09,3.04e-07
1759,5.76e-10,0.0,2.76e-06,3.59e-09,3.06e-07
1760,5.79e-10,0.0,2.78e-06,3.99e-09,3.07e-07
1761,5.82e-10,0.0,2.79e-06,4.39e-09,3.09e-07
1762,5.85e-10,0.0,2.81e-06,4.79e-09,3.11e-07
1763,5.88e-10,0.0,2.82e-06,5.1900000000000005e-09,3.12e-07
1764,5.91e-10,0.0,2.84e-06,5.59e-09,3.14e-07
1765,5.94e-10,0.0,2.8500000000000002e-06,5.99e-09,3.15e-07
1766,5.97e-10,0.0,2.86e-06,6.39e-09,3.17e-07
1767,6e-10,0.0,2.8800000000000004e-06,6.79e-09,3.19e-07
1768,6.04e-10,0.0,2.8900000000000003e-06,7.189999999999999e-09,3.2e-07
1769,6.07e-10,0.0,2.9099999999999997e-06,7.58e-09,3.22e-07
1770,6.1e-10,0.0,2.92e-06,7.98e-09,3.24e-07
1771,6.13e-10,0.0,2.94e-06,8.38e-09,3.2499999999999996e-07
1772,6.16e-10,0.0,2.95e-06,8.78e-09,3.27e-07
1773,6.19e-10,0.0,2.97e-06,9.18e-09,3.29e-07
1774,6.22e-10,0.0,2.98e-06,9.58e-09,3.3e-07
1775,6.26e-10,0.0,3e-06,9.979999999999999e-09,3.32e-07
1776,6.29e-10,0.0,3.0200000000000003e-06,1.04e-08,3.34e-07
1777,6.320000000000001e-10,0.0,3.0300000000000002e-06,1.08e-08,3.35e-07
1778,6.35e-10,0.0,3.05e-06,1.12e-08,3.37e-07
1779,6.390000000000001e-10,0.0,3.06e-06,1.1600000000000001e-08,3.39e-07
1780,6.42e-10,0.0,3.0799999999999997e-06,1.2e-08,3.41e-07
1781,6.449999999999999e-10,0.0,3.09e-06,1.24e-08,3.42e-07
1782,6.479999999999999e-10,0.0,3.11e-06,1.2799999999999999e-08,3.44e-07
1783,6.519999999999999e-10,0.0,3.13e-06,1.32e-08,3.46e-07
1784,6.55e-10,0.0,3.14e-06,1.3600000000000001e-08,3.48e-07
1785,6.59e-10,0.0,3.1600000000000002e-06,1.4e-08,3.5e-07
